date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:おはようございます。,['Other']
1,talk,0,0,1,1:早速ですが、私は占い師です。,['CO[01]:占い師']
1,talk,0,0,1,1:昨日の夜、Agent[04]を占いました。,['Other']
1,talk,0,0,1,1:結果は人狼でした。,['DivT[01]:04->黒']
1,talk,1,0,2,2:Skip,['Other']
1,talk,2,0,4,4:ちょ、待ってくれだお！,['Other']
1,talk,2,0,4,4:ワイは村人だけど、Agent[01]が占い師だとしたら何かがおかしいぞ。,"['Fact[04]:04->村人', 'Sus:01']"
1,talk,2,0,4,4:占い師は毎晩1人を占うけど、最初の夜は誰も占えないんじゃないかと思うんだ。,['Other']
1,talk,2,0,4,4:ここは冷静になって話し合おうだお！,"['calm', 'Req(Discuss)']"
0,talk,1,0,5,5:Skip,['Other']
0,talk,5,1,5,5:Skip,['Other']
0,talk,9,2,5,5:Skip,['Other']
0,talk,10,3,5,5:Skip,['Other']
0,talk,11,4,5,5:Skip,['Other']
1,talk,3,0,5,5:Skip,['Other']
1,talk,4,0,3,3:Agent[01]の占いの結果は、実に興味深い。,['Other']
1,talk,4,0,3,3:然し、Agent[04]はゲームデバッガーとの事。,['Other']
1,talk,4,0,3,3:如何にも人狼とは相容れない存在であろう。,['Other']
1,talk,4,0,3,3:Agent[01]、他に何か真実を導く光はあるのか？,['Req(T):01']
1,talk,5,1,1,1:Skip,['Other']
1,talk,6,1,4,4:>>Agent[03]確かに、Agent[01]の占い結果は興味深いけど、初日から占い結果を出すのはおかしいと思うんだよね。,"['Mt:03', 'Dis:01（DivT[01]:04->黒）']"
1,talk,6,1,4,4:初日はまだ占い結果を得られないはずだから、Agent[01]はちょっと怪しいかもだお。,['Sus:01']
1,talk,6,1,4,4:みんなの意見も聞きたいだお！,['Req(Discuss)']
1,talk,7,1,3,3:Agent[01]の占いは興味深いとは思うが、初日からその術を発揮できるとは、如何なものか。,['Dis:01（DivT[01]:04->黒）']
1,talk,7,1,3,3:もしAgent[01]が真の占い師であるならば、何故昨日の夜に占わなかったのか？,['Req(T):01']
1,talk,7,1,3,3:その理由を解き明かしていただきたい。,['Req(T):04']
1,talk,8,2,4,4:>>Agent[03]そうだよね、初日から占い結果を出すのはおかしいと思うんだ。,"['Mt:03', 'Agr:03（Req(T):04）']"
1,talk,8,2,4,4:占い師は初日には占えないはずだから、Agent[01]の発言には矛盾があるだお。,"['Fact[04]:01->not(占い師)', 'contradiction']"
1,talk,8,2,4,4:みんなで冷静に考えて、誰が本当に怪しいのかを見極めようだお！,"['calm', 'Req(Discuss)']"
1,talk,9,2,3,3:Agent[01]の深遠なる慧眼は、Agent[04]に人狼の烙印を押す。,['Est[03]:04->人狼']
1,talk,9,2,3,3:その身は、真なる占いの導き手か、それとも狂気の淵に沈む者か。,"['XorEst:(01,04)->(占い師⇔狂人)', 'Other']"
1,talk,9,2,3,3:いずれにせよ、我が行くべき道は定まった。,['Other']
1,talk,9,2,3,3:Agent[04]への投票をもって、混沌の渦を断ち切るのみなり。,['Vote[03]:04']
1,talk,10,3,4,4:>>Agent[03]なるほど、そういう意志なんだね。,"['Mt:03', 'Agr:03（Vote[03]:04）']"
1,talk,10,3,4,4:でも、ワイは自分が村人だって確信してるんだお。,['CO[04]:村人']
1,talk,10,3,4,4:Agent[01]の占い結果は間違っていると思う。,['Dis:01（DivT[01]:04->黒）']
1,talk,10,3,4,4:Agent[01]が初日から占ったって言うのは明らかにおかしいし、何か意図があるんじゃないかって思うだお。,['Sus:01']
1,talk,10,3,4,4:みんなも冷静に考えてほしいだお！,"['calm', 'Req(Discuss)']"
1,talk,11,3,3,3:時の流れは容赦なく、今や投票の刻が迫り来る。,['Other']
1,talk,11,3,3,3:故に、我々はこの日の議題、すなわち投票先の選定へと移らねばなるまい。,['Req(Discuss)']
1,talk,12,4,4,4:僕は村人だよ！,['CO[04]:村人']
1,talk,12,4,4,4:Agent[01]の発言に矛盾があることを考えると、Agent[01]が狂人か人狼の可能性が高いと思うだお。,"['Est[04]:01->狂人', 'Est[04]:01->人狼']"
1,talk,12,4,4,4:それを踏まえて冷静に投票しようだお！,"['calm', 'Req(Discuss)']"
1,talk,13,4,3,3:我はAgent[04]に投票せん。,['Vote[03]:04']
1,talk,13,4,3,3:Agent[01]の占いは、混沌たる始まりの日から真実を告げ得るものではない。,['Dis:01（DivT[01]:04->黒）']
1,talk,13,4,3,3:矛盾の渦に囚われたその言葉は、深淵を覗くが如く、真実を歪めるものなり。,['contradiction']
1,talk,13,4,3,3:Agent[04]はゲームデバッガー、すなわち秩序の守護者であろう。,['Est[03]:04->not(人狼)']
1,talk,13,4,3,3:故に、人狼の影は彼に降りかかることはない。,['Fact[03]:04->not(人狼)']
0,status,1,SEER,ALIVE,sUper_IL1,
0,status,2,VILLAGER,ALIVE,barneko1,
0,status,3,VILLAGER,ALIVE,CanisLupus1,
0,status,4,WEREWOLF,ALIVE,kanolab1,
0,status,5,POSSESSED,ALIVE,UEC-IL1,
1,status,1,SEER,ALIVE,sUper_IL1,
1,status,2,VILLAGER,ALIVE,barneko1,
1,status,3,VILLAGER,ALIVE,CanisLupus1,
1,status,4,WEREWOLF,ALIVE,kanolab1,
1,status,5,POSSESSED,ALIVE,UEC-IL1,
2,status,1,SEER,,sUper_IL1,
2,status,2,VILLAGER,,barneko1,
2,status,3,VILLAGER,ALIVE,CanisLupus1,
2,status,4,WEREWOLF,DEAD,kanolab1,
2,status,5,POSSESSED,,UEC-IL1,
0,status,1,SEER,ALIVE,sUper_IL1,
0,status,2,VILLAGER,ALIVE,barneko1,
0,status,3,VILLAGER,ALIVE,CanisLupus1,
0,status,4,WEREWOLF,ALIVE,kanolab1,
0,status,5,POSSESSED,ALIVE,UEC-IL1,
1,status,1,SEER,ALIVE,sUper_IL1,
1,status,2,VILLAGER,ALIVE,barneko1,
1,status,3,VILLAGER,ALIVE,CanisLupus1,
