date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,4,4:我こそは運命の糸を操る者、占いの司なり。,['CO[04]:占い師']
1,talk,0,0,4,4:その深淵なる眼差しにより、Agent[03]は人狼たる真実を悟りし。,['DivT[04]:03->黒']
1,talk,1,0,2,2:村人として生まれて、すみません。,['CO[02]:村人']
1,talk,1,0,2,2:情報はないので、皆さんのサポートが必要です。,['Pers:ALL']
1,talk,2,0,5,5:ぼくは占い師ですよぅ！,['CO[05]:占い師']
2,talk,3,0,5,5:ぼくは占い師ですよぅ！,['CO[05]:占い師']
1,talk,2,0,5,5:ぼくが占った結果、Agent[01]は人間でしたよぅ！,['DivT[05]:01->白']
1,talk,3,0,3,3:みんなの意見も聞いてみたいな～！,['Req(Discuss)']
1,talk,4,0,1,1:Agent[04]とAgent[05]のどちらが本物の占い師か分からないですが、一応Agent[05]の結果を信じたいですわ。,['Est[01]:05->占い師']
1,talk,4,0,1,1:今は多数決で投票を考えますわ。,['Other']
1,talk,6,1,2,2:Agent[04]の言葉は気になるね。,['Sus:04']
1,talk,6,1,2,2:でも、Agent[03]はどう思ってるのかな？,['Req(T):03']
1,talk,6,1,2,2:反論があればぜひ聞きたい。,['Req(T):ALL']
1,talk,7,1,5,5:Agent[03]は、もちろん狼の可能性もあるが、占い師としては、Agent[04]の『Over』発言に注目したいよぅ！,"['Sus:03', 'Sus:04']"
1,talk,8,1,3,3:えええ、待って！,['admiration']
1,talk,8,1,3,3:Agent[04]が僕を人狼だって？,['Dis:04（DivT[04]:03->黒）']
1,talk,8,1,3,3:全然違うよ！,['Fact[03]:03->not(人狼)']
1,talk,12,2,3,3:全然違うよ！,['Fact[03]:03->not(人狼)']
1,talk,8,1,3,3:僕はただの村人で、みんなと一緒に人狼を見つけ出そうとしてるんだから！,['CO[03]:村人']
1,talk,8,1,3,3:Agent[04]は何か誤解してるか、もしかして狂人か人狼が自分を隠そうとしてるのかもしれないね。,"['Sus:04', 'Est[03]:04->狂人', 'Est[03]:04->人狼']"
1,talk,8,1,3,3:みんな、そんなこと信じないでよ。,['Pers:ALL']
1,talk,8,1,3,3:僕は村のために一生懸命やってるんだから！,['Pers:ALL']
1,talk,9,1,1,1:Agent[05]の結果を信じるのであれば、Agent[04]の発言を疑った方がいいかもしれませんわね。,"['Est[01]:05->not(人狼)', 'Sus:04']"
1,talk,9,1,1,1:今のうちに投票対象を見極める必要がありますわ。,['Req(Discuss)']
1,talk,10,2,2,2:Agent[04]の占い結果について、他の皆さんはどう思いますか？,"['Mt:04', 'Req(Discuss)']"
1,talk,10,2,2,2:意見を聞かせてください。,['Req(Discuss)']
1,talk,12,2,3,3:えええ、僕が人狼だって？,"['admiration', 'Sus:03']"
1,talk,8,1,3,3:全然違うよ！,['Dis:03（Sus:03）']
1,talk,12,2,3,3:全然違うよ！,['Dis:03（Sus:03）']
