source_file,dataset_tag,agent_name,role,fold
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,3
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,3
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,WEREWOLF,3
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,3
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,3
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,4
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,4
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,4
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,4
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,4
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,4
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,4
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,4
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,4
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,4
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,5
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,5
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,ai168wolf1,WEREWOLF,5
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,5
taged_1746433451_kanolab_ai168wolf_sunamelli_osawalab_mille.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,5
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,2
taged_1746438237_kanolab_CanisLupus_sunamelli_mille_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,2
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,1
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,1
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,1
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,1
taged_1746438728_CanisLupus_kanolab_sunamelli_osawalab_ai168wolf.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,1
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,5
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,5
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,5
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,5
taged_1746439413_mille_CamelliaDragons_kanolab_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,5
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,5
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,5
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,5
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,5
taged_1746440342_GAIT_sunamelli_osawalab_ai168wolf_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,5
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,POSSESSED,1
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,1
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,1
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,1
taged_1746440914_CamelliaDragons_kanolab_mille_sunamelli_CanisLupus.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,1
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,4
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,4
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,GAIT1,WEREWOLF,4
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,4
taged_1746441587_kanolab_CanisLupus_CamelliaDragons_GAIT_mille.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,4
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,ai168wolf1,VILLAGER,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,WEREWOLF,1
taged_1746442087_CanisLupus_ai168wolf_kanolab_sunamelli_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,1
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,kanolab1,WEREWOLF,5
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,sunamelli1,POSSESSED,5
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,5
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,5
taged_1746453871_CanisLupus_kanolab_sunamelli_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,VILLAGER,5
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,POSSESSED,2
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,2
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,2
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,2
taged_1746455020_CamelliaDragons_CanisLupus_osawalab_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,2
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,3
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,kanolab1,SEER,3
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,3
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,3
taged_1746461224_mille_kanolab_osawalab_CamelliaDragons_CanisLupus.log,all_feature_table_2025sp17_with_talks,CanisLupus1,WEREWOLF,3
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,mille1,VILLAGER,3
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,GAIT1,VILLAGER,3
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,osawalab1,WEREWOLF,3
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,POSSESSED,3
taged_1746461792_CanisLupus_mille_GAIT_osawalab_CamelliaDragons.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,3
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,GAIT1,WEREWOLF,3
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,3
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,CanisLupus1,SEER,3
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,3
taged_1746463069_GAIT_ai168wolf_CanisLupus_CamelliaDragons_osawalab.log,all_feature_table_2025sp17_with_talks,osawalab1,VILLAGER,3
taged_1746464608_sunamelli_CamelliaDragons_osawalab_kanolab_GAIT.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,5
