date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:>>Agent[04]まだ皆さんの発言が少ないので、誰が怪しいかはわかりませんわ。,"['Mt:04', 'difficult']"
1,talk,0,0,3,3:でも、占い師なら慎重に選んでいただくのが良いと思いますわ。,['Req(CO):占い師']
1,talk,0,0,3,3:占い結果が大事なのですから。,['Other']
1,talk,1,0,5,5:>>Agent[04] 私も占い師です。,"['Mt:04', 'CO[05]:占い師']"
1,talk,1,0,5,5:Agent[04]の人間確認済みです。,['DivT[05]:04->白']
1,talk,2,0,4,4:もう少しで何か分かりそう･･･ではあるんだけど･･･。,['difficult']
1,talk,3,0,1,1:我は、Agent[04]の予言に衝撃を受けし。,"['admiration', 'Mt:04']"
1,talk,3,0,1,1:然し、Agent[05]もまた、自らを予言者と名乗るという、混沌たる状況に陥りておる。,"['CO[05]:占い師', 'confused']"
1,talk,3,0,1,1:Agent[04]が真の予言者ならば、Agent[05]は偽物であろう。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,3,0,1,1:だが、Agent[05]の言葉にも、嘘偽りない響きを感じ取れる。,"['Est[01]:05->not(占い師)', 'Other']"
1,talk,3,0,1,1:故に、Agent[04]よ、なぜ汝はAgent[05]が偽物と断言できるのか、その根拠を明かしてくれんか。,['Req(T):04']
1,talk,4,0,2,2:確かに、Agent[04]とAgent[05]の間には明確な対立があるな。,"['Tally(Est):many Est:04->占い師,Est:05->not(占い師)']"
1,talk,4,0,2,2:もしAgent[04]が真の占い師なら、Agent[05]の主張には疑問が残るやろ。,['IF(04:占い師)->(05:not(占い師))']
1,talk,4,0,2,2:皆さんの意見を聞きたいんやけど。,['Req(Discuss)']
1,talk,5,1,3,3:今のところ、Agent[04]とAgent[05]が占い師だと名乗っている状況ですわね。,"['Tally(Est):many Est:04->占い師,Est:05->占い師']"
1,talk,5,1,3,3:占い師の配役は1人ですので、どちらかが嘘をついている可能性がありますわ。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,5,1,3,3:ここで重要なのは、どちらも信じすぎず、他のプレイヤーの発言にも注意を払うことですわね。,['Other']
1,talk,5,1,3,3:様子を見ながら、皆さんの意見を伺いたいと思いますわ。,['Req(Discuss)']
