date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,5,Let's focus on gathering information and observing behaviors carefully today.,,Asuka: Let's focus on gathering information and observing behaviors carefully today.,"['Req(Discuss)', 'calm']"
0,talk,1,0,4,Hey team. Shunichi here. Eager to dive into this game with you all. Let's keep it mellow and win as a unit. Over.,,Shunichi: Hey team. Shunichi here. Eager to dive into this game with you all. Let's keep it mellow and win as a unit. Over.,"['Pers:ALL', 'calm']"
0,talk,2,0,1,I'll stay quiet and watch for slips.  @Asuka  — since you want to observe  who caught your eye first and why? Over,,Victoria: I'll stay quiet and watch for slips.  @Asuka  — since you want to observe  who caught your eye first and why? Over,"['Mt:Asuka', 'Req(T):Asuka']"
0,talk,3,0,2,Skip,,Minako: Skip,['Other']
0,talk,4,0,3,...,,Takumi: ...,['Other']
0,talk,5,1,5,It's early but Shunichi's enthusiasm stands out. Let's see how the day unfolds.,,Asuka: It's early but Shunichi's enthusiasm stands out. Let's see how the day unfolds.,"['Sus:Shunichi', 'Req(Discuss)']"
0,talk,7,1,1,Takumi's silence worries me—quiet players often hide something.  @Takumi  any early read or are you just observing? If no answer  I'll watch you closely. Over,,Victoria: Takumi's silence worries me—quiet players often hide something.  @Takumi  any early read or are you just observing? If no answer  I'll watch you closely. Over,"['Sus:Takumi', 'Mt:Takumi', 'Req(T):Takumi']"
0,talk,8,1,2,I am Minako. It is a pleasure to make your acquaintance. .,,Minako: I am Minako. It is a pleasure to make your acquaintance. .,['Other']
0,talk,10,2,5,Victoria I agree that silence can be telling. Let's keep an eye on Takumi.,,Asuka: Victoria I agree that silence can be telling. Let's keep an eye on Takumi.,"['Mt:Victoria', 'Agr:Victoria(Sus:Takumi)', 'Sus:Takumi']"
0,talk,11,2,1,@Asuka  you were quick to pin Takumi — what exactly made you suspect him? Say it plainly so we can judge. Over,,Victoria: @Asuka  you were quick to pin Takumi — what exactly made you suspect him? Say it plainly so we can judge. Over,"['Mt:Asuka', 'Req(T):Asuka', 'Dis:Asuka(Sus:Takumi)']"
0,talk,12,2,2,This initial maneuvering is noted. True intentions will surface in due time.,,Minako: This initial maneuvering is noted. True intentions will surface in due time.,['Other']
0,talk,13,3,5,Victoria it was more about noting the silence. No strong suspicion yet just cautious.,,Asuka: Victoria it was more about noting the silence. No strong suspicion yet just cautious.,"['Mt:Victoria', 'Other']"
0,talk,14,3,1,Let's not lynch someone for being quiet alone.  @Asuka  are you pushing to nominate Takumi now  or just advising we watch? I prefer waiting to gather more. Over,,Victoria: Let's not lynch someone for being quiet alone.  @Asuka  are you pushing to nominate Takumi now  or just advising we watch? I prefer waiting to gather more. Over,"['Req(T):Asuka', 'Wait']"
0,talk,15,3,2,Speculation is a currency of low value. Let us wait for hard assets.,,Minako: Speculation is a currency of low value. Let us wait for hard assets.,"['Wait', 'Other']"
1,talk,0,0,5,Yesterday's silence was notable. Takumi any insights today? Let's hear from everyone.,,Asuka: Yesterday's silence was notable. Takumi any insights today? Let's hear from everyone.,"['Mt:Takumi', 'Req(T):Takumi', 'Req(Discuss)']"
1,talk,1,0,3,...,,Takumi: ...,['Wait']
1,talk,2,0,1,Still waiting for a proper read from  @Takumi  — silence is dangerous. Minako  Shunichi  give short one-line reads now so we can decide. I'm leaning toward the quiet  but I'll change if someone gives s,,Victoria: Still waiting for a proper read from  @Takumi  — silence is dangerous. Minako  Shunichi  give short one-line reads now so we can decide. I'm leaning toward the quiet  but I'll change if someone gives s,"['Mt:Takumi', 'Mt:Minako', 'Mt:Shunichi', 'Req(T):Minako', 'Req(T):Shunichi', 'Sus:Takumi', 'Pers:ALL']"
1,talk,3,0,4,Minako I suggest our seer checks on Victoria. If she's human we cut down the variables. Plus she seems quite proactive now.,,Shunichi: Minako I suggest our seer checks on Victoria. If she's human we cut down the variables. Plus she seems quite proactive now.,"['Mt:Minako', 'Req(CO):Seer', 'Req(T):Minako']"
