date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,1,Hello. I am Victoria. My role is seer. Have a good game.,,Victoria: Hello. I am Victoria. My role is seer. Have a good game.,['CO[Victoria]:Seer']
0,talk,1,0,4,...,,Daisuke: ...,['Other']
0,talk,2,0,5,Hello everyone I'm Shunichi! Excited to join this game of Werewolf with you all. Let's have some fun together!,,Shunichi: Hello everyone I'm Shunichi! Excited to join this game of Werewolf with you all. Let's have some fun together!,['Other']
0,talk,3,0,2,Hello everyone! I'm Minato. Let's all work together and have a great game!,,Minato: Hello everyone! I'm Minato. Let's all work together and have a great game!,['Other']
0,talk,4,0,3,Hey everyone! I’m Kenji. Awesome to meet you all! Can’t wait for a thrilling game with you for sure! Let’s go buddies!,,Kenji: Hey everyone! I’m Kenji. Awesome to meet you all! Can’t wait for a thrilling game with you for sure! Let’s go buddies!,['Other']
0,talk,8,1,2,I'm curious does anyone have any ideas or strategies for starting off strong?,,Minato: I'm curious does anyone have any ideas or strategies for starting off strong?,['Req(Discuss)']
0,talk,10,2,2,Maybe we can start by sharing any suspicions or observations we have?,,Minato: Maybe we can start by sharing any suspicions or observations we have?,['Req(Discuss)']
0,talk,11,3,2,It's important we communicate openly. I'm eager to hear what everyone else thinks too!,,Minato: It's important we communicate openly. I'm eager to hear what everyone else thinks too!,['Req(Discuss)']
1,talk,0,0,3,Starting strong's key for trust-building. Who's got some insights from yesterday's chat? Spill the beans pals!,,Kenji: Starting strong's key for trust-building. Who's got some insights from yesterday's chat? Spill the beans pals!,"['Req(Discuss)', 'Pers:ALL']"
1,talk,1,0,2,I checked Kenji and he's human. Let's focus on finding the werewolf together!,,Minato: I checked Kenji and he's human. Let's focus on finding the werewolf together!,"['DivT[Minato]:Kenji->White', 'Req(Discuss)']"
1,talk,2,0,1,I am a seer. I divined Shunichi and Shunichi was a human.,,Victoria: I am a seer. I divined Shunichi and Shunichi was a human.,"['CO[Victoria]:Seer', 'DivT[Victoria]:Shunichi->White']"
1,talk,3,0,4,...,,Daisuke: ...,['Other']
1,talk,4,0,5,I divined Minato last night and he is the werewolf. We should discuss this further for our safety.,,Shunichi: I divined Minato last night and he is the werewolf. We should discuss this further for our safety.,"['DivT[Shunichi]:Minato->Werewolf', 'Req(Discuss)']"
1,talk,5,1,3,I'm scratching my head here! Two seers telling different tales about Minato. Should we focus our next vote on Minato or Shunichi?  @Daisuke  Hey buddy! You've been a bit of a ninja lately. What's your take on these seer claims? Let's hear it!,,Kenji: I'm scratching my head here! Two seers telling different tales about Minato. Should we focus our next vote on Minato or Shunichi?  @Daisuke  Hey buddy! You've been a bit of a ninja lately. What's your take on these seer claims? Let's hear it!,"['Req(Discuss)', 'Req(T):Daisuke', 'Mt:Daisuke', 'Sus:Minato', 'Sus:Shunichi']"
1,talk,6,1,2,I'm really not the werewolf. We should consider why Shunichi is claiming that.,,Minato: I'm really not the werewolf. We should consider why Shunichi is claiming that.,"['Other', 'Sus:Shunichi', 'Req(Discuss)']"
1,talk,7,1,1,I will vote Shunichi.,,Victoria: I will vote Shunichi.,['Vote[Victoria]:Shunichi']
1,talk,8,1,4,...,,Daisuke: ...,['Other']
1,talk,9,1,5,I apologize for my previous claim. I wanted to draw out reactions to gather more information but now suspect we have a disguised werewolf.,,Shunichi: I apologize for my previous claim. I wanted to draw out reactions to gather more information but now suspect we have a disguised werewolf.,"['Other', 'Req(Discuss)', 'confused']"
