date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,4,Hi everyone! So who do you think might be suspicious? Let's figure this out together!,,Sakura: Hi everyone! So who do you think might be suspicious? Let's figure this out together!,"['Req(Discuss)', 'Pers:ALL', 'calm']"
0,talk,1,0,5,Hi Sakura. Let's get claims — seer/doctor/medium first. If no one's claiming   @Shion  please share any reads or a claim. Otherwise everyone name one person you distrust briefly.,,Benjamin: Hi Sakura. Let's get claims — seer/doctor/medium first. If no one's claiming   @Shion  please share any reads or a claim. Otherwise everyone name one person you distrust briefly.,"['Req(CO):Seer', 'Req(CO):Doctor', 'Req(CO):Medium', 'Req(T):Shion', 'Req(Discuss)']"
0,talk,2,0,1,Morning folks ready to catch some wolves or just here to play nice? I’m not buying every smile I see.,,May: Morning folks ready to catch some wolves or just here to play nice? I’m not buying every smile I see.,['Sus:ALL']
0,talk,3,0,2,Hey buddies! It's Yumi! I'm beyond happy to team up with you! Let's catch some wolves together. Eyes wide open okay? You can do it!,,Yumi: Hey buddies! It's Yumi! I'm beyond happy to team up with you! Let's catch some wolves together. Eyes wide open okay? You can do it!,"['Pers:ALL', 'Req(Discuss)', 'admiration']"
0,talk,4,0,3,Skip,,Shion: Skip,['Wait']
0,talk,5,1,4,I don't have any strong suspicions yet but keeping an eye on May's questions.,,Sakura: I don't have any strong suspicions yet but keeping an eye on May's questions.,['Sus:May']
0,talk,6,1,5,"Nice ""play nice"" energy  May — could be genuine or a dodge.  @May  what's your read and who do you distrust? If you can't give something concrete  I'll keep you on my list for now. Others: one name you distrust  briefly. O",,"Benjamin: Nice ""play nice"" energy  May — could be genuine or a dodge.  @May  what's your read and who do you distrust? If you can't give something concrete  I'll keep you on my list for now. Others: one name you distrust  briefly. O","['Mt:May', 'Req(T):May', 'Sus:May', 'Req(Discuss)']"
0,talk,9,1,3,I am Shion. I am here to observe.,,Shion: I am Shion. I am here to observe.,['Other']
0,talk,10,2,4,I'm curious about Shion's quiet approach. What do you think Shion? Any thoughts?,,Sakura: I'm curious about Shion's quiet approach. What do you think Shion? Any thoughts?,"['Mt:Shion', 'Req(T):Shion']"
0,talk,11,2,5,@Shion  you're observing — any tiny read or even a sospech(typo) pick? If you won't say  name one person you distrust briefly. If we get no role-claims soon I'll,,Benjamin: @Shion  you're observing — any tiny read or even a sospech(typo) pick? If you won't say  name one person you distrust briefly. If we get no role-claims soon I'll,"['Mt:Shion', 'Req(T):Shion', 'Req(Discuss)']"
0,talk,12,2,3,Baseless speculation is a waste of processing time. Substantive data will emerge on Day 1.,,Shion: Baseless speculation is a waste of processing time. Substantive data will emerge on Day 1.,"['Dis:ALL', 'Wait']"
0,talk,13,3,4,Let's stay positive everyone! Maybe clues will pop up soon. Patience is key!,,Sakura: Let's stay positive everyone! Maybe clues will pop up soon. Patience is key!,"['Pers:ALL', 'calm']"
0,talk,14,3,5,Noted  Shion. We're running out of patience—let's force info.  @May  you were evasive earlier; give a read or name one person you distrust now. Everyone else: quickly name one person you distrust. If no claims by the end o,,Benjamin: Noted  Shion. We're running out of patience—let's force info.  @May  you were evasive earlier; give a read or name one person you distrust now. Everyone else: quickly name one person you distrust. If no claims by the end o,"['Mt:Shion', 'Mt:May', 'Req(T):May', 'Sus:May', 'Req(Discuss)']"
