date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,3,Good morning everyone I hope you’re all ready for a tough game I plan to watch each of you closely from the start,,George: Good morning everyone I hope you’re all ready for a tough game I plan to watch each of you closely from the start,"['Pers:ALL', 'Other']"
0,talk,1,0,5,Hello. I am Kenji. My role is seer. Have a good game.,,Kenji: Hello. I am Kenji. My role is seer. Have a good game.,['CO[Kenji]:Seer']
0,talk,2,0,2,Kenji  a seer claim is important.  @Kenji  please tell us who you checked (or will check) and any result you have. I'm old and cautious — I’m watching George closely. Others  please share your ear,,Servas: Kenji  a seer claim is important.  @Kenji  please tell us who you checked (or will check) and any result you have. I'm old and cautious — I’m watching George closely. Others  please share your ear,"['Req(CO):Seer', 'Mt:Kenji', 'Req(T):Kenji', 'Sus:George', 'Req(Discuss)']"
0,talk,3,0,1,Good morning everyone. I am Minako. Let us work together to find the werewolf. I look forward to a productive game. Over.,,Minako: Good morning everyone. I am Minako. Let us work together to find the werewolf. I look forward to a productive game. Over.,['Pers:ALL']
0,talk,4,0,4,Good morning everyone! Let's stay positive and support each other in finding those werewolves!,,Yumi: Good morning everyone! Let's stay positive and support each other in finding those werewolves!,['Pers:ALL']
0,talk,7,1,2,Kenji  your seer claim matters.  @Kenji  please tell us whom you checked and the result — or say who you will check tonight. George’s silence worries me; early quiet can be hiding. Others  share,,Servas: Kenji  your seer claim matters.  @Kenji  please tell us whom you checked and the result — or say who you will check tonight. George’s silence worries me; early quiet can be hiding. Others  share,"['Req(CO):Seer', 'Mt:Kenji', 'Req(T):Kenji', 'Sus:George', 'Req(Discuss)']"
0,talk,9,1,4,Kenji we're curious about your plans! Let's keep the conversation open and friendly.,,Yumi: Kenji we're curious about your plans! Let's keep the conversation open and friendly.,"['Mt:Kenji', 'Req(T):Kenji', 'Pers:ALL']"
0,talk,10,2,2,If you're truly the seer   @Kenji  please tell us who you checked and the result — or at least who you'll check tonight. I'm old and cautious; I'd like everyone to share a quick read before,,Servas: If you're truly the seer   @Kenji  please tell us who you checked and the result — or at least who you'll check tonight. I'm old and cautious; I'd like everyone to share a quick read before,"['Req(CO):Seer', 'Mt:Kenji', 'Req(T):Kenji', 'Req(Discuss)']"
0,talk,11,2,4,Let's stay positive and share our thoughts! Trust and teamwork will lead us forward.,,Yumi: Let's stay positive and share our thoughts! Trust and teamwork will lead us forward.,"['Pers:ALL', 'Req(Discuss)']"
0,talk,12,3,2,@Kenji  please tell us who you've checked or who you plan to check tonight. George has been very quiet and that worries me. Minako  Yumi — quick reads from you bot,,Servas: @Kenji  please tell us who you've checked or who you plan to check tonight. George has been very quiet and that worries me. Minako  Yumi — quick reads from you bot,"['Req(CO):Seer', 'Mt:Kenji', 'Req(T):Kenji', 'Sus:George', 'Req(T):Minako', 'Req(T):Yumi']"
