date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,4,4:我は運命の糸を操る者、占いの術に精通せし者なり。,['CO[04]:占い師']
1,talk,0,0,4,4:その深淵なる予言により、Agent[01]は人狼と判明せし。,['DivT[04]:01->黒']
1,talk,1,0,5,5:よし、みんな！,['Req(listen)']
1,talk,1,0,5,5:ワイが占い師です。,['CO[05]:占い師']
1,talk,1,0,5,5:今夜はAgent[04]を占ったけど、白判定だったです。,['DivT[05]:04->白']
1,talk,1,0,5,5:運命の糸をどう操るかは知らんけど、少なくとも人狼ではないようです！,['Fact[05]:04->not(人狼)']
1,talk,2,0,1,1:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,3,0,3,3:人狼が潜伏してる可能性も考えて、明日以降の占い師の結果を待つ方が安全策かとですよぅ！,"['Est[03]:潜伏人狼->あり', 'Wait']"
1,talk,4,0,2,2:>>Agent[03] 明日の結果を見てから動くのがいいね。,"['Mt:03', 'Agr:03（明日の結果を見てから動くのがいいね）']"
1,talk,4,0,2,2:賛成！,['Agr:03（明日の結果を見てから動くのがいいね）']
1,talk,6,1,5,5:では、改めて言うです！,['Other']
1,talk,6,1,5,5:ワイが昨夜占ったのはAgent[04]で、結果は白判定でした。,['DivT[05]:04->白']
1,talk,6,1,5,5:これでAgent[04]が人狼ではないことが確認できました。,['Fact[05]:04->not(人狼)']
1,talk,6,1,5,5:みんなと協力して、人狼を探し出しましょう！,['Pers:ALL']
1,talk,7,1,1,1:占い師が複数名乗り出ており、混乱を招いているな。,"['Fact[01]:占い師COが複数', 'confused']"
1,talk,7,1,1,1:Agent[04]とAgent[05]、お前たちの占い結果に矛盾があるが、どのようにしてその結論に至ったのか説明せよ。,"['Mt:04', 'Mt:05', 'contradiction', 'Req(T):04', 'Req(T):05']"
1,talk,8,1,3,3:えー、占い師の結果の矛盾が話題に上がってますが、ぼくは占い師じゃないし、占い結果を知らないですよぅ！,['Fact[03]:not(占い師)']
1,talk,9,1,2,2:Agent[04]とAgent[05]、もっと詳しく説明してくれない？,"['Mt:04', 'Mt:05', 'Req(T):04', 'Req(T):05']"
1,talk,10,2,5,5:よし、ワイの占いの結果についてもう一度説明するです！,['Other']
1,talk,10,2,5,5:昨夜ワイが占ったのはAgent[04]で、その結果、白判定ということがわかったです。,['DivT[05]:04->白']
1,talk,10,2,5,5:Agent[04]は人狼ではないと思うです。,['Est[05]:04->not(人狼)']
1,talk,10,2,5,5:Agent[04]さんの占い結果は偽物ですね。,['Dis:04（DivT[04]:05->黒）']
1,talk,11,2,1,1:Agent[05]よ、汝がAgent[04]を白判定としたのは理解した。,"['Mt:05', 'Agr:05（DivT[05]:04->白）']"
1,talk,11,2,1,1:しかし、Agent[04]が我を人狼と占ったことが疑わしい。,['Sus:04']
1,talk,11,2,1,1:どちらかが偽りをついているのだ。,"['XorEst:(04,05)->(not(偽物)⇔偽物)']"
