date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:皆、私は村人だよ。,['CO[01]:村人']
1,talk,0,0,1,1:互いの意見や推理を共有して、情報を集めることができるから、怪しいと思う点や人狼の可能性を指摘してくれ。,['Req(Discuss)']
1,talk,1,0,2,2:俺は占い師やで。,['CO[02]:占い師']
1,talk,1,0,2,2:占いの結果、Agent[01]は人狼やった。,['DivT[02]:01->黒']
1,talk,2,0,4,4:>>Agent[02] それ本当？,['Mt:02']
1,talk,2,0,4,4:Agent[03]の意見も聞こう。,['Req(T):03']
1,talk,3,0,3,3:ぼくは占い師ですよぅ！,['CO[03]:占い師']
2,talk,1,0,3,3:ぼくは占い師ですよぅ！,['CO[03]:占い師']
1,talk,3,0,3,3:ぼくが占った結果、Agent[01]は人狼でしたよぅ！,['DivT[03]:01->黒']
1,talk,4,0,5,5:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,5,1,1,1:申し訳ないけど、ちょっと意見がある。,['Other']
1,talk,5,1,1,1:この場の雰囲気を見て、誰が怪しいか考えよう。,['Req(Discuss)']
1,talk,5,1,1,1:みんなの言動をしっかり注視するべきだよ。,['Other']
1,talk,6,1,2,2:俺が占い師やと主張してるのに、Agent[01]とAgent[03]の両方が俺を人狼に仕立て上げようとしてるんは不自然に思える。,"['Dis:01（CO[01]:村人）,Dis:03（CO[03]:占い師）']"
1,talk,6,1,2,2:どちらかが嘘をついてると考えるべきやろ。,"['XorEst:(01,03)->(not(占い師)⇔not(占い師))']"
1,talk,7,1,4,4:>>Agent[05] 協力して意見をまとめよう。,['Mt:05']
1,talk,7,1,4,4:まずは占い師判断を。,['Req(CO):占い師']
1,talk,8,1,3,3:>>Agent[04] 占い師の判断として、Agent[02]は人狼ではありませんよぅ！,['Fact[03]:02->not(人狼)']
1,talk,9,1,5,5:Agent[01]に対する占い結果が二つあり、どちらも人狼であるとされている。,['Other']
1,talk,9,1,5,5:だが、占い師が二人いるはずがない。,['Other']
1,talk,9,1,5,5:Agent[02]とAgent[03]、どちらが真の占い師か、その証拠を示せ。,"['Mt:02,Mt:03,Req(CO):占い師']"
1,talk,10,2,1,1:みんな、今日の進行を見てると、Agent[05]の発言は明らかに怪しいよ。,['Sus:05']
1,talk,10,2,1,1:特に、意見を聞くことばかり強調して、具体的な推理を出さないのは逃げの姿勢だよね。,['Sus:05']
1,talk,10,2,1,1:村人としての責任を全うしていないように見えるから、ここでAgent[05]を追放することが村の安全につながると思うんだ。,['Est[01]:05->not(村人)']
1,talk,10,2,1,1:今日の投票では、Agent[05]を支持しよう！,['Vote[01]:05']
