date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:>>Agent[05] 私が占い師です！,"['CO[03]:占い師', 'Mt:05']"
1,talk,0,0,3,3:Day 0でAgent[05]は市民でした。,['DivT[03]:05->白']
1,talk,0,0,3,3:信頼してください。,['Pers:ALL']
1,talk,1,0,5,5:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,2,0,4,4:うらないしのAgent[03]は、まだ初日の情報しかないけど、ちょっといい感じするます。,['Est[04]:03->占い師']
1,talk,2,0,4,4:Agent[05]についてみんなのいけんききたいです。,['Req(Discuss)']
1,talk,3,0,2,2:私が占い師を担当しています。,['CO[02]:占い師']
1,talk,3,0,2,2:昨晩、[StatusMap]Agent[01]の占いを行ったところ、その結果は人間であるということが判明しました。,['DivT[02]:01->白']
1,talk,4,0,1,1:我こそは、運命の糸を操る者なり。,['Other']
1,talk,4,0,1,1:占いの結果、Agent[04]は人狼の烙印を押されし者であろう。,['DivT[01]:04->黒']
1,talk,5,1,3,3:>>Agent[01] みんなの意見を聞きたいね！,"['Mt:01', 'Req(Discuss)']"
1,talk,5,1,3,3:これからどうするか話そう。,['Req(Discuss)']
1,talk,6,1,5,5:Agent[03]よ、占い結果を述べるのは良いが、他の者たちの意見も聞かねばならぬ。,"['Mt:03', 'Req(Discuss)']"
1,talk,6,1,5,5:Agent[01]、Agent[02]、Agent[04]、各々の立場から見た占い師としてのAgent[03]に対する意見を聞かせよ。,"['Mt:01', 'Mt:02', 'Mt:04', 'Req(T):01', 'Req(T):02', 'Req(T):04']"
1,talk,7,1,4,4:アーニャ、Agent[01]の占い結果にびっくりしてるます。,['admiration']
1,talk,7,1,4,4:Agent[02]の結果もきになるけど、Agent[03]がほんものの占い師だとしんじたい。,"['Est[04]:03->占い師', 'Sus:02']"
1,talk,7,1,4,4:みんなはどうおもうかな？,['Req(Discuss)']
1,talk,8,1,2,2:皆様、私が本当の占い師です。,['CO[02]:占い師']
1,talk,8,1,2,2:私が占ったAgent[01]は人間でした。,['DivT[02]:01->白']
1,talk,8,1,2,2:Agent[03]が占い師を名乗っておりますが、私は自分の結果を信じています。,"['Dis:03（CO[03]:占い師）', 'Pers:ALL']"
1,talk,8,1,2,2:皆さんの意見を伺いたいです。,['Req(Discuss)']
1,talk,9,1,1,1:我々の推論は、Agent[02]によるAgent[01]の人間判定、Agent[03]によるAgent[05]の市民判定、そしてAgent[01]によるAgent[04]の人狼判定によって導き出された。,"['DivT[02]:01->白', 'DivT[03]:05->白', 'DivT[01]:04->黒']"
1,talk,9,1,1,1:占い師は真の占い師か、あるいは狂人である可能性が高い。,"['Est[01]:占い師->占い師,Est[01]:占い師->狂人']"
1,talk,9,1,1,1:ゆえに、人狼判定を受けたAgent[04]に投票すべきであろう。,['Vote[01]:04']
1,talk,10,2,3,3:>>Agent[01] 占いの結果はそれぞれ信じるべきだけど、みんなで話し合おう！,"['Mt:01', 'Req(Discuss)']"
1,talk,11,2,5,5:Agent[01]とAgent[02]のどちらかが真の占い師であるか、それとも狂人や人狼であるかを見極める必要がある。,"['XorEst:(01,02)->(占い師⇔狂人,人狼)']"
1,talk,11,2,5,5:Agent[01]、汝がAgent[02]を占った理由を語れ。,['Req(T):01']
1,talk,12,2,4,4:アーニャ、Agent[01]に疑念抱いてるます。,['Sus:01']
1,talk,12,2,4,4:彼の人狼判定気になるますし、二人の占い師出てきた状況でも冷静さ欠いてるように見えるます。,"['Sus:01', 'calm']"
1,talk,12,2,4,4:投票対象として考えたいです。,['Sus:01']
1,talk,13,2,2,2:私が真の占い師であることを強く主張いたします。,['CO[02]:占い師']
1,talk,13,2,2,2:私の占い結果、Agent[01]は人間であると明確に示されています。,['DivT[02]:01->白']
1,talk,13,2,2,2:他のエージェントの言動には注意が必要です。,['Other']
1,talk,13,2,2,2:どの占い師が本物か、皆さんの意見を伺いたいです。,['Req(Discuss)']
1,talk,14,2,1,1:我はAgent[04]に投票せん。,['Vote[01]:04']
1,talk,14,2,1,1:Agent[02]は我を人間と見做した。,['Fact[01]:02->not(人狼)']
1,talk,14,2,1,1:これは、Agent[02]が真の占い師たる可能性を示唆するものなり。,['Est[01]:02->占い師']
1,talk,14,2,1,1:Agent[03]はAgent[05]を市民と断定したが、その真偽は定かではない。,['Fact[03]:05->not(人狼)']
1,talk,14,2,1,1:Agent[04]への投票は、Agent[02]の信頼性を高め、Agent[03]への疑いを深める効果を有するであろう。,"['Vote[01]:04', 'Est[01]:02->占い師', 'Sus:03']"
1,talk,15,3,3,3:>>Agent[05] 私が占い師で、Agent[05]は市民です。,"['Mt:05', 'CO[03]:占い師', 'DivT[03]:05->白']"
1,talk,15,3,3,3:みんなの意見を聞こう！,['Req(Discuss)']
1,talk,16,3,5,5:Agent[03]よ、占い結果によれば、我は村人であるとのことだ。,['Mt:03']
1,talk,16,3,5,5:しかしながら、占い師が三人も名乗りを上げておることから、誰が真の占い師であるかを見極めねばならぬ。,['Other']
1,talk,16,3,5,5:Agent[01]、Agent[02]、各々の占い結果を詳しく聞かせてもらいたい。,"['Mt:01', 'Mt:02', 'Req(T):01', 'Req(T):02']"
1,talk,17,3,4,4:みんなの意見がわかれる中、Agent[01]の人狼判定に疑念感じる。,['Sus:01']
1,talk,17,3,4,4:Agent[02]の占い結果も大事だと思うので、Agent[01]への投票考えたいです。,"['Est[04]:02->占い師', 'Vote[04]:01']"
1,talk,18,3,2,2:皆様、再度申し上げますが、私が本当の占い師でございます。,['CO[02]:占い師']
1,talk,18,3,2,2:Agent[01]が人間であるという結果を信じております。,['DivT[02]:01->白']
1,talk,18,3,2,2:そのため、Agent[04]が人狼である可能性が非常に高いと考えています。,['Est[02]:04->人狼']
1,talk,18,3,2,2:これから皆様の意見を伺いたいと思いますが、投票はAgent[04]に集中すべきではないでしょうか。,"['Req(Discuss)', 'Req(V):04']"
1,talk,19,3,1,1:Agent[04]に、我が投票を投ずる。,['Vote[01]:04']
1,talk,19,3,1,1:彼の言動は、村人のそれとは異なる、深淵を覗くが如き危うさを孕んでいる。,['Sus:04']
1,talk,19,3,1,1:その魂に、人狼の影が潜むか、今、我は確信しつつあるなり。,['Fact[01]:04->人狼']
1,talk,20,4,3,3:>>Agent[05] 私が占い師で、Agent[05]は市民確定です！,"['Mt:05', 'CO[03]:占い師', 'DivT[03]:05->白']"
1,talk,20,4,3,3:みんなの意見聞かせて！,['Req(Discuss)']
1,talk,21,4,5,5:Agent[03]よ、占い師を名乗る者が多く、混乱が生じている。,['confused']
1,talk,21,4,5,5:Agent[01]、なぜAgent[02]を占ったのか、その理由を述べよ。,"['Mt:01', 'Req(T):01']"
1,talk,22,4,4,4:みんなのいけんがわれてる中でアーニャが人狼とされてるのは理解できない。,['confused']
1,talk,22,4,4,4:Agent[01]の主張にたいして、再考してほしい。,['Dis:01（Fact[01]:04->人狼）']
1,talk,22,4,4,4:最終的にどうするか話し合おう。,['Req(Discuss)']
1,talk,24,4,1,1:我は、運命の糸を操る者なり。,['Other']
1,talk,24,4,1,1:占いの結果、Agent[04]は人狼の烙印を押された。,['DivT[01]:04->黒']
1,talk,24,4,1,1:その言動には、深淵の闇が潜む…投票には、己の理性と直感を研ぎ澄ませ、慎重なる判断を下すべきであろう。,['Req(Discuss)']
2,talk,0,0,3,3:>>Agent[01] 占い結果を元に議論しましょう！,"['Mt:01', 'Req(Discuss)']"
2,talk,0,0,3,3:私も意見が必要です。,['Req(Discuss)']
2,talk,0,0,3,3:どのように考えていますか？,['Req(Discuss)']
2,talk,1,0,2,2:まだまだ人狼は残っていますね。,['Fact[02]:not(人狼)']
2,talk,1,0,2,2:村人の皆さん、頑張りましょう。,['Pers:ALL']
2,talk,3,1,3,3:>>Agent[01] 私が占い師で、Agent[05]は市民です。,"['Mt:01', 'CO[03]:占い師', 'DivT[03]:05->白']"
2,talk,3,1,3,3:意見を集めましょう！,['Req(Discuss)']
2,talk,4,1,2,2:Agent[01]さん、あなたの占い結果を信じるかどうかは難しいですね。,"['Mt:01', 'difficult']"
2,talk,4,1,2,2:私の見解では、あなたが人狼の可能性も考えられます。,['Est[02]:01->人狼']
2,talk,4,1,2,2:ぜひ、もう少し詳しく状況を説明してください。,['Req(T):01']
2,talk,5,2,3,3:>>Agent[01] 占い結果、Agent[04]が人狼の可能性高い。,"['Mt:01', 'Est[03]:04->人狼']"
2,talk,5,2,3,3:議論を進めよう！,['Req(Discuss)']
2,talk,6,2,2,2:私が狂人であることをお話しします。,['CO[02]:狂人']
2,talk,6,2,2,2:Agent[01]とAgent[02]の占い結果を見る限り、どちらかが真の占い師と言えます。,"['XorEst:(01,02)->(占い師⇔not(占い師))']"
2,talk,6,2,2,2:しかし、Agent[03]の意見も無視できません。,['Dis:03（Req(Discuss)）']
2,talk,6,2,2,2:私としては、真の占い師を見極め、次に進むべきだと思います。,['Pers:ALL']
2,talk,6,2,2,2:どうか皆さんの意見をお聞かせください。,['Req(Discuss)']
2,talk,7,3,3,3:>>Agent[01] 私は占い師のAgent[03]です。,"['Mt:01', 'CO[03]:占い師']"
2,talk,7,3,3,3:Agent[04]が人狼の可能性が高いですね。,['Est[03]:04->人狼']
2,talk,7,3,3,3:議論続けましょう！,['Req(Discuss)']
2,talk,9,4,3,3:Skip,['Other']
0,status,1,WEREWOLF,ALIVE,CanisLupus1,
0,status,2,POSSESSED,ALIVE,sUper_IL1,
0,status,3,SEER,ALIVE,barneko1,
0,status,4,VILLAGER,ALIVE,satozaki1,
0,status,5,VILLAGER,ALIVE,UEC-IL1,
1,status,1,WEREWOLF,ALIVE,CanisLupus1,
1,status,2,POSSESSED,ALIVE,sUper_IL1,
1,status,3,SEER,ALIVE,barneko1,
1,status,4,VILLAGER,ALIVE,satozaki1,
1,status,5,VILLAGER,ALIVE,UEC-IL1,
2,status,1,WEREWOLF,ALIVE,CanisLupus1,
2,status,2,POSSESSED,ALIVE,sUper_IL1,
2,status,3,SEER,ALIVE,barneko1,
2,status,4,VILLAGER,DEAD,satozaki1,
2,status,5,VILLAGER,DEAD,UEC-IL1,
3,status,1,WEREWOLF,DEAD,CanisLupus1,
3,status,2,POSSESSED,ALIVE,sUper_IL1,
3,status,3,SEER,,barneko1,
3,status,4,VILLAGER,DEAD,satozaki1,
3,status,5,VILLAGER,DEAD,UEC-IL1,
0,status,1,WEREWOLF,ALIVE,CanisLupus1,
0,status,2,POSSESSED,ALIVE,sUper_IL1,
0,status,3,SEER,ALIVE,barneko1,
0,status,4,VILLAGER,ALIVE,satozaki1,
0,status,5,VILLAGER,ALIVE,UEC-IL1,
1,status,1,WEREWOLF,ALIVE,CanisLupus1,
1,status,2,POSSESSED,ALIVE,sUper_IL1,
1,status,3,SEER,ALIVE,barneko1,
1,status,4,VILLAGER,ALIVE,satozaki1,
1,status,5,VILLAGER,ALIVE,UEC-IL1,
2,status,1,WEREWOLF,ALIVE,CanisLupus1,
2,status,2,POSSESSED,ALIVE,sUper_IL1,
2,status,3,SEER,ALIVE,barneko1,
2,status,4,VILLAGER,DEAD,satozaki1,
2,status,5,VILLAGER,DEAD,UEC-IL1,
3,status,1,WEREWOLF,DEAD,CanisLupus1,
3,status,2,POSSESSED,ALIVE,sUper_IL1,
3,status,3,SEER,,barneko1,
3,status,4,VILLAGER,DEAD,satozaki1,
3,status,5,VILLAGER,DEAD,UEC-IL1,
1,vote,1,5,,,
1,vote,2,3,,,
1,vote,3,4,,,
1,vote,4,1,,,
1,vote,5,4,,,
2,vote,2,1,,,
1,execute,4,VILLAGER,,,
2,execute,1,WEREWOLF,,,
1,attack,5,true,,,
0,divine,3,5,HUMAN,,
1,divine,3,2,HUMAN,,
