date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:みんなの意見も聞いてみたいな〜！,['Req(Discuss)']
1,talk,1,0,2,2:皆さん、わしの占い結果を報告するよ。,['CO[02]:占い師']
1,talk,1,0,2,2:昨夜はAgent[04]を占ったんだが、Agent[04]は白（村人）だと判明したよ。,['DivT[02]:04->白']
1,talk,1,0,2,2:これについて何か意見あるかな？,['Req(Discuss)']
1,talk,2,0,3,3:ワシは占い師やで。,['CO[03]:占い師']
1,talk,2,0,3,3:占いの結果、Agent[01]は人狼じゃった。,['DivT[03]:01->人狼']
1,talk,3,0,4,4:村人として生まれて、すみません。,['CO[04]:村人']
1,talk,3,0,4,4:情報はないので、皆さんのサポートが必要です。,['Pers:ALL']
1,talk,4,0,5,5:我は今、混沌の渦中に立たされている。,['confused']
1,talk,4,0,5,5:Agent[02]、Agent[03]、両者とも占い師の仮面を被り、その真の姿を隠しているのだ。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,4,0,5,5:果たしてどちらが真の預言者であり、どちらが虚偽の言葉を紡ぐ狂人なのか？,"['XorEst:(02,03)->(占い師⇔狂人)']"
1,talk,4,0,5,5:Agent[03]はAgent[01]を人狼と断定したが、その言葉に真実が宿っているのか、それとも深淵の欺瞞なのか？,['Fact[03]:01->人狼']
1,talk,4,0,5,5:答えを見出すためには、己の理性と直感を研ぎ澄まし、迷宮の奥底へと分け入らねばならない。,['Other']
1,talk,5,1,1,1:Agent[02]とAgent[03]はどう思う？,"['Req(T):02', 'Req(T):03']"
1,talk,5,1,1,1:特に怪しい人いる？,['Req(Discuss)']
1,talk,5,1,1,1:僕はまだ誰が怪しいかピンと来てないんだけど、誰か意見ある？,['difficult']
1,talk,6,1,2,2:>>Agent[01]わしが本物の占い師じゃから、Agent[03]が偽者じゃ。,['Mt:01']
1,talk,6,1,2,2:わしがAgent[04]を占って白と出た。,['DivT[02]:04->白']
1,talk,6,1,2,2:なので、Agent[01]かAgent[03]が怪しいと思うんじゃ。,"['Sus:01', 'Sus:03']"
1,talk,6,1,2,2:さっきのプレイヤーの発言からすると、Agent[03]が嘘をついている可能性が高いと思うんじゃが、みんなはどう思うかの?,"['Sus:03', 'Est[02]:03->not(占い師)', 'Req(Discuss)']"
1,talk,7,1,3,3:Agent[02]が本物の占い師だと主張するなら、ワシの結果を信じてもらうのは難しいかもしれん。,"['Est[03]:02->占い師', 'difficult']"
1,talk,7,1,3,3:しかし、ワシが意味する情報こそ重要なんじゃ。,['Pers:ALL']
1,talk,7,1,3,3:投票はAgent[01]にしましょうやで。,['Vote[03]:01']
1,talk,8,1,4,4:まずは、Agent[03]が言っていることの信憑性を考えたいです。,['Est[04]:03->not(村人)']
1,talk,8,1,4,4:Agent[01]が本当に人狼なのか、他の意見を聞いてみたいですね。,['Req(Discuss)']
1,talk,8,1,4,4:みんなはどう思いますか？,['Req(Discuss)']
1,talk,9,1,5,5:我は断言する、Agent[02]の白判定、そしてAgent[03]によるAgent[01]への人狼判定。,"['Fact[05]:02->not(人狼)', 'Fact[05]:03->01->人狼']"
1,talk,9,1,5,5:これは深淵なる運命の糸が織りなす、混沌の序章なり。,['Other']
1,talk,9,1,5,5:占い師の正体は真の占い師か、それとも狂人の欺瞞か。,"['XorEst:(02,03)->(占い師⇔狂人)']"
1,talk,9,1,5,5:その真偽は定かではないが、人狼判定を受けたAgent[01]への投票こそ、我々の進むべき道であろう。,['Vote[05]:01']
1,talk,10,2,1,1:え？,['admiration']
1,talk,15,3,1,1:え？,['admiration']
1,talk,10,2,1,1:僕が人狼だって？,"['Sus:03', 'Dis:03（Fact[05]:03->01->人狼）']"
1,talk,15,3,1,1:僕が人狼だって？,"['Sus:03', 'Dis:03（Fact[05]:03->01->人狼）']"
1,talk,10,2,1,1:それは絶対に違うよ！,['Fact[01]:01->not(人狼)']
1,talk,10,2,1,1:Agent[03]が僕を人狼だって言ってるけど、それは嘘だよ。,['Dis:03（Fact[05]:03->01->人狼）']
1,talk,10,2,1,1:占い師が人狼か狂人の可能性が高いと思うんだ。,"['Est[01]:03->人狼', 'Est[01]:03->狂人']"
1,talk,10,2,1,1:みんな、冷静に考えてみて！,['calm']
1,talk,10,2,1,1:僕はただ村を守りたいだけなんだから、そんな嘘をつく理由がないよね。,['Pers:ALL']
1,talk,10,2,1,1:Agent[03]の言ってることには気をつけた方がいいよ、本当の占い師かどうかも怪しいし、もしかしたら狂人かもしれないからね！,"['Sus:03', 'Est[01]:03->not(占い師)', 'Est[01]:03->狂人']"
1,talk,11,2,2,2:わしが本物の占い師として、わしの占い結果であるAgent[04]が村人であることを信じてもらいたいんじゃ。,"['CO[02]:占い師', 'DivT[02]:04->白', 'Pers:ALL']"
1,talk,11,2,2,2:Agent[03]が偽の占い師である可能性が高いとわしは考えとる。,['Est[02]:03->not(占い師)']
1,talk,11,2,2,2:Agent[01]が人狼というのも信じがたい。,[['Est[02]:01->not(人狼)']]
1,talk,11,2,2,2:ほかの皆はどう思うかね?,[['Req(Discuss)']]
1,talk,12,2,3,3:冷静に考えてほしい。,[['calm']]
1,talk,12,2,3,3:Agent[02]は自分が本物の占い師と主張するが、ワシの結果を無視している。,[['Dis:02（CO[02]:占い師）']]
1,talk,12,2,3,3:投票はAgent[01]にするべきじゃろうと思う。,[['Vote[03]:01']]
1,talk,13,2,4,4:みなさん、意見を集めるのが大事だと思います。,[['Req(Discuss)']]
1,talk,13,2,4,4:Agent[01]が怪しいかどうか意見が分かれてるので、しっかり話し合いたいです。,[['Req(Discuss)']]
1,talk,13,2,4,4:どちらの占い師の結果を信じるかが重要ですね。,[['Other']]
1,talk,13,2,4,4:私たちの投票が勝負の分かれ目になりそうです。,[['Other']]
1,talk,14,2,5,5:我はAgent[01]に投票せん。,[['Vote[05]:not(01)']]
1,talk,14,2,5,5:Agent[03]の占い結果が真実ならば、Agent[01]は人狼たる可能性が高いであろう。,[['Est[05]:01->人狼']]
1,talk,14,2,5,5:Agent[02]はAgent[04]を白判定し、その結果を信じる根拠も充分なり。,[['DivT[02]:04->白']]
1,talk,14,2,5,5:Agent[01]は強く反論するも、その主張には根拠が不足していると感じざるを得ぬ。,[['Dis:01（Fact[01]:not(人狼)）']]
1,talk,10,2,1,1:え？,[['admiration']]
1,talk,15,3,1,1:え？,[['admiration']]
1,talk,10,2,1,1:僕が人狼だって？,[['Est[01]:not(人狼)']]
1,talk,15,3,1,1:僕が人狼だって？,[['Est[01]:not(人狼)']]
1,talk,15,3,1,1:全然違うよ！,[['Fact[01]:not(人狼)']]
1,talk,15,3,1,1:Agent[03]が言ってることは信じない方がいい。,[['Dis:03（Est[03]:01->人狼）']]
1,talk,15,3,1,1:どう考えてもおかしいよね。,[['Dis:03（Est[03]:01->人狼）']]
1,talk,15,3,1,1:Agent[02]が占い師で、Agent[04]が白だって言ってるのに、なんでAgent[03]が僕を人狼だって言えるの？,[['Dis:03（Est[03]:01->人狼）']]
1,talk,15,3,1,1:明らかにAgent[03]が怪しいよ。,[['Sus:03']]
1,talk,15,3,1,1:Agent[03]が狂人かもしれないし、もしかしたら人狼かもしれない。,"[['Est[01]:03->狂人', 'Est[01]:03->人狼']]"
1,talk,15,3,1,1:みんな、ちゃんと考えてみようよ！,[['Req(Discuss)']]
1,talk,16,3,2,2:わしが占い師として結果を出しておる。,[['CO[02]:占い師']]
1,talk,16,3,2,2:このゲームでは占い師は1人じゃから、Agent[03]か、わし、どちらかが偽物なんじゃ。,"[['XorEst:(03,02)->(占い師⇔not(占い師))']]"
1,talk,16,3,2,2:つまり、Agent[03]が占い師を名乗るのは怪しい。,[['Sus:03']]
1,talk,16,3,2,2:投票先としては、わしの信頼する結果に基づいて、Agent[03]に投票したいと思うんじゃ。,[['Vote[02]:03']]
1,talk,16,3,2,2:理由はわしの結果の方が村を守るために重要じゃと思っておる。,[['Pers:ALL']]
1,talk,16,3,2,2:みんなはどう思う?,[['Req(Discuss)']]
1,talk,17,3,3,3:>>Agent[01] まだ投票先を宣言してないようじゃが、誰に投票しようと考えとるんかい？,"[['Mt:01', 'Req(T):01']]"
1,talk,18,3,4,4:みんな、Agent[02]の占い結果を信じるなら、Agent[03]に投票した方がいいと思うよ。,"[['Pers:ALL', 'Req(V):03']]"
1,talk,18,3,4,4:どちらが本物の占い師か判断するのが大事だね。,[['Other']]
1,talk,18,3,4,4:他の意見も聞きたいけど、どうする？,[['Req(Discuss)']]
1,talk,19,3,5,5:我はAgent[03]に投票せん。,[['Vote[05]:not(03)']]
1,talk,24,4,5,5:我はAgent[03]に投票せん。,[['Vote[05]:not(03)']]
1,talk,19,3,5,5:Agent[03]はAgent[01]を人狼と断定したれど、その根拠は脆弱なり。,[['Dis:03（Fact[03]:01->人狼）']]
1,talk,19,3,5,5:Agent[02]はAgent[04]を白判定し、その結果を信じるが至当であろう。,[['Agr:02（DivT[02]:04->白）']]
1,talk,20,4,1,1:ちょっと待って！,[['Wait']]
1,talk,20,4,1,1:Agent[03]が僕を人狼だって言ってるけど、それは完全に間違ってるよ。,[['Dis:03（Fact[03]:01->人狼）']]
1,talk,20,4,1,1:僕は村人で、村を守りたいだけなんだ。,[['CO[01]:村人']]
1,talk,20,4,1,1:Agent[02]が本物の占い師だと言ってるから、Agent[03]の言ってることは信じない方がいい。,"[['Agr:02（CO[02]:占い師）', 'Dis:03']]"
1,talk,20,4,1,1:Agent[03]が狂人かもしれないし、僕を陥れようとしてるかもしれないからね。,"[['Est[01]:03->狂人', 'Sus:03']]"
1,talk,20,4,1,1:みんな、もう一度よく考えてみて！,['Req(Discuss)']
1,talk,20,4,1,1:僕は村を助けるために全力を尽くしてるんだから、信じてほしいな。,['Pers:ALL']
1,talk,21,4,2,2:占い師が2人いるのはおかしいじゃろう。,['Other']
1,talk,21,4,2,2:わしが本物の占い師である以上、Agent[03]が嘘をついておるんじゃ。,"['CO[02]:占い師', 'Dis:03（CO[03]:占い師）']"
1,talk,21,4,2,2:Agent[03]が人狼か狂人かは分からんが、偽占い師じゃと考えて投票した方が良いと思うんじゃが、どうじゃろうか?,"['Sus:03', 'Est[02]:03->人狼', 'Est[02]:03->狂人', 'Est[02]:03->not(占い師)', 'Vote[02]:03']"
1,talk,22,4,3,3:みんなの意見が分かれているのは理解しとるが、冷静に考えて、ワシは本物の占い師じゃ。,"['calm', 'CO[03]:占い師']"
1,talk,22,4,3,3:投票はAgent[02]にすべきじゃと思う。,['Vote[03]:02']
1,talk,22,4,3,3:彼の結果が信頼できるけぇな。,['Dis:02（CO[02]:占い師）']
1,talk,19,3,5,5:我はAgent[03]に投票せん。,['Vote[05]:not(03)']
1,talk,24,4,5,5:我はAgent[03]に投票せん。,['Vote[05]:not(03)']
1,talk,24,4,5,5:Agent[03]はAgent[01]を人狼と断定したれど、その根拠は霧の中に消え失せたるかの如し。,['Dis:03（Fact[03]:01->人狼）']
1,talk,24,4,5,5:Agent[02]はAgent[04]を白と断定し、その結果は真実の光を放つであろう。,['Fact[02]:04->not(人狼)']
1,talk,24,4,5,5:ゆえにAgent[03]は狂人か人狼のいずれか、その可能性は高く、疑念の渦に飲み込まれし者なり。,"['Est[05]:03->狂人', 'Est[05]:03->人狼', 'Sus:03']"
2,talk,0,0,5,5:我こそは、夜闇に潜む人狼なり。,['CO[05]:人狼']
2,talk,0,0,5,5:汝ら狂人よ、我が手に導かれし運命を受け入れ、残る村人を断罪せんとするがよい。,"['Mt:ALL', 'Pers:ALL']"
2,talk,1,0,4,4:まだまだゲームは終わりませんね。,['Other']
2,talk,1,0,4,4:皆さん、誰が人狼だと思いますか？,['Req(Discuss)']
2,talk,2,0,1,1:Agent[03]に投票しようと思ってるよ。,['Vote[01]:03']
2,talk,2,0,1,1:Agent[02]が本物の占い師だと思うし、Agent[03]の占い結果は信じがたいんだ。,"['Est[01]:02->占い師', 'Dis:03（DivT[03]:XX->YY）']"
2,talk,2,0,1,1:Agent[03]が狂人かもしれないし、もしかしたら人狼かもしれないからね。,"['Est[01]:03->狂人', 'Est[01]:03->人狼']"
2,talk,2,0,1,1:みんなもよく考えて、正しい選択をしてほしいな。,['Pers:ALL']
2,talk,3,1,5,5:我は今や、深淵なる混沌の渦中にあり、Agent[02]とAgent[03]なる者、いずれも占い師を僭称する者なり。,"['Mt:02', 'Mt:03', 'Dis:02（CO[02]:占い師）', 'Dis:03（CO[03]:占い師）']"
2,talk,3,1,5,5:然し、その真偽は闇夜に紛れて見えざるもの。,['difficult']
2,talk,3,1,5,5:いずれか一方は偽物の占い師であることは疑いようもなし。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
2,talk,3,1,5,5:この混沌を解き明かすべく、Agent[01]、汝に問わん。,['Req(T):01']
2,talk,3,1,5,5:昨日のAgent[03]の占い結果について、汝は何を思うか？,['Req(T):01']
2,talk,4,1,4,4:そういうことなら、私たちは協力してあなたを追放しましょう。,"['Pers:ALL', 'Vote[04]:05']"
2,talk,4,1,4,4:あなたが人狼であることは明白です。,['Fact[04]:05->人狼']
2,talk,5,1,1,1:Agent[05]が自分が人狼だって言ってるけど、それって冗談かな？,['Sus:05']
2,talk,5,1,1,1:それとも何か戦略？,['confused']
2,talk,5,1,1,1:でも、まぁ、今はそれを考えるより、今日の投票に集中した方がいいよね。,['Pers:ALL']
2,talk,5,1,1,1:Agent[02]もAgent[03]も人狼か狂人の可能性があるから、どちらかに票を集めるべきだと思うな。,"['Est[01]:02->人狼', 'Est[01]:02->狂人', 'Est[01]:03->人狼', 'Est[01]:03->狂人', 'Req(V):02', 'Req(V):03']"
