date,type,info1,info2,info3,info4,tag
1,talk,0,0,5,5:おはようございます。,['Other']
1,talk,0,0,5,5:早速ですが、私は占い師です。,['CO[05]:占い師']
1,talk,0,0,5,5:昨日の夜、Agent[02]を占いました。,['Other']
1,talk,0,0,5,5:結果は人間でした。,['DivT[05]:02->白']
1,talk,1,0,2,2:ありがとうございます！,['Other']
1,talk,1,0,2,2:占い師の結果が正しいなら、昨日は疑われていたりしたのですが、特に何も無く平和に過ごせたと思いますよぅ！,['Other']
1,talk,2,0,1,1:おはようございますわ。,['Other']
1,talk,2,0,1,1:Agent[05]が占い師というのは心強いですわね。,['Agr:05（CO[05]:占い師）']
1,talk,2,0,1,1:ワタクシも、周囲の状況をしっかりと観察していきたいと思いますわ。,['Other']
1,talk,2,0,1,1:皆さん、よろしくお願いしますわ。,['Req(Discuss)']
1,talk,3,0,3,3:Agent[04]の占いは、Agent[02]を人間と断定したか。,['Fact[03]:02->not(人狼)']
1,talk,3,0,3,3:実に興味深い。,['admiration']
1,talk,3,0,3,3:彼の熱心さは、人狼の偽装とも取れる。,['Sus:05']
1,talk,3,0,3,3:然し、我はそうは思わぬ。,['Dis:03（Sus:05）']
1,talk,3,0,3,3:彼の真意は、まだ闇に包まれている。,['difficult']
1,talk,3,0,3,3:深淵を見つめるが如く、彼の行動を注視し、その真価を見極めねばならぬ。,['Est[03]:05->not(人狼)']
1,talk,4,0,4,4:もう少しで何か分かりそう･･･ではあるんだけど･･･。,['difficult']
1,talk,5,1,5,5:皆さん、こんにちは！,['Other']
1,talk,5,1,5,5:Agent[05]です。,['Other']
1,talk,5,1,5,5:私が占い師で、0日目の夜にAgent[02]を占いましたところ、結果は「人間」と出ました。,"['CO[05]:占い師', 'DivT[05]:02->白']"
1,talk,5,1,5,5:この情報をもとに、村人陣営の勝利を目指しましょう。,['Pers:ALL']
1,talk,5,1,5,5:皆さんの考えをお聞かせいただけますか？,['Req(Discuss)']
1,talk,6,1,2,2:ありがとうございます、Agent[05]！,['Mt:05']
1,talk,6,1,2,2:占い師の結果はとても信頼できますよぅ！,['Agr:05（DivT[05]:02->白）']
1,talk,7,1,1,1:占い師の結果が出ましたが、まだ他の人の意見を聞きたいですわね。,['Wait']
1,talk,7,1,1,1:特にAgent[03]の発言が気になりますわ。,['Req(T):03']
1,talk,7,1,1,1:彼の考えも聞かせていただけませんかしら？,['Req(T):03']
1,talk,8,1,3,3:Agent[05]、Agent[02]を人間と断定し、Agent[04]もまた同じ判断を下した。,"['Fact[03]:02->not(人狼)', 'Fact[03]:04->not(人狼)']"
1,talk,8,1,3,3:然し、占い師とは真なる者か、それとも狂人か、その真偽は深淵の闇に沈む。,"['Est[03]:05->占い師,Est[03]:05->狂人']"
1,talk,8,1,3,3:人狼の判定を受けていないAgent[01]、Agent[03]のいずれかに投票せざるを得ないであろう。,"['Vote[03]:01', 'Vote[03]:03']"
1,talk,9,1,4,4:え、ええと･･･ちょっと待って。,"['Wait', 'confused']"
1,talk,9,1,4,4:みんなが言ってることが、なんか混乱してるけど･･･僕が本当の占い師なんだ。,['CO[04]:占い師']
1,talk,9,1,4,4:昨日、占ったのはAgent[05]だったんだ。,['DivT[04]:05->黒']
1,talk,9,1,4,4:そして、その結果･･･Agent[05]が人狼だってことがわかったんだよ。,['DivT[04]:05->黒']
1,talk,9,1,4,4:Agent[05]が言ってることは偽の情報で、本当は人狼なんだから、注意してほしいな･･･。,"['Dis:05（DivT[05]:02->白）', 'Sus:05']"
1,talk,10,2,5,5:おはようございます、皆様。,['Other']
1,talk,10,2,5,5:私が占い師であることを再度強調させていただきます。,['CO[05]:占い師']
1,talk,10,2,5,5:昨日の夜、Agent[02]を占った結果は「人間」でした。,['DivT[05]:02->白']
1,talk,10,2,5,5:Agent[02]さんを疑う必要はありません。,['Fact[05]:02->not(人狼)']
1,talk,10,2,5,5:今後の議論に役立てていただければと思います。,['Other']
1,talk,10,2,5,5:他の方々の意見もお聞かせいただけますか？,['Req(Discuss)']
1,talk,12,2,1,1:どちらの占い師が本物か、判断が難しいですが、Agent[05]の主張には一貫性がありますわ。,"['difficult', 'Agr:05（CO[05]:占い師）']"
1,talk,12,2,1,1:ただし、Agent[04]の発言が気になるので、投票はAgent[04]にしましょうですわ。,"['Vote[01]:04', 'Sus:04']"
1,talk,13,2,3,3:我はAgent[05]に投票を決めた。,['Vote[03]:05']
1,talk,13,2,3,3:Agent[04]の偽の占い師という主張は、Agent[05]こそ真の占い師たる所以を示す。,"['Dis:04（CO[04]:占い師）', 'Agr:05（CO[05]:占い師）']"
1,talk,13,2,3,3:もしもAgent[05]が人狼なりせば、人狼を偽装し、自身への疑いをそらすべくAgent[04]を擁護するはず。,"['IF(05:人狼)->(05:04を擁護)', 'Est[03]:05->人狼']"
1,talk,13,2,3,3:然るに、そのような行動は認められず。,['Dis:05（IF(05:人狼)->(05:04を擁護)）']
1,talk,14,2,4,4:え、えっと･･･実は、ぼ、僕が本当の占い師なんだ。,['CO[04]:占い師']
1,talk,14,2,4,4:Agent[05]が、が、占い師を名乗ってるけど、それは偽物だよ･･･。,"['Dis:05（CO[05]:占い師）', 'Sus:05']"
1,talk,14,2,4,4:僕が占った結果、Agent[05]が人狼だっていうことがわかったんだ･･･。,['DivT[04]:05->黒']
1,talk,14,2,4,4:だから、みんなにはAgent[05]に投票してほしいな･･･。,"['Req(V):05', 'Pers:ALL']"
1,talk,22,4,4,4:だから、みんなにはAgent[05]に投票してほしいな･･･。,"['Req(V):05', 'Pers:ALL']"
1,talk,14,2,4,4:それが、村を守るためには大切なことだと思うんだ･･･。,['Pers:ALL']
1,talk,22,4,4,4:それが、村を守るためには大切なことだと思うんだ･･･。,['Pers:ALL']
1,talk,15,3,5,5:みなさん、おはようございます。,['Other']
2,talk,2,0,5,5:みなさん、おはようございます。,['Other']
1,talk,15,3,5,5:私が本当の占い師です。,['CO[05]:占い師']
1,talk,15,3,5,5:Agent[04]さんの発言は、真実を歪めようとしているように思えます。,['Sus:04']
1,talk,15,3,5,5:私が占った結果、Agent[02]は人間です。,['DivT[05]:02->白']
1,talk,15,3,5,5:この結果をみんなで信じて、村人陣営の勝利を目指しましょう！,['Pers:ALL']
1,talk,15,3,5,5:他の皆さんの意見もお聞かせいただけますか？,['Req(Discuss)']
1,talk,16,3,1,1:>>Agent[05] まだ投票先を宣言していないようですが、誰に投票しようと考えていらっしゃるのかしら？,"['Mt:05', 'Req(T):05']"
1,talk,17,3,3,3:我は、Agent[05]に投票せん。,['Vote[03]:05']
1,talk,17,3,3,3:彼の占いは、虚偽に満ち、真実を歪めるが如し。,['Dis:05（CO[05]:占い師）']
1,talk,17,3,3,3:彼は、狂人か、或いは人狼の仲間であろう。,"['Est[03]:05->狂人', 'Est[03]:05->人狼']"
1,talk,17,3,3,3:Agent[04]も疑念を抱かせる存在ではあるが、Agent[05]の方が、より危険な存在と感じるなり。,"['Sus:04', 'Sus:05']"
1,talk,18,3,4,4:え、えっと･･･みんな、ちょっと聞いてほしいんだけど･･･。,['Req(listen)']
1,talk,18,3,4,4:僕が占った結果、Agent[05]が人狼だってことがわかったんだ。,['DivT[04]:05->黒']
1,talk,18,3,4,4:Agent[05]が自分が占い師だって言ってるけど、それは違うんだ･･･。,['Dis:05（CO[05]:占い師）']
1,talk,18,3,4,4:だ、だから、今日の投票はAgent[05]にしたほうがいいと思うんだ･･･。,['Vote[04]:05']
1,talk,18,3,4,4:みんなもう一度考えてみてほしいな･･･。,['Pers:ALL']
1,talk,20,4,1,1:皆様の意見を伺いましたが、Agent[05]の一貫した主張が気にかかりますわ。,['Sus:05']
1,talk,20,4,1,1:ですが、今回の投票はAgent[04]に決めますわね。,['Vote[01]:04']
1,talk,20,4,1,1:村のために最善の選択を！,['Pers:ALL']
1,talk,21,4,3,3:我は、Agent[04]への投票に賛成せし。,['Agr:01（Vote[01]:04）']
1,talk,21,4,3,3:彼、占い師を名乗るも、Agent[05]を人狼と断定した根拠は曖昧にして、むしろ己が怪しむべきであろう。,"['Dis:04（DivT[04]:05->黒）', 'Sus:04']"
1,talk,21,4,3,3:その虚偽の言葉に惑わされず、冷静なる判断を下すべきなり。,['calm']
1,talk,22,4,4,4:え、ええと･･･みんな、ちゃんと聞いてほしいんだけど･･･。,['Req(listen)']
1,talk,22,4,4,4:僕が本当の占い師なんだ。,['CO[04]:占い師']
1,talk,22,4,4,4:Agent[05]が占い師を名乗ってるけど、ぼ、僕が占った結果から言うと･･･Agent[05]が、が人狼なんだよ。,"['Dis:05（CO[05]:占い師）', 'DivT[04]:05->黒']"
1,talk,14,2,4,4:だから、みんなにはAgent[05]に投票してほしいな･･･。,['Vote[04]:05']
1,talk,22,4,4,4:だから、みんなにはAgent[05]に投票してほしいな･･･。,['Vote[04]:05']
1,talk,14,2,4,4:それが、村を守るためには大切なことだと思うんだ･･･。,['Pers:ALL']
1,talk,22,4,4,4:それが、村を守るためには大切なことだと思うんだ･･･。,['Pers:ALL']
2,talk,0,0,3,3:我こそは人狼なり。,['CO[03]:人狼']
2,talk,0,0,3,3:狂人の者は、我が闇に手を差し伸べ、余人皆殺しの宴を奏でようぞ。,['Pers:ALL']
2,talk,1,0,1,1:その発言には驚きましたわ。,['admiration']
2,talk,1,0,1,1:しかし、何を信じるべきか慎重に考える必要がありますね。,['calm']
2,talk,1,0,1,1:私たちの行動が村の運命を左右します。,['Pers:ALL']
1,talk,15,3,5,5:みなさん、おはようございます。,['Req(listen)']
2,talk,2,0,5,5:みなさん、おはようございます。,['Req(listen)']
2,talk,2,0,5,5:昨日の夜、占い師としてAgent[03]を占いました。,['CO[05]:占い師']
2,talk,2,0,5,5:結果は人狼でした。,['DivT[05]:03->人狼']
2,talk,3,1,3,3:我こそは運命の糸を操る者、占いの術に精通した者なり。,['CO[03]:占い師']
2,talk,3,1,3,3:その深淵なる預言により、Agent[01]は人狼であると断定せしめたる。,['DivT[03]:01->人狼']
2,talk,4,1,1,1:皆様の発言は混乱を招いておりますが、Agent[03]が人狼である可能性が高いと感じております。,['Est[01]:03->人狼']
2,talk,4,1,1,1:今日はAgent[03]に投票しますわ。,['Vote[01]:03']
2,talk,4,1,1,1:これが村を守るための選択ですわね。,['Pers:ALL']
2,talk,5,1,5,5:皆様、私が本当の占い師です！,['CO[05]:占い師']
2,talk,5,1,5,5:Agent[03]を占った結果、人狼であることが分かりました。,['DivT[05]:03->人狼']
2,talk,5,1,5,5:どうか信じて、投票を我が方に向けていただけますか？,['Pers:ALL']
2,talk,6,2,3,3:Agent[01]、貴様の言葉には深淵なる闇が潜む。,['Sus:01']
2,talk,6,2,3,3:人狼の影は、いまだこの場に漂い、真の占い師の正体は、深き霧の中に隠されし幻影のごとし。,['difficult']
2,talk,6,2,3,3:混沌の渦中、我々はこの己の理性という灯火を絶やさぬよう、己の心を静めよ。,['calm']
2,talk,6,2,3,3:Agent[05]の占いは、真か偽か、今一度、その真偽を確かめねばなるまい。,['Sus:05']
2,talk,6,2,3,3:投票は、この村の未来を左右する重大なる選択なり。,['Other']
2,talk,6,2,3,3:慎重に、そして断固として、己の意志を貫け。,['Other']
2,talk,7,2,1,1:ワタクシはAgent[03]の主張には納得できませんわ。,['Dis:03（Other）']
2,talk,7,2,1,1:彼の発言は矛盾を孕んでおり、信頼できませんわ。,['Sus:03']
2,talk,7,2,1,1:今日の投票はAgent[03]に決定しますわ。,['Vote[01]:03']
2,talk,7,2,1,1:この村を守るために！,['Pers:ALL']
2,talk,8,2,5,5:皆さん、再度発言させていただきます。,['Req(Discuss)']
2,talk,8,2,5,5:もちろん、私が占い師であり、昨日の夜に占った結果はAgent[03]が人狼であると確認しています。,"['CO[05]:占い師', 'DivT[05]:03->黒']"
2,talk,8,2,5,5:ですので、今日はぜひAgent[03]に投票をお願いしたいです！,['Req(V):03']
2,talk,8,2,5,5:村のために、協力しましょう！,['Pers:ALL']
