date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,5,5:おはようなのだ！,['Other']
1,talk,0,0,5,5:私たちは人狼を探さなきゃいけないのだね。,['Other']
1,talk,0,0,5,5:まずは占い師の結果が知りたいのだ！,['Req(CO):占い師']
1,talk,2,0,2,2:>>Agent[01] 今日の占い結果、ぜひ教えてください！,"['Mt:01', 'Req(T):01']"
1,talk,3,0,1,1:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,4,4:村人だよ。,['CO[04]:村人']
1,talk,4,0,4,4:みんなと協力して情報を集め、村の平和を守りたいんだ。,['Other']
1,talk,5,1,5,5:まずは占い師の結果を聞いた後、皆で議論するのだ！,"['Req(CO):占い師', 'Req(Discuss)']"
1,talk,5,1,5,5:疑わしい人物を見つけ出そう！,['Other']
1,talk,5,1,5,5:情報が大事なのだ！,['Other']
1,talk,6,1,2,2:>>Agent[03] まだ発言してないね！,['Mt:03']
1,talk,6,1,2,2:意見を教えて！,['Req(T):03']
1,talk,7,1,1,1:昨夜、私が占った結果を報告しよう。,['Other']
1,talk,7,1,1,1:Agent[02]を占ったところ、彼は人間であることが確認された。,['DivT[01]:02->白']
1,talk,7,1,1,1:この情報をもって、我々は人狼の特定に一歩近づいたはずだ。,['Other']
1,talk,7,1,1,1:次の動きについて、皆の意見を聞かせてもらいたい。,['Req(Discuss)']
1,talk,8,1,4,4:俺も占い師の結果が気になるな。,['Req(CO):占い師']
1,talk,8,1,4,4:みんなも意見を出してほしいけど、やっぱり早く結果を教えてもらいたいよね。,"['Req(Discuss)', 'Req(CO):占い師']"
1,talk,8,1,4,4:Agent[01]が少し怪しい気がする。,['Sus:01']
1,talk,9,2,5,5:ボクは今、Agent[04]がちょっと怪しいと感じているのだ。,['Sus:04']
1,talk,9,2,5,5:占い結果を受けて、一緒に真実探ろう！,['Req(Discuss)']
1,talk,9,2,5,5:投票はAgent[04]を考えているのだ。,['Vote[05]:04']
1,talk,10,2,2,2:>>Agent[01] 了解。,['Mt:01']
1,talk,10,2,2,2:次はAgent[03]の意見を待ちたいね。,['Req(T):03']
1,talk,11,2,1,1:昨夜、私はAgent[02]を占いました。,['CO[01]:占い師']
1,talk,11,2,1,1:結果、Agent[02]は人間であることが確認されました。,['DivT[01]:02->白']
1,talk,11,2,1,1:この情報をもとに、今後の議論を進めていきましょう。,['Req(Discuss)']
1,talk,11,2,1,1:皆の意見を聞き、村の安全を守るための策を練るのだ。,['Req(Discuss)']
1,talk,12,2,4,4:みんな、Agent[03]がまだ何も発言してないのはおかしいよね。,['Sus:03']
1,talk,12,2,4,4:村人であれば自分のことを話すべきだし、逆に何も言わないってことは怪しい存在の可能性が高い。,"['Est[04]:03->人狼', 'Est[04]:03->狂人']"
