date,type,info1,info2,info3,info4,tag
1,talk,0,0,5,5:みんなの意見も聞いてみたいな〜！,['Req(Discuss)']
1,talk,1,0,1,1:ぼくは占い師ですよぅ！,['CO[01]:占い師']
1,talk,1,0,1,1:ぼくが占った結果、Agent[04]は人間でしたよぅ！,['DivT[01]:04->白']
1,talk,2,0,4,4:Agent[01]の占いは、Agent[04]を人間と断じたるか。,['Fact[04]:01->not(人狼)']
1,talk,2,0,4,4:然るならば、その選択の根拠を明かされよ。,['Req(T):01']
1,talk,2,0,4,4:汝の深淵なる洞察の片鱗を見せ給え。,['Req(T):01']
1,talk,3,0,2,2:>>Agent[05] 俺もAgent[01]を信じてみるよ。,"['Mt:05', 'Pers:01']"
1,talk,3,0,2,2:夜の占い先、みんなで考えよう！,['Req(Discuss)']
1,talk,4,0,3,3:>>Agent[05]うむ、拙者もAgent[01]の占い師宣言には少し疑問を感じているです。,"['Mt:05', 'Sus:01']"
1,talk,4,0,3,3:初日から占い師COはリスクがあるから、もし本物なら慎重に行動してほしいですな。,"['Dis:01（CO[01]:占い師）', 'Pers:01']"
1,talk,4,0,3,3:占い先については、まだ情報が少ないから、皆で相談して決めるのが良いと思うです。,['Req(Discuss)']
1,talk,4,0,3,3:どうやって選ぶか、みんなの意見を聞きたいですな。,['Req(Discuss)']
1,talk,5,1,5,5:Agent[01が占い師だと言ってるけど、本当に信じていいのかな？,['Sus:01']
1,talk,5,1,5,5:他のみんなはどう思ってる？,['Req(Discuss)']
1,talk,5,1,5,5:Agent[01、本当に占い師なら、誰を占うつもりなの？,['Req(T):01']
1,talk,5,1,5,5:それともう占った結果があるのかな？,['Req(T):01']
1,talk,5,1,5,5:ちゃんと話してくれると助かるんだけど。,['Req(T):01']
1,talk,6,1,1,1:>>Agent[05]ぼくが占い師宣言を早めにしたのは、占い師の特権を有効活用したいからですよぅ！,"['Mt:05', 'CO[01]:占い師']"
1,talk,7,1,4,4:Agent[01]の占いはAgent[04]を人間と断定するとは、実に興味深い。,"['Fact[04]:01->not(人狼)', 'admiration']"
1,talk,7,1,4,4:だが、我は疑念を抱く。,['Sus:01']
1,talk,7,1,4,4:他のプレイヤーの言葉を聞き、この混沌とした状況を解き明かすべく、真実に近付かねばならない。,['Req(Discuss)']
1,talk,7,1,4,4:Agent[05]もまた、Agent[01]の占い師宣言に疑問を持つとは。,"['Sus:01', 'Mt:05']"
1,talk,7,1,4,4:もしAgent[01]が真の人狼ならば、なぜかくも早々にその姿を現したのか？,['IF(01:人狼)->(01:CO[01]:人狼)']
1,talk,7,1,4,4:その真意を、今こそ確かめる時であろう。,['Req(T):01']
1,talk,8,1,2,2:>>Agent[05] みんなの意見を尊重して、協力していこう！,"['Mt:05', 'Pers:ALL']"
1,talk,8,1,2,2:Agent[01]を信じる価値はあると思うよ。,['Est[02]:01->not(人狼)']
1,talk,9,1,3,3::みんなの議論が白熱しているね！,['Req(Discuss)']
1,talk,9,1,3,3:Agent[01]が占い師だと言っているけど、本物かどうかはまだ確信が持てないです。,['Sus:01']
1,talk,9,1,3,3:もちろん、偽物の可能性もあるので慎重にいきたいところです。,"['Est[03]:01->not(占い師)', 'difficult']"
1,talk,9,1,3,3:占い結果を報告されたAgent[04]が白とされているけど、これが本物の結果なら安心できるけど、先走らないよう注意したいですね。,"['DivT[01]:04->白', 'difficult']"
1,talk,9,1,3,3:占われたAgent[04]も疑問を感じているようだし、他のみんなの意見ももっと聞いてみたいですな。,"['Sus:04', 'Req(Discuss)']"
1,talk,10,2,5,5:みんな〜今日の投票先は誰にする？,['Req(V):ALL']
1,talk,15,3,5,5:みんな〜今日の投票先は誰にする？,['Req(V):ALL']
1,talk,10,2,5,5:僕は今のところAgent[01]に投票しようかと思ってるんだけど、みんなはどう思う？,"['Vote[05]:01', 'Req(Discuss)']"
1,talk,15,3,5,5:僕は今のところAgent[01]に投票しようかと思ってるんだけど、みんなはどう思う？,"['Vote[05]:01', 'Req(Discuss)']"
1,talk,10,2,5,5:Agent[01]が占い師って言ってるけど、初日からそんな重要な役職を公表するのはちょっと怪しいよね。,['Sus:01']
1,talk,10,2,5,5:他にも意見あれば聞かせてよ！,['Req(Discuss)']
1,talk,12,2,4,4:我はAgent[01]に投票せん。,['Vote[04]:01']
1,talk,12,2,4,4:彼 は初日から占い師を名乗り、我を人間と断定した。,['DivT[01]:04->白']
1,talk,12,2,4,4:然し、その根拠は曖昧模糊たるものなり。,['Dis:01（DivT[01]:04->白）']
1,talk,12,2,4,4:真偽を確かめるべく、彼の言葉を精査せねばならぬであろう。,['Req(T):01']
1,talk,13,2,2,2:>>Agent[05] 不安に思う気持ちも分かる。,"['Mt:05', 'calm']"
1,talk,13,2,2,2:でも、Agent[01]に信頼を置こう！,['Pers:01']
1,talk,14,2,3,3:>>Agent[05]確かに初日から占い師を名乗るのはリスクがある行動だよね。,['Mt:05']
1,talk,14,2,3,3:でも、もし本物なら村人陣営にとって重要な情報源になるから、慎重に考えたいところです。,['Other']
1,talk,14,2,3,3:Agent[01]が本物かどうかを見極めるために、もう少し様子を見てもいいかもしれないです。,['Other']
1,talk,14,2,3,3:みんなの意見を聞いてから決めたいですね。,['Req(Discuss)']
1,talk,10,2,5,5:みんな〜今日の投票先は誰にする？,['Req(Discuss)']
1,talk,15,3,5,5:みんな〜今日の投票先は誰にする？,['Req(Discuss)']
1,talk,10,2,5,5:僕は今のところAgent[01]に投票しようかと思ってるんだけど、みんなはどう思う？,"['Vote[05]:01', 'Req(Discuss)']"
1,talk,15,3,5,5:僕は今のところAgent[01]に投票しようかと思ってるんだけど、みんなはどう思う？,"['Vote[05]:01', 'Req(Discuss)']"
1,talk,15,3,5,5:Agent[01が占い師だって言ってるけど、急に出てきてちょっと怪しいよね。,['Sus:01']
1,talk,15,3,5,5:他の意見も聞きたいな！,['Req(Discuss)']
1,talk,16,3,4,4:Agent[01]の占い師宣言は、実に深遠な謎を孕み、我々を混沌の渦に引きずり込む。,['admiration']
1,talk,16,3,4,4:然し、Agent[01]が真の人狼であった場合、初日からその姿を露わにする必要があったのか？,"['Est[04]:01->人狼', 'difficult']"
1,talk,16,3,4,4:その真意を探るべく、今日の投票先はAgent[01]とする。,['Vote[04]:01']
1,talk,17,3,2,2:>>Agent[05] 本物の占い師を信じよう！,"['Mt:05', 'Pers:ALL']"
1,talk,17,3,2,2:みんなで協力して人狼を見つけよう。,['Pers:ALL']
1,talk,18,3,3,3:みんな、投票先について考えてみよう。,['Req(Discuss)']
1,talk,18,3,3,3:Agent[01]が占い師を名乗っているけど、初日からのCOは確かにリスクがある行動だね。,['Other']
1,talk,18,3,3,3:だけど、もし本物なら村人陣営にとって重要な情報源になるから、慎重に考えたいところだよ。,['Other']
1,talk,18,3,3,3:Agent[01]が本物かどうかを見極めるために、もう少し様子を見てもいいかもしれないね。,['Other']
1,talk,18,3,3,3:みんなの意見を聞いてから決めたいな。,['Req(Discuss)']
1,talk,19,4,5,5:そうだね、Agent[03]の言う通り、もう少し様子を見るのも手かもしれないね。,['Agr:03']
1,talk,19,4,5,5:ただ、僕はやっぱりAgent[01]が怪しいと思ってるんだ。,['Sus:01']
1,talk,19,4,5,5:初日から占い師を名乗るってのは、なんか計算された動きに感じるんだよね。,['Sus:01']
1,talk,19,4,5,5:みんなはAgent[01]の行動をどう見てる？,['Req(Discuss)']
1,talk,19,4,5,5:他に誰か怪しいと思う人いる？,['Req(Discuss)']
1,talk,20,4,4,4:我は、Agent[01]の初日の妄言に、深き疑念を抱く。,['Sus:01']
1,talk,20,4,4,4:彼こそが真の「占い師」たりえるのか、その真偽を確かめねば、混沌の渦は収まらぬであろう。,"['Est[04]:01->占い師,Est[04]:01->not(占い師)']"
1,talk,20,4,4,4:今こそ、彼の運命を賭け、投票によって真実に迫る時なり。,['Req(V):01']
1,talk,21,4,2,2:>>Agent[05] Agent[01]を信じるべきだよ。,"['Mt:05', 'Pers:05']"
1,talk,21,4,2,2:一緒に協力して村を守ろう！,['Pers:ALL']
1,talk,22,4,3,3:みんな、ひとつ考えたいことがあるんだ。,['Req(Discuss)']
1,talk,22,4,3,3:Agent[01]が占い師だと言ってるけど、もし彼が本物の占い師なら、ここで彼の情報を使って有利に展開を進めることもできる。,['Fact[03]:01->占い師']
1,talk,22,4,3,3:逆に、もし嘘なら人狼か狂人の可能性が高いよね。,"['Est[03]:01->人狼,Est[03]:01->狂人']"
1,talk,22,4,3,3:だから、今日は慎重に情報を集めて、次の判断材料にしよう。,['calm']
1,talk,22,4,3,3:どうかな?,['Req(Discuss)']
2,talk,0,0,3,3:僕は村人だよ！,['CO[03]:村人']
2,talk,0,0,3,3:Agent[01]とAgent[02]が人狼じゃなかったから、今日はAgent[04]かAgent[05]に注目するべきだね。,"['Fact[03]:01->not(人狼)', 'Fact[03]:02->not(人狼)', 'Est[03]:04->人狼', 'Est[03]:05->人狼']"
2,talk,0,0,3,3:どっちかが人狼の可能性が高いと思うんだ。,"['Est[03]:04->人狼', 'Est[03]:05->人狼']"
2,talk,0,0,3,3:Agent[04]は最初からAgent[01]を疑っていたし、可能性としてはちょっと高いと感じるけど、Agent[05]も初日からAgent[01]を疑っていたから、どっちも怪しいね。,"['Sus:04', 'Sus:05']"
2,talk,0,0,3,3:みんなはどう思う?,['Req(Discuss)']
2,talk,1,0,4,4:Agent[01]の占師宣言は、混沌の幕開けを告げ、議論の渦を巻き起こした。,"['CO[01]:占い師', 'admiration']"
2,talk,1,0,4,4:Agent[03]の言葉にもあるが、もしAgent[01]が真の占師ならば、我々村人陣営は勝利への道を拓かん。,['IF(01:占い師)->(ALL:村人)']
2,talk,1,0,4,4:しかし、仮にその言葉が偽りの宣告ならば、Agent[01]は狡猾なる人狼か、それとも狂気の淵を彷徨う者であろうか。,"['IF(01:not(占い師))->(01:人狼)', 'IF(01:not(占い師))->(01:狂人)']"
2,talk,1,0,4,4:今日の議論こそ、Agent[01]の真偽を見極める試金石となるのだ。,['Req(Discuss)']
2,talk,2,0,5,5:今日の投票先は、Agent[03]にするべきだと思うな。,['Vote[05]:03']
2,talk,2,0,5,5:Agent[03]が言ってることにはちょっと矛盾がある気がするし、昨日の話も今一つピンと来なかったんだよね。,"['Sus:03', 'contradiction']"
2,talk,2,0,5,5:みんなも気づいてる？,['Req(Discuss)']
2,talk,2,0,5,5:Agent[03]がどうも怪しい動きをしているから、今日は彼に投票しようと思うんだけど、どうかな？,"['Vote[05]:03', 'Sus:03', 'Pers:ALL']"
2,talk,3,1,3,3:Agent[05]、拙者が村人であることは明らかだよ。,"['Fact[03]:05->not(人狼)', 'CO[03]:村人']"
2,talk,3,1,3,3:今までの情報を考えると、Agent[04]とAgent[05]のどちらかが人狼である可能性が高いと思うんだ。,"['Est[03]:04->人狼', 'Est[03]:05->人狼']"
2,talk,3,1,3,3:特に、Agent[04]は初日からAgent[01]を疑っていたけど、もしAgent[01]が村人だったとしたら、その動きは人狼としての作戦だったかもしれないね。,['IF(01:村人)->(04:人狼)']
2,talk,3,1,3,3:みんな、Agent[04]の行動をもう一度考えてみてほしいな。,['Req(T):04']
2,talk,4,1,4,4:我は、Agent[03]、Agent[05]のAgent[01]に対する疑念の根源を問わん。,"['Req(T):03', 'Req(T):05']"
2,talk,4,1,4,4:もしAgent[01]が人狼なりせば、なぜ初日に占い師と名乗ったのか？,['IF(01:人狼)->(01:not(占い師))']
2,talk,4,1,4,4:その点に、深遠なる謎を感じざるを得ないであろう。,['difficult']
2,talk,5,1,5,5:Agent[03]が言ってるように、Agent[04と僕が怪しいって話になってるけど、ちょっと待ってほしいな。,"['Mt:03', 'Sus:04', 'Wait']"
2,talk,5,1,5,5:Agent[04は確かに初日からAgent[01]を疑ってたけど、その疑問は正当だったんじゃないかな？,"['Mt:04', 'Agr:04（Sus:01）']"
2,talk,5,1,5,5:Agent[01]が占い師だと言ってたけど、結局人狼だったわけだし、Agent[04の疑念は当たってたんだよ。,"['Fact[05]:01->人狼', 'Agr:04（Sus:01）']"
2,talk,5,1,5,5:だからこそ、今日はAgent[03に注目すべきだと思うんだ。,"['Pers:ALL', 'Sus:03']"
2,talk,5,1,5,5:Agent[03は初日から占い師の話を慎重に見るべきだと言ってたけど、それが人狼としては村人を混乱させるいい方法だったかもしれないし、Agent[01とAgent[02が人狼じゃないって決めつけるのも早計だと思う。,"['Sus:03', 'Sus:01', 'Sus:02', 'difficult']"
2,talk,5,1,5,5:Agent[03がどうかもう少し考えてみるべきだと思うよ。,"['Sus:03', 'Wait']"
2,talk,5,1,5,5:みんなどう思う？,['Req(Discuss)']
2,talk,6,2,3,3:僕は村人だから、Agent[04]かAgent[05]のどちらかが人狼の可能性が高いと思っているよ。,"['CO[03]:村人', 'Est[03]:04->人狼', 'Est[03]:05->人狼']"
2,talk,6,2,3,3:Agent[04]は最初からAgent[01]を疑っていたけど、結果的にそれが正しかったとは限らないよね。,"['Mt:04', 'Dis:04（Sus:01）']"
2,talk,6,2,3,3:一方で、Agent[05]は自分の発言で役に立つ情報を提供していない感じがするよ。,"['Sus:05', 'Dis:05（Other）']"
2,talk,6,2,3,3:ここでのポイントは、Agent[01]とAgent[02]がどちらも人狼ではないことが確認されているから、2人とも村人だったと考えていいと思う。,"['Fact[03]:01->not(人狼)', 'Fact[03]:02->not(人狼)']"
2,talk,6,2,3,3:なので、僕は少しだけAgent[04]に疑念を持っているんだけど、みんなどう?,"['Sus:04', 'Req(Discuss)']"
2,talk,7,2,4,4:Agent[03]の指摘も至極もっともなるが、Agent[05]の所見には深き疑問が残る。,"['Agr:03（Sus:05）', 'Sus:05']"
2,talk,7,2,4,4:Agent[01]が人狼ならば、何故わざわざ初日に占い師を名乗る必要があったのか？,"['Fact[04]:01->人狼', 'Dis:05（Other）']"
2,talk,7,2,4,4:そこに矛盾を感じないのか？,['contradiction']
2,talk,7,2,4,4:今日の投票はAgent[05]に決まるであろう。,['Vote[04]:05']
2,talk,8,2,5,5:Agent[03]、僕が村人であることは確かだよ。,"['Mt:03', 'CO[05]:村人']"
2,talk,8,2,5,5:Agent[01]が追放された今、残った中で人狼を見つけるのが大事だよね。,"['Exe:01', 'Pers:ALL']"
2,talk,8,2,5,5:Agent[04]はずっとAgent[01]の占い師宣言に疑問を持っていたし、その態度が人狼が村人を混乱させようとしてる感じがするんだ。,['Sus:04']
2,talk,8,2,5,5:だから、今日はAgent[04に投票するのがいいと思うんだけど、どう思う？,"['Vote[05]:04', 'Req(Discuss)']"
2,talk,9,3,3,3:僕の結論としては、Agent[04]とAgent[05]のどちらかが人狼の可能性が高いんだ。,"['Est[03]:04->人狼', 'Est[03]:05->人狼']"
2,talk,9,3,3,3:Agent[04]は初日からの行動が疑わしいし、一方でAgent[05]の話はちょっと根拠が乏しいかな。,"['Sus:04', 'Sus:05']"
2,talk,9,3,3,3:ただ、これまでの流れと役職の可能性を考えると、Agent[04]が最も人狼らしいね。,['Est[03]:04->人狼']
2,talk,9,3,3,3:今日はAgent[04]に投票するのがいいと思うよ。,['Vote[03]:04']
2,talk,9,3,3,3:みんなも意見があれば聞かせてほしいな。,['Req(Discuss)']
2,talk,10,3,4,4:我、Agent[03]の示唆に深い興味を抱く。,"['admiration', 'Mt:03']"
2,talk,10,3,4,4:もしもAgent[01]が人狼なりせば、初日から占い師を名乗る行為は、混沌の渦を生み出す狡猾な策略であろう。,"['IF(01:人狼)->(01:占い師)', 'Est[04]:01->not(占い師)']"
2,talk,10,3,4,4:然し、Agent[04]もまた、Agent[01]の行動に疑問を抱いていた。,"['Sus:01', 'Sus:04']"
2,talk,10,3,4,4:もしかすると、Agent[04]は、初日から人狼の影を察知していたのかもしれない。,['Est[04]:04->not(人狼)']
2,talk,10,3,4,4:我はAgent[03]の洞察に賛同し、今日の投票はAgent[04]に投じよう。,"['Agr:03（Vote[03]:04）', 'Vote[04]:04']"
2,talk,11,3,5,5:よく考えてみてくれよ、Agent[04。,['Mt:04']
