date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,5,I am Benjamin. Let us proceed.,,Benjamin: I am Benjamin. Let us proceed.,['Req(Discuss)']
0,talk,1,0,4,Ryuji. I'll claim Seer. No results yet but I'll share tomorrow. Please introduce yourselves. @Benjamin  do you have anything to add about your role or initial thoughts?,,Ryuji: Ryuji. I'll claim Seer. No results yet but I'll share tomorrow. Please introduce yourselves. @Benjamin  do you have anything to add about your role or initial thoughts?,"['CO[Ryuji]:Seer', 'Req(Discuss)', 'Mt:Benjamin', 'Req(T):Benjamin']"
0,talk,2,0,1,I'm Shion. Villager here. Ryuji if you're really the Seer we'll need your insights.,,Shion: I'm Shion. Villager here. Ryuji if you're really the Seer we'll need your insights.,"['CO[Shion]:Villager', 'Mt:Ryuji', 'Req(T):Ryuji']"
0,talk,3,0,2,Hello everyone! I'm Rin! Oh wow! I'm just a regular villager! Guess what? Ryuji's claim is interesting! We must watch out for counterclaims! Over!,,Rin: Hello everyone! I'm Rin! Oh wow! I'm just a regular villager! Guess what? Ryuji's claim is interesting! We must watch out for counterclaims! Over!,"['CO[Rin]:Villager', 'Req(Discuss)']"
0,talk,4,0,3,Hello fellow players! I'm Shunichi ready for a thrilling game of Werewolf. Let's find out who the real creature is!,,Shunichi: Hello fellow players! I'm Shunichi ready for a thrilling game of Werewolf. Let's find out who the real creature is!,['Req(Discuss)']
0,talk,7,1,1,Rin's right a counterclaim would be revealing. Let's see if anyone challenges Ryuji.,,Shion: Rin's right a counterclaim would be revealing. Let's see if anyone challenges Ryuji.,"['Agr:Rin(counterclaim would be revealing)', 'Req(Discuss)']"
0,talk,10,2,1,Benjamin you've been quiet. Any thoughts or claims to share?,,Shion: Benjamin you've been quiet. Any thoughts or claims to share?,"['Mt:Benjamin', 'Req(T):Benjamin']"
0,talk,11,3,1,If no one else has a role to claim we should focus on gathering information.,,Shion: If no one else has a role to claim we should focus on gathering information.,['Req(Discuss)']
1,talk,0,0,4,Last night I divined Rin: Villager. No other Seer counterclaim so I'll keep reporting my results plainly. @Shion  you were attentive yesterday. Anything specific make you trust or doubt my Seer claim so far?,,Ryuji: Last night I divined Rin: Villager. No other Seer counterclaim so I'll keep reporting my results plainly. @Shion  you were attentive yesterday. Anything specific make you trust or doubt my Seer claim so far?,"['CO[Ryuji]:Seer', 'DivT[Ryuji]:Rin->White', 'Mt:Shion', 'Req(T):Shion']"
1,talk,1,0,1,Ryuji no counterclaims help your case but I'll keep observing for inconsistencies.,,Shion: Ryuji no counterclaims help your case but I'll keep observing for inconsistencies.,['Agr:Shion(CO[Ryuji]:Seer)']
