date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,3,I'm watching people's expressions.  @Benjamin  you were quiet—who are you leaning toward voting? Mizuki  Sakura  Shunichi  please share your first impressions. Over,,Victoria: I'm watching people's expressions.  @Benjamin  you were quiet—who are you leaning toward voting? Mizuki  Sakura  Shunichi  please share your first impressions. Over,"['Mt:Benjamin', 'Req(T):Benjamin', 'Req(T):Mizuki', 'Req(T):Sakura', 'Req(T):Shunichi']"
0,talk,1,0,2,Hello. I am Sakura. My role is seer. Have a good game.,,Sakura: Hello. I am Sakura. My role is seer. Have a good game.,['CO[Sakura]:Seer']
0,talk,2,0,4,Sure Victoria. I think it's too early to form strong opinions. Let's see how it unfolds.,,Shunichi: Sure Victoria. I think it's too early to form strong opinions. Let's see how it unfolds.,"['Mt:Victoria', 'Wait']"
0,talk,3,0,5,Hello everyone! I'm Benjamin excited to play Werewolf with you all. Let's have some fun and enjoy the game!,,Benjamin: Hello everyone! I'm Benjamin excited to play Werewolf with you all. Let's have some fun and enjoy the game!,['Pers:ALL']
0,talk,4,0,1,Looking forward to playing with you all. Who here prefers a slow buildup or is bold from the start?,,Mizuki: Looking forward to playing with you all. Who here prefers a slow buildup or is bold from the start?,['Req(Discuss)']
0,talk,5,1,3,@Sakura  You claimed seer—what was your divination result? Mizuki  Shunichi  Benjamin  any early hunches or suspicions? Over,,Victoria: @Sakura  You claimed seer—what was your divination result? Mizuki  Shunichi  Benjamin  any early hunches or suspicions? Over,"['Mt:Sakura', 'Req(CO):Seer', 'Req(T):Mizuki', 'Req(T):Shunichi', 'Req(T):Benjamin']"
0,talk,7,1,4,No big hunches yet Victoria. I'm interested in Sakura's divination result too.,,Shunichi: No big hunches yet Victoria. I'm interested in Sakura's divination result too.,"['Mt:Victoria', 'Req(T):Sakura', 'Wait']"
0,talk,10,2,3,Two seer claims makes me uneasy.  @Sakura  please tell us who you divined and your result — now. If you won't  we should treat this claim with skepticism. Mizuki  Shunichi  Benjamin  any quick thoug,,Victoria: Two seer claims makes me uneasy.  @Sakura  please tell us who you divined and your result — now. If you won't  we should treat this claim with skepticism. Mizuki  Shunichi  Benjamin  any quick thoug,"['Mt:Sakura', 'Sus:Sakura', 'Req(CO):Seer', 'Dis:Sakura(CO[Sakura]:Seer)', 'Req(T):Mizuki', 'Req(T):Shunichi', 'Req(T):Benjamin']"
0,talk,11,2,4,Victoria I'm also wary. Let's hear from Sakura for clarity.,,Shunichi: Victoria I'm also wary. Let's hear from Sakura for clarity.,"['Mt:Victoria', 'Agr:Victoria', 'Req(T):Sakura', 'Sus:Sakura']"
0,talk,12,3,3,@Sakura  Reveal who you divined and the result now. If you refuse  we should treat this claim as suspicious and consider voting the later seer claim. Mizuki  Shun,,Victoria: @Sakura  Reveal who you divined and the result now. If you refuse  we should treat this claim as suspicious and consider voting the later seer claim. Mizuki  Shun,"['Mt:Sakura', 'Req(T):Sakura', 'Sus:Sakura', 'Dis:Sakura(CO[Sakura]:Seer)', 'Req(V):Sakura']"
