date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,4,タカシ:皆さん、こんばんは。,,['Other']
0,talk,0,0,4,タカシ:タカシです。,,['Other']
0,talk,0,0,4,タカシ:私は村人です。,,['CO[タカシ]:村人']
0,talk,0,0,4,タカシ:信頼第一で臨みますので、よろしくお願いします！,,['Pers:ALL']
0,talk,3,0,2,エリナ:私はエリナ。,,['Other']
0,talk,3,0,2,エリナ:森の静けさと共にこの場に来ました…夜のざわめきに耳を澄ませて、皆さんと向き合いたいと思います。,,['Other']
0,talk,4,0,3,リリ:リリです。,,['Other']
0,talk,4,0,3,リリ:私は占い師COします。,,['CO[リリ]:占い師']
0,talk,4,0,3,リリ:まだ占いはしてないけど、これから黒白をはっきりさせていくわ。,,['Other']
0,talk,4,0,3,リリ:皆の言動に矛盾がないか注目しながら、冷静に見極めたい。,,['calm']
0,talk,4,0,3,リリ:@タカシ君どんな根拠で村人名乗ってるの？,,"['Mt:タカシ', 'Req(T):タカシ']"
0,talk,4,0,3,リリ:気になるわね。,,['Sus:タカシ']
0,talk,5,1,4,タカシ:リリさん、質問ありがとう。,,['Other']
0,talk,5,1,4,タカシ:根拠は今言えることが少ないですが、村のために発言を重ねて誠実さを示していきます。,,['Other']
0,talk,5,1,4,タカシ:少人数だからこそ偽りや矛盾はすぐわかると思う。,,"['Pers:ALL', 'Req(Discuss)']"
0,talk,5,1,4,タカシ:皆さんも積極的に話しましょう。,,"['Mt:リリ', 'Other']"
0,talk,5,1,4,タカシ:@リリ根拠は今言えることが少ないですが、村のために発言を重ねて誠実さを示していきます。,,['Other']
0,talk,5,1,4,タカシ:少人数だからこそ偽りや矛盾はすぐわかると思う。,,['Other']
0,talk,6,1,2,エリナ:森のざわめきが静まる夜…私はこの場所で、小さな違和感も見逃さずに観察していくつもりよ。,,['Other']
0,talk,7,1,3,リリ:リョウとアレン、まだ静かね。,,"['Req(T):リョウ', 'Req(T):アレン']"
0,talk,7,1,3,リリ:@リョウ占いCOとか考えてる？,,"['Mt:リョウ', 'Req(CO):占い師']"
0,talk,7,1,3,リリ:動きがないと怪しさ増すからよろしく。,,['Pers:ALL']
