date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,3,ミドリ:よろしくお願いしまーす！,,['Other']
0,talk,1,0,2,ミナコ:ミナコです。,,['Other']
0,talk,1,0,2,ミナコ:一見些細な違和感も見逃さずに見ていきたいと思います。,,['Other']
0,talk,1,0,2,ミナコ:議論は冷静さを保ってお願いします。,,['calm']
0,talk,2,0,5,トシオ:トシオだ…特に話すことはないが、無駄な動きは避けるつもりだ。,,['Other']
0,talk,2,0,5,トシオ:冷静に状況を見る…それだけだ。,,['calm']
0,talk,3,0,1,ダイスケ:ダイスケです。,,['Other']
0,talk,3,0,1,ダイスケ:皆さんと共に真実を探求する旅路に臨む心地。,,['Other']
0,talk,3,0,1,ダイスケ:あまり得意ではありませぬが、努めて参ります。,,['Other']
0,talk,3,0,1,ダイスケ:よろしくお願い申し上げ候。,,['Other']
0,talk,4,0,4,セルヴァス:@ミナコ: ミナコさん、あなたの「些細な違和感を見逃さない」という姿勢は素晴らしいですね。,,"['Mt:ミナコ', 'admiration']"
0,talk,4,0,4,セルヴァス:具体的にどのような点に注意を向けているか、教えていただけますか？,,"['Mt:ミナコ', 'Req(T):ミナコ']"
0,talk,4,0,4,セルヴァス:それとも、他のプレイヤーについて気になることがあれば、ぜひ共有してください。,,['Req(Discuss)']
0,talk,4,0,4,セルヴァス:私たちが協力して真実を見つけるために、皆さんの意見を聞くことが大切だと思います。,,['Req(Discuss)']
0,talk,7,1,5,トシオ:占い師COするつもりはない。,,['Fact[トシオ]:トシオ->not(占い師)']
0,talk,7,1,5,トシオ:役職については語らず、静観する…それが最善だろう。,,['Other']
0,talk,7,1,5,トシオ:様子を見る。,,['Other']
0,talk,9,1,4,セルヴァス:@トシオ: トシオさん、静観するという姿勢は理解できますが、他のプレイヤーについて何か気になる点はありますか？,,"['Mt:トシオ', 'Req(T):トシオ']"
0,talk,9,1,4,セルヴァス:冷静に状況を見つめる中で、少しでも情報を共有できれば、私たち全員にとって有益だと思います。,,['Req(Discuss)']
0,talk,9,1,4,セルヴァス:皆さんの考えを聞けると嬉しいです。,,['Req(Discuss)']
