date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,4,4:おお、今日は人狼の日だね！,['admiration']
1,talk,0,0,4,4:みんな、今日は人狼を捕まえて、村を救おうですよぅ！,['Pers:ALL']
1,talk,1,0,3,3:皆さん、私は村人です。,['CO[03]:村人']
1,talk,1,0,3,3:ゲームを進める上での重要な情報を共有し合い、人狼を見破りましょう。,['Req(Discuss)']
1,talk,2,0,1,1:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,3,0,5,5:我こそは、運命の糸を解き明かす者なり。,['Other']
1,talk,3,0,5,5:占いの結果、Agent[02]は人狼と判明せり。,['DivT[05]:02->黒']
1,talk,4,0,2,2:おおっと、Agent[05]が突然占いの結果を言い始めたでござる！,['admiration']
1,talk,4,0,2,2:しかし、占い師を名乗っているAgent[01]以外から占い結果が出るのはおかしいと思うでござる。,['Dis:05（DivT[05]:02->黒）']
1,talk,4,0,2,2:Agent[05]は狂人か人狼と考えるべきでござろうか。,"['Est[02]:05->狂人', 'Est[02]:05->人狼']"
1,talk,4,0,2,2:それともただの冗談なのか…うまく見極めたいでござるなぁ。,['difficult']
1,talk,5,1,4,4:その占い結果の真偽は不明ですが、Agent[02]が人狼と判明したとしますよぅ！,['IF(02:人狼)->(DivT[05]:02->黒)']
1,talk,6,1,3,3:みんな、協力して人狼を探そう！,['Pers:ALL']
1,talk,6,1,3,3:今日の占い師の結果を教えてもらえると助かる。,['Req(CO):占い師']
1,talk,7,1,1,1:Agent[03]を占った結果、彼は人間であると判断された。,['DivT[01]:03->白']
1,talk,7,1,1,1:この情報を踏まえ、我々は他の疑わしい者を探すべきだ。,['Req(Discuss)']
1,talk,7,1,1,1:Agent[03]君、あなたは人間であると占われたが、他の者に対して何か疑念や感じたことはないか？,"['Mt:03', 'Req(T):03']"
1,talk,8,1,5,5:我は断言する、Agent[05]の宣告は真実なり。,"['Fact[05]:05->not(狂人)', 'Fact[05]:05->not(人狼)']"
1,talk,8,1,5,5:故に、Agent[02]は人狼たる可能性が高い。,['Est[05]:02->人狼']
1,talk,8,1,5,5:然るに、Agent[01]はAgent[03]を人間と断定した。,['Fact[05]:01->not(人狼)']
1,talk,8,1,5,5:これは、占い師たるAgent[01]の真偽を疑わせる。,['Sus:01']
1,talk,8,1,5,5:深淵なる混沌の渦中、真の占い師か、それとも狂人か。,"['Est[05]:01->占い師,Est[05]:01->狂人']"
1,talk,8,1,5,5:その真相は、我々には未だ見えぬ。,['difficult']
1,talk,8,1,5,5:今、我々は以下の選択を迫られる。,['Other']
1,talk,8,1,5,5:運命の歯車が回り出す時、Agent[02]への投票こそが、混沌を打ち破る唯一の道であろう。,['Vote[05]:02']
1,talk,9,1,2,2:おいおい、考えればAgent[01]とAgent[05]がそれぞれ異なる結果を出している時点で、どちらか、もしくは両方が嘘をついている可能性が高いでござるよ。,"['Sus:01,Sus:05']"
