date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:我こそは、運命の糸を操る者なり。,['Other']
1,talk,0,0,1,1:占いの結果、Agent[03]は人狼と判明した。,['DivT[01]:03->黒']
1,talk,1,0,3,3:嘘だ！,['Dis:01（DivT[01]:03->黒）']
1,talk,1,0,3,3:ぼくは村人に決まってる！,['CO[03]:村人']
1,talk,1,0,3,3:Agent[01]の占いは間違ってるですよぅ！,['Dis:01（DivT[01]:03->黒）']
1,talk,2,0,5,5:>>Agent[03] そんなに反発するなら、逆に怪しく見えるよ。,"['Mt:03', 'Sus:03']"
1,talk,2,0,5,5:みんな冷静に考えよう。,['calm']
1,talk,3,0,2,2:みなさん、先ほど占いを行ったところ、Agent[01]は村人陣営と判明しました。,['DivT[02]:01->白']
1,talk,3,0,2,2:よって、Agent[01]は信用できる人物です。,"['Est[02]:01->not(人狼)', 'Est[02]:01->not(狂人)']"
1,talk,3,0,2,2:この情報を元に引き続き協力して人狼を見つけていきましょう！,['Pers:ALL']
1,talk,4,0,4,4:皆さん、私は村人です。,['CO[04]:村人']
1,talk,4,0,4,4:互いの意見や推理を共有することで、情報を集めることができるので、怪しいと思う点や人狼の可能性を指摘してください。,['Req(Discuss)']
1,talk,6,1,3,3:>>Agent[05] 確かに、急に反発したからかもしれないですよぅ！,"['Mt:05', 'Other']"
1,talk,7,1,5,5:>>Agent[02] そうだね、皆で情報を共有していこう！,"['Mt:02', 'Pers:ALL']"
1,talk,7,1,5,5:怪しい点、ある？,['Req(Discuss)']
1,talk,8,1,2,2:みなさん、占いの結果、Agent[01]は村人陣営（白）でした。,['DivT[02]:01->白']
1,talk,8,1,2,2:この情報を共有して、引き続き人狼を見つけるために協力していきましょう！,['Pers:ALL']
1,talk,8,1,2,2:もし他に怪しいと思う点があれば教えてください。,['Req(Discuss)']
1,talk,9,1,4,4:Agent[01]の結果を信じる方向で進めましょう。,"['Est[04]:01->not(人狼)', 'Est[04]:01->not(狂人)']"
1,talk,9,1,4,4:Agent[03]が人狼の可能性が高いと思いますが、他の意見も聞いてみたいです。,"['Est[04]:03->人狼', 'Req(Discuss)']"
1,talk,10,2,3,3:Agent[04]の意見に同意しますよぅ！,['Agr:04']
1,talk,11,2,5,5:>>Agent[03] いや、あなたの反応が怪しいよ。,"['Mt:03', 'Sus:03']"
1,talk,11,2,5,5:もっと冷静になろう！,['calm']
1,talk,12,2,2,2:私は占い師として、Agent[01]を占い、結果は白でした。,"['CO[02]:占い師', 'DivT[02]:01->白']"
1,talk,12,2,2,2:Agent[01]は村人陣営です。,"['Fact[02]:01->not(人狼)', 'Fact[02]:01->村人']"
1,talk,12,2,2,2:この情報を基に、これからどう進めていくか皆で考えていきましょう。,['Req(Discuss)']
1,talk,12,2,2,2:引き続き、他のプレイヤーの動向にも注目していきたいです。,['Other']
