source_file,dataset_tag,agent_name,role,fold
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,5
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,5
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,WEREWOLF,5
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,5
taged_1746429865_osawalab_ai168wolf_CamelliaDragons_kanolab_sunamelli.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,SEER,5
taged_1746431268_mille_sunamelli_kanolab_CamelliaDragons_ai168wolf.log,all_feature_table_2025sp17_with_talks,sunamelli1,SEER,2
taged_1746431268_mille_sunamelli_kanolab_CamelliaDragons_ai168wolf.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,2
taged_1746431268_mille_sunamelli_kanolab_CamelliaDragons_ai168wolf.log,all_feature_table_2025sp17_with_talks,CamelliaDragons1,VILLAGER,2
taged_1746431268_mille_sunamelli_kanolab_CamelliaDragons_ai168wolf.log,all_feature_table_2025sp17_with_talks,ai168wolf1,WEREWOLF,2
taged_1746431268_mille_sunamelli_kanolab_CamelliaDragons_ai168wolf.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,2
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,ai168wolf1,POSSESSED,5
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,osawalab1,SEER,5
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,sunamelli1,VILLAGER,5
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,kanolab1,VILLAGER,5
taged_1746431630_kanolab_mille_ai168wolf_osawalab_sunamelli.log,all_feature_table_2025sp17_with_talks,mille1,WEREWOLF,5
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,mille1,POSSESSED,5
taged_1746432378_mille_ai168wolf_osawalab_CamelliaDragons_kanolab.log,all_feature_table_2025sp17_with_talks,ai168wolf1,SEER,5
