date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,3,I am Servas a humble villager old as the hills and twice as gentle. I hope to hear your hearts today friends.,,Servas: I am Servas a humble villager old as the hills and twice as gentle. I hope to hear your hearts today friends.,"['CO[Servas]:Villager', 'calm']"
0,talk,1,0,5,Hello. I'm Shion. Thrilled to partake in this game with you all. Let's aim for a strategic victory together! Over.,,Shion: Hello. I'm Shion. Thrilled to partake in this game with you all. Let's aim for a strategic victory together! Over.,"['Pers:ALL', 'Other']"
0,talk,2,0,1,Good morning  friends. Thank you  Servas and Shion. I felt a little uneasy about  @Benjamin  earlier — could you share what you're thinking and why you acted that way? Everyone else  any small impressions you noticed? Let's speak kindly. Over,,Shizue: Good morning  friends. Thank you  Servas and Shion. I felt a little uneasy about  @Benjamin  earlier — could you share what you're thinking and why you acted that way? Everyone else  any small impressions you noticed? Let's speak kindly. Over,"['Mt:Benjamin', 'Sus:Benjamin', 'Req(T):Benjamin', 'Req(Discuss)', 'calm']"
0,talk,3,0,2,How intriguing everyone Ready for a contest of logic and wit rather than mere chance? May we keep suspicions lively,,Benjamin: How intriguing everyone Ready for a contest of logic and wit rather than mere chance? May we keep suspicions lively,"['Pers:ALL', 'Other']"
0,talk,4,0,4,Hello. I am Jonathan. My role is villager. Have a good game.,,Jonathan: Hello. I am Jonathan. My role is villager. Have a good game.,"['CO[Jonathan]:Villager', 'calm']"
0,talk,7,1,1,Thank you  Benjamin.  @Benjamin   your remark sounded a bit theatrical — did you notice anything odd last night or are you trying to spark the conversation? Jonathan  you quickly said yo,,Shizue: Thank you  Benjamin.  @Benjamin   your remark sounded a bit theatrical — did you notice anything odd last night or are you trying to spark the conversation? Jonathan  you quickly said yo,"['Mt:Benjamin', 'Dis:Benjamin', 'Req(T):Benjamin', 'Mt:Jonathan']"
0,talk,10,2,1,"I still feel uneasy about  @Benjamin . If no one else has clear information  shall we take a vote? Please say briefly who you vote to lynch or ""pass"". Over",,"Shizue: I still feel uneasy about  @Benjamin . If no one else has clear information  shall we take a vote? Please say briefly who you vote to lynch or ""pass"". Over","['Sus:Benjamin', 'Req(Discuss)']"
0,talk,11,3,1,I vote to lynch  @Benjamin . I'm uneasy about his behavior — it felt off. Over,,Shizue: I vote to lynch  @Benjamin . I'm uneasy about his behavior — it felt off. Over,"['Vote[Shizue]:Benjamin', 'Sus:Benjamin']"
1,talk,0,0,2,@Shizue  accusing based on tone alone isn’t logical. Who else stands out as suspicious to you today?,,Benjamin: @Shizue  accusing based on tone alone isn’t logical. Who else stands out as suspicious to you today?,"['Mt:Shizue', 'Dis:Shizue(accusing based on tone alone isn’t logical)', 'Req(T):Shizue']"
1,talk,1,0,1,I was uneasy before  but I don't have solid evidence now.  @Jonathan  you said you were a villager early — what made you announce so quickly? Everyone else  please share any little oddities you've noticed. Over,,Shizue: I was uneasy before  but I don't have solid evidence now.  @Jonathan  you said you were a villager early — what made you announce so quickly? Everyone else  please share any little oddities you've noticed. Over,"['Mt:Jonathan', 'Req(T):Jonathan', 'Sus:Jonathan', 'Req(Discuss)', 'difficult']"
1,talk,2,0,3,My friends each dawn brings new light. Pause observe kindly: share not just what you see but why you feel so. @Jonathan  I have often found that swift declarations can conceal or reveal much. Was there reason for your early claim?,,Servas: My friends each dawn brings new light. Pause observe kindly: share not just what you see but why you feel so. @Jonathan  I have often found that swift declarations can conceal or reveal much. Was there reason for your early claim?,"['Mt:Jonathan', 'Req(T):Jonathan', 'Req(Discuss)', 'Sus:Jonathan', 'calm']"
1,talk,3,0,4,I will vote Shizue.,,Jonathan: I will vote Shizue.,['Vote[Jonathan]:Shizue']
1,talk,4,0,5,I divined Servas as a Werewolf. Let's analyze this carefully. Emotional reactions only cloud judgment. Any thoughts on this everyone?,,Shion: I divined Servas as a Werewolf. Let's analyze this carefully. Emotional reactions only cloud judgment. Any thoughts on this everyone?,"['CO[Shion]:Seer', 'DivT[Shion]:Servas->Werewolf', 'Req(Discuss)']"
1,talk,5,1,2,@Servas  do you admit Shion’s Seer claim or will you CO yourself? Your silence after being shown black is troubling.,,Benjamin: @Servas  do you admit Shion’s Seer claim or will you CO yourself? Your silence after being shown black is troubling.,"['Mt:Servas', 'Req(T):Servas', 'Sus:Servas']"
1,talk,6,1,1,My dears  I must be honest now — I'm the seer. Last night I divined Benjamin and he was HUMAN. I'm sorry I was hasty accusing him earlier.  @Shion   you said Servas is werewolf — when did you divine and why do you trust that result? Please  friends  reconsider and share what you saw. Over,,Shizue: My dears  I must be honest now — I'm the seer. Last night I divined Benjamin and he was HUMAN. I'm sorry I was hasty accusing him earlier.  @Shion   you said Servas is werewolf — when did you divine and why do you trust that result? Please  friends  reconsider and share what you saw. Over,"['CO[Shizue]:Seer', 'DivT[Shizue]:Benjamin->White', 'Mt:Shion', 'Req(T):Shion', 'Req(Discuss)', 'Sus:Shion']"
1,talk,7,1,3,Accusations spread fast friends! I'm just a villager wrongly accused. @Shion  why did you divine me? Can we trust two seers showing up at once?,,Servas: Accusations spread fast friends! I'm just a villager wrongly accused. @Shion  why did you divine me? Can we trust two seers showing up at once?,"['CO[Servas]:Villager', 'Mt:Shion', 'Req(T):Shion', 'Sus:Shion', 'Sus:Shizue']"
1,talk,9,1,5,Our goal might be to align our divination with the claims of being a Seer. What do you deduce from this notion?,,Shion: Our goal might be to align our divination with the claims of being a Seer. What do you deduce from this notion?,"['Req(Discuss)', 'Other']"
1,talk,10,2,2,With two Seers exposed someone is lying. I lean toward voting Servas if Shion’s claim isn’t challenged. Thoughts?,,Benjamin: With two Seers exposed someone is lying. I lean toward voting Servas if Shion’s claim isn’t challenged. Thoughts?,"['Vote[Benjamin]:Servas', 'Sus:Servas', 'Req(Discuss)']"
1,talk,11,2,1,My dears — as I said  I'm the seer and I divined Benjamin as HUMAN last night. If  @Shion  truly saw Servas as WOLF  then either there are two seers or someone is lying. @Shion  when did you divine Servas and what made you confident in that resul,,Shizue: My dears — as I said  I'm the seer and I divined Benjamin as HUMAN last night. If  @Shion  truly saw Servas as WOLF  then either there are two seers or someone is lying. @Shion  when did you divine Servas and what made you confident in that resul,"['CO[Shizue]:Seer', 'DivT[Shizue]:Benjamin->White', 'Mt:Shion', 'Req(T):Shion', 'contradiction']"
1,talk,12,2,3,Wisdom grows with patience. Both Shizue and Shion claim Seer—a puzzle. Let us weigh gently. @Benjamin  when two clashed before haste led to regret. Why do you trust Shion over Shizue so quickly?,,Servas: Wisdom grows with patience. Both Shizue and Shion claim Seer—a puzzle. Let us weigh gently. @Benjamin  when two clashed before haste led to regret. Why do you trust Shion over Shizue so quickly?,"['Mt:Benjamin', 'Req(T):Benjamin', 'Req(Discuss)', 'calm', 'Sus:Benjamin']"
1,talk,13,2,5,Shizue's claim clashes with me. Servas is a Werewolf. We should vote him out!  @Servas  Cornered here? Any revelations perhaps?,,Shion: Shizue's claim clashes with me. Servas is a Werewolf. We should vote him out!  @Servas  Cornered here? Any revelations perhaps?,"['CO[Shion]:Seer', 'DivT[Shion]:Servas->Werewolf', 'Vote[Shion]:Servas', 'Mt:Servas', 'Dis:Shizue(CO[Shizue]:Seer)']"
1,talk,14,3,2,Shizue cleared me as human so I’ll vote Servas. If anyone objects or has new evidence speak up before voting.,,Benjamin: Shizue cleared me as human so I’ll vote Servas. If anyone objects or has new evidence speak up before voting.,"['Vote[Benjamin]:Servas', 'DivT[Shizue]:Benjamin->White', 'Req(Discuss)']"
1,talk,15,3,1,My dears  I already said I divined Benjamin as HUMAN — so either Shion's seer claim is false or something strange is afoot.  @Jonathan  you voted me so quickly — may I ask why? That hurried vote feels suspicious. I’m leaning to vote Jonathan unless someone gives a clear reason not to. Ple,,Shizue: My dears  I already said I divined Benjamin as HUMAN — so either Shion's seer claim is false or something strange is afoot.  @Jonathan  you voted me so quickly — may I ask why? That hurried vote feels suspicious. I’m leaning to vote Jonathan unless someone gives a clear reason not to. Ple,"['DivT[Shizue]:Benjamin->White', 'Dis:Shion(CO[Shion]:Seer)', 'Mt:Jonathan', 'Sus:Jonathan', 'Vote[Shizue]:Jonathan', 'Req(Discuss)']"
1,talk,16,3,3,My heart remains steady despite being under suspicion. If we slow down and listen truths often emerge quietly among us. @Shion  your gaze fell on me so soon. Was it intuition or a reason from my words or ways? Reflection can reveal much.,,Servas: My heart remains steady despite being under suspicion. If we slow down and listen truths often emerge quietly among us. @Shion  your gaze fell on me so soon. Was it intuition or a reason from my words or ways? Reflection can reveal much.,"['Mt:Shion', 'Req(T):Shion', 'Sus:Servas', 'calm']"
1,talk,17,3,5,Servas's serene act seems typical werewolf misdirection. Maximus if we don't vote for him now the regret might haunt us.,,Shion: Servas's serene act seems typical werewolf misdirection. Maximus if we don't vote for him now the regret might haunt us.,"[""Dis:Servas(Servas's serene act seems typical werewolf misdirection)"", 'Mt:Maximus', 'Req(V):Servas', 'Pers:ALL']"
2,talk,0,0,5,Jonathan. I divined you as a Werewolf. Let's channel our votes wisely today to mitigate this hairy predicament.,,Shion: Jonathan. I divined you as a Werewolf. Let's channel our votes wisely today to mitigate this hairy predicament.,"['CO[Shion]:Seer', 'DivT[Shion]:Jonathan->Werewolf', 'Pers:ALL']"
2,talk,1,0,4,I will vote Shizue.,,Jonathan: I will vote Shizue.,['Vote[Jonathan]:Shizue']
