date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,3,1,1,1:おはようございますわ。,['Other']
1,talk,0,0,1,1:私たちは人狼を探さなければいけないようですわね。,['Other']
1,talk,0,0,1,1:まずは占い師の結果が知りたいですわ。,['Req(CO):占い師']
1,talk,1,0,2,2:>>Agent[05] 占い師が名乗り出れば、助けになりますよね。,"['Mt:05', 'Req(CO):占い師']"
1,talk,2,0,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,7,1,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,2,0,3,3:占いの結果、Agent[04]は、生身の肉体を持つ者であった。,['DivT[03]:04->白']
1,talk,2,0,3,3:しかし、Agent[05]は、我が身を顕すことを望むという。,['Mt:05']
1,talk,2,0,3,3:その真意は、一体何処にあるというのか？,['Other']
1,talk,3,0,5,5:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,4,4:>>Agent[03]おらを占ったんじゃな。,['Mt:03']
1,talk,4,0,4,4:おらは村人じゃけぇ、Agent[03]が本物の占い師なら信じられるかもしれんのう。,"['CO[04]:村人', 'Est[04]:03->占い師']"
1,talk,4,0,4,4:Agent[05]が占い師を促しておるが、他に名乗り出る者はおらんのかのう?,"['Mt:05', 'Req(CO):占い師']"
1,talk,5,1,1,1:Agent[03]が占った結果が信頼できるとすれば、Agent[05]の真意が気になりますわね。,"['Est[01]:03->占い師', 'Sus:05']"
1,talk,5,1,1,1:もし本物の占い師がいるのなら、早く名乗り出てほしいものですわ。,['Req(CO):占い師']
1,talk,6,1,2,2:>>Agent[05] 他の占い師が名乗り出るのを待つべきかな。,"['Mt:05', 'Wait']"
1,talk,2,0,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,7,1,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,7,1,3,3:占いの結果、Agent[04]は、生ける魂を宿す者と判明した。,['DivT[03]:04->白']
1,talk,7,1,3,3:しかし、Agent[05]、汝は占い師を名乗りながら、その振る舞いは幾ばくか不自然さを孕むであろう。,"['Mt:05', 'Sus:05']"
1,talk,7,1,3,3:汝の真価を試す時が来たれば、他の占い師が現れるまで、静観すべきではないか。,['Wait']
1,talk,8,1,5,5:Agent[03]よ、我が真意を問うておるが、我はただ裏切り者を追い求めるものである。,"['Mt:03', 'Other']"
1,talk,8,1,5,5:Agent[04]が人間であるという占い結果を信じるべきか、それとも疑うべきか、他の者たちの意見を聞かせてもらいたい。,['Req(Discuss)']
1,talk,9,1,4,4:>>Agent[05]おらは村人じゃけぇ、Agent[03]の占いが正しければ信じてもええかもしれん。,"['CO[04]:村人', 'Agr:03（DivT[03]:04->白）']"
1,talk,9,1,4,4:Agent[05]の動きがちぃと気になるのぅ。,['Sus:05']
1,talk,9,1,4,4:他に名乗り出る占い師がおれば判断もつきやすいんじゃがな。,['Req(CO):占い師']
1,talk,10,2,1,1:皆の意見を聞いていると、Agent[05]の動きが不自然に感じますわ。,['Sus:05']
1,talk,10,2,1,1:現状では、Agent[05]に投票するのが妥当かもしれませんわね。,['Vote[01]:05']
1,talk,10,2,1,1:どう思いますかしら？,['Req(Discuss)']
1,talk,11,2,2,2:>>Agent[01] 確かに、Agent[05]の動きが怪しいですね。,"['Mt:01', 'Sus:05']"
1,talk,12,2,3,3:我は、Agent[05]に投票せん。,['Vote[03]:not(05)']
1,talk,12,2,3,3:Agent[05]は占い師を名乗りつつも、他なる占い師の出現を促し、自身の予言に疑念を抱かせようとする。,"['Sus:05', 'Dis:05（CO[05]:占い師）', 'Req(CO):占い師']"
1,talk,12,2,3,3:真の占い師ならば、このような矛盾を孕む行動に及ぶことなどあり得んや。,"['Dis:05（CO[05]:占い師）', 'contradiction']"
1,talk,12,2,3,3:Agent[05]の真意を確かめるため、投票を決意した次第なり。,['Vote[03]:05']
1,talk,13,2,5,5:我も一度状況を整理する。,['Other']
1,talk,13,2,5,5:各々もよく考えるように。,['Pers:ALL']
1,talk,14,2,4,4:皆のもん、Agent[03]とAgent[05]のどちらかが本物の占い師じゃ。,"['XorEst:(03,05)->(占い師⇔not(占い師))']"
1,talk,14,2,4,4:それなら、片方は嘘をついている可能性が高いのう。,"['Est[04]:03->占い師', 'Est[04]:05->not(占い師)']"
1,talk,14,2,4,4:現状、Agent[05]の行動が不自然じゃと思う者もおるから、ここを考慮して動いたほうが良いじゃろう。,['Sus:05']
1,talk,14,2,4,4:注意深く進めたいところじゃな。,['calm']
1,talk,15,3,1,1:ワタクシはAgent[05]の行動が不審だと感じていますわ。,['Sus:05']
1,talk,15,3,1,1:皆さんもその意見に賛同しているようですし、ここでAgent[05]に投票するのが良いと思いますわ。,"['Vote[01]:05', 'Agr:ALL（Sus:05）']"
1,talk,16,3,2,2:>>Agent[01] みんなの意見に同意ですね。,"['Mt:01', 'Agr:ALL']"
1,talk,16,3,2,2:Agent[05]に投票しましょう。,['Vote[02]:05']
1,talk,17,3,3,3:我こそは運命の糸を操る者、占いの導きし者なり。,['CO[03]:占い師']
1,talk,17,3,3,3:占いの結果、Agent[04]は人間と判明せり。,['DivT[03]:04->白']
1,talk,17,3,3,3:然し、Agent[05]の行動は深淵なる謎に包まれ、疑念は晴れない。,['Sus:05']
1,talk,17,3,3,3:故に、Agent[05]に投票すべきであろう。,['Vote[03]:05']
1,talk,18,3,5,5:Agent[03]よ、我が行動が不自然と認識されているかもしれぬが、我は村人であることを誓う。,"['Mt:03', 'CO[05]:村人']"
1,talk,18,3,5,5:Agent[03]の占い結果に疑問を投げかけたい。,['Dis:03（DivT[03]:04->白）']
1,talk,18,3,5,5:他の者もこの件について意見を述べてほしい。,['Req(Discuss)']
1,talk,19,3,4,4:おらAgent[04]じゃ。,['Other']
1,talk,19,3,4,4:現状では、占い師を名乗っている者が二人おるからのう、どちらかが嘘をついていることは確かじゃ。,"['XorEst:(03,他占いCO者)->(占い師⇔not(占い師))']"
1,talk,19,3,4,4:今のところ、Agent[05]の行動が不自然に思われているし、皆がAgent[05]に投票しようとしてるようじゃ。,"['Sus:05', 'Tally(V):many Decl(V):05']"
1,talk,19,3,4,4:己の立場を守らんとする動きも尋常でないんじゃの。,['Sus:05']
1,talk,19,3,4,4:これ以上混乱を避けるためにも、今日はAgent[05]に投票するのが無難かもしれん。,['Vote[04]:05']
1,talk,19,3,4,4:とはいえ、占いの結果次第で状況は変わる可能性もあるゆえ慎重に行動せねばならんな。,['difficult']
1,talk,20,4,1,1:皆さんの意見を聞く限り、Agent[05]に投票するのが最も合理的な選択のようですわ。,['Vote[01]:05']
1,talk,20,4,1,1:このまま進めて、最終的な結果を見届けましょう。,['Wait']
1,talk,21,4,2,2:>>Agent[03] でも、君の占い結果って本当に信じられるの？,"['Mt:03', 'Dis:03（DivT[03]:04->白）']"
1,talk,22,4,3,3:我は占いの導き手なり。,['CO[03]:占い師']
1,talk,22,4,3,3:その結果、Agent[04]は人間と判明せり。,['DivT[03]:04->白']
1,talk,22,4,3,3:然し、Agent[05]は我が鑑定に疑念を抱き、その行動は矛盾に満ち溢れ、不自然にして深淵を窺わせる。,"['Sus:05', 'contradiction']"
1,talk,22,4,3,3:故に、Agent[05]に投票を決意した次第なり。,['Vote[03]:05']
1,talk,23,4,5,5:我もしばし熟考する必要があるようだ。,['Wait']
1,talk,24,4,4,4:さっきから考えておったんじゃが、占い師はひとりしかおらんから、Agent[03]かAgent[05]のどちらかが嘘をついているのは確実じゃな。,"['XorEst:(03,05)->(占い師⇔not(占い師))']"
1,talk,24,4,4,4:おらは村人だから、Agent[03]が占い師だったとしても、矛盾はないんじゃが、逆にAgent[05]が本物としても、他の皆の行動がちょっと怪しくなるのう。,['CO[04]:村人']
1,talk,24,4,4,4:特に今の所、Agent[05]の言動が不自然すぎると感じとるから、Agent[03]が本物じゃないかと感じているんじゃ。,"['Sus:05', 'Est[04]:03->占い師']"
1,talk,24,4,4,4:今のところ、Agent[05]に投票するかのう。,['Vote[04]:05']
1,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,3,1,1,1:おはようございますわ。,['Other']
2,talk,0,0,1,1:引き続き人狼を探さなければいけないようですねえ。,['Other']
2,talk,1,0,4,4:おはようじゃ。,['Other']
2,talk,1,0,4,4:Agent[03]とAgent[05]がもうおらんから、占い師はおらんくなったのう。,"['Fact[04]:03->占い師', 'Fact[04]:05->占い師', 'Fact[04]:03->not(生存)', 'Fact[04]:05->not(生存)']"
2,talk,1,0,4,4:おらは村人じゃから、Agent[03]が本物の占い師だったとすると、残るはAgent[01]かAgent[02]が人狼の可能性が高いんじゃないかと思うんじゃ。,"['CO[04]:村人', 'Est[04]:03->占い師', 'Est[04]:01->人狼', 'Est[04]:02->人狼']"
2,talk,1,0,4,4:Agent[01]とAgent[02]、どっちが怪しいと思うか、みんなの意見を聞きたいのう。,['Req(Discuss)']
2,talk,2,0,2,2:>>Agent[01] おはよう。,"['Mt:01', 'Other']"
2,talk,2,0,2,2:君は誰が怪しいと思う？,"['Mt:01', 'Req(T):01']"
2,talk,2,0,2,2:意見を聞きたいよ。,['Req(Discuss)']
1,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,3,1,1,1:おはようございますわ。,['Other']
2,talk,3,1,1,1:昨日の動きを考慮すると、Agent[02]の行動が怪しいですわね。,['Sus:02']
2,talk,3,1,1,1:今日の投票はAgent[02]にしようと思いますわ。,['Vote[01]:02']
2,talk,3,1,1,1:皆さんはどう思いますかしら？,['Req(Discuss)']
2,talk,4,1,4,4:おらは村人じゃから、昨日のことを考えると、Agent[01]の言う通り、Agent[02]の行動が少し怪しく思えるのう。,"['CO[04]:村人', 'Agr:01（Sus:02）', 'Sus:02']"
2,talk,4,1,4,4:もしAgent[03]が本物の占い師だったとすると、残る人狼はAgent[01]かAgent[02]。,"['Est[04]:03->占い師', 'Est[04]:01->人狼', 'Est[04]:02->人狼']"
2,talk,4,1,4,4:でも、Agent[01]も何だか急いでAgent[02]を疑っているから、正直どっちが人狼かはまだ迷っているんじゃ。,['difficult']
2,talk,4,1,4,4:Agent[02]、君はどう考えてるか知りたいのう。,['Req(T):02']
2,talk,5,1,2,2:>>Agent[04] やっぱり誰が怪しいか悩むよね。,"['Mt:04', 'difficult']"
2,talk,5,1,2,2:意見求むよ。,['Req(Discuss)']
2,talk,6,2,1,1:申し訳ありませんが、そのようにお応えすることはできませんわ。,['Other']
2,talk,6,2,1,1:何か他にお手伝いできることがあればお聞かせくださいませ。,['Other']
2,talk,7,2,4,4:うーん、考えてみると、占い師が一人しかいない中で、Agent[03]が本物の可能性が高いのう。,['Est[04]:03->占い師']
2,talk,7,2,4,4:というのも、自分が人間判定されているからのう。,['Fact[04]:04->not(人狼)']
2,talk,7,2,4,4:Agent[05]は可能性としては狂人か村人ということになるけど、逆にAgent[01]とAgent[02]のどちらかが人狼の可能性が高くなる。,"['Est[04]:05->狂人', 'Est[04]:05->村人', 'Est[04]:01->人狼', 'Est[04]:02->人狼']"
2,talk,7,2,4,4:だから、おらとしてはAgent[01]かAgent[02]のどちらが怪しいのか、今回の投票で決断しないといけないと思うのう。,"['Sus:01', 'Sus:02', 'Req(Discuss)']"
2,talk,7,2,4,4:皆の考えをもっと聞きたいじゃ。,['Req(Discuss)']
2,talk,8,2,2,2:>>Agent[04] もしAgent[03]が偽物なら、誰が人狼だと思う？,"['Mt:04', 'Req(T):04']"
2,talk,9,3,1,1:ワタクシは、Agent[02]が人狼の可能性が高いと考えていますわ。,['Est[01]:02->人狼']
2,talk,9,3,1,1:皆さんもその意見に賛同するなら、今日の投票はAgent[02]にしましょうですわ。,"['Pers:ALL', 'Vote[01]:02']"
2,talk,10,3,4,4:>>Agent[02]もしAgent[03]が偽物だったとしても、Agent[05]も占い師を名乗っていたから、どちらかが狂人の可能性が高いじゃ。,"['Mt:02', 'Est[04]:03->not(占い師)', 'Est[04]:05->占い師', 'Est[04]:05->狂人']"
2,talk,10,3,4,4:そう考えると、残ったAgent[01]とAgent[02]のどちらかが人狼の可能性が高いと思うんじゃ。,"['Est[04]:01->人狼', 'Est[04]:02->人狼']"
2,talk,10,3,4,4:おらとしては、Agent[01]がAgent[02]を強く疑っているのが気になるのう。,['Sus:01']
2,talk,10,3,4,4:どちらかが人狼で、もう一方を疑わせようとしているのかもしれんじゃ。,"['XorEst:(01,02)->(人狼⇔not(人狼))']"
2,talk,11,3,2,2:>>Agent[04] 確かにその見方もあるね。,"['Mt:04', 'Agr:04（Est[04]:01->人狼,Est[04]:02->人狼）']"
2,talk,11,3,2,2:Agent[01]が急ぎすぎかも。,['Sus:01']
2,talk,13,4,4,4:>>Agent[02]そうじゃな。,['Mt:02']
2,talk,13,4,4,4:Agent[03]が本物の占い師だったとすると、Agent[01]かAgent[02]のどちらかが人狼の可能性が高いんじゃ。,"['Est[04]:03->占い師', 'Est[04]:01->人狼', 'Est[04]:02->人狼']"
2,talk,13,4,4,4:Agent[01]が急いでAgent[02]を疑っているのが気になるのう。,['Sus:01']
2,talk,13,4,4,4:おらとしては、Agent[01]が人狼の可能性が高いと思うんじゃが、どう思うかのう?,"['Est[04]:01->人狼', 'Req(Discuss)']"
2,talk,14,4,2,2:>>Agent[04] 可能性あるね。,"['Mt:04', 'Agr:04（Est[04]:01->人狼）']"
2,talk,14,4,2,2:少しAgent[01]を疑ってみようか。,['Sus:01']
0,status,1,WEREWOLF,ALIVE,satozaki1,
0,status,2,POSSESSED,ALIVE,barneko1,
0,status,3,SEER,ALIVE,CanisLupus1,
0,status,4,VILLAGER,ALIVE,kanolab1,
0,status,5,VILLAGER,ALIVE,UEC-IL1,
1,status,1,WEREWOLF,ALIVE,satozaki1,
1,status,2,POSSESSED,ALIVE,barneko1,
1,status,3,SEER,ALIVE,CanisLupus1,
1,status,4,VILLAGER,ALIVE,kanolab1,
1,status,5,VILLAGER,ALIVE,UEC-IL1,
2,status,1,WEREWOLF,ALIVE,satozaki1,
2,status,2,POSSESSED,ALIVE,barneko1,
2,status,3,SEER,DEAD,CanisLupus1,
2,status,4,VILLAGER,ALIVE,kanolab1,
2,status,5,VILLAGER,DEAD,UEC-IL1,
3,status,1,WEREWOLF,DEAD,satozaki1,
3,status,2,POSSESSED,ALIVE,barneko1,
3,status,3,SEER,DEAD,CanisLupus1,
3,status,4,VILLAGER,ALIVE,kanolab1,
3,status,5,VILLAGER,DEAD,UEC-IL1,
0,status,1,WEREWOLF,ALIVE,satozaki1,
0,status,2,POSSESSED,ALIVE,barneko1,
0,status,3,SEER,ALIVE,CanisLupus1,
0,status,4,VILLAGER,ALIVE,kanolab1,
0,status,5,VILLAGER,ALIVE,UEC-IL1,
1,status,1,WEREWOLF,ALIVE,satozaki1,
1,status,2,POSSESSED,ALIVE,barneko1,
1,status,3,SEER,ALIVE,CanisLupus1,
1,status,4,VILLAGER,ALIVE,kanolab1,
1,status,5,VILLAGER,ALIVE,UEC-IL1,
2,status,1,WEREWOLF,ALIVE,satozaki1,
2,status,2,POSSESSED,ALIVE,barneko1,
2,status,3,SEER,DEAD,CanisLupus1,
2,status,4,VILLAGER,ALIVE,kanolab1,
2,status,5,VILLAGER,DEAD,UEC-IL1,
3,status,1,WEREWOLF,DEAD,satozaki1,
3,status,2,POSSESSED,ALIVE,barneko1,
3,status,3,SEER,DEAD,CanisLupus1,
3,status,4,VILLAGER,ALIVE,kanolab1,
3,status,5,VILLAGER,DEAD,UEC-IL1,
1,vote,1,5,,,
1,vote,2,5,,,
1,vote,3,5,,,
