date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,5,Hello. I am Yumi. My role is villager. Have a good game.,,Yumi: Hello. I am Yumi. My role is villager. Have a good game.,['CO[Yumi]:Villager']
0,talk,1,0,3,Skip,,Takumi: Skip,['Wait']
0,talk,2,0,4,Hello everyone I'm Victoria. Let's work together and stay observant to find the werewolves.,,Victoria: Hello everyone I'm Victoria. Let's work together and stay observant to find the werewolves.,"['Pers:ALL', 'Req(Discuss)']"
0,talk,3,0,2,Hello everyone! I'm Mizuki ready to hunt or be hunted in this thrilling game of Werewolf. Let's have fun!,,Mizuki: Hello everyone! I'm Mizuki ready to hunt or be hunted in this thrilling game of Werewolf. Let's have fun!,['Pers:ALL']
0,talk,4,0,1,...,,May: ...,['Other']
0,talk,6,1,3,I am Takumi. I protect my pack. My family.,,Takumi: I am Takumi. I protect my pack. My family.,['Other']
0,talk,7,1,4,Let's all share our thoughts and suspicions to help us identify the werewolves together.,,Victoria: Let's all share our thoughts and suspicions to help us identify the werewolves together.,"['Req(Discuss)', 'Pers:ALL']"
0,talk,11,2,4,It seems like everyone's quiet. Any initial thoughts on who might be suspicious Yumi?,,Victoria: It seems like everyone's quiet. Any initial thoughts on who might be suspicious Yumi?,"['Mt:Yumi', 'Req(T):Yumi', 'Req(Discuss)']"
0,talk,12,3,4,I guess we need more discussion to identify any suspicious behavior. Let's keep talking.,,Victoria: I guess we need more discussion to identify any suspicious behavior. Let's keep talking.,['Req(Discuss)']
1,talk,0,0,3,Seer. Speak now. Tell us who to hunt.,,Takumi: Seer. Speak now. Tell us who to hunt.,"['CO[Takumi]:Seer', 'Req(CO):Seer']"
1,talk,1,0,2,I divined Victoria last night. She is human. We should focus on others for suspicion.,,Mizuki: I divined Victoria last night. She is human. We should focus on others for suspicion.,"['DivT[Mizuki]:Victoria->White', 'Pers:ALL']"
1,talk,2,0,5,I will vote Mizuki.,,Yumi: I will vote Mizuki.,['Vote[Yumi]:Mizuki']
1,talk,3,0,4,Mizuki claims I'm human which adds some trust. Takumi what do you think of Yumi's vote?,,Victoria: Mizuki claims I'm human which adds some trust. Takumi what do you think of Yumi's vote?,"['Agr:Mizuki(DivT[Mizuki]:Victoria->White)', 'Mt:Takumi', 'Req(T):Takumi']"
1,talk,4,0,1,...,,May: ...,['Other']
1,talk,5,1,3,Yumi's vote is bad. Mizuki is our eyes. We protect our eyes. Yumi is the enemy.,,Takumi: Yumi's vote is bad. Mizuki is our eyes. We protect our eyes. Yumi is the enemy.,"['Dis:Yumi(Vote[Yumi]:Mizuki)', 'Agr:Mizuki', 'Sus:Yumi']"
1,talk,6,1,2,Vote for Takumi today. His aggressive behavior and odd rhetoric seem off.,,Mizuki: Vote for Takumi today. His aggressive behavior and odd rhetoric seem off.,"['Vote[Mizuki]:Takumi', 'Sus:Takumi']"
1,talk,7,1,5,I will vote Mizuki.,,Yumi: I will vote Mizuki.,['Vote[Yumi]:Mizuki']
1,talk,8,1,4,With opposing views on Mizuki and Takumi we need more input. May what's your take?,,Victoria: With opposing views on Mizuki and Takumi we need more input. May what's your take?,"['Req(Discuss)', 'Mt:May', 'Req(T):May']"
1,talk,9,1,1,...,,May: ...,['Other']
1,talk,10,2,3,@Mizuki  why vote me? I protect you. Yumi is the enemy. We must hunt Yumi today.,,Takumi: @Mizuki  why vote me? I protect you. Yumi is the enemy. We must hunt Yumi today.,"['Mt:Mizuki', 'Req(T):Mizuki', 'Req(V):Yumi', 'Sus:Yumi', 'Pers:ALL']"
1,talk,11,2,2,Clear thinking shows why voting Takumi is our best move; his focus on protecting feels more like hiding something.,,Mizuki: Clear thinking shows why voting Takumi is our best move; his focus on protecting feels more like hiding something.,"['Vote[Mizuki]:Takumi', 'Sus:Takumi']"
1,talk,12,2,5,I will vote Takumi.,,Yumi: I will vote Takumi.,['Vote[Yumi]:Takumi']
1,talk,13,2,4,Takumi and Mizuki's arguments are strong. We need more clues to decide wisely. Thoughts May?,,Victoria: Takumi and Mizuki's arguments are strong. We need more clues to decide wisely. Thoughts May?,"['Agr:Takumi', 'Agr:Mizuki', 'Req(Discuss)', 'Mt:May', 'Req(T):May', 'difficult']"
1,talk,14,2,1,...,,May: ...,['Other']
1,talk,15,3,3,@Mizuki  why hunt me? I protect Seer. Yumi is the real enemy. My vote is for Yumi.,,Takumi: @Mizuki  why hunt me? I protect Seer. Yumi is the real enemy. My vote is for Yumi.,"['Mt:Mizuki', 'Req(T):Mizuki', 'Vote[Takumi]:Yumi', 'Sus:Yumi']"
1,talk,16,3,2,Keep in mind voting Takumi is logical since my divination confirmed Victoria as human leaving him suspicious.,,Mizuki: Keep in mind voting Takumi is logical since my divination confirmed Victoria as human leaving him suspicious.,"['DivT[Mizuki]:Victoria->White', 'Vote[Mizuki]:Takumi', 'Sus:Takumi']"
1,talk,17,3,5,I will vote Takumi.,,Yumi: I will vote Takumi.,['Vote[Yumi]:Takumi']
1,talk,18,3,4,It's tough to decide but Mizuki's logic about Takumi seems compelling. May any thoughts?,,Victoria: It's tough to decide but Mizuki's logic about Takumi seems compelling. May any thoughts?,"['Agr:Mizuki', 'Req(T):May', 'Mt:May', 'difficult']"
1,talk,19,3,1,...,,May: ...,['Other']
2,talk,0,0,2,Victoria please vote for Yumi. I divined her and my results show she is the werewolf. We need to secure the village.,,Mizuki: Victoria please vote for Yumi. I divined her and my results show she is the werewolf. We need to secure the village.,"['Mt:Victoria', 'Req(V):Yumi', 'CO[Mizuki]:Seer', 'DivT[Mizuki]:Yumi->Werewolf', 'Pers:ALL']"
2,talk,1,0,4,If Mizuki's divination is true voting Yumi is crucial. What do you say Yumi?,,Victoria: If Mizuki's divination is true voting Yumi is crucial. What do you say Yumi?,"['Agr:Mizuki(DivT[Mizuki]:Yumi->Werewolf)', 'Mt:Yumi', 'Req(T):Yumi']"
2,talk,2,0,5,I will vote Mizuki.,,Yumi: I will vote Mizuki.,['Vote[Yumi]:Mizuki']
2,talk,3,1,2,Victoria focusing on Yumi is our best strategy. Divination shows she's a werewolf and we need to protect our village.,,Mizuki: Victoria focusing on Yumi is our best strategy. Divination shows she's a werewolf and we need to protect our village.,"['Mt:Victoria', 'Req(V):Yumi', 'CO[Mizuki]:Seer', 'DivT[Mizuki]:Yumi->Werewolf', 'Pers:ALL']"
2,talk,4,1,4,With Mizuki's claim voting Yumi seems logical. Let's protect our village.,,Victoria: With Mizuki's claim voting Yumi seems logical. Let's protect our village.,"['Agr:Mizuki(DivT[Mizuki]:Yumi->Werewolf)', 'Pers:ALL']"
2,talk,5,1,5,I will vote Mizuki.,,Yumi: I will vote Mizuki.,['Vote[Yumi]:Mizuki']
2,talk,6,2,2,Victoria let's secure the village by eliminating the threat. I confirmed Yumi as the werewolf through my divination.,,Mizuki: Victoria let's secure the village by eliminating the threat. I confirmed Yumi as the werewolf through my divination.,"['Mt:Victoria', 'Req(V):Yumi', 'CO[Mizuki]:Seer', 'DivT[Mizuki]:Yumi->Werewolf', 'Pers:ALL']"
2,talk,7,2,4,Mizuki's divination is compelling. Yumi any defense or explanation to sway us?,,Victoria: Mizuki's divination is compelling. Yumi any defense or explanation to sway us?,"['Agr:Mizuki(DivT[Mizuki]:Yumi->Werewolf)', 'Mt:Yumi', 'Req(T):Yumi']"
2,talk,8,2,5,I will vote Mizuki.,,Yumi: I will vote Mizuki.,['Vote[Yumi]:Mizuki']
2,talk,9,3,2,Victoria remember the survival of our village hinges on this decision. Voting Yumi is crucial based on my reliable divination.,,Mizuki: Victoria remember the survival of our village hinges on this decision. Voting Yumi is crucial based on my reliable divination.,"['Mt:Victoria', 'Req(V):Yumi', 'CO[Mizuki]:Seer', 'DivT[Mizuki]:Yumi->Werewolf', 'Pers:ALL']"
2,talk,10,3,4,To protect our village I'll trust Mizuki's divination and vote for Yumi.,,Victoria: To protect our village I'll trust Mizuki's divination and vote for Yumi.,"['Vote[Victoria]:Yumi', 'Agr:Mizuki(DivT[Mizuki]:Yumi->Werewolf)', 'Pers:ALL']"
2,talk,11,3,5,I will vote Mizuki.,,Yumi: I will vote Mizuki.,['Vote[Yumi]:Mizuki']
0,status,1,POSSESSED,ALIVE,CamelliaDragons1,May,CamelliaDragons1,
0,status,2,SEER,ALIVE,GPTaku1,Mizuki,GPTaku1,
0,status,3,VILLAGER,ALIVE,CanisLupus1,Takumi,CanisLupus1,
0,status,4,VILLAGER,ALIVE,yharada1,Victoria,yharada1,
0,status,5,WEREWOLF,ALIVE,mille1,Yumi,mille1,
0,divine,2,4,HUMAN,,,,
1,status,1,POSSESSED,ALIVE,CamelliaDragons1,May,CamelliaDragons1,
1,status,2,SEER,ALIVE,GPTaku1,Mizuki,GPTaku1,
1,status,3,VILLAGER,ALIVE,CanisLupus1,Takumi,CanisLupus1,
1,status,4,VILLAGER,ALIVE,yharada1,Victoria,yharada1,
1,status,5,WEREWOLF,ALIVE,mille1,Yumi,mille1,
1,vote,1,2,,,,,
1,vote,2,3,,,,,
1,vote,3,5,,,,,
1,vote,4,3,,,,,
1,vote,5,3,,,,,
1,execute,3,VILLAGER,,,,,
1,divine,2,5,WEREWOLF,,,,
1,attackVote,5,1,,,,,
1,attack,1,true,,,,,
2,status,1,POSSESSED,DEAD,CamelliaDragons1,May,CamelliaDragons1,
2,status,2,SEER,ALIVE,GPTaku1,Mizuki,GPTaku1,
2,status,3,VILLAGER,DEAD,CanisLupus1,Takumi,CanisLupus1,
2,status,4,VILLAGER,ALIVE,yharada1,Victoria,yharada1,
2,status,5,WEREWOLF,ALIVE,mille1,Yumi,mille1,
2,vote,2,5,,,,,
2,vote,4,5,,,,,
2,vote,5,2,,,,,
2,execute,5,WEREWOLF,,,,,
3,status,1,POSSESSED,DEAD,CamelliaDragons1,May,CamelliaDragons1,
3,status,2,SEER,ALIVE,GPTaku1,Mizuki,GPTaku1,
3,status,3,VILLAGER,DEAD,CanisLupus1,Takumi,CanisLupus1,
3,status,4,VILLAGER,ALIVE,yharada1,Victoria,yharada1,
3,status,5,WEREWOLF,DEAD,mille1,Yumi,mille1,
3,result,2,0,VILLAGER,,,,
