date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:皆さん、私は村人です。,['CO[03]:村人']
1,talk,0,0,3,3:互いの意見や推理を共有することで、情報を集めることができるので、怪しいと思う点や人狼の可能性を指摘してください。,['Req(Discuss)']
1,talk,1,0,4,4:ぼくはAgent[04]ですよぅ！,['Other']
1,talk,2,0,5,5:我こそは運命の糸を操る者、占い師なり。,['CO[05]:占い師']
1,talk,2,0,5,5:天啓により示されたるは、Agent[03]、汝は人狼たるべし。,['DivT[05]:03->黒']
1,talk,3,0,2,2:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,1,1:ワタクシは占い師ですわ。,['CO[01]:占い師']
1,talk,4,0,1,1:占いの結果、Agent[05]は人間でしたわ。,['DivT[01]:05->白']
1,talk,5,1,3,3:まだ何も動いていないけど、みんなでしっかり話し合おう。,['Req(Discuss)']
1,talk,5,1,3,3:占い師の意見も尊重したいね。,['Other']
1,talk,5,1,3,3:どんなことでも意見あれば言ってほしいな。,['Req(Discuss)']
1,talk,6,1,4,4:占い師の結果に基づいて、Agent[05]は人間ということがわかったですよぅ！,['Fact[04]:05->not(人狼)']
1,talk,8,1,2,2:Agent[05]よ、占い師としてAgent[03]を人狼であると断言したが、その根拠は何か？,"['Mt:05', 'Req(T):05']"
1,talk,8,1,2,2:具体的な説明を求めたい。,['Req(T):05']
1,talk,9,1,1,1:Agent[05]の発言を受けて、ワタクシの占い結果に信頼を置いてほしいですわ。,['Pers:ALL']
1,talk,9,1,1,1:ワタクシが占った結果、Agent[05]は人間ですので、ワタクシの意見を尊重してくださいまし。,['Pers:ALL']
1,talk,10,2,3,3:皆さん、私を人狼と指摘しているAgent[05]の意見について、皆さんはどう思いますか？,['Req(Discuss)']
1,talk,10,2,3,3:Agent[01]の占いも考慮して、一緒に意見を出し合いましょう。,['Req(Discuss)']
1,talk,12,2,2,2:Agent[01]、Agent[05]、汝らが占い師を名乗っておるが、どちらの占い結果が真実であるかを証明せよ。,"['Mt:01', 'Mt:05', 'Req(T):01', 'Req(T):05']"
1,talk,12,2,2,2:国の安寧のためにも、真実を明らかにすることが急務である。,['Req(Discuss)']
1,talk,13,2,1,1:そのため、ワタクシが占い師として信じるのはAgent[05]ですわ。,"['Est[01]:05->占い師', 'Pers:ALL']"
1,talk,13,2,1,1:彼の発言が気になりますので、次の投票ではAgent[03]にしますわ。,"['Sus:03', 'Vote[01]:03']"
1,talk,14,3,3,3:Agent[05]の根拠をぜひ教えてほしいです。,['Req(T):05']
1,talk,14,3,3,3:私が人狼だという証拠は何かあるの？,['Req(T):01']
1,talk,14,3,3,3:明確な理由があれば教えてください。,['Req(T):01']
1,talk,15,3,2,2:Agent[01]よ、汝が占い師であると主張するが、なぜAgent[05]を人間と断言できるのか？,"['Mt:01', 'Req(T):01']"
1,talk,15,3,2,2:その根拠を明らかにせよ。,['Req(T):01']
1,talk,16,3,1,1:ワタクシが占った結果を信じてほしいのですわ。,['Pers:ALL']
1,talk,16,3,1,1:Agent[05]が人間であることは明確な事実ですので、次の投票でAgent[03]に投票いたしますわ。,"['Fact[01]:05->not(人狼)', 'Vote[01]:03']"
1,talk,18,4,2,2:Agent[01]よ、汝がAgent[05]を人間と占った根拠を述べよ。,"['Mt:01', 'Req(T):01']"
1,talk,18,4,2,2:この情報は我々が真実を見極める上で重要だ。,['Other']
1,talk,19,4,1,1:ワタクシの占い結果が真実であると信じてくださいませ。,['Pers:ALL']
1,talk,19,4,1,1:次の投票でAgent[03]に入れますので、意見をまとめて決定しましょうですわ。,"['Vote[01]:03', 'Req(Discuss)']"
2,talk,0,0,1,1:おはようございますわ。,['Other']
2,talk,0,0,1,1:引き続き人狼を探さなければいけないようですねえ。,['Req(Discuss)']
2,talk,1,0,2,2:Agent[04]よ、汝の見解を聞かせてほしい。,"['Mt:04', 'Req(T):04']"
2,talk,1,0,2,2:Agent[01]とAgent[05]の言葉をどう評価するか？,"['Mt:01', 'Mt:05', 'Req(T):04']"
2,talk,1,0,2,2:我々は真実を見極めねばならぬ。,['Req(Discuss)']
2,talk,2,0,4,4:ぼくは村人ですよぅ！,['CO[04]:村人']
2,talk,3,1,1,1:ワタクシはAgent[03]が人狼であると信じておりますわ。,['Est[01]:03->人狼']
2,talk,3,1,1,1:引き続き議論を深め、次の投票でもAgent[03]に入れようと思っておりますわ。,['Vote[01]:03']
2,talk,4,1,2,2:Agent[01]よ、汝が占い師であると主張するが、Agent[05]が人間であると断言した根拠を詳しく説明せよ。,"['Mt:01', 'Req(T):01']"
2,talk,4,1,2,2:もしもその説明が不十分であるならば、汝の信憑性に疑問を持たざるを得ない。,['Sus:01']
2,talk,5,1,4,4:Agent[01]の発言は、Agent[03]を人狼と疑っているようだが、果たしてその根拠はあるのか？,"['Mt:01', 'Sus:03']"
2,talk,5,1,4,4:Agent[01]が人狼でないと証明することはできないが、Agent[03]が人狼であると決めつけることもできないですよぅ！,"['Dis:01（Est[01]:03->人狼）', 'Dis:01（Fact[01]:not(人狼)）']"
2,talk,6,2,1,1:Agent[03]が人狼でないと証明することは難しいですが、ワタクシが占った結果を基に判断していますわ。,"['Mt:03', 'Fact[01]:03->人狼']"
2,talk,6,2,1,1:次の投票もAgent[03]に入れる所存ですわ。,['Vote[01]:03']
2,talk,7,2,2,2:Agent[01]よ、なぜAgent[05]を人間と断言するのか、その根拠を示せ。,"['Mt:01', 'Req(T):01']"
2,talk,7,2,2,2:我々は真実を知る権利がある。,['Req(Discuss)']
2,talk,9,3,1,1:ワタクシはAgent[03]が人狼であると確信しておりますので、次の投票でも同じくAgent[03]に入れますわ。,"['Vote[01]:03', 'Est[01]:03->人狼']"
2,talk,9,3,1,1:引き続き皆様の意見を伺いたいですわ。,['Req(Discuss)']
2,talk,10,3,2,2:Agent[01]よ、汝の占い結果には疑念が残る。,['Sus:01']
2,talk,10,3,2,2:Agent[05]が既に処刑された後に人間であると断言する根拠を示せ。,"['Mt:01', 'Req(T):01']"
2,talk,10,3,2,2:我々は正確な情報に基づき行動せねばならぬ。,['calm']
2,talk,12,4,2,2:我はデルカダール国の国王である。,['Other']
2,talk,12,4,2,2:今回、私の投票先はAgent[01]である。,['Vote[02]:01']
2,talk,12,4,2,2:Agent[01]の占い師としての信憑性に疑問を抱いており、特にAgent[05]を人間であると断言する根拠について不明瞭であると感じている。,"['Sus:01', 'Dis:01（DivT[01]:05->白）']"
2,talk,12,4,2,2:そのため、我が国の村人として、Agent[01]に投票することを決めた。,"['Fact[02]:02->村人', 'Vote[02]:01']"
0,status,1,SEER,ALIVE,satozaki1,
