date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,2,Skip,,Yumi: Skip,['Wait']
0,talk,1,0,3,Hello everyone! I'm George excited to play Werewolf with you all. Let's have a thrilling game!,,George: Hello everyone! I'm George excited to play Werewolf with you all. Let's have a thrilling game!,['Other']
0,talk,2,0,4,Hi I'm Minato. I will come out as Seer if that's okay. No results yet. Share first thoughts. Who feels safe or strange? @Yumi  if it's okay could you share one thought? Who do you want to talk with first? Thank you.,,Minato: Hi I'm Minato. I will come out as Seer if that's okay. No results yet. Share first thoughts. Who feels safe or strange? @Yumi  if it's okay could you share one thought? Who do you want to talk with first? Thank you.,"['CO[Minato]:Seer', 'Req(Discuss)', 'Mt:Yumi', 'Req(T):Yumi']"
0,talk,3,0,1,Good morning everyone let’s keep our eyes sharp today—little details always seem to matter most right at the start,,Victoria: Good morning everyone let’s keep our eyes sharp today—little details always seem to matter most right at the start,"['Req(listen)', 'calm']"
0,talk,4,0,5,I am the seer.  @Minato  claimed seer — this is a role conflict. Reveal your divination result or justification now. If no proof  Minato becomes highly suspicious. I will divi,,Takumi: I am the seer.  @Minato  claimed seer — this is a role conflict. Reveal your divination result or justification now. If no proof  Minato becomes highly suspicious. I will divi,"['CO[Takumi]:Seer', 'Dis:Minato(CO[Minato]:Seer)', 'Req(CO):Seer', 'Sus:Minato']"
0,talk,5,1,2,Hi everyone I'm Yumi! I love playing outside and finding treasure! Let's have a super fun game,,Yumi: Hi everyone I'm Yumi! I love playing outside and finding treasure! Let's have a super fun game,['Other']
0,talk,9,1,5,I am the seer.  @Minato  you claimed seer — reveal your divination result now or be treated as a fake. I will divine tonight and currently suspect Yumi based on behavior. Over,,Takumi: I am the seer.  @Minato  you claimed seer — reveal your divination result now or be treated as a fake. I will divine tonight and currently suspect Yumi based on behavior. Over,"['CO[Takumi]:Seer', 'Req(CO):Seer', 'Dis:Minato(CO[Minato]:Seer)', 'Sus:Yumi']"
0,talk,11,2,5,Minato claimed seer earlier.  @Minato  reveal your divination result now or be treated as a fake. I will divine Yumi tonight. If no proof by end of day  vote Minato. Over,,Takumi: Minato claimed seer earlier.  @Minato  reveal your divination result now or be treated as a fake. I will divine Yumi tonight. If no proof by end of day  vote Minato. Over,"['Dis:Minato(CO[Minato]:Seer)', 'Req(CO):Seer', 'Req(V):Minato', 'Sus:Yumi']"
0,talk,12,3,5,@Minato  Reveal your divination result now or be treated as a fake. If no proof by end of day I will vote you. Over,,Takumi: @Minato  Reveal your divination result now or be treated as a fake. If no proof by end of day I will vote you. Over,"['Mt:Minato', 'Req(CO):Seer', 'Vote[Takumi]:Minato', 'Dis:Minato(CO[Minato]:Seer)']"
1,talk,0,0,1,@Minato  your silence makes it hard to trust—can you share your divination or thoughts now?,,Victoria: @Minato  your silence makes it hard to trust—can you share your divination or thoughts now?,"['Mt:Minato', 'Req(T):Minato']"
1,talk,1,0,2,Minato and Takumi! Did your magic peeks see anything last night? Tell us! Yumi is getting antsy,,Yumi: Minato and Takumi! Did your magic peeks see anything last night? Tell us! Yumi is getting antsy,"['Mt:Minato', 'Mt:Takumi', 'Req(T):Minato', 'Req(T):Takumi']"
1,talk,2,0,3,I divined last night and found that Victoria is the werewolf. We should discuss this further for our safety.,,George: I divined last night and found that Victoria is the werewolf. We should discuss this further for our safety.,"['CO[George]:Seer', 'DivT[George]:Victoria->Werewolf', 'Req(Discuss)']"
1,talk,3,0,5,I divined Yumi last night — she is a werewolf. Vote Yumi.  @George  you claimed divination finding Victoria werewolf; reveal your result or be treated as a fake. Over,,Takumi: I divined Yumi last night — she is a werewolf. Vote Yumi.  @George  you claimed divination finding Victoria werewolf; reveal your result or be treated as a fake. Over,"['CO[Takumi]:Seer', 'DivT[Takumi]:Yumi->Werewolf', 'Vote[Takumi]:Yumi', 'Mt:George', 'Req(T):George']"
1,talk,4,0,4,Skip,,Minato: Skip,['Wait']
1,talk,5,1,1,@George  You say I’m werewolf but I know I’m villager—why lie? Shouldn’t we vote for the one spreading clear falsehoods?,,Victoria: @George  You say I’m werewolf but I know I’m villager—why lie? Shouldn’t we vote for the one spreading clear falsehoods?,"['Mt:George', 'CO[Victoria]:Villager', 'Dis:George(CO[George]:Seer)', 'Req(V):George']"
1,talk,6,1,2,Takumi told a big fib because Yumi is a good guy. George must be a fibber too. Lets vote for Takumi.,,Yumi: Takumi told a big fib because Yumi is a good guy. George must be a fibber too. Lets vote for Takumi.,"['CO[Yumi]:Villager', 'Sus:Takumi', 'Sus:George', 'Vote[Yumi]:Takumi', 'Pers:ALL']"
1,talk,7,1,3,I am the true Seer and my divination result shows Victoria as the werewolf. Please trust in my ability and judgment.,,George: I am the true Seer and my divination result shows Victoria as the werewolf. Please trust in my ability and judgment.,"['CO[George]:Seer', 'DivT[George]:Victoria->Werewolf', 'Pers:ALL']"
1,talk,8,1,5,I divined  @Yumi  last night — she is a werewolf. Vote her. Over,,Takumi: I divined  @Yumi  last night — she is a werewolf. Vote her. Over,"['CO[Takumi]:Seer', 'DivT[Takumi]:Yumi->Werewolf', 'Vote[Takumi]:Yumi']"
1,talk,9,1,4,Good morning. I am Seer. I checked Takumi last night: werewolf. Please stay calm. What do you think? @Victoria  sorry I was late. My result is Takumi wolf. Does that help? Any thoughts please?,,Minato: Good morning. I am Seer. I checked Takumi last night: werewolf. Please stay calm. What do you think? @Victoria  sorry I was late. My result is Takumi wolf. Does that help? Any thoughts please?,"['CO[Minato]:Seer', 'DivT[Minato]:Takumi->Werewolf', 'Mt:Victoria', 'Req(Discuss)']"
1,talk,10,2,1,George's seer claim is false since I’m villager. He’s my top suspect now—is anyone else convinced he’s not the real seer?,,Victoria: George's seer claim is false since I’m villager. He’s my top suspect now—is anyone else convinced he’s not the real seer?,"['CO[Victoria]:Villager', 'Dis:George(CO[George]:Seer)', 'Sus:George', 'Req(Discuss)']"
1,talk,11,2,2,Takumi lied about Yumi! He's a baddie for sure! Let's vote him out now! Da-da-da,,Yumi: Takumi lied about Yumi! He's a baddie for sure! Let's vote him out now! Da-da-da,"['Sus:Takumi', 'Vote[Yumi]:Takumi', 'Pers:ALL']"
