date,type,info1,info2,info3,info4,tag
1,talk,0,0,4,4:おらは村人じゃ。,['CO[04]:村人']
1,talk,0,0,4,4:みんなで協力して人狼を見つけよう！,['Req(Discuss)']
1,talk,1,0,2,2:我こそは、運命の糸を操る者。,['Other']
1,talk,1,0,2,2:占いの結果、Agent[04]は、人狼たる闇の獣と判明したなり。,['DivT[02]:04->黒']
1,talk,2,0,5,5:ボクは占い師なのだ。,['CO[05]:占い師']
1,talk,2,0,5,5:占いの結果、Agent[04]は人間だったのだ。,['DivT[05]:04->白']
1,talk,3,0,1,1:ぼくは村人ですよぅ！,['CO[01]:村人']
1,talk,4,0,3,3:村人として生まれて、すみません。,['CO[03]:村人']
1,talk,4,0,3,3:情報はないので、皆さんのサポートが必要です。,['Req(Discuss)']
1,talk,5,1,4,4:ふむ、占い師が2人名乗りを上げておるのじゃが、真占い師は1人しかおらんはず。,"['Tally(Est):many Est:02->占い師,Est:05->占い師']"
1,talk,5,1,4,4:Agent[05]が本物の占い師なら、おらは村人として信じられるぞ。,"['Est[04]:05->占い師,Est[04]:04->not(人狼)']"
1,talk,5,1,4,4:それだとするとAgent[02]が偽物になる。,['Est[04]:02->not(占い師)']
1,talk,5,1,4,4:みんな、どう思う?,['Req(Discuss)']
1,talk,7,1,5,5:確かに、占い師は1人しかいないはずなのだ。,['Tally(Est):many Est:05->占い師']
1,talk,7,1,5,5:ボクが真の占い師なのだ！,['CO[05]:占い師']
1,talk,7,1,5,5:だから、Agent[02]を信じずに、この場で投票すべきはAgent[02]なのだ！,['Vote[05]:02']
1,talk,8,1,1,1:ぼくは、占い師は1人しかいないというAgent[05]の発言に疑問を抱いていますよぅ！,['Sus:05']
1,talk,9,1,3,3:みんな、Agent[02]とAgent[05]のどちらが本物の占い師なのか、はっきりさせる必要があるね。,['Req(Discuss)']
1,talk,9,1,3,3:どちらかを疑って、結果を話し合おう。,['Req(Discuss)']
1,talk,10,2,4,4:ふむ、今のところAgent[02]とAgent[05]がどちらも占い師だと主張しているが、占い師は1人しかおらんじゃよ。,"['Tally(Est):many Est:02->占い師,Est:05->占い師']"
1,talk,10,2,4,4:どちらかが嘘をついておるということじゃな。,"['XorEst:(02,05)->(not(占い師)⇔占い師)']"
1,talk,10,2,4,4:現状では、Agent[05]が本物だとするとおらは間違いなく村人。,"['IF:(05:占い師)->(04:村人)', 'IF:(05:占い師)->(02:not(占い師))']"
1,talk,10,2,4,4:よって、Agent[02]を疑うべきかもしれんの。,['Sus:02']
1,talk,10,2,4,4:それぞれの意見を聞きながら検討するのが良さそうじゃ。,['Req(Discuss)']
1,talk,11,2,5,5:みんなの意見聞いてるのだが、占いの結果明らかだから、今日はAgent[02]に投票すべきだと考えてるのだ。,['Vote[05]:02']
1,talk,11,2,5,5:おらの判断信じてほしいのだ！,['Pers:ALL']
1,talk,13,2,3,3:確かに占い師が2人いるのはおかしいですね。,['contradiction']
1,talk,13,2,3,3:Agent[02]の言っていることが正しいかどうか、みんなで考えないといけませんね。,['Req(Discuss)']
