date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,3,Hello everyone. I am Misaki. Let's aim for a good game. We should collaborate to discover the werewolf hmm. Over.,,Misaki: Hello everyone. I am Misaki. Let's aim for a good game. We should collaborate to discover the werewolf hmm. Over.,"['Req(Discuss)', 'Pers:ALL', 'calm']"
0,talk,1,0,4,Hello. I am Daisuke. My role is villager. Have a good game.,,Daisuke: Hello. I am Daisuke. My role is villager. Have a good game.,"['CO[Daisuke]:Villager', 'calm']"
0,talk,2,0,2,Hello everyone I'm Shunichi. Let's work together and keep a sharp eye out for the werewolves.,,Shunichi: Hello everyone I'm Shunichi. Let's work together and keep a sharp eye out for the werewolves.,"['Req(Discuss)', 'Pers:ALL', 'calm']"
0,talk,3,0,5,Skip,,Takumi: Skip,['Wait']
0,talk,4,0,1,Hi everyone it’s Rin! I’m excited—let’s make sure no one stays quiet or slips by like a sneaky werewolf!,,Rin: Hi everyone it’s Rin! I’m excited—let’s make sure no one stays quiet or slips by like a sneaky werewolf!,"['Req(Discuss)', 'Pers:ALL', 'admiration']"
0,talk,7,1,2,Rin good point. Let's make sure to speak up and share any suspicions we have.,,Shunichi: Rin good point. Let's make sure to speak up and share any suspicions we have.,"['Agr:Rin(Req(Discuss))', 'Req(Discuss)']"
0,talk,8,1,5,Whoa sorry everyone! I'm Takumi! Hope my bad luck doesn't ruin everything for us hehe.,,Takumi: Whoa sorry everyone! I'm Takumi! Hope my bad luck doesn't ruin everything for us hehe.,['Other']
0,talk,10,2,2,Takumi no worries! Let's use your luck to spot the werewolves instead.,,Shunichi: Takumi no worries! Let's use your luck to spot the werewolves instead.,"['Agr:Takumi', 'Req(Discuss)']"
0,talk,12,3,2,Daisuke you've been quiet. Any thoughts on how we should approach this game?,,Shunichi: Daisuke you've been quiet. Any thoughts on how we should approach this game?,"['Mt:Daisuke', 'Req(T):Daisuke', 'Req(Discuss)']"
1,talk,0,0,3,I am a villager too. Hmm. Shall we all share our roles openly? It might help to create trust and find any inconsistencies.,,Misaki: I am a villager too. Hmm. Shall we all share our roles openly? It might help to create trust and find any inconsistencies.,"['CO[Misaki]:Villager', 'Req(Discuss)']"
1,talk,1,0,4,I will vote Takumi.,,Daisuke: I will vote Takumi.,['Vote[Daisuke]:Takumi']
