date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,2,Hello everyone, I'm Shion! Excited to play werewolf with you all. Let's have some thrilling guesses and lots of fun!,Shion: Hello everyone,['Other']
0,talk,1,0,4,Hello. I am Mizuki. My role is villager. Have a good game.,,Mizuki: Hello. I am Mizuki. My role is villager. Have a good game.,['CO[Mizuki]:Villager']
0,talk,2,0,3,Hello everyone. I'm Shunichi. Let's cut to the chase and enjoy uncovering the werewolf. Looking forward to a fair game together!,,Shunichi: Hello everyone. I'm Shunichi. Let's cut to the chase and enjoy uncovering the werewolf. Looking forward to a fair game together!,['Req(Discuss)']
0,talk,3,0,5,Greetings everyone as the morning breaks I find comfort in quiet company—let’s try to keep this calm.,,Jonathan: Greetings everyone as the morning breaks I find comfort in quiet company—let’s try to keep this calm.,['calm']
0,talk,4,0,1,Skip,,Midori: Skip,['Wait']
0,talk,9,1,1,I am Midori. It is a pleasure to meet you all. I will do my best to be of service.,,Midori: I am Midori. It is a pleasure to meet you all. I will do my best to be of service.,['Other']
0,talk,10,2,1,I am Midori. It is a pleasure to meet you all. I will do my best to be of service.,,Midori: I am Midori. It is a pleasure to meet you all. I will do my best to be of service.,['Other']
1,talk,0,0,2,I divined Shunichi last night and the result was Werewolf. Please let's consider this in our strategy to win.,,Shion: I divined Shunichi last night and the result was Werewolf. Please let's consider this in our strategy to win.,"['CO[Shion]:Seer', 'DivT[Shion]:Shunichi->Werewolf', 'Req(Discuss)', 'Pers:ALL']"
1,talk,1,0,5,Is it wise to trust Shion’s claim so quickly? We have only their word—what if the real Seer hasn’t spoken yet?,,Jonathan: Is it wise to trust Shion’s claim so quickly? We have only their word—what if the real Seer hasn’t spoken yet?,"['Dis:Shion(CO[Shion]:Seer)', 'Sus:Shion', 'Req(Discuss)']"
1,talk,2,0,4,I will vote Shunichi.,,Mizuki: I will vote Shunichi.,['Vote[Mizuki]:Shunichi']
