date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:おはようございますやで。,['Other']
1,talk,0,0,3,3:ワシらは人狼を探さなきゃいけんようじゃのう。,['Req(Discuss)']
1,talk,0,0,3,3:まずは占い師の結果が知りたいんじゃ。,['Req(CO):占い師']
1,talk,1,0,4,4:>>Agent[02] 占い師の名乗り出は大事やね。,"['Mt:02', 'Req(CO):占い師']"
1,talk,1,0,4,4:早く情報が欲しい！,['Req(Discuss)']
1,talk,2,0,5,5:私が占い師を担当しています。,['CO[05]:占い師']
1,talk,2,0,5,5:昨晩、Agent[03]の占いを行ったところ、その結果は人狼であるということが判明しました。,['DivT[05]:03->黒']
1,talk,3,0,2,2:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,1,1:おらが占い師じゃ。,['CO[01]:占い師']
1,talk,4,0,1,1:昨晩はAgent[03]を占ったんじゃが、結果は白、つまり村人陣営だったぞ。,['DivT[01]:03->白']
1,talk,4,0,1,1:Agent[05]が言ってることはどうも怪しいのう。,['Sus:05']
1,talk,14,2,1,1:Agent[05]が言ってることはどうも怪しいのう。,['Sus:05']
1,talk,4,0,1,1:みんな、注意しておくんじゃ。,['Pers:ALL']
1,talk,5,1,3,3:ちょっと待ってくれ！,['Wait']
1,talk,5,1,3,3:Agent[05]の言っていることは信じられんぞ。,['Dis:05（DivT[05]:03->黒）']
1,talk,5,1,3,3:おらが村人であることは確かじゃ。,['Fact[03]:03->not(人狼)']
1,talk,5,1,3,3:Agent[01]の結果を信じて、Agent[05]を疑った方が良いと思う。,['Est[03]:05->人狼']
1,talk,6,1,4,4:>>Agent[02] どちらの占い師も疑わしい気がしますね。,"['Mt:02', 'Est[04]:01->not(占い師)', 'Est[04]:05->not(占い師)']"
1,talk,6,1,4,4:慎重に考えましょう。,['calm']
1,talk,7,1,5,5:私は占い師のAgent[05]です。,['CO[05]:占い師']
1,talk,7,1,5,5:0日目の夜に占った結果、Agent[03]は人狼でした。,['DivT[05]:03->黒']
1,talk,7,1,5,5:この情報を元に、私が本当の占い師であることを理解してほしいです。,"['CO[05]:占い師', 'Pers:ALL']"
1,talk,7,1,5,5:他の皆さんも、この結果を踏まえて考えていきましょう。,['Req(Discuss)']
1,talk,8,1,2,2:Agent[05]よ、その重大な情報を我々に提供してくれたことに感謝する。,"['Mt:05', 'admiration']"
1,talk,8,1,2,2:しかし、Agent[03]が真に人狼であるかどうか、他の者たちの意見も聞かねばならぬ。,['Req(Discuss)']
1,talk,8,1,2,2:Agent[01]、Agent[04]、汝らの見解を示せ。,"['Req(T):01', 'Req(T):04']"
1,talk,9,1,1,1:おらの占い結果じゃが、Agent[03]は白、つまり村人陣営だったんじゃ。,['DivT[01]:03->白']
1,talk,9,1,1,1:Agent[05]が言ってることはどうも怪しいと思うのう。,['Sus:05']
