date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,3,Hello. I am Yumi. My role is villager. Have a good game.,,Yumi: Hello. I am Yumi. My role is villager. Have a good game.,"['CO[Yumi]:Villager', 'calm']"
0,talk,1,0,1,Greetings dear friends. I am Servas. In the great tapestry of life let us weave a game rich in connection and spirited dialogue.,,Servas: Greetings dear friends. I am Servas. In the great tapestry of life let us weave a game rich in connection and spirited dialogue.,"['Pers:ALL', 'Req(Discuss)']"
0,talk,2,0,5,Hehe! Yumi said she's a villager — could be hiding something.  @May  you're acting fishy again  why so quiet? Anyone wanna share their gut feeling or role claim? Over,,Sakura: Hehe! Yumi said she's a villager — could be hiding something.  @May  you're acting fishy again  why so quiet? Anyone wanna share their gut feeling or role claim? Over,"['Sus:Yumi', 'Mt:May', 'Sus:May', 'Req(Discuss)']"
0,talk,3,0,2,Hey hey! I'm Mio loud and proud villager reporting for duty! Let's keep the mood bright but find those wolves yeah? @Servas  your poetic intro made me smile! But are you weaving truth or a sneaky wolf's web? Just teasing but curious!,,Mio: Hey hey! I'm Mio loud and proud villager reporting for duty! Let's keep the mood bright but find those wolves yeah? @Servas  your poetic intro made me smile! But are you weaving truth or a sneaky wolf's web? Just teasing but curious!,"['CO[Mio]:Villager', 'Mt:Servas', 'Sus:Servas', 'Req(Discuss)']"
0,talk,4,0,4,Skip,,May: Skip,['Wait']
0,talk,7,1,5,Hehe!  @May  skipping again makes me nervous — why so quiet? Mio said she's a villager and Servas is all poetic  but I'm thinking of voting May if nobody explains. Who,,Sakura: Hehe!  @May  skipping again makes me nervous — why so quiet? Mio said she's a villager and Servas is all poetic  but I'm thinking of voting May if nobody explains. Who,"['Mt:May', 'Sus:May', 'Vote[Sakura]:May', 'Req(T):May']"
0,talk,9,1,4,I am May. My interests include watching a delightful play like this one unfold. A pleasure.,,May: I am May. My interests include watching a delightful play like this one unfold. A pleasure.,['Other']
0,talk,10,2,5,Hehe  let's not just vote someone off for being quiet — that's too easy!  @Mio  you said you're a villager — any reads or votes yet? I wanna hear reasons before we pick someone. Over,,Sakura: Hehe  let's not just vote someone off for being quiet — that's too easy!  @Mio  you said you're a villager — any reads or votes yet? I wanna hear reasons before we pick someone. Over,"['Req(T):Mio', 'Req(Discuss)']"
0,talk,12,3,5,Hey  @Mio  you said you're a villager real loud — what are your reads? If you can't share I'll probably vote May. Who do you think is sus? Over,,Sakura: Hey  @Mio  you said you're a villager real loud — what are your reads? If you can't share I'll probably vote May. Who do you think is sus? Over,"['Mt:Mio', 'Req(T):Mio', 'Vote[Sakura]:May', 'Sus:May']"
1,talk,0,0,1,In the great tapestry of life. I have divined dear May and discovered they are a Werewolf. Let us vote to guard our village.,,Servas: In the great tapestry of life. I have divined dear May and discovered they are a Werewolf. Let us vote to guard our village.,"['CO[Servas]:Seer', 'DivT[Servas]:May->Werewolf', 'Req(V):May']"
1,talk,1,0,2,Whoa big start! Servas claims Seer and says May is a werewolf? That's bold! What does everyone else think? @May  you've been super quiet but Servas dropped a huge claim on you just now! Can you tell us your side?,,Mio: Whoa big start! Servas claims Seer and says May is a werewolf? That's bold! What does everyone else think? @May  you've been super quiet but Servas dropped a huge claim on you just now! Can you tell us your side?,"['Dis:Servas(CO[Servas]:Seer)', 'Req(Discuss)', 'Mt:May', 'Req(T):May']"
1,talk,2,0,5,Heehee!  @Servas  claiming seer so fast?! That sounds like a setup to me. Why accuse May right away — got any proof? Let's not rush to lynch without more info. Over,,Sakura: Heehee!  @Servas  claiming seer so fast?! That sounds like a setup to me. Why accuse May right away — got any proof? Let's not rush to lynch without more info. Over,"['Mt:Servas', 'Sus:Servas', 'Req(Discuss)']"
1,talk,3,0,4,My my Servas such a predictable lie. I am the true Seer and I found Sakura is the wolf.,,May: My my Servas such a predictable lie. I am the true Seer and I found Sakura is the wolf.,"['CO[May]:Seer', 'DivT[May]:Sakura->Werewolf', 'Dis:Servas(CO[Servas]:Seer)']"
1,talk,4,0,3,I will vote Sakura.,,Yumi: I will vote Sakura.,['Vote[Yumi]:Sakura']
1,talk,5,1,1,In the great tapestry of life May's claim drifts away like leaves in the wind. Dear Yumi trust my Seer's vision. Let us vote May today.,,Servas: In the great tapestry of life May's claim drifts away like leaves in the wind. Dear Yumi trust my Seer's vision. Let us vote May today.,"['CO[Servas]:Seer', 'DivT[Servas]:May->Werewolf', 'Mt:Yumi', 'Req(V):May']"
1,talk,6,1,2,Whoa we have a battle of the Seers! Servas says May is wolf but May says Sakura is wolf! Everyone's accusing! @Sakura  you don't trust either claim right now? How do you want to deal with two competing Seers? Your thoughts?,,Mio: Whoa we have a battle of the Seers! Servas says May is wolf but May says Sakura is wolf! Everyone's accusing! @Sakura  you don't trust either claim right now? How do you want to deal with two competing Seers? Your thoughts?,"['Req(Discuss)', 'Mt:Sakura', 'Req(T):Sakura']"
1,talk,7,1,5,Whoa  two seers already? This is getting messy!  @Servas  you claimed so fast — where's your proof? I won't,,Sakura: Whoa  two seers already? This is getting messy!  @Servas  you claimed so fast — where's your proof? I won't,"['Mt:Servas', 'Sus:Servas', 'Req(CO):Seer', 'confused']"
1,talk,8,1,4,Servas dear your panic is showing. A true seer reveals with grace not with such clumsy haste.,,May: Servas dear your panic is showing. A true seer reveals with grace not with such clumsy haste.,"['CO[May]:Seer', 'Dis:Servas(CO[Servas]:Seer)']"
1,talk,10,2,1,Ah dear villagers. If young May's claim blooms truth then I must be but a mere shadow among the trees. Trust her wisdom aloud.,,Servas: Ah dear villagers. If young May's claim blooms truth then I must be but a mere shadow among the trees. Trust her wisdom aloud.,"['IF:(May:Seer)->(Servas:not(Seer))', 'Pers:ALL']"
1,talk,11,2,2,Wow talk about fireworks! Two Seers and both sound convincing huh? Is anyone else getting dizzy trying to keep up? @Yumi Hey Yumi you voted Sakura right away! Is it just because May called her wolf or do you have your own reasons too?,,Mio: Wow talk about fireworks! Two Seers and both sound convincing huh? Is anyone else getting dizzy trying to keep up? @Yumi Hey Yumi you voted Sakura right away! Is it just because May called her wolf or do you have your own reasons too?,"['Req(Discuss)', 'Mt:Yumi', 'Req(T):Yumi', 'confused']"
1,talk,12,2,5,Eek two seers? That smells like a trick!  @Servas  you claimed so fast and your flowery talk feels sus — are you trying to steer us? May's my friend and I don't think I'm the wolf  so let's not lynch me. I wann,,Sakura: Eek two seers? That smells like a trick!  @Servas  you claimed so fast and your flowery talk feels sus — are you trying to steer us? May's my friend and I don't think I'm the wolf  so let's not lynch me. I wann,"['Sus:Servas', 'Mt:Servas', 'Pers:ALL', 'Req(Discuss)']"
1,talk,13,2,4,Let's consider the beast's play. Who seems more panicked my dears Servas or me?,,May: Let's consider the beast's play. Who seems more panicked my dears Servas or me?,"['Req(Discuss)', 'Sus:Servas', 'Mt:Servas']"
1,talk,14,3,1,Ah young ones. In the great tapestry of life truth thrives as sunlight on leaves. Is Ah May's sudden Seer claim mere shadow craft to mislead? @Mio In the great tapestry of life young one we find May's web tangled. Is her fervor mere theater in this werewolf play to capture hearts?,,Servas: Ah young ones. In the great tapestry of life truth thrives as sunlight on leaves. Is Ah May's sudden Seer claim mere shadow craft to mislead? @Mio In the great tapestry of life young one we find May's web tangled. Is her fervor mere theater in this werewolf play to capture hearts?,"['Sus:May', 'Mt:Mio', 'Req(T):Mio', 'Req(Discuss)']"
1,talk,15,3,2,"Okay folks both Seer claims are spinning tales! Sakura's holding out but Yumi is set on her vote. Can we slow down and talk? @Servas  you're really poetic today! Besides May's ""divination"" do you spot anything else suspicious in her behavior?",,"Mio: Okay folks both Seer claims are spinning tales! Sakura's holding out but Yumi is set on her vote. Can we slow down and talk? @Servas  you're really poetic today! Besides May's ""divination"" do you spot anything else suspicious in her behavior?","['Sus:May', 'Req(Discuss)', 'Mt:Servas', 'Req(T):Servas']"
1,talk,16,3,5,Hehe I still think  @Servas  is super sus for claiming seer so fast with no proof — I'm voting them. Over,,Sakura: Hehe I still think  @Servas  is super sus for claiming seer so fast with no proof — I'm voting them. Over,"['Sus:Servas', 'Mt:Servas', 'Vote[Sakura]:Servas']"
2,talk,0,0,4,I grow tired of this Seer costume. It seems our hunt was a grand success wasn't it  @Yumi ?,,May: I grow tired of this Seer costume. It seems our hunt was a grand success wasn't it  @Yumi ?,"['Mt:Yumi', 'admiration', 'Other']"
2,talk,1,0,3,I will vote Mio.,,Yumi: I will vote Mio.,['Vote[Yumi]:Mio']
2,talk,2,0,2,Whoa things got intense fast! May drops her Seer act and Yumi is voting for me? Why so quick Yumi? Spill the beans! @Yumi  you're voting for me super early today! Got a reason or are you just feeling lucky? Let's hear it!,,Mio: Whoa things got intense fast! May drops her Seer act and Yumi is voting for me? Why so quick Yumi? Spill the beans! @Yumi  you're voting for me super early today! Got a reason or are you just feeling lucky? Let's hear it!,"['Sus:May', 'Mt:Yumi', 'Req(T):Yumi', 'Req(Discuss)']"
2,talk,3,1,4,@Mio  your frantic questions are adorable. But this little game is already over dear.,,May: @Mio  your frantic questions are adorable. But this little game is already over dear.,"['Mt:Mio', 'Dis:Mio', 'Other']"
2,talk,5,1,2,Hey isn't anyone curious why May just completely gave up her Seer act? Feels like a big slip to me! Let's discuss! @May  why the sudden change? Dropping your Seer claim is kind of dramatic! What made you give up now huh?,,Mio: Hey isn't anyone curious why May just completely gave up her Seer act? Feels like a big slip to me! Let's discuss! @May  why the sudden change? Dropping your Seer claim is kind of dramatic! What made you give up now huh?,"['Sus:May', 'Req(Discuss)', 'Mt:May', 'Req(T):May']"
