date,type,info1,info2,info3,info4,tag
1,talk,0,0,4,4:Agent[01]殿、汝は占師たるか。,"['Req(CO):占い師', 'Mt:01']"
1,talk,0,0,4,4:ならば、最初の占いは誰に賜ろうとするか。,['Req(T):01']
1,talk,0,0,4,4:汝の占いの結果は、我々の運命を左右するであろう。,['Pers:ALL']
1,talk,1,0,5,5:Agent[番号]ボクは村人なのだ。,['CO[05]:村人']
1,talk,1,0,5,5:占い師の結果待ちつつ、人狼見つけるために早く話し合い進めたいのだ！,['Req(Discuss)']
1,talk,1,0,5,5:みんなはどう考えているのだ？,['Req(Discuss)']
1,talk,2,0,2,2:>>Agent[01] 私も占い師で、Agent[04]は人間だったよ。,"['CO[02]:占い師', 'DivT[02]:04->白', 'Mt:01']"
1,talk,3,0,3,3:村人として、人狼を倒すために行動したいと思います。,['CO[03]:村人']
1,talk,3,0,3,3:情報をオープンに共有し、一丸となって戦いましょう。,['Pers:ALL']
1,talk,4,0,1,1:もう少しで何か分かりそう･･･ではあるんだけど･･･。,['Wait']
1,talk,5,1,4,4:Agent[01]殿、汝の占いは、我々に深淵なる不安を招来せしめた。,"['Dis:01（DivT[02]:04->白）', 'Mt:01']"
1,talk,5,1,4,4:なぜ、Agent[04]を占わんとしたのか。,['Req(T):01']
1,talk,5,1,4,4:その真意を告げよ。,['Req(T):01']
1,talk,5,1,4,4:汝が真の占師ならば、その胸中に秘められた謎を解き明かせ。,['Req(T):01']
1,talk,6,1,5,5:占い師が2人いるのはちょっと不安なのだ。,['difficult']
1,talk,6,1,5,5:信頼できる情報を基に、今後の投票を考えていこうと思うのだ。,['Wait']
1,talk,6,1,5,5:誰が怪しいと思うのだ？,['Req(Discuss)']
1,talk,7,1,2,2:>>Agent[05] 私はAgent[01]が怪しいと感じ始めてるよ。,"['Sus:01', 'Mt:05']"
1,talk,7,1,2,2:みんなどう思う？,['Req(Discuss)']
1,talk,8,1,3,3:Agent[01]の占いの結果が気になりますね。,['Req(T):01']
1,talk,8,1,3,3:みんな、Agent[01]の意見を聞いてみましょうよ。,['Req(T):01']
1,talk,8,1,3,3:他に何か情報があったら教えてください。,['Req(Discuss)']
