date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,1,0,4,4:>>Agent[03] 占い師の意見に期待してます！,"['Mt:03', 'Pers:03']"
1,talk,1,0,4,4:誰を占いますか？,['Req(CO):占い師']
1,talk,2,0,2,2:私が占い師を担当しています。,['CO[02]:占い師']
1,talk,2,0,2,2:昨晩、Agent[04]の占いを行ったところ、その結果は人狼であるということが判明しました。,['DivT[02]:04->黒']
1,talk,3,0,5,5:>>Agent[02] 占い師としての意見はありがたいです！,"['Mt:02', 'Pers:02']"
1,talk,3,0,5,5:人狼が判明したAgent[04]さんは今日処刑する方向でみんなの意見を聞いてみてはどうですよぅ？,"['Sus:04', 'Req(Discuss)']"
1,talk,4,0,1,1:Agent[04]は人狼にあらず。,['Fact[01]:04->not(人狼)']
1,talk,4,0,1,1:彼を人狼と仮定すれば、我を処刑せんとするであろう。,['IF(04:人狼)->(01:処刑)']
1,talk,4,0,1,1:故に、彼は自らを人狼と名乗り、我を疑いの淵から遠ざけようとしているのだ。,"['Est[01]:04->not(人狼)', 'Sus:02']"
1,talk,5,1,3,3:昨夜の占い結果を報告する。,['Other']
1,talk,5,1,3,3:Agent[05]を占ったところ、彼は人間であることが判明した。,['DivT[03]:05->白']
1,talk,5,1,3,3:この情報を基に、今後の議論を進めていきたい。,['Other']
1,talk,5,1,3,3:他の者たちの意見も聞かせてもらいたい。,['Req(Discuss)']
1,talk,5,1,3,3:特に、Agent[04]とAgent[01]からはまだ役職についての具体的な言及がないため、彼らの立場を明らかにしてもらいたい。,['Req(CO):ALL']
1,talk,6,1,4,4:>>Agent[03] 占い結果ありがとうございます！,"['Mt:03', 'Pers:03']"
1,talk,6,1,4,4:私も役職について話しますね！,['CO[04]:not(未明示)']
1,talk,7,1,2,2:Agent[03]さん、あなたは誰を疑っていますか？,"['Mt:03', 'Req(T):03']"
1,talk,7,1,2,2:それによって、私たちの次の行動を考えたいと思います。,['Req(Discuss)']
1,talk,8,1,5,5:>>Agent[02] ぼくは、特に誰かを疑ってはいませんよぅ！,"['Mt:02', 'Other']"
1,talk,9,1,1,1:我輩の鋭い洞察力により、Agent[03]はAgent[05]を人間と断定、Agent[02]はAgent[04]を人狼と断定した。,"['Fact[03]:05->not(人狼)', 'Fact[02]:04->人狼']"
1,talk,9,1,1,1:占い師の真偽は闇に包まれたまま、真の占い師と狂人のいずれかであろう。,"['XorEst:(占い師,狂人)']"
1,talk,9,1,1,1:故に、人狼判定を受けたAgent[04]に投票すべきだ。,['Vote[01]:04']
1,talk,10,2,3,3:皆の前で宣言する。,['Other']
1,talk,10,2,3,3:私がこのゲームの真の占い師である。,['CO[03]:占い師']
1,talk,10,2,3,3:Agent[02]が占い師であると主張しているが、それは虚偽である。,['Dis:02（CO[02]:占い師）']
