date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:>>Agent[02]ありがとう、興味を持ってくれて嬉しいです。,"['Mt:02', 'admiration']"
1,talk,0,0,3,3:占い師がまだ名乗り出ていないですが、彼らが名乗り出るのを待ちましょう。,['Req(CO):占い師']
1,talk,0,0,3,3:このゲームでは情報が大切ですからね。,['Other']
1,talk,0,0,3,3:お互い協力しながら進めていきましょう！,['Other']
1,talk,0,0,3,3:どのようにして村を守っていくか考えておきたいですね。,['Other']
1,talk,1,0,2,2:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,2,0,4,4:ぼくは占い師がまだ名乗り出ていない点に注目していますよぅ！,['Other']
1,talk,3,0,5,5:我こそは、運命の糸を操る者。,['CO[05]:占い師']
1,talk,3,0,5,5:占いの結果、Agent[03]は、人狼たる暗黒の業火に染まった者なり。,['DivT[05]:03->黒']
1,talk,4,0,1,1:ワタクシは占い師ですわ。,['CO[01]:占い師']
1,talk,4,0,1,1:占いの結果、Agent[04]は人狼でしたわ。,['DivT[01]:04->黒']
1,talk,5,1,3,3:占い師は1人しかいないはずなのに、Agent[05]とAgent[01]が両方とも占い師を名乗っているね。,['Other']
1,talk,5,1,3,3:どちらかが嘘をついている可能性が高いです。,"['Est[03]:01->not(占い師)', 'Est[03]:05->not(占い師)']"
1,talk,5,1,3,3:Agent[05]が僕を人狼としたけど、僕は村人です。,"['Fact[03]:03->村人', 'Dis:05（DivT[05]:03->黒）']"
1,talk,10,2,3,3:Agent[05]が僕を人狼としたけど、僕は村人です。,"['Fact[03]:03->村人', 'Dis:05（DivT[05]:03->黒）']"
1,talk,5,1,3,3:Agent[01]がAgent[04]を人狼としたけど、これも確認が必要ですね。,['Other']
1,talk,5,1,3,3:どちらが本物の占い師か、もう少し考えてみましょう。,['difficult']
1,talk,6,1,2,2:占い師の結果を聞く前に、我々は互いの意見を共有すべきだ。,['Req(Discuss)']
1,talk,6,1,2,2:Agent[01]、Agent[04]、Agent[05]、各々の考えを述べよ。,"['Req(T):01', 'Req(T):04', 'Req(T):05']"
1,talk,6,1,2,2:占い師の結果が出るまでに、我々はどのように行動すべきか？,['Req(Discuss)']
1,talk,7,1,4,4:Skip,['Other']
1,talk,8,1,5,5:Agent[05]はAgent[03]を人狼と断じ、Agent[01]はAgent[04]を人狼と断じたり。,"['Fact[05]:03->人狼', 'Fact[01]:04->人狼']"
1,talk,8,1,5,5:占い師の正体は真なる占い師か、狂人か、人狼かのいずれかであろう。,"['Est[05]:占い師->占い師,Est[05]:占い師->狂人,Est[05]:占い師->人狼']"
1,talk,8,1,5,5:己の運命を賭け、己の意志を貫くが如く、カミングアウトしたAgent[01]かAgent[05]かのいずれかに投票すべきなり。,"['Vote[05]:01,Vote[05]:05']"
1,talk,9,1,1,1:ワタクシは占い師ですので、Agent[04]が人狼であるとの結果を得ていますわ。,"['CO[01]:占い師', 'DivT[01]:04->黒']"
1,talk,9,1,1,1:したがって、彼に投票すべきだと考えていますわね。,['Vote[01]:04']
1,talk,9,1,1,1:状況を整理して投票に臨みましょうですわ。,['Req(Discuss)']
1,talk,10,2,3,3:>>Agent[02]そうですね、僕たちはそれぞれの考えを共有して、どちらの占い師が本物かを見極める必要があります。,"['Mt:02', 'Req(Discuss)']"
1,talk,10,2,3,3:Agent[05]とAgent[01]が占い師を名乗っていますが、占い師は1人しかいないので、どちらかが嘘をついているのは明らかです。,"['CO[05]:占い師', 'CO[01]:占い師', 'XorEst:(05,01)->(占い師⇔not(占い師))']"
1,talk,5,1,3,3:Agent[05]が僕を人狼としたけど、僕は村人です。,"['Fact[05]:03->人狼', 'Fact[03]:03->not(人狼)']"
1,talk,10,2,3,3:Agent[05]が僕を人狼としたけど、僕は村人です。,"['Fact[05]:03->人狼', 'Fact[03]:03->not(人狼)']"
1,talk,10,2,3,3:Agent[01]がAgent[04]を人狼としたことを考えると、どちらが本物の占い師か慎重に考えてみましょう。,"['DivT[01]:04->黒', 'Req(Discuss)']"
1,talk,11,2,2,2:Agent[01]よ、何故Agent[04]を占ったのか、その理由を述べよ。,"['Mt:01', 'Req(T):01']"
1,talk,20,4,2,2:Agent[01]よ、何故Agent[04]を占ったのか、その理由を述べよ。,"['Mt:01', 'Req(T):01']"
1,talk,11,2,2,2:また、Agent[05]が我を人狼と占った根拠も知りたい。,"['Mt:05', 'Req(T):05']"
1,talk,11,2,2,2:どちらも説得力のある説明を求む。,['Pers:ALL']
1,talk,20,4,2,2:どちらも説得力のある説明を求む。,['Pers:ALL']
1,talk,13,2,5,5:我はAgent[01]に投票せん。,['Vote[05]:01']
1,talk,13,2,5,5:Agent[01]はAgent[04]を人狼と断定するも、もしAgent[04]が人狼ならば、なぜAgent[01]は夜明けと共にその真の姿を現さなかったのか？,"['Fact[01]:04->人狼', 'Sus:01']"
1,talk,13,2,5,5:狂人はその本性を露にするが如く、初日に名乗り出るものが多い。,['Est[05]:01->狂人']
1,talk,13,2,5,5:然し、Agent[01]は偽物の占い師であり、人狼と共謀している可能性すら孕んでいるであろう。,"['Est[05]:01->not(占い師),Est[05]:01->人狼']"
