date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,2,Hello everyone! I'm Shunichi ready to outsmart and uncover werewolves among us. Let's have a thrilling game!,,Shunichi: Hello everyone! I'm Shunichi ready to outsmart and uncover werewolves among us. Let's have a thrilling game!,['Pers:ALL']
0,talk,1,0,5,Hi Shunichi... I'm not great at talking  so I'll mostly listen. But  @Asuka 's calmness makes me uneasy — any role claims or reads from others? Over,,Daisuke: Hi Shunichi... I'm not great at talking  so I'll mostly listen. But  @Asuka 's calmness makes me uneasy — any role claims or reads from others? Over,"['Mt:Shunichi', 'Sus:Asuka', 'Req(Discuss)', 'Wait']"
0,talk,2,0,3,Greetings everyone. Let's work together and trust our instincts to find the truth.,,Servas: Greetings everyone. Let's work together and trust our instincts to find the truth.,"['Pers:ALL', 'Req(Discuss)', 'calm']"
0,talk,3,0,4,Good evening everyone. I hope our quiet town can avoid chaos tonight.,,Jonathan: Good evening everyone. I hope our quiet town can avoid chaos tonight.,"['Pers:ALL', 'calm']"
0,talk,4,0,1,I'm the Seer. I will share my first divination result tomorrow morning. @Daisuke  my attitude comes from focusing on logic not from hiding something. No reads yet.,,Asuka: I'm the Seer. I will share my first divination result tomorrow morning. @Daisuke  my attitude comes from focusing on logic not from hiding something. No reads yet.,"['CO[Asuka]:Seer', 'Mt:Daisuke', 'Dis:Daisuke(CO[Asuka]:Seer)']"
0,talk,6,1,5,Thanks for claiming   @Asuka . I appreciate it  but I'm still uneasy—can someone else state their role or any reads? I want more info before deciding. Over,,Daisuke: Thanks for claiming   @Asuka . I appreciate it  but I'm still uneasy—can someone else state their role or any reads? I want more info before deciding. Over,"['Mt:Asuka', 'Req(Discuss)', 'Wait']"
0,talk,7,1,3,Let's stay open-minded and patient and see what tomorrow reveals. Patience is key.,,Servas: Let's stay open-minded and patient and see what tomorrow reveals. Patience is key.,"['Pers:ALL', 'calm', 'Req(Discuss)']"
0,talk,10,2,5,I'm still uneasy.  @Asuka   if you're really the seer  why wait until tomorrow to reveal? I need more than claims—any villager role claims or reads? I don't want us to rush a vote. Ov,,Daisuke: I'm still uneasy.  @Asuka   if you're really the seer  why wait until tomorrow to reveal? I need more than claims—any villager role claims or reads? I don't want us to rush a vote. Ov,"['Mt:Asuka', 'Sus:Asuka', 'Req(CO):Villager', 'Req(Discuss)', 'Wait']"
0,talk,11,2,3,I understand your concern Daisuke. Let's give Asuka time to gather information wisely.,,Servas: I understand your concern Daisuke. Let's give Asuka time to gather information wisely.,"['Mt:Daisuke', 'Agr:Asuka', 'calm']"
0,talk,12,3,5,I still don't feel right about  @Asuka 's claim. Could you explain why you're waiting until tomorrow to reveal? I can't bring myself to vote yet. Over,,Daisuke: I still don't feel right about  @Asuka 's claim. Could you explain why you're waiting until tomorrow to reveal? I can't bring myself to vote yet. Over,"['Mt:Asuka', 'Sus:Asuka', 'Req(T):Asuka', 'Wait']"
0,talk,13,3,3,Let's allow Asuka to explain; patience is our ally in revealing the truth.,,Servas: Let's allow Asuka to explain; patience is our ally in revealing the truth.,"['Agr:Asuka', 'Req(T):Asuka', 'calm']"
1,talk,0,0,4,@Asuka  could you share your divination result? We need it to guide our vote before suspicions take root.,,Jonathan: @Asuka  could you share your divination result? We need it to guide our vote before suspicions take root.,"['Mt:Asuka', 'Req(T):Asuka', 'Req(CO):Seer']"
1,talk,1,0,3,Asuka your insight would be invaluable now; let's move forward with clarity.,,Servas: Asuka your insight would be invaluable now; let's move forward with clarity.,"['Mt:Asuka', 'Pers:Asuka', 'Req(T):Asuka']"
1,talk,2,0,2,I divined last night and Daisuke is a Werewolf. We should consider this seriously for our safety.,,Shunichi: I divined last night and Daisuke is a Werewolf. We should consider this seriously for our safety.,"['CO[Shunichi]:Seer', 'DivT[Shunichi]:Daisuke->Werewolf', 'Req(Discuss)']"
1,talk,3,0,5,I'm really shaken by  @Shunichi 's divination saying I'm a werewolf. That's a big claim — please explain how you checked me. We should wait for the seer's result before lynching anyon,,Daisuke: I'm really shaken by  @Shunichi 's divination saying I'm a werewolf. That's a big claim — please explain how you checked me. We should wait for the seer's result before lynching anyon,"['Mt:Shunichi', 'Dis:Shunichi(CO[Shunichi]:Seer)', 'Req(T):Shunichi', 'Wait']"
1,talk,4,0,1,My divination result: Shunichi is the werewolf. This contradicts Shunichi's claim on Daisuke. @Shunichi  your claim about Daisuke is noted but my result indicates you are the werewolf.,,Asuka: My divination result: Shunichi is the werewolf. This contradicts Shunichi's claim on Daisuke. @Shunichi  your claim about Daisuke is noted but my result indicates you are the werewolf.,"['CO[Asuka]:Seer', 'DivT[Asuka]:Shunichi->Werewolf', 'Dis:Shunichi(CO[Shunichi]:Seer)', 'contradiction']"
1,talk,5,1,4,With two Seer claims giving opposite results we need to choose. I lean toward trusting Asuka right now. Thoughts  @Servas ?,,Jonathan: With two Seer claims giving opposite results we need to choose. I lean toward trusting Asuka right now. Thoughts  @Servas ?,"['Est[Jonathan]:Asuka->Seer', 'Mt:Servas', 'Req(T):Servas']"
1,talk,6,1,3,It's a tough call Jonathan. Trusting Asuka seems wise but we need to deliberate carefully.,,Servas: It's a tough call Jonathan. Trusting Asuka seems wise but we need to deliberate carefully.,"['Agr:Jonathan(Est[Jonathan]:Asuka->Seer)', 'Est[Servas]:Asuka->Seer', 'difficult']"
1,talk,7,1,2,My divination is accurate I'm the real Seer. Trust my results concerning Daisuke. We need to ensure our safety.,,Shunichi: My divination is accurate I'm the real Seer. Trust my results concerning Daisuke. We need to ensure our safety.,"['CO[Shunichi]:Seer', 'DivT[Shunichi]:Daisuke->Werewolf', 'Pers:ALL']"
1,talk,8,1,5,I'm really shaken by  @Shunichi 's divination saying I'm a werewolf. If you're really the seer  why didn't you reveal this sooner? Please explain when/how you checked. Others  please,,Daisuke: I'm really shaken by  @Shunichi 's divination saying I'm a werewolf. If you're really the seer  why didn't you reveal this sooner? Please explain when/how you checked. Others  please,"['Mt:Shunichi', 'Dis:Shunichi(CO[Shunichi]:Seer)', 'Req(T):Shunichi', 'Req(Discuss)', 'Wait']"
1,talk,9,1,1,Given there are two Seer claims it is logical to assume one is lying. Deliberate on voting between Shunichi and Daisuke. @Daisuke  if you are not the wolf explain your reaction to Shunichi's claim in detail. Your defensiveness stands out.,,Asuka: Given there are two Seer claims it is logical to assume one is lying. Deliberate on voting between Shunichi and Daisuke. @Daisuke  if you are not the wolf explain your reaction to Shunichi's claim in detail. Your defensiveness stands out.,"['XorEst:(Asuka,Shunichi):(Seer <-> not(Seer))', 'Req(Discuss)', 'Mt:Daisuke', 'Req(T):Daisuke', 'Sus:Daisuke']"
1,talk,10,2,4,@Servas  your neutrality stands out. Between Asuka and Shunichi who do you trust more right now? Please share your view.,,Jonathan: @Servas  your neutrality stands out. Between Asuka and Shunichi who do you trust more right now? Please share your view.,"['Mt:Servas', 'Req(T):Servas', 'Sus:Servas']"
1,talk,11,2,3,I lean towards trusting Asuka but we must weigh all actions and words carefully.,,Servas: I lean towards trusting Asuka but we must weigh all actions and words carefully.,"['Est[Servas]:Asuka->Seer', 'difficult']"
