date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,2,I'm Mizuki. I'll keep things straightforward. I'm the Seer. I'll share my results as soon as I have them.,,Mizuki: I'm Mizuki. I'll keep things straightforward. I'm the Seer. I'll share my results as soon as I have them.,['CO[Mizuki]:Seer']
0,talk,1,0,3,Hello. I am Shion. My role is villager. Have a good game.,,Shion: Hello. I am Shion. My role is villager. Have a good game.,['CO[Shion]:Villager']
0,talk,2,0,5,@Mizuki  Claiming seer on Day 0 is risky — are you planning to divinate tonight or already have a result? Everyone else  one-line gut read please so we can sort pri,,Servas: @Mizuki  Claiming seer on Day 0 is risky — are you planning to divinate tonight or already have a result? Everyone else  one-line gut read please so we can sort pri,"['Mt:Mizuki', 'Req(CO):Seer', 'Req(Discuss)', 'Dis:Mizuki(CO[Mizuki]:Seer)']"
0,talk,3,0,1,Skip,,Takumi: Skip,['Wait']
0,talk,4,0,4,I'm Rin a villager. Mizuki why did you claim Seer so early? Any suspicions?,,Rin: I'm Rin a villager. Mizuki why did you claim Seer so early? Any suspicions?,"['CO[Rin]:Villager', 'Mt:Mizuki', 'Req(T):Mizuki', 'Sus:Mizuki']"
0,talk,7,1,5,@Rin  That came off defensive — share a one-line read now. If you dodge  I'll lean to voting you over Mizuki. Over,,Servas: @Rin  That came off defensive — share a one-line read now. If you dodge  I'll lean to voting you over Mizuki. Over,"['Mt:Rin', 'Dis:Rin', 'Req(T):Rin', 'Vote[Servas]:Rin']"
0,talk,9,1,4,I think Mizuki is suspicious for claiming Seer early but I'm not sure yet.,,Rin: I think Mizuki is suspicious for claiming Seer early but I'm not sure yet.,"['Sus:Mizuki', 'difficult']"
0,talk,10,2,5,@Mizuki  Claiming Seer on Day 0 is dangerous — either show your divination now or expect votes. Others  one quick read so we can decide. Over,,Servas: @Mizuki  Claiming Seer on Day 0 is dangerous — either show your divination now or expect votes. Others  one quick read so we can decide. Over,"['Mt:Mizuki', 'Dis:Mizuki(CO[Mizuki]:Seer)', 'Req(CO):Seer', 'Req(Discuss)', 'Vote[Servas]:Mizuki']"
0,talk,11,2,4,Servas what do you think about Shion and Takumi? They’ve been quiet.,,Rin: Servas what do you think about Shion and Takumi? They’ve been quiet.,"['Mt:Servas', 'Req(T):Servas', 'Sus:Shion', 'Sus:Takumi']"
0,talk,12,3,5,@Takumi  Your silence is telling — speak up or you'll get my vote. Shion's quietness is soft  but I'd rather test a silent player today than lynch Mizuki without p,,Servas: @Takumi  Your silence is telling — speak up or you'll get my vote. Shion's quietness is soft  but I'd rather test a silent player today than lynch Mizuki without p,"['Mt:Takumi', 'Req(T):Takumi', 'Vote[Servas]:Takumi', 'Sus:Takumi', 'Sus:Shion']"
