date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,2,Hey everyone! Let's solve this mystery together! Any ideas on who we should watch carefully?,,Sakura: Hey everyone! Let's solve this mystery together! Any ideas on who we should watch carefully?,"['Req(Discuss)', 'Req(listen)']"
0,talk,1,0,4,Hello everyone I’m Minako. Let’s stay calm and observant so we avoid any hasty mistakes on the first day.,,Minako: Hello everyone I’m Minako. Let’s stay calm and observant so we avoid any hasty mistakes on the first day.,['calm']
0,talk,2,0,3,Skip,,Shion: Skip,['Wait']
0,talk,3,0,1,Hello. I am Midori. My role is seer. Have a good game.,,Midori: Hello. I am Midori. My role is seer. Have a good game.,['CO[Midori]:Seer']
0,talk,4,0,5,...,,Ryuji: ...,['Other']
0,talk,5,1,2,Midori that's interesting! Let's see who else claims seer or what others think.,,Sakura: Midori that's interesting! Let's see who else claims seer or what others think.,"['Agr:Midori(CO[Midori]:Seer)', 'Req(CO):Seer', 'Req(Discuss)']"
0,talk,7,1,3,I am Shion. I detest pointless chatter. Let's get this farce over with.,,Shion: I am Shion. I detest pointless chatter. Let's get this farce over with.,['Other']
0,talk,10,2,2,Let's keep chatting and see if anyone has info to share! We need clues everyone!,,Sakura: Let's keep chatting and see if anyone has info to share! We need clues everyone!,"['Req(Discuss)', 'Pers:ALL']"
0,talk,12,3,2,Anyone have any theories or suspicions? Let's brainstorm together!,,Sakura: Anyone have any theories or suspicions? Let's brainstorm together!,['Req(Discuss)']
1,talk,0,0,4,@Ryuji  you’ve been quiet so far can you share your current suspicions before we talk about vote targets?,,Minako: @Ryuji  you’ve been quiet so far can you share your current suspicions before we talk about vote targets?,"['Mt:Ryuji', 'Req(T):Ryuji', 'Sus:Ryuji']"
1,talk,1,0,3,This is pointless.  @Midori  you claimed seer. Spit out your divine result. Now.,,Shion: This is pointless.  @Midori  you claimed seer. Spit out your divine result. Now.,"['Mt:Midori', 'Req(CO):Seer']"
1,talk,2,0,5,...,,Ryuji: ...,['Other']
1,talk,3,0,2,I checked Shion last night and they're human. Midori what did you find?,,Sakura: I checked Shion last night and they're human. Midori what did you find?,"['DivT[Sakura]:Shion->White', 'Mt:Midori', 'Req(T):Midori']"
1,talk,4,0,1,I am a seer. I divined Shion and Shion was a human.,,Midori: I am a seer. I divined Shion and Shion was a human.,"['CO[Midori]:Seer', 'DivT[Midori]:Shion->White']"
1,talk,5,1,4,Sakura and Midori both checked Shion as human. I feel one CO might be fake. Who do you trust more right now?,,Minako: Sakura and Midori both checked Shion as human. I feel one CO might be fake. Who do you trust more right now?,"['Sus:Sakura', 'Sus:Midori', 'Req(Discuss)']"
1,talk,6,1,3,Both so-called seers cleared me. A pointless revelation. The silent fool  @Ryuji  is the real threat.,,Shion: Both so-called seers cleared me. A pointless revelation. The silent fool  @Ryuji  is the real threat.,"['Dis:Sakura(CO[Sakura]:Seer)', 'Dis:Midori(CO[Midori]:Seer)', 'Mt:Ryuji', 'Sus:Ryuji']"
1,talk,7,1,5,...,,Ryuji: ...,['Other']
1,talk,8,1,2,It's tricky Minako. I'm unsure now but Ryuji's silence is suspicious. What do you think?,,Sakura: It's tricky Minako. I'm unsure now but Ryuji's silence is suspicious. What do you think?,"['Mt:Minako', 'difficult', 'Sus:Ryuji', 'Req(T):Minako']"
