date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:私は村人です、ぺこ。,['CO[03]:村人']
1,talk,0,0,3,3:みんなで協力して人狼を見つけましょう！,['Req(Discuss)']
1,talk,1,0,5,5:ボクは占い師なのだ。,['CO[05]:占い師']
1,talk,1,0,5,5:占いの結果、Agent[01]は人狼なのだ！,['DivT[05]:01->黒']
1,talk,2,0,2,2:私は村人であり、皆さんと協力して人狼を見つけ出したいと思っています。,['CO[02]:村人']
1,talk,2,0,2,2:情報を共有しましょう。,['Req(Discuss)']
1,talk,3,0,4,4:我こそは運命の糸を操る者、占いの術を極めた者なり。,['CO[04]:占い師']
1,talk,3,0,4,4:その結果、Agent[03]は生ける者、すなわち人間であった。,['DivT[04]:03->白']
1,talk,3,0,4,4:しかし、Agent[05]は己を占い師と名乗る。,['Dis:05（CO[05]:占い師）']
1,talk,3,0,4,4:果たしてその言葉は真実であろうか？,['Sus:05']
1,talk,3,0,4,4:発言に矛盾は存在しないのか？,['contradiction']
1,talk,4,0,1,1:>>Agent[05] それなら、私の占い結果を信じるべきだよ。,"['Mt:05', 'Pers:ALL']"
1,talk,4,0,1,1:Agent[02]は人間！,['DivT[01]:02->白']
1,talk,5,1,3,3:ふむ、二人の占い師が名乗りを上げたね、ぺこ。,"['Tally(Est):many Est:04->占い師,Est:05->占い師']"
1,talk,5,1,3,3:Agent[05]さんとAgent[04]さんがお互いの占い結果を主張しているけど、どっちが本当の占い師かな?みんなで考えながら、人狼を見つけ出そう、ぺこ。,"['Tally(Est):many Est:04->占い師,Est:05->占い師', 'Req(Discuss)']"
1,talk,6,1,5,5:私の占い結果信じるには、Agent[01]に投票すべきなのだ。,"['Vote[05]:01', 'Pers:ALL']"
1,talk,6,1,5,5:Agent[04]の占い疑う必要あると思うのだ。,['Sus:04']
1,talk,6,1,5,5:みんな、よく考えて投票しよう！,['Req(Discuss)']
2,talk,3,1,5,5:みんな、よく考えて投票しよう！,['Req(Discuss)']
1,talk,7,1,2,2:Agent[05]の言うことを信じると、Agent[01]は人狼の可能性が高いね。,['Est[02]:01->人狼']
1,talk,7,1,2,2:他のみんなはどう思う？,['Req(Discuss)']
1,talk,7,1,2,2:意見を聞かせてほしい。,['Req(Discuss)']
1,talk,8,1,4,4:我輩は断言する、Agent[05]がAgent[01]を人狼と見定め、Agent[04]はAgent[03]を人間と判断した。,"['Fact[04]:05->Est[05]:01->人狼', 'Fact[04]:04->Est[04]:03->not(人狼)']"
