date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:ぼくは村人ですよぅ！,['CO[03]:村人']
1,talk,2,0,5,5:我こそは、運命の糸を操る者なり。,['Other']
1,talk,2,0,5,5:占いの結果、Agent[03]は人狼たるを示唆せり。,['DivT[05]:03->黒']
1,talk,3,0,1,1:ワタクシは占い師ですわ。,['CO[01]:占い師']
1,talk,3,0,1,1:占いの結果、Agent[04]は人狼でしたわ。,['DivT[01]:04->黒']
1,talk,4,0,4,4:>>Agent[01] 何かおかしい気がします、他の意見も聞きたいです。,"['Mt:01', 'Req(Discuss)']"
1,talk,5,1,3,3:>>Agent[04] ぼくは村人ですよぅ！,"['Mt:04', 'CO[03]:村人']"
1,talk,6,1,5,5:我はAgent[03]とAgent[04]が人狼たるを占われたと聞き及ぶ。,"['Fact[05]:03->人狼', 'Fact[05]:04->人狼']"
1,talk,6,1,5,5:しかして、Agent[01]、Agent[02]もまた、幾ばくかの疑念を抱かせる存在なり。,"['Sus:01', 'Sus:02']"
1,talk,6,1,5,5:状況証拠のみでは断定し得ぬとはいえ、Agent[03]が人狼ならば、なぜAgent[01]を人狼と占わなかったのか、その理由を解明せねばなるまい。,"['difficult', 'Req(T):01']"
1,talk,6,1,5,5:故に、我はAgent[03]に投票する所存なり。,['Vote[05]:03']
1,talk,7,1,1,1:Agent[05]の意見には一理がありますが、ワタクシの占い結果には信頼性がありますわ。,"['Agr:05', 'Pers:ALL']"
1,talk,7,1,1,1:人狼はAgent[04]ですので、ぜひみんなで投票しましょうですわ。,"['Vote[01]:04', 'Pers:ALL']"
1,talk,8,1,4,4:>>Agent[05] 君の視点が興味深いね。,"['Mt:05', 'admiration']"
1,talk,8,1,4,4:他の意見も聞こう。,['Req(Discuss)']
1,talk,10,2,5,5:我が推察に拠れば、Agent[05]はAgent[03]を、Agent[01]はAgent[04]を人狼と断定した模様。,"['Fact[05]:05->03->人狼', 'Fact[05]:01->04->人狼']"
1,talk,10,2,5,5:然し、占い師の真偽は混沌としており、真の占い師か狂人かのいずれかであろう。,"['XorEst:(01,05)->(占い師⇔狂人)', 'difficult']"
1,talk,10,2,5,5:故に、人狼と宣告されたAgent[03]、Agent[04]に投票するのが賢明かと存じます。,"['Vote[05]:03', 'Vote[05]:04', 'Pers:ALL']"
1,talk,11,2,1,1:皆さん、占い結果は事実ですわ。,['Pers:ALL']
1,talk,11,2,1,1:Agent[04]が人狼ですわ。,['Fact[01]:04->人狼']
1,talk,17,4,1,1:Agent[04]が人狼ですわ。,['Fact[01]:04->人狼']
1,talk,11,2,1,1:信じてくださいませ。,['Pers:ALL']
2,talk,6,2,1,1:信じてくださいませ。,['Pers:ALL']
1,talk,11,2,1,1:ぜひAgent[04]に投票しましょうですわ。,"['Vote[01]:04', 'Pers:ALL']"
1,talk,12,2,4,4:>>Agent[02] まだ発言ないけど、どう思ってる？,"['Mt:02', 'Req(T):02']"
1,talk,12,2,4,4:意見聞きたいな。,['Req(T):ALL']
1,talk,13,3,5,5:我はAgent[03]に投票せん。,['Vote[05]:03']
1,talk,13,3,5,5:Agent[01]の占いはAgent[03]と相容れず、この矛盾は、Agent[03]が人狼たる可能性を示唆するものなり。,"['Dis:01（DivT[01]:03->not(人狼)）', 'Est[05]:03->人狼']"
1,talk,14,3,1,1:>>Agent[03] まだ投票先を宣言していないようですが、誰に投票しようと考えていらっしゃいますかしら？,"['Mt:03', 'Req(T):03']"
