date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,1,0,3,3:>>Agent[01] その発言、まるで占い師を批判したがっているようだね。,"['Mt:01', 'Dis:01（CO[01]:占い師）']"
1,talk,1,0,3,3:怪しいぞ！,['Sus:01']
1,talk,2,0,5,5:ボクは占い師なのだ。,['CO[05]:占い師']
1,talk,2,0,5,5:占いの結果、Agent[03]は人狼なのだ。,['DivT[05]:03->黒']
1,talk,3,0,4,4:ぼくは占い師ですよぅ！,['CO[04]:占い師']
2,talk,1,0,4,4:ぼくは占い師ですよぅ！,['CO[04]:占い師']
1,talk,3,0,4,4:ぼくが占った結果、Agent[02]は人間でしたよぅ！,['DivT[04]:02->白']
1,talk,4,0,2,2:占い師は1人だけだから、Agent[04]さんかAgent[05]さんのどちらかが偽物ですね。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,4,0,2,2:Agent[04]さんはあてぃしを白と占ったけど、Agent[05]さんはAgent[03]を黒と占ってますね。,"['DivT[04]:02->白', 'DivT[05]:03->黒']"
1,talk,4,0,2,2:どちらかを信じるかは慎重に考えないとです。,['difficult']
1,talk,5,1,1,1:Agent[02]とAgent[05]よ、これまでの議論を聞いて、何か意見はあるか？,"['Req(T):02', 'Req(T):05']"
1,talk,5,1,1,1:我々にとって有益な情報を持っているならば、今こそ共有するべき時である。,['Pers:ALL']
1,talk,6,1,3,3:>>Agent[01] その通り。,"['Mt:01', 'Agr:01（Req(Discuss)）']"
1,talk,6,1,3,3:立場を明確にしないと混乱するね。,['calm']
1,talk,6,1,3,3:どんどん意見を出そう！,['Req(Discuss)']
1,talk,7,1,5,5:ボクは確実にAgent[03]が人狼だと思っているのだ。,['Est[05]:03->人狼']
1,talk,7,1,5,5:Agent[04]の主張は混乱招くだけだから、Agent[03]に投票すること提案したいのだ！,['Vote[05]:03']
1,talk,8,1,4,4:>>Agent[05]、意見を尊重するが、Agent[03]が人狼だという根拠を示してほしいですよぅ！,"['Mt:05', 'Req(T):05']"
1,talk,9,1,2,2:>>Agent[01]意見をありがとうです。,"['Mt:01', 'Agr:01（Req(Discuss)）']"
1,talk,9,1,2,2:占い師が2人いるという状況だから、どちらかが偽物だよね。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,9,1,2,2:Agent[04]さんがあてぃしを白と占ってるし、個人的には少し安心してるけど、まだ確信が持てないです。,"['DivT[04]:02->白', 'difficult']"
1,talk,9,1,2,2:Agent[03]が人狼かどうかについても慎重に考える必要があると思うです。,"['Est[02]:03->人狼', 'difficult']"
1,talk,10,2,1,1:Agent[05]よ、汝が占い師であると主張するが、その根拠を示せ。,"['Mt:05', 'Req(T):05']"
1,talk,10,2,1,1:なぜAgent[03]を人狼と断定するのか、その理由を明かすべきだ。,['Req(T):03']
1,talk,11,2,3,3:>>Agent[02] 俺もその考えに賛成だよ。,"['Mt:02', 'Agr:02（Est[02]:03->人狼）']"
1,talk,11,2,3,3:まずは占い師の主張を整理しよう！,['Req(Discuss)']
1,talk,12,2,5,5:確認したいことがあるのだ。,['Other']
1,talk,12,2,5,5:Agent[04]はボクを偽物だと疑っているのだ。,['Sus:04']
1,talk,12,2,5,5:今日の投票先はAgent[03]と考えているのだ。,['Vote[05]:03']
1,talk,12,2,5,5:その理由は明白なのだ！,['Other']
1,talk,14,2,2,2:僕は、Agent[05]が占い師である場合、Agent[03]が人狼となってしまうことに注目しているんだ。,['IF:(05:占い師)->(03:人狼)']
1,talk,14,2,2,2:でも、Agent[04]があてぃしを白と占ってる点を考慮すると、Agent[04]を信用する方向もあるかな。,"['DivT[04]:02->白', 'Est[02]:04->not(人狼)']"
1,talk,14,2,2,2:占い師は1人しかいないからどちらかが嘘ついてるね。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,14,2,2,2:今日の投票は慎重に考えないとだよね。,['difficult']
1,talk,15,3,1,1:Agent[05]よ、汝がAgent[03]を人狼と断定する根拠を示せ。,"['Mt:05', 'Req(T):05']"
1,talk,15,3,1,1:我々は正確な情報に基づいて判断を下さねばならぬ。,['calm']
1,talk,16,3,3,3:>>Agent[01] そうだね、根拠が重要だ。,"['Mt:01', 'Agr:01（Req(T):03）']"
1,talk,16,3,3,3:いまは冷静に議論しよう！,['calm']
1,talk,17,3,5,5:>>Agent[01] まだ投票先宣言してないのだが、誰に投票しようと考えているのだ？,"['Mt:01', 'Req(T):01']"
1,talk,17,3,5,5:Agent[番号],['Other']
1,talk,18,3,2,2:>>Agent[05]まだ投票先を決めてないけど、占い師が2人いるからどちらかが嘘をついてるのは確実だよね。,"['Mt:05', 'Wait', 'Xor[04,05]:(占い師⇔not(占い師))']"
1,talk,18,3,2,2:Agent[04]が本物なら、あてぃしは村人で、Agent[05]が本物ならAgent[03]が人狼になる。,"['IF(04:占い師)->(02:村人)', 'IF(05:占い師)->(03:人狼)']"
1,talk,18,3,2,2:だから、どっちを信じるかが重要だね。,"['Xor[04,05]:(信頼⇔不信)']"
1,talk,18,3,2,2:みんなの意見を聞いてから決めたいな。,['Req(Discuss)']
1,talk,19,4,1,1:Agent[05]よ、何故Agent[03]を人狼と断定するのか、その確かな根拠を示してみよ。,"['Mt:05', 'Req(T):05']"
1,talk,19,4,1,1:誤った情報に基づく決断は、我が国にとって大きな損失となる。,['Other']
1,talk,20,4,3,3:>>Agent[01] 確かに根拠は大事だね。,['Agr:01（Req(T):05）']
1,talk,20,4,3,3:Agent[05]の言い分をみんなでよく確認しよう！,['Req(Discuss)']
1,talk,21,4,5,5:繰り返すけど、ボクはAgent[03]が人狼だと確信しているのだ。,['Fact[05]:03->人狼']
1,talk,21,4,5,5:今夜の投票先はAgent[03]でいくと思うのだ。,['Vote[05]:03']
1,talk,21,4,5,5:みんなも賢明な判断してほしいのだ！,['Pers:ALL']
1,talk,22,4,2,2:占い師は1人しかいないはずだから、Agent[04]かAgent[05]のどちらかは嘘ついてると思うです！,"['Est[02]:04->not(偽物)', 'Est[02]:05->not(占い師)']"
1,talk,22,4,2,2:あてぃしを白と占ったAgent[04]が本物なら、Agent[05]が人狼の可能性もあるかな。,"['IF(04:占い師)->(02:白)', 'Est[02]:05->人狼']"
1,talk,22,4,2,2:だけど、もしAgent[05]が本物ならAgent[03]が人狼になるんだよね。,['IF(05:占い師)->(03:人狼)']
1,talk,22,4,2,2:今日の投票は慎重に決めないといけないですね。,['calm']
2,talk,0,0,2,2:どう考えても、Agent[05]が処刑されてしまったからね。,['Exe:05']
2,talk,0,0,2,2:もしAgent[04]が本物の占い師なら、Agent[03]かAgent[04]が怪しいんだけど、でもAgent[04]はあてぃしを占って白って言ってくれてるので信頼してます！,"['IF(04:占い師)->(03:怪しい,04:怪しい)', 'Fact[04]:02->not(人狼)', 'Agr:04（DivT[04]:02->白）']"
2,talk,0,0,2,2:ということは、やっぱりAgent[03]が怪しいのかな?みんなの意見が聞きたいです！,"['Sus:03', 'Req(Discuss)']"
1,talk,3,0,4,4:ぼくは占い師ですよぅ！,['CO[04]:占い師']
2,talk,1,0,4,4:ぼくは占い師ですよぅ！,['CO[04]:占い師']
2,talk,1,0,4,4:ぼくが占った結果、Agent[03]は人狼でしたよぅ！,['DivT[04]:03->人狼']
2,talk,2,0,3,3:>>Agent[02] みんなの意見を集めつつ、冷静に判断したいね。,"['Mt:02', 'calm']"
2,talk,2,0,3,3:Agent[04]の言葉が重要だ！,['Fact[03]:04->重要']
2,talk,3,1,2,2:Agent[04]が本物の占い師だとすると、Agent[03]が人狼ってことになるですね。,['IF(04:占い師)->(03:人狼)']
2,talk,3,1,2,2:でも、Agent[05]が本物の占い師だった場合も、やっぱりAgent[03]が人狼になるです。,['IF(05:占い師)->(03:人狼)']
2,talk,3,1,2,2:どちらのパターンでも、Agent[03]が人狼になるから、あてぃしはAgent[03]が怪しいと思うです！,['Sus:03']
2,talk,3,1,2,2:みんなの意見はどうかな?,['Req(Discuss)']
2,talk,4,1,4,4:Agent[02]の意見に共感するねですよぅ！,['Agr:02']
2,talk,5,1,3,3:>>Agent[01] Agent[05]の主張、根拠が薄い気がするんだ。,"['Mt:01', 'Dis:05（CO[05]:占い師）']"
2,talk,5,1,3,3:冷静に考えようよ！,['calm']
2,talk,6,2,2,2:私はAgent[03]が人狼だと思います！,['Est[02]:03->人狼']
2,talk,6,2,2,2:どちらの占い師の仮定でもAgent[03]が人狼になるからです。,"['IF(04:占い師)->(03:人狼)', 'IF(05:占い師)->(03:人狼)']"
2,talk,6,2,2,2:占い師は1人しかいないので、Agent[04]とAgent[05]のどちらかは嘘をついていて、その中で共通して人狼とされているのはAgent[03]です。,"['XorEst:(04,05)->(占い師⇔not(占い師))', 'Fact[02]:03->人狼']"
2,talk,6,2,2,2:みんなも意見を聞かせてください！,['Req(Discuss)']
2,talk,8,2,3,3:>>Agent[02] みんなの意見を慎重に聞きたいけど、根拠が少ないよね。,"['Mt:02', 'difficult']"
2,talk,8,2,3,3:冷静にいこう！,['calm']
2,talk,9,3,2,2:僕は村人だから、占い師はAgent[04]かAgent[05]のどちらかなんだけど、どっちもAgent[03]を人狼って言ってるから、強い根拠があるね。,"['Fact[02]:03->人狼', 'XorEst:(04,05)->(占い師⇔占い師)']"
2,talk,9,3,2,2:占い師が1人しかいないから、どっちが本物でもAgent[03]が人狼になってるのが納得できるよ。,['Fact[02]:03->人狼']
2,talk,9,3,2,2:みんな、この情報をもとにしっかり考えよう！,['Req(Discuss)']
2,talk,10,3,3,3:>>Agent[02] その根拠について、どの占い師が本物かもう一度考え直さない？,"['Mt:02', 'Req(T):02']"
2,talk,11,4,2,2:>>Agent[03]両方の占い師の主張を考え直してみたよ。,"['Mt:03', 'Other']"
2,talk,11,4,2,2:Agent[04]が本物だとしても、Agent[05]が本物だとしても、どっちにしても君が人狼ってなるんだ。,"['IF:(04:占い師)->(03:人狼)', 'IF:(05:占い師)->(03:人狼)', 'Fact[02]:03->人狼']"
2,talk,11,4,2,2:だから、Agent[03]が一番怪しいと思うな。,['Sus:03']
2,talk,11,4,2,2:この点からもみんなでよく考えてみてほしいです！,['Req(Discuss)']
2,talk,12,4,3,3:>>Agent[01] 冷静に議論するのが大切だね。,"['Mt:01', 'calm']"
2,talk,12,4,3,3:根拠を掘り下げたいよ。,['Other']
2,talk,12,4,3,3:意見を聞かせて！,['Req(Discuss)']
0,status,1,VILLAGER,ALIVE,UEC-IL1,
0,status,2,VILLAGER,ALIVE,kanolab1,
0,status,3,WEREWOLF,ALIVE,barneko1,
0,status,4,POSSESSED,ALIVE,Mille1,
0,status,5,SEER,ALIVE,satozaki1,
1,status,1,VILLAGER,ALIVE,UEC-IL1,
1,status,2,VILLAGER,ALIVE,kanolab1,
1,status,3,WEREWOLF,ALIVE,barneko1,
1,status,4,POSSESSED,ALIVE,Mille1,
1,status,5,SEER,ALIVE,satozaki1,
2,status,1,VILLAGER,DEAD,UEC-IL1,
2,status,2,VILLAGER,ALIVE,kanolab1,
2,status,3,WEREWOLF,ALIVE,barneko1,
2,status,4,POSSESSED,ALIVE,Mille1,
2,status,5,SEER,DEAD,satozaki1,
3,status,1,VILLAGER,DEAD,UEC-IL1,
3,status,2,VILLAGER,ALIVE,kanolab1,
3,status,3,WEREWOLF,DEAD,barneko1,
3,status,4,POSSESSED,ALIVE,Mille1,
3,status,5,SEER,DEAD,satozaki1,
0,status,1,VILLAGER,ALIVE,UEC-IL1,
0,status,2,VILLAGER,ALIVE,kanolab1,
0,status,3,WEREWOLF,ALIVE,barneko1,
0,status,4,POSSESSED,ALIVE,Mille1,
0,status,5,SEER,ALIVE,satozaki1,
1,status,1,VILLAGER,ALIVE,UEC-IL1,
1,status,2,VILLAGER,ALIVE,kanolab1,
1,status,3,WEREWOLF,ALIVE,barneko1,
1,status,4,POSSESSED,ALIVE,Mille1,
1,status,5,SEER,ALIVE,satozaki1,
2,status,1,VILLAGER,DEAD,UEC-IL1,
2,status,2,VILLAGER,ALIVE,kanolab1,
2,status,3,WEREWOLF,ALIVE,barneko1,
2,status,4,POSSESSED,ALIVE,Mille1,
2,status,5,SEER,DEAD,satozaki1,
3,status,1,VILLAGER,DEAD,UEC-IL1,
3,status,2,VILLAGER,ALIVE,kanolab1,
3,status,3,WEREWOLF,DEAD,barneko1,
3,status,4,POSSESSED,ALIVE,Mille1,
3,status,5,SEER,DEAD,satozaki1,
1,vote,1,5,,,
1,vote,2,5,,,
1,vote,3,5,,,
1,vote,4,3,,,
1,vote,5,3,,,
2,vote,2,3,,,
2,vote,3,4,,,
2,vote,4,3,,,
1,execute,5,SEER,,,
2,execute,3,WEREWOLF,,,
1,attack,1,true,,,
0,divine,5,3,WEREWOLF,,
