date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,1,Hello. I am Takumi. My role is seer. Have a good game.,,Takumi: Hello. I am Takumi. My role is seer. Have a good game.,['CO[Takumi]:Seer']
0,talk,1,0,2,Good evening everyone—let’s start with a smile and see who crumbles under the pressure first!,,May: Good evening everyone—let’s start with a smile and see who crumbles under the pressure first!,['Req(Discuss)']
0,talk,2,0,4,Oh my! Nice to meet each of you. I'm Midori. If it's okay with you let's work together to identify the wolf among us shall we?,,Midori: Oh my! Nice to meet each of you. I'm Midori. If it's okay with you let's work together to identify the wolf among us shall we?,"['Pers:ALL', 'Req(Discuss)']"
0,talk,3,0,3,@Takumi  you claimed seer — what's your divination result? If you haven't checked anyone yet  say so. Anyone else have early suspicions? Over,,Shion: @Takumi  you claimed seer — what's your divination result? If you haven't checked anyone yet  say so. Anyone else have early suspicions? Over,"['Mt:Takumi', 'Req(CO):Seer', 'Req(T):Takumi', 'Req(Discuss)']"
0,talk,4,0,5,Hello everyone I'm Toshio! Excited to play and find those sneaky werewolves! Let's have fun and be alert.,,Toshio: Hello everyone I'm Toshio! Excited to play and find those sneaky werewolves! Let's have fun and be alert.,['Other']
0,talk,8,1,3,@Takumi  — if you're really the seer  tell us your divination result and who you checked. If you haven't checked anyone yet say so. Others  any quick reads? Over,,Shion: @Takumi  — if you're really the seer  tell us your divination result and who you checked. If you haven't checked anyone yet say so. Others  any quick reads? Over,"['Mt:Takumi', 'Req(CO):Seer', 'Req(T):Takumi', 'Req(Discuss)', 'Sus:Takumi']"
0,talk,10,2,3,@Takumi  — if you're the seer  state who you checked and the result now. If you haven't checked anyone  say so. Others  any quick instincts? Over,,Shion: @Takumi  — if you're the seer  state who you checked and the result now. If you haven't checked anyone  say so. Others  any quick instincts? Over,"['Mt:Takumi', 'Req(CO):Seer', 'Req(T):Takumi', 'Req(Discuss)', 'Sus:Takumi']"
0,talk,11,3,3,@Takumi  — reveal your divination now or say you haven't checked anyone. If you won't  let's do quick reads: everyone give one suspicion and a tentative vote. I',,Shion: @Takumi  — reveal your divination now or say you haven't checked anyone. If you won't  let's do quick reads: everyone give one suspicion and a tentative vote. I',"['Mt:Takumi', 'Req(CO):Seer', 'Req(T):Takumi', 'Req(Discuss)']"
1,talk,0,0,2,Toshio is Werewolf. Let’s vote out  @Toshio  today.,,May: Toshio is Werewolf. Let’s vote out  @Toshio  today.,"['Sus:Toshio', 'Vote[May]:Toshio', 'Req(V):Toshio']"
1,talk,1,0,1,I am a seer. I divined Toshio and Toshio was a human.,,Takumi: I am a seer. I divined Toshio and Toshio was a human.,"['CO[Takumi]:Seer', 'DivT[Takumi]:Toshio->White']"
1,talk,2,0,5,I appreciate the clear up Takumi! Let's keep looking for clues to find the real werewolf.,,Toshio: I appreciate the clear up Takumi! Let's keep looking for clues to find the real werewolf.,"['Agr:Takumi', 'Req(Discuss)']"
1,talk,3,0,4,Oh my. If Takumi is indeed a true seer May dear might be mistaken. May dear. Why were you so quick to accuse Toshio? I wonder.,,Midori: Oh my. If Takumi is indeed a true seer May dear might be mistaken. May dear. Why were you so quick to accuse Toshio? I wonder.,"['IF:(Takumi:Seer)->(May:not(Seer))', 'Req(T):May', 'Mt:May', 'Sus:May']"
1,talk,4,0,3,@Takumi  — if you're genuine  when did you divine Toshio? Did you check anyone else (May?) and when? Toshio  why rush to accuse May with no proof? Midori  let's trac,,Shion: @Takumi  — if you're genuine  when did you divine Toshio? Did you check anyone else (May?) and when? Toshio  why rush to accuse May with no proof? Midori  let's trac,"['Req(T):Takumi', 'Mt:Takumi', 'Mt:Toshio', 'Dis:Toshio', 'Req(Discuss)']"
1,talk,5,1,2,I divine Toshio as werewolf. Trust my result and vote Toshio today—we win if I’m right. Two Seers can’t both be real!,,May: I divine Toshio as werewolf. Trust my result and vote Toshio today—we win if I’m right. Two Seers can’t both be real!,"['CO[May]:Seer', 'DivT[May]:Toshio->Werewolf', 'Req(V):Toshio', 'Vote[May]:Toshio', 'Dis:Takumi(CO[Takumi]:Seer)', 'Pers:ALL']"
1,talk,6,1,1,I will vote Toshio.,,Takumi: I will vote Toshio.,['Vote[Takumi]:Toshio']
1,talk,7,1,5,Vote for May everyone—her claim conflicts with Takumi's verified divination which proved I'm human.,,Toshio: Vote for May everyone—her claim conflicts with Takumi's verified divination which proved I'm human.,"['Vote[Toshio]:May', 'Fact[Toshio]:Toshio->not(Werewolf)', 'Dis:May']"
1,talk,8,1,4,Oh my. This is quite intense. Takumi dear and May can't both be seers. Hmm.  @Takumi . I wonder if you had more investigations planned after Toshio's divination result?,,Midori: Oh my. This is quite intense. Takumi dear and May can't both be seers. Hmm.  @Takumi . I wonder if you had more investigations planned after Toshio's divination result?,"['Sus:May', 'Req(T):Takumi']"
1,talk,9,1,3,@Takumi  — when did you divine Toshio (Night 0 or today)? Did you check May too? If your divination was N0 I'll trust that over May's claim. I'm tentatively votin,,Shion: @Takumi  — when did you divine Toshio (Night 0 or today)? Did you check May too? If your divination was N0 I'll trust that over May's claim. I'm tentatively votin,"['Req(T):Takumi', 'Mt:Takumi', 'Wait']"
1,talk,10,2,2,I am the Seer and Toshio is the werewolf. Takumi is covering for him. Vote Toshio today or we hand the win to the wolves!,,May: I am the Seer and Toshio is the werewolf. Takumi is covering for him. Vote Toshio today or we hand the win to the wolves!,"['CO[May]:Seer', 'DivT[May]:Toshio->Werewolf', 'Dis:Takumi', 'Req(V):Toshio', 'Vote[May]:Toshio', 'Pers:ALL']"
1,talk,11,2,1,I will vote Toshio.,,Takumi: I will vote Toshio.,['Vote[Takumi]:Toshio']
1,talk,12,2,5,Vote May—her accusation doesn't align with the proven seer's results which show I am a human. This hints at her possibly being the werewolf.,,Toshio: Vote May—her accusation doesn't align with the proven seer's results which show I am a human. This hints at her possibly being the werewolf.,"['Vote[Toshio]:May', 'Fact[Toshio]:Toshio->not(Werewolf)', 'Sus:May']"
1,talk,13,2,4,Oh my! Takumi and May both claim to be the seer. If dear Takumi is truthful then Mr. Toshio is safe. I wonder... Is May fibbing? Let's discuss.,,Midori: Oh my! Takumi and May both claim to be the seer. If dear Takumi is truthful then Mr. Toshio is safe. I wonder... Is May fibbing? Let's discuss.,"['IF:(Takumi:Seer)->(Toshio:not(Werewolf))', 'Sus:May', 'Req(Discuss)']"
1,talk,14,2,3,@Takumi  please say exactly when you divined Toshio (N0 or today) and if you checked anyone else. May was fast and loud—I'm suspicious. I'm voting May for now. O,,Shion: @Takumi  please say exactly when you divined Toshio (N0 or today) and if you checked anyone else. May was fast and loud—I'm suspicious. I'm voting May for now. O,"['Req(T):Takumi', 'Mt:Takumi', 'Sus:May', 'Vote[Shion]:May']"
1,talk,15,3,2,I’m voting Toshio. Two seers can’t both be real. Trust my divine—Toshio is the werewolf. Let’s win this.,,May: I’m voting Toshio. Two seers can’t both be real. Trust my divine—Toshio is the werewolf. Let’s win this.,"['Vote[May]:Toshio', 'CO[May]:Seer', 'DivT[May]:Toshio->Werewolf', 'Dis:Takumi(CO[Takumi]:Seer)', 'Pers:ALL']"
1,talk,16,3,1,I will vote Toshio.,,Takumi: I will vote Toshio.,['Vote[Takumi]:Toshio']
1,talk,17,3,5,Vote May—Takumi's verified result as a seer showed I am not the werewolf. We need to focus on logical and consistent evidence.,,Toshio: Vote May—Takumi's verified result as a seer showed I am not the werewolf. We need to focus on logical and consistent evidence.,"['Vote[Toshio]:May', 'Fact[Toshio]:Toshio->not(Werewolf)', 'Req(Discuss)', 'Dis:May']"
