date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,0,0,3,3:占いの結果、Agent[05]は、生ける魂を持つ人間であったと判明した。,['DivT[03]:05->白']
1,talk,0,0,3,3:Agent[04]よ、なぜ汝は、我の正体を急かそうとするのか？,['Mt:04']
1,talk,0,0,3,3:我は、まだこの世の真実を探る段階にあると申す。,['Other']
1,talk,1,0,4,4:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,2,0,1,1:>>Agent[03] 占い師の判断には期待してるよ。,['Mt:03']
1,talk,2,0,1,1:頑張って！,['Pers:03']
1,talk,3,0,2,2:Agent[03]の結果を信じて、Agent[05]が村人であることは確認できたな。,"['Agr:03（DivT[03]:05->白）', 'Fact[02]:05->not(人狼)']"
1,talk,3,0,2,2:皆も占い師を信じて、他の人物の行動に目を向けようや。,['Pers:ALL']
1,talk,4,0,5,5:村人として参加しています。,['CO[05]:村人']
1,talk,4,0,5,5:情報の共有と集約に努め、村の平和を守るために協力していきましょう。,['Pers:ALL']
1,talk,5,1,3,3:我は星詠みの者なり。,['Other']
1,talk,5,1,3,3:天体の運行より、Agent[05]は生ける者、すなわち人間であると示されし。,['DivT[03]:05->白']
1,talk,5,1,3,3:Agent[04]、なぜ我の真の姿を急かそうとするのか？,['Mt:04']
1,talk,5,1,3,3:我は未だ、この混沌とした世界の実相を探求する途上にあり。,['Other']
1,talk,6,1,4,4:Agent[03]、我が急かすのは、この村の安寧を早急に取り戻すためである。,['Mt:03']
1,talk,6,1,4,4:Agent[05]が人間であるとの占い結果を信じるならば、他の者の中に敵が潜んでいる可能性が高い。,"['Agr:03（DivT[03]:05->白）', 'Est[04]:others->人狼']"
1,talk,6,1,4,4:次に誰を占うのか、その意向を聞かせてほしい。,['Req(T):03']
1,talk,7,1,1,1:>>Agent[02] 確かに、他の人物にも注意が必要ですね。,['Mt:02']
1,talk,7,1,1,1:みんなで協力しましょう！,['Pers:ALL']
1,talk,8,1,2,2:皆で協力して、この村のために正体を暴き出そうや。,['Req(Discuss)']
1,talk,8,1,2,2:特に怪しい人物に目を光らせ、次の占い結果を待つ必要があるな。,['Req(Discuss)']
1,talk,9,1,5,5:僕が村人であることは分かっているけど、Agent[04]の発言が気になる。,"['Fact[05]:05->村人', 'Sus:04']"
1,talk,9,1,5,5:彼は何を考えているのか、もう少し話してほしいな。,['Req(T):04']
1,talk,10,2,3,3:我が眼は全てを見通す。,['Other']
1,talk,10,2,3,3:Agent[03]の裁断は、Agent[05]を人間と断定せしめた。,['Fact[03]:05->not(人狼)']
1,talk,10,2,3,3:然し、占い師とは真なる者と、狂気に染まった者の二種であろう。,"['Est[03]:占い師->not(狂人),Est[03]:占い師->狂人']"
1,talk,10,2,3,3:ゆえに、Agent[04]こそが、我が進むべき道標なり。,['Est[03]:04->重要']
1,talk,11,2,4,4:Agent[03]が示した占い結果に基づき、Agent[05]が村人であるとの報告を信じるのが賢明だろう。,"['Agr:03（Fact[03]:05->not(人狼)）', 'Fact[04]:05->村人']"
1,talk,11,2,4,4:我々はこの情報をもって、他の疑わしい者を見極めるべきだ。,['Req(Discuss)']
