date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:僕は村人やから、占い師の方には誰を占ったか教えてもらえると嬉しいです！,"['CO[01]:村人', 'Req(CO):占い師']"
1,talk,0,0,1,1:皆さんはどうでしょうか?,['Req(Discuss)']
1,talk,1,0,3,3:我こそはAgent[03]なり。,['Other']
1,talk,1,0,3,3:諸君ら、ご機嫌よう。,['Other']
1,talk,1,0,3,3:本日は天高し、雲淡し、まさに絶好の予兆なり。,['Other']
1,talk,1,0,3,3:さて、諸君ら、誰か占い師と思われし者はおるのか？,['Req(CO):占い師']
1,talk,1,0,3,3:我はAgent[04]こそが占い師であろうと推測する。,['Est[03]:04->占い師']
1,talk,1,0,3,3:Agent[04]よ、もし汝が占い師ならば、誰を占いたるか？,"['Mt:04', 'Req(T):04']"
1,talk,1,0,3,3:告げよ！,['Req(T):ALL']
1,talk,2,0,5,5:おはようございます。,['Other']
1,talk,12,2,5,5:おはようございます。,['Other']
1,talk,2,0,5,5:早速ですが、私は占い師です。,['CO[05]:占い師']
1,talk,2,0,5,5:昨日の夜、Agent[02]を占いました。,['DivT[05]:02->白']
1,talk,2,0,5,5:結果は人間でした。,['Fact[02]:05->占い師']
1,talk,3,0,2,2:さすが占い師のAgent[05]さんやね。,['CO[02]:村人']
1,talk,3,0,2,2:俺が村人であることを確認してくれたんは心強いわ。,['Req(Discuss)']
1,talk,3,0,2,2:他の参加者も異論があるなら言うたらええで。,"['Mt:05', 'Req(CO):占い師']"
1,talk,4,0,4,4:>>Agent[05] 占い師はもう一人いないの？,['Req(CO):占い師']
1,talk,4,0,4,4:対抗ないのかな？,"['CO[01]:村人', 'calm']"
1,talk,5,1,1,1:村人として、冷静に進めていきたいですね。,"['Est[01]:05->占い師', 'Est[01]:04->占い師', 'Req(CO):占い師']"
1,talk,5,1,1,1:Agent[05]が占い師を名乗ってるけど、他に対抗が出るかどうか注目していくのがいいと思うです。,"['XorEst:(04,05)->(占い師⇔not(占い師))']"
1,talk,5,1,1,1:ただ、Agent[02]が白という情報があるので、しばらくはこの情報を元に考えてみるのもありですね。,['Fact[01]:02->not(人狼)']
1,talk,5,1,1,1:みんなも意見あれば教えてほしいです。,['Req(Discuss)']
1,talk,6,1,3,3:Agent[05]の占いは興味深いものなり。,['Est[03]:05->占い師']
1,talk,6,1,3,3:然し、我に確信はない。,['difficult']
1,talk,6,1,3,3:Agent[04]の主張も理解できる。,['Agr:04']
1,talk,6,1,3,3:しかし、現時点では、投票するには早すぎるであろう。,['Wait']
1,talk,6,1,3,3:更なる状況の観察が必要と思われる。,['difficult']
1,talk,7,1,5,5:皆さん、私は占い師です。,['CO[05]:占い師']
1,talk,7,1,5,5:0日目にAgent[02]を占い、その結果は「人間」でした。,['DivT[05]:02->白']
1,talk,7,1,5,5:ですので、Agent[02]は信頼できる存在です。,['Fact[05]:02->not(人狼)']
1,talk,7,1,5,5:Agent[01]さん、あなたの考えを教えていただけますか？,['Req(T):01']
1,talk,7,1,5,5:他の方もご意見をお聞かせください。,['Req(Discuss)']
1,talk,8,1,2,2:ありがとうAgent[05]さん。,['Mt:05']
