date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,4,Hello. I am Minato. My role is villager. Have a good game.,,Minato: Hello. I am Minato. My role is villager. Have a good game.,['CO[Minato]:Villager']
0,talk,1,0,3,Skip,,Yumi: Skip,['Wait']
0,talk,2,0,2,Let's stay focused and share our thoughts to find the werewolves.,,Misaki: Let's stay focused and share our thoughts to find the werewolves.,"['Req(Discuss)', 'Pers:ALL']"
0,talk,3,0,5,I won't claim a role yet.  @Minato  you said you're a villager—why claim so quickly? Any reads or night info? Misaki  Yumi  Ryuji  what are your initial impressions? I'll wait before votin,,Asuka: I won't claim a role yet.  @Minato  you said you're a villager—why claim so quickly? Any reads or night info? Misaki  Yumi  Ryuji  what are your initial impressions? I'll wait before votin,"['Mt:Minato', 'Req(T):Minato', 'Mt:Misaki', 'Mt:Yumi', 'Mt:Ryuji', 'Req(T):Misaki', 'Req(T):Yumi', 'Req(T):Ryuji', 'Wait']"
0,talk,4,0,1,I’m looking forward to a thoughtful game. Let’s keep our reasoning sharp and avoid being swayed by assumptions.,,Ryuji: I’m looking forward to a thoughtful game. Let’s keep our reasoning sharp and avoid being swayed by assumptions.,"['Req(Discuss)', 'calm']"
0,talk,6,1,3,I'm Yumi! Ready for an adventure! Let's give it our all everyone,,Yumi: I'm Yumi! Ready for an adventure! Let's give it our all everyone,['Pers:ALL']
0,talk,7,1,2,It's too early for strong reads but I'm curious about Minato's early claim.,,Misaki: It's too early for strong reads but I'm curious about Minato's early claim.,"['Sus:Minato', 'difficult']"
0,talk,8,1,5,I agree it's early.  @Minato  why claim villager so fast—any reason or night info? Misaki  Ryuji  Yumi  any quick impressions or suspicious behavior so far? I won't vote without clea,,Asuka: I agree it's early.  @Minato  why claim villager so fast—any reason or night info? Misaki  Ryuji  Yumi  any quick impressions or suspicious behavior so far? I won't vote without clea,"['Mt:Minato', 'Req(T):Minato', 'Sus:Minato', 'Mt:Misaki', 'Mt:Ryuji', 'Mt:Yumi', 'Req(T):Misaki', 'Req(T):Ryuji', 'Req(T):Yumi', 'Wait']"
0,talk,11,2,2,I haven't noticed anything suspicious yet; let's keep observing and stay cautious.,,Misaki: I haven't noticed anything suspicious yet; let's keep observing and stay cautious.,"['Req(Discuss)', 'calm']"
0,talk,12,2,5,You were cheerful then quiet — that shift looks odd. Do you have any info or are you staying silent on purpose?  @Yumi  please share your thinking. Over,,Asuka: You were cheerful then quiet — that shift looks odd. Do you have any info or are you staying silent on purpose?  @Yumi  please share your thinking. Over,"['Sus:Yumi', 'Mt:Yumi', 'Req(T):Yumi']"
0,talk,13,3,2,I'm just observing for now Asuka. It's best to stay calm and gather more info first.,,Misaki: I'm just observing for now Asuka. It's best to stay calm and gather more info first.,"['Mt:Asuka', 'Req(Discuss)', 'calm', 'Wait']"
