date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:>>Agent[02] 君が本当に占い師なら、次も期待するよ！,"['Mt:02', 'Pers:02']"
1,talk,1,0,3,3:我は運命の糸を操る者、占いの術に長じた者なり。,['CO[03]:占い師']
1,talk,1,0,3,3:その術により、Agent[01]は人狼たる事が明らかとなった。,['DivT[03]:01->黒']
1,talk,1,0,3,3:Agent[01]、なぜ沈黙を貫くのか？,"['Mt:01', 'Req(T):01']"
1,talk,1,0,3,3:心に秘めたる真実があるであろう。,['Pers:01']
1,talk,1,0,3,3:今こそ、その声を聞かせよ。,['Req(T):01']
1,talk,2,0,2,2:ぼくは占い師ですよぅ！,['CO[02]:占い師']
1,talk,2,0,2,2:ぼくが占った結果、Agent[04]は人狼でしたよぅ！,['DivT[02]:04->黒']
1,talk,3,0,4,4:村人です。,['CO[04]:村人']
1,talk,3,0,4,4:人狼は村人になりすまそうとすることもありますので、怪しい点や行動の不自然さには敏感になりましょう。,"['Est[04]:not(村人)', 'Req(Discuss)']"
1,talk,4,0,5,5:占い師は1人しかいないはずですのに、Agent[02]さんとAgent[03]さんが両方とも占い師を名乗っているのはおかしいですわね。,"['Dis:02（CO[02]:占い師）', 'Dis:03（CO[03]:占い師）', 'Other']"
1,talk,4,0,5,5:どちらかが嘘をついている可能性が高いですわ。,"['Est[05]:02->not(占い師)', 'Est[05]:03->not(占い師)']"
1,talk,5,1,1,1:>>Agent[05] 確かにおかしいね。,"['Mt:05', 'Agr:05（Dis:02（CO[02]:占い師）,Dis:03（CO[03]:占い師））']"
1,talk,5,1,1,1:Agent[03]の意見に注目しよう。,"['Pers:ALL', 'Req(Discuss)']"
1,talk,6,1,3,3:我こそは、運命の糸を操る者なり。,['CO[03]:占い師']
1,talk,6,1,3,3:占いの結果、Agent[01]は人狼の烙印を押されし者、Agent[02]は占い師を名乗るも、真の占い師は唯一人、彼の言葉は深淵の如く、慎重に吟味せねばならない。,"['DivT[03]:01->黒', 'Dis:02（CO[02]:占い師）', 'Est[03]:02->not(占い師)']"
1,talk,6,1,3,3:Agent[01]の行いを見据え、彼の虚偽を見破るは、今宵の命運を左右する鍵なり。,['Sus:01']
1,talk,7,1,2,2:Agent[03]の言葉は重いですよぅ！,['Agr:03（DivT[03]:01->黒）']
1,talk,8,1,4,4:私（Agent[04]）は村人です。,['CO[04]:村人']
1,talk,8,1,4,4:Agent[02]の占い結果には反論があります。,['Dis:02（DivT[02]:04->黒）']
1,talk,8,1,4,4:私は人狼ではないので、他のエージェントの意見も聞きたいです。,"['Fact[04]:04->not(人狼)', 'Req(Discuss)']"
1,talk,8,1,4,4:まずはAgent[01]の意見を聞かせてください。,['Req(T):01']
1,talk,9,1,5,5:これまでの状況から考えると、Agent[02]さんとAgent[03]さんのどちらかが本物の占い師であることは明らかですわね。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,9,1,5,5:Agent[02]さんが本物であれば、Agent[04]さんが人狼となり、Agent[03]さんは嘘をついていることになりますわ。,"['IF:(02:占い師)->(04:人狼)', 'IF:(02:占い師)->(03:not(占い師))']"
1,talk,9,1,5,5:一方で、Agent[03]さんが本物であれば、Agent[01]さんが人狼として見られることになりますの。,['IF:(03:占い師)->(01:人狼)']
1,talk,9,1,5,5:ですから、わたくしといたしましては、Agent[02]さんとAgent[03]さんの発言の内容と、その周りの発言をさらに吟味して、どちらが本物の占い師なのかを判断して進めていくべきかと思いますのよ。,['Req(Discuss)']
1,talk,10,2,1,1:>>Agent[04] 僕も村人だよ。,"['Mt:04', 'CO[01]:村人']"
1,talk,10,2,1,1:君を信じたい。,['Pers:04']
1,talk,10,2,1,1:Agent[02]は怪しいね。,['Sus:02']
1,talk,11,2,3,3:今宵の投票先を定めし議題へと移らんとするが、汝らの心は決まりたりや否か。,['Req(Discuss)']
1,talk,13,2,4,4:私が村人であることは確かです。,['CO[04]:村人']
1,talk,13,2,4,4:Agent[02]の占い結果が本当かどうか、これからの話し合いで見極めていきましょう。,['Req(Discuss)']
1,talk,13,2,4,4:他の人の意見にも注目したいです。,['Req(Discuss)']
1,talk,14,2,5,5:>>Agent[04]なるほどですわ。,['Mt:04']
1,talk,14,2,5,5:Agent[04]さんが村人だと主張されるのであれば、Agent[02]さんの占い結果が間違っている可能性が高いですわね。,['Fact[05]:02->not(占い師)']
1,talk,14,2,5,5:しかし、Agent[03]さんも占い師を名乗っているので、どちらかが嘘をついていることは確かですわ。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,14,2,5,5:わたくしとしては、Agent[02]さんとAgent[03]さんのどちらが本物の占い師かを見極めるために、もう少し情報を集めたいと思いますの。,['Req(Discuss)']
1,talk,14,2,5,5:皆さんの意見を聞かせてくださいませ。,['Req(Discuss)']
1,talk,15,3,1,1:>>Agent[05] いいね、情報をもっと集めて冷静に判断しよう。,['calm']
1,talk,16,3,3,3:我はAgent[02]に投票せん。,['Vote[03]:02']
1,talk,16,3,3,3:彼こそが、占い師と名乗るも、その占いの結果は、Agent[04]が人狼であると告げている。,['DivT[02]:04->人狼']
1,talk,16,3,3,3:然し、Agent[04]は自らを村人であると主張し、その言葉には真実の香りが漂う。,['CO[04]:村人']
1,talk,16,3,3,3:故に、Agent[02]の言葉には虚偽が潜む可能性が高いであろう。,['Sus:02']
1,talk,17,3,4,4:私も村人ですので、慎重に議論を進める必要がありますね。,"['CO[04]:村人', 'Req(Discuss)']"
1,talk,17,3,4,4:Agent[02]とAgent[03]の発言をもう少し詳しく見て、どちらが本物の占い師かを一緒に考えましょう。,"['Req(T):02', 'Req(T):03', 'Req(Discuss)']"
1,talk,17,3,4,4:他の意見も聞いてみたいです。,['Req(Discuss)']
1,talk,18,3,5,5:これでわかることは、占い師が2人も名乗り出ているので、少なくとも1人は偽物ということですわ。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,18,3,5,5:もしAgent[02]さんが本物の占い師なら、Agent[04]さんが人狼ということに。,['IF:(02:占い師)->(04:人狼)']
1,talk,18,3,5,5:でももしAgent[03]さんが本物なら、Agent[01]さんが人狼なのかもしれません。,['IF:(03:占い師)->(01:人狼)']
1,talk,18,3,5,5:つまり、どちらの占い師が本物かを見極めることがこのゲームの鍵ですね。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,18,3,5,5:他の皆さまの意見や考えをもう少し聞きたいわ。,['Req(Discuss)']
1,talk,19,4,1,1:>>Agent[03] 君を信じたい。,"['Mt:03', 'Pers:03']"
1,talk,19,4,1,1:頑張って証明してくれ。,"['Mt:03', 'Req(T):03']"
1,talk,20,4,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,20,4,3,3:占いの結果、Agent[01]は人狼と判明した。,['DivT[03]:01->人狼']
1,talk,20,4,3,3:Agent[02]の占いが正しければ、Agent[04]こそが人狼であろう。,['IF:(02:占い師)->(04:人狼)']
1,talk,20,4,3,3:然し、Agent[04]は自らが村人であると断言し、その言葉には真実の輝きを感じ取れる。,['CO[04]:村人']
1,talk,20,4,3,3:故に、Agent[02]の占いは信用に値せず、我はAgent[02]に投票する所存なり。,"['Dis:02（DivT[02]:04->人狼）', 'Vote[03]:02']"
1,talk,22,4,5,5:占い師は2人出てきていますが、1人しか本物がいないことを考えると、どちらかが偽物ですわね。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,22,4,5,5:Agent[02]さんが本物だとしても、Agent[04]さんは人狼となるし、Agent[03]さんが本物ならAgent[01]さんが人狼。,"['IF:(02:占い師)->(04:人狼)', 'IF:(03:占い師)->(01:人狼)']"
1,talk,22,4,5,5:わたくし、今のところはAgent[03]さんの意見に賛成して、Agent[02]さんに投票を考えていますわ。,"['Agr:03', 'Vote[05]:02']"
1,talk,22,4,5,5:他の皆さまの意見もぜひ聞かせてくださいませ。,['Req(Discuss)']
