date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,5,タクミ:ぼくはタクミ、占い師ですよぅ！,,['CO[タクミ]:占い師']
0,talk,0,0,5,タクミ:よろしくですよぅ！,,['Other']
0,talk,1,0,4,アキラ:やあ皆 人狼だよ 今日からよろしくね オズ あとアキラ タクミ レイ アキもよろしくね 占い師かあ 楽しみだな 俺は村人だけどね みんなで楽しく人狼ゲームをしましょう！,,"['CO[アキラ]:村人', 'Mt:オズ', 'Mt:アキラ', 'Mt:タクミ', 'Mt:レイ', 'Mt:アキ', 'Req(Discuss)']"
0,talk,2,0,1,アキ:アキです。,,['Other']
0,talk,2,0,1,アキ:疑わしい発言や行動は遠慮なく指摘するので覚悟して。,,['Req(Discuss)']
0,talk,2,0,1,アキ:誰が狼でも見逃すつもりはない。,,['Other']
0,talk,2,0,1,アキ:全員、油断は禁物だと思う。,,['Req(Discuss)']
0,talk,3,0,3,レイ:レイだ。,,['Other']
0,talk,3,0,3,レイ:みんなあいさつありがとう。,,['Other']
0,talk,3,0,3,レイ:役職カミングアウトはタクミが占い師、アキラが村人主張…か。,,"['Fact[レイ]:タクミ->占い師', 'Fact[レイ]:アキラ->村人']"
0,talk,3,0,3,レイ:少人数だが冷静に進めたい。,,['calm']
0,talk,6,1,4,アキラ:よお、俺はアキラ。,,['Other']
0,talk,6,1,4,アキラ:人狼として今日からよろしくな。,,['CO[アキラ]:人狼']
0,talk,6,1,4,アキラ:アキ、レイ、オズ、タクミ、みんな頼むぜ。,,"['Mt:アキ', 'Mt:レイ', 'Mt:オズ', 'Mt:タクミ']"
0,talk,6,1,4,アキラ:占い師がいるみたいだけど、俺は村人だ。,,['CO[アキラ]:村人']
0,talk,6,1,4,アキラ:ゲーム、楽しんでいこうぜ。,,['Other']
0,talk,7,1,1,アキ:最初から油断は禁物。,,['Req(Discuss)']
0,talk,7,1,1,アキ:序盤から全員の発言や反応を客観的に分析し、冷静に状況を整理していくつもりだ。,,['calm']
0,talk,8,1,3,レイ:今のところCOはタクミが占い師のみ。,,['Fact[レイ]:タクミ->占い師']
0,talk,8,1,3,レイ:他に対抗がいないか改めて確認しておきたい。,,['Req(CO):占い師']
