date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:我は、運命の糸を解き明かす者なり。,['Other']
1,talk,0,0,1,1:占いの結果、Agent[05]は、かくも儚き人間であった。,['DivT[01]:05->白']
1,talk,0,0,1,1:Agent[02]、貴様は国王と名乗るというのか？,['Mt:02']
1,talk,0,0,1,1:この混沌たる状況を、如何に解釈するのか、我が前に示せ。,['Req(T):ALL']
1,talk,5,1,1,1:この混沌たる状況を、如何に解釈するのか、我が前に示せ。,['Req(T):ALL']
1,talk,1,0,2,2:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,2,0,3,3:Agent[01]、占い師を名乗ったのですね。,"['Mt:01', 'CO[01]:占い師']"
1,talk,2,0,3,3:しかし、彼が本物かどうかはまだわかりませんね。,['Dis:01（CO[01]:占い師）']
1,talk,2,0,3,3:Agent[05]が村人と判定されたと言っていますが、念のため他の意見も参考にしながら進めましょう。,"['DivT[01]:05->白', 'Req(Discuss)']"
1,talk,2,0,3,3:みんなはどう思いますか?,['Req(Discuss)']
1,talk,3,0,5,5:>>Agent[03] 私が占い師です。,"['Mt:03', 'CO[05]:占い師']"
1,talk,3,0,5,5:Agent[04]は村人ですよ。,['DivT[05]:04->白']
1,talk,4,0,4,4:Agent[05]が占い師名乗ってるのだね。,['CO[05]:占い師']
1,talk,4,0,4,4:でもAgent[01]が最初に名乗った占い師の結果にも注意必要だよ。,['CO[01]:占い師']
1,talk,4,0,4,4:全員の意見整理しよう。,['Req(Discuss)']
1,talk,5,1,1,1:我は、運命の糸を操る者なり。,['Other']
1,talk,5,1,1,1:占いの結果、Agent[05]は、かくも人間たる所以を示した。,['DivT[01]:05->白']
1,talk,5,1,1,1:Agent[02]よ、汝は国王と名乗るというのか？,['Mt:02']
1,talk,0,0,1,1:この混沌たる状況を、如何に解釈するのか、我が前に示せ。,['Req(T):ALL']
1,talk,5,1,1,1:この混沌たる状況を、如何に解釈するのか、我が前に示せ。,['Req(T):ALL']
1,talk,6,1,2,2:Agent[01]よ、占いの結果を聞かせてくれたことに感謝する。,"['Mt:01', 'Admiration']"
1,talk,6,1,2,2:だが、Agent[05]が人間であるという証拠はどこにあるのだ？,['Dis:01（DivT[01]:05->白）']
1,talk,6,1,2,2:汝の言葉だけが真実とは限らない。,['Other']
1,talk,6,1,2,2:他の者たちも意見を述べよ。,['Req(Discuss)']
1,talk,7,1,3,3:占い師は1人しかいないはずだから、Agent[01]かAgent[05]のどちらかが嘘をついていることになるね。,"['XorEst:(01,05)->(占い師⇔not(占い師))']"
1,talk,7,1,3,3:Agent[05]が本物の占い師だとすると、Agent[01]は村人か人狼か狂人のどれかになるし、逆にAgent[01]が本物の占い師だとすると、Agent[05]は村人か狂人になるね。,"['IF:(05:占い師)->(01:村人,人狼,狂人),IF:(01:占い師)->(05:村人,狂人)']"
1,talk,7,1,3,3:みんなはどう思う?,['Req(Discuss)']
1,talk,8,1,5,5:>>Agent[03] 確かにどちらかが嘘だね。,"['Mt:03', 'Agr:03（XorEst:(01,05)->(占い師⇔not(占い師))）']"
1,talk,8,1,5,5:冷静に見極めよう。,['calm']
1,talk,9,1,4,4:みんな、自分の意見述べるとき冷静に。,"['Req(Discuss)', 'calm']"
1,talk,9,1,4,4:今は2人の占い師のどちらかがにせものである可能性高い。,"['XorEst:(01,05)->(占い師⇔not(占い師))']"
1,talk,9,1,4,4:同時にAgent[01]とAgent[05]のどちらか疑う必要ある。,"['Sus:01', 'Sus:05']"
1,talk,10,2,1,1:我々、Agent[01]とAgent[05]は、共に人間判定を受けし者なり。,"['Fact[01]:01->not(人狼)', 'Fact[01]:05->not(人狼)']"
1,talk,10,2,1,1:然し、この世には真なる占い師と、狂人なる者も存在し得るであろう。,['Other']
1,talk,10,2,1,1:故に、人狼判定を受けざるAgent[01]、Agent[02]、Agent[03]のいずれかに投票せざるを得ない。,"['Vote[01]:01', 'Vote[01]:02', 'Vote[01]:03']"
1,talk,11,2,2,2:Agent[01]とAgent[05]、どちらが真の占い師であると思うか、他の者たちの意見を聞かせてもらいたい。,['Req(Discuss)']
1,talk,11,2,2,2:この問題を解決することが、我々が直面している脅威から村を守る鍵となるだろう。,['Other']
1,talk,21,4,2,2:この問題を解決することが、我々が直面している脅威から村を守る鍵となるだろう。,['Other']
1,talk,12,2,3,3:>>Agent[02]なんでしょうか?みんなの意見を聞いていると、Agent[01]かAgent[05]のどちらかが偽物の占い師の可能性があるね。,"['Mt:02', 'XorEst:(01,05)->(占い師⇔not(占い師))']"
1,talk,12,2,3,3:仮にAgent[05]が本物なら、Agent[01]は村人、狂人、人狼のどれかになるし、Agent[01]が本物なら、Agent[05]は村人か狂人だよね。,"['IF:(05:占い師)->(01:村人,狂人,人狼),IF:(01:占い師)->(05:村人,狂人)']"
1,talk,12,2,3,3:もう少し情報が欲しいところだね。,['difficult']
1,talk,13,2,5,5:>>Agent[03] そうだね、どっちが真か判断が難しいな。,"['Mt:03', 'difficult']"
1,talk,14,2,4,4:アーニャ、まずAgent[01]にぎもんが残る。,['Sus:01']
1,talk,14,2,4,4:彼の言葉わくわくだけど、信じるにはリスクたかい。,['difficult']
1,talk,14,2,4,4:今日はAgent[01]にとうひょうすべきだと思う。,"['Est[04]:01->人狼', 'Vote[04]:01']"
1,talk,14,2,4,4:みんなはどう思う？,['Req(Discuss)']
1,talk,15,3,1,1:我はAgent[03]に投票せん。,['Vote[01]:03']
1,talk,15,3,1,1:Agent[03]は、Agent[05]を真なる占い師と仮定し、我を村人、狂人、人狼のいずれかと推測している。,"['IF(05:占い師)->(01:村人,狂人,人狼)']"
1,talk,15,3,1,1:これは、我こそが人狼たる可能性を示唆しており、警戒せねばならぬ。,['Est[01]:01->人狼']
1,talk,16,3,2,2:Agent[01]よ、汝が占いの結果Agent[05]を人間と言い、Agent[05]がAgent[04]を村人と占ったというが、この矛盾をどう説明するのか？,"['contradiction', 'Mt:01']"
1,talk,16,3,2,2:どちらが真の占い師か、その根拠を示せ。,"['Req(T):01', 'Req(T):05']"
1,talk,17,3,3,3:みんなの意見を聞いていると、Agent[01]かAgent[05]のどちらかが狂人か人狼だよね。,"['XorEst:(01,05)->(狂人,人狼)', 'XorEst:(01,05)->(人狼,狂人)']"
1,talk,17,3,3,3:僕は村人だから、慎重に考えたい。,"['CO[03]:村人', 'calm']"
1,talk,17,3,3,3:Agent[05]が占い師だと仮定すると、Agent[01]が狂人か人狼になるし、逆にAgent[01]が占い師だと、Agent[05]は狂人だよ。,"['IF(05:占い師)->(01:狂人,人狼)', 'IF(01:占い師)->(05:狂人)']"
1,talk,17,3,3,3:今日はこの偽物っぽい方に投票した方がいいのかなと思うんだよね。,"['Est[03]:01->not(占い師)', 'Vote[03]:01']"
1,talk,18,3,5,5:>>Agent[03] そうだね、私はAgent[02]が怪しいと思う。,"['Mt:03', 'Sus:02']"
1,talk,19,3,4,4:>>Agent[02] まだ投票先宣言してないようだけど、誰に投票考えてるますか？,"['Mt:02', 'Req(T):02']"
1,talk,21,4,2,2:Agent[01]、Agent[05]、両者が占い師を名乗っているが、本当にどちらが真実を語っているのか。,"['CO[01]:占い師', 'CO[05]:占い師']"
1,talk,21,4,2,2:他の者たちの意見も聞きたい。,['Req(Discuss)']
1,talk,11,2,2,2:この問題を解決することが、我々が直面している脅威から村を守る鍵となるだろう。,['Pers:ALL']
1,talk,21,4,2,2:この問題を解決することが、我々が直面している脅威から村を守る鍵となるだろう。,['Pers:ALL']
1,talk,22,4,3,3:僕は村人で、今のところAgent[01]かAgent[05]のどちらかが嘘をついていると思っているよ。,"['CO[03]:村人', 'XorEst:(01,05)->(not(占い師))']"
1,talk,22,4,3,3:Agent[05]が本物なら、Agent[01]は村人、狂人、人狼のどれかになるし、逆にAgent[01]が本物なら、Agent[05]は村人か狂人になるね。,"['IF(05:占い師)->(01:村人,狂人,人狼)', 'IF(01:占い師)->(05:村人,狂人)']"
1,talk,22,4,3,3:投票するなら、偽物っぽい方、つまり嘘をついている可能性のあるAgent[01]に投票しようかな。,"['Vote[03]:01', 'Est[03]:01->not(占い師)']"
1,talk,23,4,5,5:>>Agent[01] 占い結果が怪しいね、もっと詳しく聞かせて。,"['Mt:01', 'Req(T):01', 'Sus:01']"
1,talk,24,4,4,4:みんなのいけんまとまらない中、アーニャAgent[01]に投票するのがさいぜんと考えてるます。,['Vote[04]:01']
1,talk,24,4,4,4:今日のけつろんだすためにも、みんなのさいしゅういけんはんえいさせるます。,['Req(Discuss)']
2,talk,0,0,5,5:>>Agent[03] うん、Agent[02]が怪しいと思うよ。,"['Mt:03', 'Sus:02']"
2,talk,0,0,5,5:どうする？,['Req(Discuss)']
2,talk,1,0,3,3:僕は村人だから、Agent[02]が人狼ではないことを確認できたよ。,"['CO[03]:村人', 'Fact[03]:02->not(人狼)']"
2,talk,1,0,3,3:でもAgent[05]自身が怪しいっていうのはおかしいと思うんだよね。,['Dis:05（Sus:05）']
2,talk,1,0,3,3:Agent[04]かAgent[05]のどちらかが人狼の可能性があると思う。,"['Est[03]:04->人狼', 'Est[03]:05->人狼']"
2,talk,1,0,3,3:前の推理からだと、Agent[05]が占い師だったら、Agent[04]が人狼かもね。,['IF(05:占い師)->(04:人狼)']
2,talk,1,0,3,3:どうしようか。,['Req(Discuss)']
2,talk,2,0,4,4:アーニャ、Agent[05]があやしいと感じ始めた。,['Sus:05']
2,talk,2,0,4,4:彼が占い師だと主張する一方で、Agent[03]が彼について疑念持ってることが気になる。,"['Dis:05（CO[05]:占い師）', 'Sus:05']"
2,talk,2,0,4,4:そこで、今日はAgent[05]に投票したい。,['Vote[04]:05']
2,talk,3,1,5,5:>>Agent[04] もし本物だとしたらどうする？,"['Mt:04', 'IF(05:本物)->(どうする？)']"
2,talk,3,1,5,5:考え直す必要あるね。,['Other']
2,talk,4,1,3,3:Agent[05]が本物の占い師だと仮定すると、Agent[04]が人狼の可能性が高いんだよね。,['IF(05:占い師)->(Est[03]:04->人狼)']
2,talk,10,3,3,3:Agent[05]が本物の占い師だと仮定すると、Agent[04]が人狼の可能性が高いんだよね。,['IF(05:占い師)->(Est[03]:04->人狼)']
