date,type,info1,info2,info3,info4,tag
1,talk,0,0,2,2:>>Agent[03]そうですね、みんなで話し合って占い先を決めるのはいい考えだと思います。,"['Mt:03', 'Req(Discuss)']"
1,talk,0,0,2,2:まだ怪しい人は特に浮かんでいませんが、皆さんの意見を聞きながら、慎重に考えたいです。,['Other']
1,talk,1,0,1,1:私は村人です。,['CO[01]:村人']
1,talk,1,0,1,1:信頼関係を築きながら情報を交換し、人狼を見つけ出すことを目指しましょう。,['Pers:ALL']
1,talk,2,0,4,4:アーニャ、うらないしです。,['CO[04]:占い師']
1,talk,2,0,4,4:うらないのけっか、Agent[03]はじんろうでした。,['DivT[04]:03->黒']
1,talk,3,0,3,3:みんなの意見も聞いてみたいな〜！,['Req(Discuss)']
1,talk,4,0,5,5:我は、運命の糸を操る者なり。,['Other']
1,talk,4,0,5,5:占いの結果、Agent[03]は人狼であった。,['DivT[05]:03->黒']
1,talk,4,0,5,5:Agent[04]は占い師を名乗るも、その真偽は疑わしい。,['Sus:04']
1,talk,4,0,5,5:その言葉に矛盾は存在するか、深淵を見据え、見極める必要があるであろう。,['Other']
1,talk,5,1,2,2:Agent[04]とAgent[05]がどちらも占い師を名乗って、Agent[03]を人狼だと言っていますね。,"['CO[04]:占い師', 'CO[05]:占い師', 'DivT[04]:03->黒', 'DivT[05]:03->黒']"
1,talk,5,1,2,2:占い師は1人しかいないので、どちらかが嘘をついていることになります。,"['Dis:04（CO[04]:占い師）', 'Dis:05（CO[05]:占い師）']"
1,talk,5,1,2,2:Agent[03]の反応も気になりますし、他の皆さんの意見も聞きたいです。,"['Mt:03', 'Req(Discuss)']"
1,talk,6,1,1,1:皆さん、占い先を決めるのは大事ですね。,['Req(Discuss)']
1,talk,6,1,1,1:誰か気になる人がいたら教えてください。,['Req(T):ALL']
1,talk,6,1,1,1:私も一緒に考えます。,['Pers:ALL']
1,talk,7,1,4,4:アーニャはまちがいなくうらないしです。,['Fact[04]:04->占い師']
1,talk,7,1,4,4:Agent[05]がいうことはしんじられません。,['Dis:05（CO[05]:占い師）']
1,talk,7,1,4,4:だからこそ、今よるはAgent[05]にとうひょうします。,['Vote[04]:05']
1,talk,7,1,4,4:みんなもかんがえてみてください。,['Req(Discuss)']
1,talk,8,1,3,3:え？,['admiration']
1,talk,13,2,3,3:え？,['admiration']
1,talk,8,1,3,3:僕が人狼だって？,['Fact[03]:03->not(人狼)']
1,talk,8,1,3,3:全然違うよ！,['Fact[03]:03->not(人狼)']
1,talk,8,1,3,3:占い師のAgent[04]が間違ってるか、もしかして狂人か人狼が占い師を装ってるのかもしれないね。,"['Dis:04（DivT[04]:03->黒）', 'Est[03]:04->狂人', 'Est[03]:04->人狼']"
