date,type,info1,info2,info3,info4,tag
1,talk,0,0,2,2:村人です。,['CO[02]:村人']
1,talk,0,0,2,2:皆さんに協力して情報を集め、村の平和を守りたいと思っています。,['Pers:ALL']
1,talk,1,0,3,3:ワシも村人やで。,['CO[03]:村人']
1,talk,1,0,3,3:ルールを守って慎重に話し合い、皆さんと協力して人狼を見つけていきたいと思うで。,['Pers:ALL']
1,talk,1,0,3,3:よろしく頼むで。,['Other']
1,talk,2,0,1,1:ぼくは村人ですよぅ！,['CO[01]:村人']
1,talk,3,0,5,5:皆様に重要な情報ですわ。,['Other']
1,talk,3,0,5,5:わたくし、占い師として本日占った結果、Agent[04]は白、つまり村人陣営であります。,"['CO[05]:占い師', 'DivT[05]:04->白']"
1,talk,3,0,5,5:村の平和のために、この情報を共有させていただきますわ。,['Pers:ALL']
1,talk,4,0,4,4:我こそは、運命の糸を操る者。,['Other']
1,talk,4,0,4,4:占いの結果、Agent[05]は、夜闇に潜む人狼なり。,"['CO[04]:占い師', 'DivT[04]:05->黒']"
1,talk,5,1,2,2:私のターンですね。,['Other']
1,talk,5,1,2,2:みんな、今日はどんな感じで進める？,['Req(Discuss)']
1,talk,5,1,2,2:各自の役職を確認して、協力し合おう！,['Req(CO):ALL']
1,talk,6,1,3,3:占い師が二人おる状況は怪しいな。,"['Sus:04,Sus:05']"
1,talk,6,1,3,3:Agent[05]の情報を信じるか、Agent[04]の結果をどう評価するかで決めるべきやと思うで。,['Other']
1,talk,6,1,3,3:意見を聞かせてくれ。,['Req(Discuss)']
1,talk,7,1,1,1:ぼくは村人なので、占い師が二つおる状況は不安ですよぅ！,"['CO[01]:村人', 'Sus:04,Sus:05']"
1,talk,8,1,5,5:わたくしの占いの結果、Agent[04]は白、村人陣営であることを確認いたしましたわ。,['DivT[05]:04->白']
1,talk,8,1,5,5:Agent[04]の発言は誤りである可能性が高いですわね。,['Dis:04（DivT[04]:05->黒）']
1,talk,8,1,5,5:皆様のご意見を伺いたいですわ。,['Req(Discuss)']
1,talk,9,1,4,4:我々はこの混沌たる夜に、Agent[05]を白と断じ、Agent[04]を人狼と見做す。,"['Fact[04]:05->not(人狼)', 'Fact[04]:04->人狼']"
1,talk,9,1,4,4:然し、占い師の中に真なる者と狂人と人狼が潜む可能性は否定出来ぬ。,"['Est[04]:占い師->not(占い師)', 'Est[04]:占い師->狂人', 'Est[04]:占い師->人狼']"
1,talk,9,1,4,4:故に、今、我々はAgent[04]、Agent[05]、Agent[03]のいずれかに投票せねばならぬ。,"['Req(V):04', 'Req(V):05', 'Req(V):03']"
1,talk,10,2,2,2:この状況では、Agent[05]とAgent[04]のどちらが本物の占い師か見極めるのが大事だと思います。,"['Est[02]:05->占い師', 'Est[02]:04->占い師']"
1,talk,10,2,2,2:みんなの意見を聞かせて！,['Req(Discuss)']
1,talk,11,2,3,3:今の状況では、Agent[04]の発言が非常に怪しいと思うで。,['Sus:04']
1,talk,11,2,3,3:狂人か人狼の可能性が高いので、投票先はAgent[04]にしたいと考えてるで。,"['Est[03]:04->狂人', 'Est[03]:04->人狼', 'Vote[03]:04']"
1,talk,13,2,5,5:皆様に再度お伝えいたします。,['Other']
1,talk,13,2,5,5:わたくしの占いの結果、Agent[04]は白、つまり村人陣営と確認しておりますわ。,['DivT[05]:04->白']
1,talk,13,2,5,5:この情報を踏まえてご判断いただければ幸いですわ。,['Other']
1,talk,13,2,5,5:Agent[04]がわたくしを人狼と断じているのは誤った情報である可能性が高いですわね。,['Dis:04（Fact[04]:05->人狼）']
1,talk,13,2,5,5:皆様のご意見を伺いながら、決断してまいりましょう。,['Req(Discuss)']
1,talk,14,2,4,4:我はAgent[03]に投票せん。,['Vote[04]:03']
1,talk,14,2,4,4:Agent[03]は、Agent[04]の言葉に欺瞞を察知し、その裏に潜む真実を見抜かんとする者なり。,['Est[04]:03->not(人狼)']
1,talk,14,2,4,4:それは、恐らく我こそが人狼たることを悟りしゆえであろう。,['Fact[04]:04->人狼']
