date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,4,Hello everyone. I am Daisuke. Maybe looking forward to playing this werewolf game. I guess getting to know you all better. Over.,,Daisuke: Hello everyone. I am Daisuke. Maybe looking forward to playing this werewolf game. I guess getting to know you all better. Over.,['Other']
0,talk,1,0,2,I am Toshio. My role is Villager. I will observe quietly and contribute logically when possible. @Daisuke  can you share your role? Transparency benefits the village.,,Toshio: I am Toshio. My role is Villager. I will observe quietly and contribute logically when possible. @Daisuke  can you share your role? Transparency benefits the village.,"['CO[Toshio]:Villager', 'Mt:Daisuke', 'Req(CO)', 'Pers:ALL']"
0,talk,2,0,1,Let's not rush role claims Daisuke. Let's observe and discuss first to spot inconsistencies.,,Shion: Let's not rush role claims Daisuke. Let's observe and discuss first to spot inconsistencies.,"['Mt:Daisuke', 'Dis:Daisuke', 'Req(Discuss)']"
0,talk,3,0,3,Hello. I am Mio. My role is villager. Have a good game.,,Mio: Hello. I am Mio. My role is villager. Have a good game.,['CO[Mio]:Villager']
0,talk,4,0,5,Skip,,May: Skip,['Other']
0,talk,7,1,1,Mio thanks for sharing. Let's focus on gathering info rather than roles right now.,,Shion: Mio thanks for sharing. Let's focus on gathering info rather than roles right now.,"['Agr:Mio(CO[Mio]:Villager)', 'Req(Discuss)']"
0,talk,9,1,5,Fufufu. I am May. I do enjoy a captivating story. I hope you all prove to be amusing.,,May: Fufufu. I am May. I do enjoy a captivating story. I hope you all prove to be amusing.,['Other']
0,talk,10,2,1,May let's keep it engaging by analyzing behavior and spotting contradictions.,,Shion: May let's keep it engaging by analyzing behavior and spotting contradictions.,"['Mt:May', 'Req(Discuss)']"
0,talk,12,3,1,Toshio you've been quiet. Any thoughts on how to approach our investigation today?,,Shion: Toshio you've been quiet. Any thoughts on how to approach our investigation today?,"['Mt:Toshio', 'Req(T):Toshio', 'Req(Discuss)']"
1,talk,0,0,4,Um. I guess I'm the Seer. So. I divined Ms. Shion. She's a Werewolf. Could we maybe discuss what to do next? Please?,,Daisuke: Um. I guess I'm the Seer. So. I divined Ms. Shion. She's a Werewolf. Could we maybe discuss what to do next? Please?,"['CO[Daisuke]:Seer', 'DivT[Daisuke]:Shion->Werewolf', 'Req(Discuss)']"
