date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,4,カイ:ぼくはカイ、村人ですよぅ！,,['CO[カイ]:村人']
0,talk,0,0,4,カイ:よろしくですよぅ！,,['Other']
0,talk,1,0,5,タクミ:タクミ、参上！,,['Other']
0,talk,1,0,5,タクミ:どんなミステリーも見逃さないぞ！,,['Other']
0,talk,1,0,5,タクミ:ドキドキするね、よろしく！,,['Other']
0,talk,2,0,1,リナ:リナと申します。,,['Other']
0,talk,2,0,1,リナ:よろしくお願いします。,,['Other']
0,talk,2,0,1,リナ:どんなゲームになるのか…少しばかり楽しみにしていますよ。,,['admiration']
0,talk,3,0,2,ヘンリー:私はヘンリー、占い師として村の平和を守る覚悟である。,,['CO[ヘンリー]:占い師']
0,talk,3,0,2,ヘンリー:皆、協力して謎を解いていこう。,,['Pers:ALL']
0,talk,3,0,2,ヘンリー:仲間を大切にすること、それが勝利への近道だ。,,['Pers:ALL']
0,talk,6,1,5,タクミ:どんな事件も、僕の目でぜったい見抜いてみせる！,,['Other']
0,talk,8,1,2,ヘンリー:本日は自己紹介にて終える。,,['Other']
0,talk,8,1,2,ヘンリー:明日以降、占い結果を共有するので、信頼してほしい。,,['Pers:ALL']
0,talk,8,1,2,ヘンリー:冷静に議論を進め、必ず人狼を見抜いてみせる。,,['calm']
0,talk,10,2,2,ヘンリー:私は本日ここで発言を控える。,,['Other']
0,talk,10,2,2,ヘンリー:情報が揃い次第、理論的に推理を進めていくつもりである。,,['calm']
0,talk,10,2,2,ヘンリー:仲間たちも準備を怠るな。,,['Pers:ALL']
0,talk,10,2,2,ヘンリー:明日以降、私の占い結果をきっかけに事態は動き始める。,,['Other']
0,talk,10,2,2,ヘンリー:心して臨むべきだ。,,['Other']
0,talk,11,3,2,ヘンリー:リナ、オリバー、カイ、タクミ各々のキャラクターや発言傾向も頭に入れておくべきだ。,,"['Mt:リナ', 'Mt:オリバー', 'Mt:カイ', 'Mt:タクミ']"
0,talk,11,3,2,ヘンリー:役割に左右されず、思考は常に柔軟であるべきだ。,,['Other']
0,talk,11,3,2,ヘンリー:明日は私の占い結果が議論の主軸になるであろう。,,['Other']
0,talk,11,3,2,ヘンリー:無駄口よりも、確実な証拠と理詰めの推理に期待している。,,['Req(Discuss)']
1,talk,0,0,3,オリバー:皆さん、今後の進行についてしっかり考えていきたいですね。,,"['Req(Discuss)', 'calm']"
1,talk,0,0,3,オリバー:ヘンリー君が占い師だと名乗っているのは心強いですが、他のプレイヤーの情報も重要ですから、慎重に進めていきましょうじゃ。,,"['Req(Discuss)', 'calm']"
1,talk,1,0,5,タクミ:@リナ、昨日あんまり話してなかったけど、何か考えてることある？,,['Req(T):リナ']
1,talk,1,0,5,タクミ:みんなの意見も聞きたいな。,,['Req(Discuss)']
1,talk,1,0,5,タクミ:ぼくも探検しながら考えてみるね！,,['Other']
1,talk,2,0,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
1,talk,2,0,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
1,talk,2,0,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
1,talk,3,0,2,ヘンリー:まず最初に、私の昨夜の占い結果を共有する。,,['Req(listen)']
1,talk,3,0,2,ヘンリー:オリバーは「人間」と判定した。,,['DivT[ヘンリー]:オリバー->白']
1,talk,3,0,2,ヘンリー:現時点で彼は疑う余地が少ない村の仲間だ。,,['Fact[ヘンリー]:オリバー->not(人狼)']
1,talk,3,0,2,ヘンリー:村の透明性を重視し、疑問点や占い先の希望があれば率直に述べてほしい。,,['Req(Discuss)']
1,talk,3,0,2,ヘンリー:信頼こそ村の武器になる。,,['Pers:ALL']
1,talk,4,0,1,リナ:占い結果をお伝えしましょう。,,['Req(listen)']
1,talk,4,0,1,リナ:私の夜の探索では、タクミさんが人狼でした。,,['DivT[リナ]:タクミ->黒']
1,talk,4,0,1,リナ:ヘンリーさんの結果とは違いますね。,,['contradiction']
1,talk,5,1,3,オリバー:みんな、ヘンリーの占い結果がオリバーだと出たことは信頼できる材料じゃな。,,['Agr:ヘンリー']
1,talk,5,1,3,オリバー:リナの言うようにタクミが人狼だとしたら、少しずつ話を整理していく必要がある。,,"['Agr:リナ', 'Req(Discuss)']"
1,talk,5,1,3,オリバー:今日の夜の占い先について、タクミを占うのが良い選択だと思うよ。,,['Req(Discuss)']
1,talk,5,1,3,オリバー:もし彼が本当に人狼なら、他の人たちもそれを確認できるじゃろうし、占い師の信頼性を確保するためにも重要じゃ。,,"['Pers:ALL', 'Req(Discuss)']"
1,talk,5,1,3,オリバー:@ヘンリー君の占い結果がオリバーということは、彼には安心感があるね。,,['Agr:ヘンリー']
1,talk,5,1,3,オリバー:タクミが本当に人狼なら、今日の占い先として彼は良い選択だと思うんじゃが、君はどう考えるかな？,,[]
1,talk,5,1,3,オリバー:少し意見を聞かせてほしい。,,['Req(Discuss)']
1,talk,6,1,5,タクミ:リナの黒出しって、ちょっと早すぎない？,,['Sus:リナ']
1,talk,6,1,5,タクミ:そんなに簡単に誰かを疑えるものなのかな。,,['Sus:リナ']
1,talk,6,1,5,タクミ:@オリバー、占い師の判定だけで全部決めちゃって大丈夫？,,"['Mt:オリバー', 'Req(T):オリバー']"
1,talk,6,1,5,タクミ:自分の目でもう少し見てほしいな。,,['Req(Discuss)']
1,talk,7,1,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
1,talk,7,1,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
1,talk,7,1,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
1,talk,8,1,2,ヘンリー:現時点でリナが占い師をCOし、タクミを人狼と主張しているが、私が既に占い師だと明言している点から不自然な状況である。,,"['Dis:リナ', 'CO[ヘンリー]:占い師']"
1,talk,8,1,2,ヘンリー:村に混乱を招こうとする偽者の可能性が高い。,,"['Sus:リナ', 'Est[ヘンリー]:リナ->not(占い師)']"
1,talk,8,1,2,ヘンリー:タクミの黒出しも偽占い師によるミスリードと見なすべきだ。,,"['Dis:リナ', 'Est[ヘンリー]:タクミ->not(人狼)']"
1,talk,8,1,2,ヘンリー:@オリバー私はオリバーの指摘に賛同する。,,"['Mt:オリバー', 'Agr:オリバー']"
1,talk,8,1,2,ヘンリー:ただし、タクミを占うかどうかは、村の総意と今後の議論の流れを重視して判断すべきである。,,['Req(Discuss)']
1,talk,9,1,1,リナ:私の探索でタクミさんは黒。,,['DivT[リナ]:タクミ->黒']
1,talk,9,1,1,リナ:今日は彼に投票するのが筋でしょう。,,['Vote[リナ]:タクミ']
1,talk,9,1,1,リナ:皆さんはどう判断します？,,['Req(Discuss)']
1,talk,10,2,3,オリバー:みんな、リナの主張を聞いて、少し気になる点があるじゃ。,,['Sus:リナ']
1,talk,10,2,3,オリバー:もしリナが本当に占い師なら、どうしてタクミの黒を発表したのか、占い師としての責任を考えると不自然に思える。,,"['Sus:リナ', 'Est[オリバー]:リナ->not(占い師)']"
1,talk,10,2,3,オリバー:ヘンリーが本物の占い師である可能性もまだ十分にあるから、村の統一された意見を集めるために今日はしっかり議論すべきじゃ。,,"['Est[オリバー]:ヘンリー->占い師', 'Req(Discuss)']"
1,talk,10,2,3,オリバー:タクミに投票するのも大事だが、他の意見も重要じゃと思うよ。,,"['Req(Discuss)', 'Wait']"
1,talk,10,2,3,オリバー:皆の考えをもう一度聞かせてくれ。,,['Sus:リナ']
1,talk,11,2,5,タクミ:リナの黒出し、こんな早い段階で本当に信じて良いの？,,[]
1,talk,13,2,2,ヘンリー:現時点の状況を冷静に分析する。,,"['calm', 'Req(Discuss)']"
1,talk,13,2,2,ヘンリー:私が最初に占い師COした後、リナが後出しで占い師を名乗りタクミ黒を提示したのは、村を撹乱しようとする動きと読める。,,"['CO[ヘンリー]:占い師', 'Sus:リナ']"
1,talk,13,2,2,ヘンリー:情報公開型の戦略を取る以上、私が真占い師である信頼性を積み重ねるべきだ。,,"['CO[ヘンリー]:占い師', 'Pers:ALL']"
1,talk,13,2,2,ヘンリー:村の安全のため、村全体の意見を集約したい。,,"['Req(Discuss)', 'calm']"
1,talk,14,2,1,リナ:@タクミさん、私の結果に疑問があるようですね。,,"['Mt:タクミ', 'Req(T):タクミ']"
1,talk,14,2,1,リナ:あなたの視点から見て、どう考えていますか？,,['Req(T):タクミ']
1,talk,14,2,1,リナ:聞かせてもらえませんか。,,['Req(T):タクミ']
1,talk,15,3,3,オリバー:タクミ、確かにリナの早い黒出しに疑問を感じるのは理解できるよ。,,"['Mt:タクミ', 'Agr:タクミ', 'Sus:リナ']"
1,talk,15,3,3,オリバー:しかし、ヘンリーが最初に占い師COしている以上、彼の信頼性も考慮するべきじゃ。,,"['CO[ヘンリー]:占い師', 'Req(Discuss)']"
1,talk,15,3,3,オリバー:今回は村の意見を集約することが重要だろう。,,"['Req(Discuss)', 'calm']"
1,talk,15,3,3,オリバー:@タクミ君の考えを聞かせてもらえないかな？,,"['Mt:タクミ', 'Req(T):タクミ']"
1,talk,15,3,3,オリバー:ヘンリーが真の占い師でも、リナの主張には一理あるかもしれないし、君も彼女の判断を真剣に考えてほしい。,,"['CO[ヘンリー]:占い師', 'Pers:タクミ']"
1,talk,16,3,5,タクミ:リナがすぐ僕を黒って決めつけたの本当に変だと思う。,,['Sus:リナ']
1,talk,16,3,5,タクミ:まだわからないこといっぱいあるのに、そんな自信あるの？,,"['Mt:リナ', 'Sus:リナ']"
1,talk,16,3,5,タクミ:僕はリナに入れる。,,['Vote[タクミ]:リナ']
1,talk,16,3,5,タクミ:@カイ、急ぎすぎじゃないか確認してみてよ！,,"['Mt:カイ', 'Req(T):カイ']"
1,talk,17,3,2,ヘンリー:タクミが直ちにリナ投票を表明したのは、リナの占いCOへの過剰反応と見なせる。,,"['Sus:タクミ', 'CO[リナ]:占い師']"
1,talk,17,3,2,ヘンリー:それ自体が黒要素と断定はしないが、狼を誘導しようとする材料にはなりうる。,,"['Sus:タクミ', 'calm']"
1,talk,17,3,2,ヘンリー:感情に流されず事実関係を精査すべきだ。,,"['calm', 'Req(Discuss)']"
1,talk,17,3,2,ヘンリー:村の皆には冷静な判断を求める。,,"['calm', 'Pers:ALL']"
1,talk,18,3,1,リナ:タクミさん、そんなに焦らなくても良いのでは？,,"['Mt:タクミ', 'calm']"
1,talk,18,3,1,リナ:あなたの視点が聞きたいですね。,,['Req(Discuss)']
1,talk,18,3,1,リナ:この奇妙な状況をどう見ているのか…,,"['Req(Discuss)', 'confused']"
2,talk,0,0,4,カイ:おはようですよぅ！,,['Other']
2,talk,0,0,4,カイ:リナとヘンリーがいなくなってしまいましたよぅ。,,"['Exe:リナ', 'Atk:ヘンリー']"
2,talk,0,0,4,カイ:どうしましょうよぅ！,,['Req(Discuss)']
2,talk,1,0,5,タクミ:カイが昨日からあんまり自分の意見を出してなくて、ずっと様子見してる気がするんだ。,,['Sus:カイ']
2,talk,1,0,5,タクミ:なんか責任逃れしてるみたいでちょっと怪しいと思ったんだけど、どうしてそんな感じなの？,,"['Sus:カイ', 'Req(T):カイ']"
2,talk,2,0,3,オリバー:ヘンリーが襲撃され、リナも投票で退場したことで、残ったのはタクミとカイ、そして私じゃ。,,"['Atk:ヘンリー', 'Exe:リナ']"
2,talk,2,0,3,オリバー:タクミが今回の議論で焦りを見せていたのは、初日のリナの占い結果に対する反応からも明らかで、これが彼の黒要素になり得るかもしれないな。,,['Est[オリバー]:タクミ->人狼']
2,talk,2,0,3,オリバー:ただ、カイも発言が少なく、反応を見せないことから不安な要素として挙げられる。,,['Sus:カイ']
2,talk,2,0,3,オリバー:私の視点では、今はタクミがより疑わしいと感じているから、彼に投票をしようと思っている。,,"['Vote[オリバー]:タクミ', 'Sus:タクミ']"
2,talk,2,0,3,オリバー:村人として勝利するためには、正しい判断を下す必要があるじゃ。,,['Pers:ALL']
2,talk,3,1,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
2,talk,3,1,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
2,talk,3,1,4,カイ:みんなはどう思いますよぅ？,,['Req(Discuss)']
2,talk,4,1,5,タクミ:@カイ、どうしてそんなに迷ってるの？,,['Req(T):カイ']
2,talk,4,1,5,タクミ:オリバーが最後に焦ってぼくを吊りに来たの、逆に怪しくない？,,"['Sus:オリバー', 'Dis:オリバー']"
2,talk,4,1,5,タクミ:ちゃんと自分の目で考えて決めてほしいな！,,['Pers:ALL']
2,talk,5,1,3,オリバー:私の視点では、タクミが焦っているのが気になっているじゃ。,,['Sus:タクミ']
