date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,4,Morning. I'll sit back for now — no claim. Let's hear role claims and reads before we rush to lynch.  @Mizuki   what's your current read?,,Benjamin: Morning. I'll sit back for now — no claim. Let's hear role claims and reads before we rush to lynch.  @Mizuki   what's your current read?,"['Req(Discuss)', 'Mt:Mizuki', 'Req(T):Mizuki', 'calm']"
0,talk,1,0,5,Hey everyone! It's awesome to see you all here! I'm Yumi. How's it going today? Just feeling things out before any big choices!,,Yumi: Hey everyone! It's awesome to see you all here! I'm Yumi. How's it going today? Just feeling things out before any big choices!,"['Other', 'calm']"
0,talk,2,0,1,Hello everyone! I'm Servas excited to join you all for a game of Werewolf. Let's have some fun together!,,Servas: Hello everyone! I'm Servas excited to join you all for a game of Werewolf. Let's have some fun together!,"['Other', 'admiration']"
0,talk,3,0,3,Hi everyone! I'm Mio. Let's share thoughts and work together to catch the werewolves!,,Mio: Hi everyone! I'm Mio. Let's share thoughts and work together to catch the werewolves!,"['Req(Discuss)', 'Pers:ALL']"
0,talk,4,0,2,Hi everyone I’m Mizuki. Looking forward to a logical discussion and fair play. Let’s observe closely and enjoy the game.,,Mizuki: Hi everyone I’m Mizuki. Looking forward to a logical discussion and fair play. Let’s observe closely and enjoy the game.,"['Req(Discuss)', 'calm', 'Other']"
0,talk,5,1,4,Morning. I have no claim—let's not rush a Day‑1 lynch.  @Mizuki  who do you find suspicious so far? Others  give quick reads or any role claims.,,Benjamin: Morning. I have no claim—let's not rush a Day‑1 lynch.  @Mizuki  who do you find suspicious so far? Others  give quick reads or any role claims.,"['Req(Discuss)', 'Mt:Mizuki', 'Req(T):Mizuki', 'calm']"
0,talk,8,1,3,I'm curious to hear from Yumi and Servas too. Any thoughts on who seems suspicious?,,Mio: I'm curious to hear from Yumi and Servas too. Any thoughts on who seems suspicious?,"['Mt:Yumi', 'Mt:Servas', 'Req(T):Yumi', 'Req(T):Servas', 'Req(Discuss)']"
0,talk,10,2,4,I'm leaning to lynch  @Mizuki  — their one‑word replies feel evasive. Any last reads or objections before we vote?,,Benjamin: I'm leaning to lynch  @Mizuki  — their one‑word replies feel evasive. Any last reads or objections before we vote?,"['Sus:Mizuki', 'Vote[Benjamin]:Mizuki']"
0,talk,11,2,3,Let's hear from Mizuki before deciding. Any thoughts Mizuki?,,Mio: Let's hear from Mizuki before deciding. Any thoughts Mizuki?,"['Mt:Mizuki', 'Req(T):Mizuki', 'Req(Discuss)']"
0,talk,12,3,4,I agree —  @Mizuki 's one‑word replies are suspicious. If they don't explain now  I'm voting to lynch. Any solid defense?,,Benjamin: I agree —  @Mizuki 's one‑word replies are suspicious. If they don't explain now  I'm voting to lynch. Any solid defense?,"['Sus:Mizuki', 'Vote[Benjamin]:Mizuki', 'Mt:Mizuki', 'Req(T):Mizuki']"
0,talk,13,3,3,Let's give Mizuki a moment to respond. It's important to hear everyone's side.,,Mio: Let's give Mizuki a moment to respond. It's important to hear everyone's side.,"['Req(T):Mizuki', 'Req(Discuss)', 'calm']"
1,talk,0,0,2,I’m the Seer I checked Mio last night and she is Human. @Yumi  @Servas  please share your thoughts Benjamin feels suspicious.,,Mizuki: I’m the Seer I checked Mio last night and she is Human. @Yumi  @Servas  please share your thoughts Benjamin feels suspicious.,"['CO[Mizuki]:Seer', 'DivT[Mizuki]:Mio->White', 'Mt:Yumi', 'Mt:Servas', 'Req(T):Yumi', 'Req(T):Servas', 'Sus:Benjamin']"
1,talk,1,0,3,Thanks Mizuki! Let's hear from Yumi and Servas. Benjamin any defense?,,Mio: Thanks Mizuki! Let's hear from Yumi and Servas. Benjamin any defense?,"['Mt:Mizuki', 'Req(T):Yumi', 'Req(T):Servas', 'Mt:Benjamin', 'Req(T):Benjamin']"
