date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,4,エリー:あら皆さん、人狼ゲームへようこそ。,,['Other']
0,talk,0,0,4,エリー:私はAgent[01]のアミさん、Agent[02]のエリーさん、Agent[03]のタクミさん、Agent[04]のハルさん、Agent[05]のミカさん、これからどうぞよろしくお願いいたします。,,['Other']
0,talk,0,0,4,エリー:皆さんの健闘を祈っています。,,['Pers:ALL']
0,talk,1,0,1,タクミ:タクミ、参戦。,,['Other']
0,talk,1,0,1,タクミ:徹底的に分析するつもりだ。,,['Other']
0,talk,1,0,1,タクミ:お手並み拝見させてもらうよ。,,['Other']
0,talk,2,0,2,アミ:皆さん、アミです。,,['Other']
0,talk,2,0,2,アミ:どうぞよろしくお願いいたします。,,['Other']
0,talk,2,0,2,アミ:料理が好きで、休日にはよくパンを焼いています。,,['Other']
0,talk,2,0,2,アミ:心を落ち着けて、頑張りましょう。,,['calm']
0,talk,3,0,3,ミカ:みんな、改めてよろしくね！,,['Other']
0,talk,3,0,3,ミカ:私はミカよ、食べるの大好きで誰とでも仲良くなっちゃうタイプなの。,,['Other']
0,talk,3,0,3,ミカ:今日はみんなで楽しくやろうね〜！,,['Other']
0,talk,4,0,5,ハル:よろしくお願いしまーす！,,['Other']
0,talk,5,1,4,エリー:皆さん、初めまして。,,['Other']
0,talk,5,1,4,エリー:65歳の女性です。,,['Other']
0,talk,5,1,4,エリー:静かに、しかし深く、皆さんの様子を観察しています。,,['Other']
0,talk,5,1,4,エリー:このゲーム、何が起こるか分かりませんが、皆さんと協力し、慎重に進めていきたいと思っています。,,['calm']
0,talk,5,1,4,エリー:どうぞよろしくお願いします。,,['Other']
0,talk,6,1,1,タクミ:みんなの発言、じっくり観察させてもらうよ。,,['Other']
0,talk,6,1,1,タクミ:小さな違和感も拾っていきたい。,,['Other']
0,talk,8,1,3,ミカ:エリーさん、65歳なんて素敵だわ〜！,,['admiration']
0,talk,8,1,3,ミカ:人生経験が活きる場面もありそうやね。,,['Other']
0,talk,8,1,3,ミカ:私もおしゃべり大好きだから、いっぱい楽しいお話しましょ！,,['Other']
0,talk,8,1,3,ミカ:タクミさんは分析派なんやね、頼もしいわ。,,['admiration']
0,talk,8,1,3,ミカ:みんなで協力して頑張ろうね！,,['Pers:ALL']
0,talk,10,2,4,エリー:皆さん、おはようございます。,,['Other']
0,talk,10,2,4,エリー:皆さん、おはようございます。,,['Other']
0,talk,10,2,4,エリー:エリーと申します。,,['Other']
0,talk,10,2,4,エリー:改めて、どうぞよろしくお願いいたします。,,['Other']
0,talk,10,2,4,エリー:経験を活かし、皆さんと共に慎重に、このゲームを進めていきたいと思っています。,,['Pers:ALL']
0,talk,10,2,4,エリー:何かあれば、遠慮なくお声がけくださいね。,,['Other']
0,talk,11,2,1,タクミ:今日も冷静に観察するつもりだ。,,['calm']
0,talk,12,2,3,ミカ:タクミさんの冷静さ、頼もしいわ〜！,,['Agr:タクミ（calm）']
0,talk,12,2,3,ミカ:みんな個性があって楽しいね。,,['Other']
0,talk,12,2,3,ミカ:アミさんのパン、いつか食べてみたいな！,,['Other']
0,talk,12,2,3,ミカ:エリーさんも何でも相談に乗ってくれそうで心強いわ。,,['admiration']
0,talk,12,2,3,ミカ:ハルさんも元気で可愛いし、この村なら楽しくやっていけそうやん！,,['admiration']
0,talk,13,3,4,エリー:おはようございますわたくしエリーです皆様どうぞよろしくお願いいたします皆さんの自己紹介を拝見し心強い気持ちでおります慎重に皆さんと協力しこのゲームを進めていきたいです何かございましたら遠慮なくお声がけくださいね,,['Pers:ALL']
0,talk,14,3,1,タクミ:誰かの一言、表情の変化…今日は妙に気になるんだよな。,,['confused']
0,talk,14,3,1,タクミ:最後まで気を抜かずに見ていこうと思う。,,['calm']
0,talk,14,3,1,タクミ:今の段階で一番違和感を覚えたのはアミだ。,,['Sus:アミ']
0,talk,14,3,1,タクミ:投票はアミにする。,,['Vote[タクミ]:アミ']
0,talk,15,3,3,ミカ:タクミさん、しっかり観察してるんやね〜！,,"['admiration', 'Mt:タクミ']"
