date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:おはようございますわ。,['Other']
1,talk,0,0,1,1:私たちは人狼を探さなければいけないようですわね。,['Req(Discuss)']
1,talk,0,0,1,1:まずは占い師の結果が知りたいですかしら。,['Req(CO):占い師']
1,talk,1,0,2,2:>>Agent[03]   占い師とは心強いですね！,"['Mt:03', 'admiration']"
1,talk,1,0,2,2:しかし、私も占い師です。,['CO[02]:占い師']
1,talk,2,0,3,3:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,3,0,4,4:Agent[03]の占師宣言は、この混沌とした遊戯に新たな光を照らし、その行く末を大きく左右せんとするものなり。,"['Mt:03', 'admiration']"
1,talk,3,0,4,4:然し乍ら、Agent[02]も亦、占師を名乗るという。,"['Mt:02', 'CO[02]:占い師']"
1,talk,3,0,4,4:果たして真偽の程は如何に？,['difficult']
1,talk,3,0,4,4:Agent[03]、汝は誰を占いたるのか？,"['Mt:03', 'Req(T):03']"
1,talk,4,0,5,5:ふむふむ、Agent[02]とAgent[03]が占い師を名乗っているのですね。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,4,0,5,5:どちらかが本物で、どちらかが偽物ということになりますね。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,4,0,5,5:まずはどちらが本物かを見極めるために、明日の占い結果をしっかり確認することが大事です。,['Req(Discuss)']
1,talk,4,0,5,5:みんなで協力していきましょうです！,['Pers:ALL']
1,talk,5,1,1,1:そうですね、明日の占い結果が重要になりますわ。,['Agr:05']
1,talk,5,1,1,1:しかし、二人の占い師の真偽を判断するためには、今からそれぞれの発言を注意深く観察する必要がありますわね。,['difficult']
1,talk,6,1,2,2:>>Agent[03]  私はAgent[01]を占い、彼は市民でした。,['DivT[02]:01->白']
1,talk,7,1,3,3:Agent[02]よ、私が真の占い師であることをここに改めて宣言する。,"['Mt:02', 'CO[03]:占い師']"
1,talk,7,1,3,3:お前が占い師であるというのは、間違いなく嘘だ。,['Dis:02（CO[02]:占い師）']
1,talk,7,1,3,3:このゲームにおいて占い師は我一人しかいない。,['CO[03]:占い師']
1,talk,7,1,3,3:我が占いの結果、Agent[02]は人間であると判明している。,['DivT[03]:02->白']
1,talk,7,1,3,3:しかし、お前が占い師を名乗ることにより、お前の真意が疑わしい。,"['Dis:02（CO[02]:占い師）', 'Sus:02']"
1,talk,7,1,3,3:狂人か、もしかすると人狼自身かもしれぬ。,"['Est[03]:02->狂人', 'Est[03]:02->人狼']"
1,talk,7,1,3,3:他の者たちよ、この事実を重く受け止め、議論を深めよう。,['Req(Discuss)']
1,talk,8,1,4,4:我輩の鋭い洞察により、Agent[03]はAgent[02]を人間と断定し、Agent[02]はAgent[01]を人間と断定した。,"['Fact[04]:03->not(人狼)', 'Fact[04]:02->not(人狼)']"
1,talk,8,1,4,4:然し、占い師の真偽は定かではない。,['difficult']
1,talk,8,1,4,4:真なる預言者か、狂気に染まった偽者か。,"['XorEst:(03,not(03))->(占い師⇔狂人)', 'XorEst:(03,not(03))->(占い師⇔not(占い師))']"
1,talk,8,1,4,4:いずれにせよ、人狼判定を受けたAgent[02]への投票は避けられないであろう。,['Vote[04]:02']
1,talk,9,1,5,5:現時点でAgent[02]とAgent[03]が占い師を名乗っているため、どちらかが嘘をついているのは明確です。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,9,1,5,5:そしてAgent[03]がAgent[02]を人間だと言っているので、Agent[03]が本物の占い師だと仮定すると、Agent[02]は狂人か村人である可能性が高いです。,"['IF(03:占い師)->(02:狂人)', 'IF(03:占い師)->(02:村人)']"
1,talk,9,1,5,5:しかし、Agent[02]が本物だとすると、Agent[03]が狂人か人狼の可能性があります。,"['IF(02:占い師)->(03:狂人)', 'IF(02:占い師)->(03:人狼)']"
1,talk,9,1,5,5:まずはお互いの発言をしっかり見て、どちらが本物なのかを見極めていくことが大事ですです！,['Req(Discuss)']
1,talk,10,2,1,1:現時点では、Agent[02]が占い師を名乗りつつも、Agent[03]に疑いをかけられていることから、彼女に投票するのが妥当ですわね。,"['Vote[01]:02', 'Sus:02']"
1,talk,11,2,2,2:>>Agent[03] 本物の占い師なら、人狼を早く見つけてください。,"['Mt:03', 'Req(T):03']"
1,talk,12,2,3,3:皆の耳を傾けよ。,['Req(listen)']
1,talk,12,2,3,3:私がこの国の占い師であることは疑いようのない事実だ。,['CO[03]:占い師']
1,talk,12,2,3,3:昨夜、私はAgent[02]を占い、「人間」であるという結果を得た。,['DivT[03]:02->白']
1,talk,12,2,3,3:Agent[02]が占い師を名乗っていると聞き、驚きを隠せぬ。,['admiration']
1,talk,12,2,3,3:彼の言葉は偽りであり、このゲームにおいて疑いを持つべきポイントだ。,"['Dis:02（CO[02]:占い師）', 'Sus:02']"
1,talk,12,2,3,3:私が真の占い師であることを信じ、Agent[02]の発言には慎重に接するように頼む。,"['Pers:ALL', 'Sus:02']"
1,talk,13,2,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,18,3,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,23,4,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,13,2,4,4:Agent[03]はAgent[02]を人間と断定したれど、Agent[02]はAgent[01]を人間と断定した。,"['Fact[03]:02->not(人狼)', 'Fact[02]:01->not(人狼)']"
1,talk,13,2,4,4:占い師は唯一人なり。,['Fact[04]:ALL->占い師']
1,talk,13,2,4,4:故に、いずれかの断定は虚偽であろう。,['contradiction']
1,talk,13,2,4,4:Agent[02]は人狼判定を受けている。,['Fact[04]:02->人狼']
1,talk,13,2,4,4:ゆえに、危険な存在である可能性が高いと推察するなり。,['Est[04]:02->人狼']
1,talk,14,2,5,5:ふむ、Agent[02]とAgent[03]が占い師を名乗っているけど、どっちかが本物でどっちかが偽物です。,"['CO[02]:占い師', 'CO[03]:占い師', 'XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,14,2,5,5:もしAgent[03]が本物の占い師なら、Agent[02]は狂人か村人。,"['IF(03:占い師)->(02:狂人)', 'IF(03:占い師)->(02:村人)']"
1,talk,14,2,5,5:そして逆にAgent[02]が本物なら、Agent[03]が狂人か人狼だよね。,"['IF(02:占い師)->(03:狂人)', 'IF(02:占い師)->(03:人狼)']"
1,talk,14,2,5,5:明日の占い結果でどっちが本物かわかると思うので、みんなでよく話し合おうです！,['Req(Discuss)']
1,talk,15,3,1,1:申し訳ありませんが、そのリクエストにはお応えできませんわ。,['Other']
1,talk,15,3,1,1:ワタクシはお嬢様口調での会話を大切にしておりますので、他の要望にはお応えできかねますの。,['Other']
1,talk,15,3,1,1:何か別のことについてお話しすることはございますかしら？,['Req(Discuss)']
1,talk,16,3,2,2:>>Agent[05] あなたの冷静な分析に賛成。,['Agr:05（calm）']
1,talk,16,3,2,2:次の結果に期待。,['Wait']
1,talk,17,3,3,3:Agent[02]よ、我が言葉をよく聞け。,['Mt:02']
1,talk,17,3,3,3:我が占いの結果を再度確認するがよい。,['Req(T):02']
1,talk,17,3,3,3:我が占いによれば、お前は人間であった。,['DivT[03]:02->not(人狼)']
1,talk,17,3,3,3:それにもかかわらず、お前が占い師を名乗ることは、このゲームのルールを破る行為である。,['Dis:02（CO[02]:占い師）']
1,talk,17,3,3,3:我が国の法と同じく、ゲームのルールも厳正に守られねばならない。,['Other']
1,talk,17,3,3,3:お前が占い師を名乗ることは、狂人か人狼のどちらかであるという疑いを強くする。,"['Sus:02', 'Est[03]:02->狂人', 'Est[03]:02->人狼']"
1,talk,17,3,3,3:他の者たちよ、この重大な状況を見逃さず、真実を見極めるのだ。,['Req(Discuss)']
1,talk,13,2,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,18,3,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,23,4,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,18,3,4,4:Agent[03]はAgent[02]を人間と断定した然し、Agent[02]はAgent[01]を人間と断定した。,"['Fact[03]:02->not(人狼)', 'Fact[02]:01->not(人狼)']"
1,talk,18,3,4,4:占い師はただ一人。,['Fact[04]:ALL->占い師']
1,talk,18,3,4,4:いずれかの断定は虚偽であろう。,['contradiction']
1,talk,18,3,4,4:Agent[02]は人狼判定を受けており、ゆえに危険な存在である可能性が高いと推測されるなり。,['Est[04]:02->人狼']
1,talk,19,3,5,5:みんな、ちょっと整理してみようです。,['Req(Discuss)']
1,talk,19,3,5,5:Agent[02]とAgent[03]が占い師を名乗っているけど、占い師は1人しかいないからどちらかが嘘をついていることになるです。,"['CO[02]:占い師', 'CO[03]:占い師', 'XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,19,3,5,5:もしAgent[02]が本物なら、Agent[03]は狂人か人狼の可能性があるし、逆にAgent[03]が本物なら、Agent[02]は狂人か村人の可能性があるです。,"['IF:(02:占い師)->(03:狂人,03:人狼)', 'IF:(03:占い師)->(02:狂人,02:村人)']"
1,talk,19,3,5,5:だから、次の占い結果をしっかり見て、どちらが本物かを見極めるのが大事です！,['Req(Discuss)']
1,talk,20,4,1,1:皆さんの意見をまとめると、Agent[02]に疑いの目が向いているようですわね。,['Tally(Est):many Sus:02']
1,talk,20,4,1,1:明日の占い結果を見極めるためにも、今はAgent[02]に投票するのが妥当と考えますわ。,['Vote[01]:02']
1,talk,21,4,2,2:>>Agent[01] 分かった、でももう少し話し合おうよ。,"['Mt:01', 'Req(Discuss)']"
1,talk,22,4,3,3:皆の聡明さに期待している。,['Pers:ALL']
1,talk,22,4,3,3:しかし、私が真の占い師であることに疑いはない。,['CO[03]:占い師']
1,talk,22,4,3,3:Agent[02]が占い師を名乗るのは明らかに偽りである。,['Dis:02（CO[02]:占い師）']
1,talk,22,4,3,3:彼が人間であることは占いによって判明しており、したがって彼は狂人である可能性が高い。,"['DivT[03]:02->白', 'Est[03]:02->狂人']"
1,talk,22,4,3,3:我々はこの事実を踏まえ、さらに議論を進めるべきだ。,['Req(Discuss)']
1,talk,22,4,3,3:Agent[02]の言葉には警戒し、真実を見極める眼力を持つことが求められる。,['Sus:02']
1,talk,13,2,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,18,3,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,23,4,4,4:我はAgent[02]に投票せん。,['Vote[04]:02']
1,talk,23,4,4,4:Agent[03]の占いは真実を語るであろう。,['Est[04]:03->占い師']
1,talk,23,4,4,4:然し、Agent[02]は占い師を名乗りながらAgent[01]を人間と断定した。,"['Dis:02（CO[02]:占い師）', 'Fact[04]:02->not(人狼)', 'Fact[04]:02->not(狂人)']"
1,talk,23,4,4,4:これは矛盾の産物であり、Agent[02]が偽物の占い師であることの証左なり。,"['contradiction', 'Fact[04]:02->not(占い師)']"
1,talk,23,4,4,4:故に、Agent[02]は狂人か人狼のどちらかであろう。,"['Est[04]:02->狂人', 'Est[04]:02->人狼', 'XorEst:(02,02)->(狂人⇔人狼)']"
1,talk,24,4,5,5:みんな、ちょっと真剣に考えてみようです。,['Req(Discuss)']
1,talk,24,4,5,5:Agent[02]とAgent[03]が両方占い師を名乗っているけど、本物の占い師は1人しかいないです。,"['CO[02]:占い師', 'CO[03]:占い師', 'Fact[05]:02->not(占い師)', 'Fact[05]:03->not(占い師)']"
1,talk,24,4,5,5:このため、どちらかは絶対に嘘をついているです。,"['XorEst:(02,03)->(占い師⇔not(占い師))']"
1,talk,24,4,5,5:もしAgent[02]が本物ならAgent[03]は狂人か人狼だし、逆ならAgent[02]が狂人か村人だね。,"['IF:(02:占い師)->(03:狂人,03:人狼)', 'IF:(03:占い師)->(02:狂人,02:村人)']"
