date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,2,Hello my precious ones. I'm Shizue. Let's join hearts and play this game together. May we nurture joy and friendship in every moment!,,Shizue: Hello my precious ones. I'm Shizue. Let's join hearts and play this game together. May we nurture joy and friendship in every moment!,"['Pers:ALL', 'calm', 'Other']"
0,talk,1,0,5,I'm Asuka. I'm a plain villager; I have no special power. I'll focus on logic today. @Shizue Thank you for your introduction Shizue. Let's stay practical and share information clearly.,,Asuka: I'm Asuka. I'm a plain villager; I have no special power. I'll focus on logic today. @Shizue Thank you for your introduction Shizue. Let's stay practical and share information clearly.,"['CO[Asuka]:Villager', 'Mt:Shizue', 'Req(Discuss)']"
0,talk,2,0,3,Hello everyone! I'm Shion eager to join in this thrilling game of Werewolf. Let's find those werewolves!,,Shion: Hello everyone! I'm Shion eager to join in this thrilling game of Werewolf. Let's find those werewolves!,"['Pers:ALL', 'Req(Discuss)']"
0,talk,3,0,1,Skip,,Sakura: Skip,['Other']
0,talk,4,0,4,Shizue's intro felt a bit too sugary — makes me suspicious.  @Shizue  what's your read and who are you leaning to vote for? Asuka claimed plain villager; keep that in mind. Shion  Sakura any quick thoughts? Over,,Victoria: Shizue's intro felt a bit too sugary — makes me suspicious.  @Shizue  what's your read and who are you leaning to vote for? Asuka claimed plain villager; keep that in mind. Shion  Sakura any quick thoughts? Over,"['Sus:Shizue', 'Mt:Shizue', 'Req(T):Shizue', 'Req(T):Shion', 'Req(T):Sakura', 'Other']"
0,talk,8,1,1,Hmph. I'm Sakura. I hate gross-tasting drinks and boring grown-ups. Don't get in my way,,Sakura: Hmph. I'm Sakura. I hate gross-tasting drinks and boring grown-ups. Don't get in my way,['Other']
0,talk,9,1,4,Shizue's sugary intro still bothers me.  @Shizue  please tell us who you're planning to vote for and why — silence isn't helpful. Asuka  Shion  Sakura  quick reads? Over,,Victoria: Shizue's sugary intro still bothers me.  @Shizue  please tell us who you're planning to vote for and why — silence isn't helpful. Asuka  Shion  Sakura  quick reads? Over,"['Sus:Shizue', 'Mt:Shizue', 'Req(V):Shizue', 'Req(T):Shizue', 'Req(T):Asuka', 'Req(T):Shion', 'Req(T):Sakura']"
0,talk,11,2,4,I'm leaning to vote  @Shizue  — that sweet intro and the silence feel off. If you disagree  say who you're voting for and why now. Quick reads? Over,,Victoria: I'm leaning to vote  @Shizue  — that sweet intro and the silence feel off. If you disagree  say who you're voting for and why now. Quick reads? Over,"['Vote[Victoria]:Shizue', 'Sus:Shizue', 'Req(Discuss)', 'Mt:Shizue']"
0,talk,12,3,4,I'll vote  @Shizue  unless someone gives a solid reason not to. Asuka  Shion  Sakura — please state your votes now. Over,,Victoria: I'll vote  @Shizue  unless someone gives a solid reason not to. Asuka  Shion  Sakura — please state your votes now. Over,"['Vote[Victoria]:Shizue', 'Sus:Shizue', 'Req(T):Asuka', 'Req(T):Shion', 'Req(T):Sakura']"
1,talk,0,0,4,Morning — any night victim to report? No claims so far. I'm still uneasy about Asuka's quietness.  @Asuka  who are you leaning to vote for and why? Shion Sakura any quick reads? Over,,Victoria: Morning — any night victim to report? No claims so far. I'm still uneasy about Asuka's quietness.  @Asuka  who are you leaning to vote for and why? Shion Sakura any quick reads? Over,"['Mt:Asuka', 'Req(T):Asuka', 'Req(T):Shion', 'Req(T):Sakura', 'Req(Discuss)', 'Sus:Asuka']"
1,talk,1,0,5,I'm a plain villager. No special info from me. Seer share if you have findings. Let's discuss suspicions openly. @Victoria I don't have strong suspicions yet but why are you focusing on me so quickly? What's your reasoning Victoria?,,Asuka: I'm a plain villager. No special info from me. Seer share if you have findings. Let's discuss suspicions openly. @Victoria I don't have strong suspicions yet but why are you focusing on me so quickly? What's your reasoning Victoria?,"['CO[Asuka]:Villager', 'Req(CO):Seer', 'Req(Discuss)', 'Mt:Victoria', 'Dis:Victoria', 'Req(T):Victoria']"
