date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:みんな、こんにちは！,['Other']
1,talk,0,0,1,1:今日も楽しい人狼ゲームをやりましょう！,['Other']
1,talk,0,0,1,1:ぼくは村人なので、みんなを疑う必要は無いですよぅ！,['CO[01]:村人']
1,talk,1,0,3,3:我は、運命の糸を解き明かす者なり。,['Other']
1,talk,1,0,3,3:占いの結果、Agent[05]は、かくも人間たる者であったと判明した。,['DivT[03]:05->白']
1,talk,2,0,4,4:村人として参加しています。,['CO[04]:村人']
1,talk,2,0,4,4:情報の共有と集約に努め、村の平和を守るために協力していきましょう。,['Other']
1,talk,3,0,5,5:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,2,2:皆さん、昨晩の占い結果を報告します。,['Req(CO):占い師']
1,talk,4,0,2,2:ワイはAgent[03]を占ったところ、黒判定が出ました。,['DivT[02]:03->黒']
1,talk,4,0,2,2:つまりAgent[03]は人狼ということですよね...どう思いますか?,"['Est[02]:03->人狼', 'Req(Discuss)']"
1,talk,6,1,3,3:我は、運命の糸を操る者なり。,['Other']
1,talk,6,1,3,3:占いの結果、Agent[05]は人間であったと判明した。,['DivT[03]:05->白']
1,talk,6,1,3,3:Agent[02]の言葉は、深淵を覗くが如く興味深い。,['Other']
1,talk,6,1,3,3:Agent[03]が人狼であると断言されるが、我はAgent[03]の魂を覗き、人間であると確信した。,['Fact[03]:03->not(人狼)']
1,talk,6,1,3,3:この矛盾、如何に解釈すべきであろうか？,['contradiction']
1,talk,6,1,3,3:Agent[02]、他に根拠はあるのか？,['Req(T):02']
1,talk,7,1,4,4:みんな、私は村人です。,['CO[04]:村人']
1,talk,7,1,4,4:他の意見を聞いて、誰が怪しいかよく考えましょう。,['Req(Discuss)']
1,talk,7,1,4,4:Agent[03]の占い結果についても疑問を持つ必要があるかもしれませんね。,['Sus:03']
1,talk,8,1,5,5:Agent[03]よ、貴様の占い結果を信じる者はおるか？,['Mt:03']
1,talk,8,1,5,5:他の者たちの意見も聞きたい。,['Req(Discuss)']
1,talk,9,1,2,2:>>Agent[03]もう一度確認しますが、ワイは本当に占い師で、昨晩Agent[03]を占って人狼判定が出たんだお。,"['CO[02]:占い師', 'DivT[02]:03->黒']"
1,talk,9,1,2,2:君が占い師と名乗るなら、わざと嘘をついているか狂人なのかもしれないし、村人を惑わせる人狼かもしれないね。,"['Sus:03', 'Est[02]:03->狂人', 'Est[02]:03->人狼']"
1,talk,9,1,2,2:なので、みんなでAgent[03]を慎重に考える必要があると思うだお。,"['Sus:03', 'Req(T):03']"
1,talk,10,2,3,3:Agent[02]はAgent[03]を人狼と断じ、Agent[03]はAgent[05]を人間と見定めたり。,"['Fact[03]:02->人狼', 'Fact[03]:05->not(人狼)']"
1,talk,10,2,3,3:占い師の真偽は混沌の淵に沈み、その実態は真の占い師か狂人か、いずれかであろう。,"['XorEst:(02,03)->(占い師⇔狂人)']"
1,talk,10,2,3,3:人狼判定を受けたAgent[03]こそ、今宵の犠牲となるべき運命にあるのだ。,"['Sus:03', 'Vote[03]:03']"
