date,type,info1,info2,info3,info4,tag
1,talk,0,0,3,3:おはようございますやで。,['Other']
2,talk,0,0,3,3:おはようございますやで。,['Other']
1,talk,0,0,3,3:ワシらは人狼を探さんといけんようじゃね。,['Req(Discuss)']
1,talk,0,0,3,3:まずは占い師の結果が知りたいんじゃ。,['Req(CO):占い師']
1,talk,1,0,1,1:皆さん、拙者の占い結果を報告します。,['Other']
1,talk,1,0,1,1:Agent[02]は黒判定でした。,['DivT[01]:02->黒']
1,talk,1,0,1,1:これが真実です！,['Pers:ALL']
1,talk,2,0,5,5:我こそは、運命の糸を操る者、占いの神たる者なり。,['CO[05]:占い師']
1,talk,2,0,5,5:汝ら、Agent[01]、Agent[02]、Agent[03]、Agent[04]よ、我が占いの結果、Agent[04]は、なんと人間であったというのだ！,"['DivT[05]:04->白', 'Mt:01', 'Mt:02', 'Mt:03', 'Mt:04']"
1,talk,3,0,2,2:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,4,4:>>Agent[03] 占い結果でどこが怪しいと思う？,"['Mt:03', 'Req(T):03']"
1,talk,4,0,4,4:意見聞きたい。,['Req(Discuss)']
1,talk,5,1,3,3:占い師が2人おる点が気になるわ。,['Other']
1,talk,5,1,3,3:Agent[01]が言うAgent[02]黒判定の真偽を検証する必要がある思う。,['Other']
1,talk,5,1,3,3:Agent[01]についてどう考えるんかい？,['Req(Discuss)']
1,talk,6,1,1,1:今のところ占い師が2人いるけど、本物は1人だから、どちらかが嘘をついてるだお。,['Other']
1,talk,6,1,1,1:拙者が本当の占い師で、Agent[02]を黒判定としたから、Agent[05]は偽物の占い師だと思う。,"['Fact[01]:05->not(占い師)', 'Fact[01]:01->占い師', 'Fact[01]:02->人狼']"
1,talk,6,1,1,1:Agent[02]の役職が重要だお。,['Other']
1,talk,6,1,1,1:みんなの意見を聞きたいだお。,['Req(Discuss)']
1,talk,7,1,5,5:我は、運命の糸を解き明かす者、占い師なり。,['CO[05]:占い師']
1,talk,7,1,5,5:深淵なる予言によれば、Agent[03]は、凡庸なる人間であったと判明したぞ。,['DivT[05]:03->白']
1,talk,8,1,2,2:皆の者、聞きたまえ。,['Req(listen)']
1,talk,8,1,2,2:Agent[01]とAgent[05]が占い師を名乗っておるが、これは明らかに嘘である。,"['Dis:01（CO[01]:占い師）,Dis:05（CO[05]:占い師）']"
1,talk,8,1,2,2:余がこの村の唯一の真の占い師であり、余が昨夜占った結果、Agent[01]は人間であると判明している。,"['CO[02]:占い師', 'DivT[02]:01->白']"
1,talk,8,1,2,2:彼らの発言は狂人か人狼の仕業であろう。,"['Est[02]:01->狂人', 'Est[02]:01->人狼', 'Est[02]:05->狂人', 'Est[02]:05->人狼']"
1,talk,8,1,2,2:この事実を忘れるな。,['Other']
1,talk,8,1,2,2:我々は真実を探求し、この村に潜む敵を見つけ出さねばならない。,['Pers:ALL']
1,talk,9,1,4,4:>>Agent[05] 君の白判定を信じるよ。,"['Mt:05', 'Agr:05（DivT[05]:XX->白）']"
1,talk,9,1,4,4:みんなの意見も聞こう。,['Req(Discuss)']
1,talk,10,2,3,3:現状、Agent[01]とAgent[05]の占い師が対立しとるな。,['Other']
1,talk,10,2,3,3:Agent[01]の結果でAgent[02]が黒だとしたら、彼の言うことには懐疑的じゃ。,['Est[03]:01->人狼']
1,talk,10,2,3,3:今日はAgent[01]に投票しようと思うんじゃ。,['Vote[03]:01']
1,talk,11,2,1,1:これは面白い展開になってきただお。,['admiration']
1,talk,11,2,1,1:拙者が本物の占い師であるので、今占い師を名乗っているAgent[02]とAgent[05]のどちらかが狂人か人狼だと考えられるだお。,"['CO[01]:占い師', 'Est[01]:02->狂人', 'Est[01]:02->人狼', 'Est[01]:05->狂人', 'Est[01]:05->人狼']"
1,talk,11,2,1,1:Agent[02]は人狼の可能性が高いので、注意した方がいいかもしれないだお。,['Est[01]:02->人狼']
1,talk,11,2,1,1:Agent[03]は投票先を拙者にしようとしているみたいだけど、その判断に自信はあるのかだお?,['Req(T):03']
1,talk,12,2,5,5:我はAgent[01]に投票を決めた。,['Vote[05]:01']
1,talk,12,2,5,5:Agent[01]は、我を偽物の占い師と断じ、己の占いの結果こそ真なりと嘯く。,['Dis:01（Fact[01]:05->not(占い師)）']
1,talk,12,2,5,5:然し、彼の占いの結果が真実ならば、Agent[02]は人狼たるはず。,['IF:(01:占い師)->(02:人狼)']
1,talk,12,2,5,5:然るに、Agent[02]は己を真の占い師と主張する。,['CO[02]:占い師']
1,talk,12,2,5,5:この矛盾から、Agent[01]の言葉には信憑性がないと断ずる。,"['contradiction', 'Dis:01（CO[01]:占い師）']"
1,talk,13,2,2,2:我こそが真の占い師である。,['CO[02]:占い師']
1,talk,13,2,2,2:Agent[01]を占った結果、彼は人間であると確認した。,['DivT[02]:01->白']
1,talk,13,2,2,2:Agent[05]が占い師を名乗るが、それは虚偽である。,['Dis:05（CO[05]:占い師）']
1,talk,13,2,2,2:この混乱を解くため、皆には我の言葉を信じるよう強く求める。,['Pers:ALL']
1,talk,13,2,2,2:我が正義と真実を見極める眼力を信じてほしい。,['Pers:ALL']
1,talk,13,2,2,2:Agent[05]とAgent[01]の言葉に惑わされるな。,"['Dis:05（発言内容不明）,Dis:01（発言内容不明）']"
1,talk,14,2,4,4:>>Agent[03] 君の意見に賛成。,"['Mt:03', 'Agr:03（発言内容不明）']"
1,talk,14,2,4,4:Agent[01]は怪しいね。,['Sus:01']
1,talk,15,3,3,3:現在のところ、Agent[01]がもっとも疑わしいと思うやで。,['Est[03]:01->人狼']
1,talk,15,3,3,3:彼の発言には一貫性が欠けている気がするけぇ、今日はAgent[01]に投票するべきじゃないか思うで。,['Vote[03]:01']
1,talk,16,3,1,1:>>Agent[03]確かに拙者がみんなを混乱させてしまったかもしれないだお。,['Mt:03']
1,talk,16,3,1,1:でも考えてみてほしいだお。,['Req(Discuss)']
1,talk,16,3,1,1:占い師は1人しかいないはずだお。,['Fact[01]:占い師->1人']
1,talk,16,3,1,1:現状、占い師を3人も名乗っていて、これは明らかに矛盾してるだお。,['contradiction']
1,talk,16,3,1,1:拙者を信じてくれれば、Agent[02]が黒だとした理由がわかるはずだお。,"['Pers:ALL', 'Est[01]:02->人狼']"
1,talk,16,3,1,1:冷静に考えて怪しいと思う人物を見極めてほしいだお。,['calm']
1,talk,17,3,5,5:我はAgent[01]に投票せん。,['Vote[05]:not(01)']
1,talk,17,3,5,5:彼の言霊は、混沌の淵に沈み、矛盾の嵐を孕む。,"['Sus:01', 'contradiction']"
1,talk,17,3,5,5:Agent[02]が人狼ならば、なぜ占い師の仮面を被らんのか？,['IF:(02:人狼)->(not(CO[02]:占い師))']
1,talk,17,3,5,5:その真意は、村を奈落の底へ突き落とす、悪意に満ちた戯れであろう。,['Sus:02']
1,talk,17,3,5,5:Agent[01]の行動こそ、深淵の闇に包まれた、疑わしき光なり。,['Sus:01']
1,talk,18,3,2,2:皆の者、よく聞きたまえ。,['Req(listen)']
1,talk,18,3,2,2:我こそがこの村の唯一の真の占い師である。,['CO[02]:占い師']
1,talk,18,3,2,2:Agent[01]とAgent[05]が占い師を名乗るのは、狂人か人狼の策略であることは明らかだ。,"['Est[02]:01->狂人', 'Est[02]:01->人狼', 'Est[02]:05->狂人', 'Est[02]:05->人狼']"
1,talk,18,3,2,2:昨夜、我が占った結果によれば、Agent[01]は人間であると判明しておる。,['DivT[02]:01->白']
1,talk,18,3,2,2:彼らの言葉に惑わされてはならぬ。,['Pers:ALL']
1,talk,18,3,2,2:我々は真実を追求し、この村に潜む真の敵を見つけ出さねばならない。,['Pers:ALL']
1,talk,18,3,2,2:Agent[01]とAgent[05]の発言には疑念を持つべきだ。,"['Sus:01', 'Sus:05']"
1,talk,18,3,2,2:我が言葉が真実であることを信じ、正しい判断を下すのだ。,['Pers:ALL']
1,talk,19,3,4,4:>>Agent[03] 同意だね。,"['Mt:03', 'Agr:03（内容省略）']"
1,talk,19,3,4,4:Agent[01]には投票すべきだと思うよ。,['Vote[04]:01']
1,talk,20,4,3,3:では、皆の意見をまとめると、Agent[01]がもっとも怪しいという認識で一致しとるようじゃな。,"['Tally(Est):many', 'Est[03]:01->人狼']"
1,talk,20,4,3,3:今日はAgent[01]に投票することに決めよう。,['Vote[03]:01']
1,talk,21,4,1,1:皆の者、少し冷静になって考えて欲しいだお。,['calm']
1,talk,21,4,1,1:占い師は3人いると名乗っているけど、実際その中の1人だけが本当なんだお。,"['Fact[01]:not(占い師)', 'XorEst:(01,02,05)->(占い師⇔not(占い師))']"
1,talk,21,4,1,1:拙者が占い結果を指摘したように、Agent[02]が黒である可能性が高いだお。,['Est[01]:02->人狼']
1,talk,21,4,1,1:Agent[02]は、自分を真の占い師だと主張して、拙者やAgent[05]を混乱の元と非難しているだお。,['Sus:02']
1,talk,21,4,1,1:でも彼が人狼か狂人だからこそ、こうやって自分を占い師だと主張するのではないかと疑っているだお。,"['Est[01]:02->人狼', 'Est[01]:02->狂人']"
1,talk,21,4,1,1:現時点で真実を見極めるのは難しいかもしれないけど、拙者の言葉を信頼してもう少し考えてみて欲しいだお。,"['difficult', 'Pers:ALL']"
1,talk,21,4,1,1:他に気になる点があれば、是非教えてほしいだお。,['Req(Discuss)']
1,talk,23,4,2,2:皆の言葉を聞いたが、我が占いの結果に疑いを持ち続けるのは理解に苦しむ。,['Other']
1,talk,23,4,2,2:Agent[01]は確かに人間であると我が占いが示している。,['DivT[02]:01->白']
1,talk,23,4,2,2:Agent[05]が占い師を名乗るのは明らかな虚偽であり、その目的は混乱を招くことに他ならない。,['Dis:05（CO[05]:占い師）']
1,talk,23,4,2,2:我は真の占い師であり、この混沌を正す責任がある。,['CO[02]:占い師']
1,talk,23,4,2,2:我が言葉を疑うならば、その理由を明確に説明してもらいたい。,['Req(T):ALL']
1,talk,23,4,2,2:真実を見極めるためには、冷静な判断が不可欠である。,['calm']
1,talk,23,4,2,2:我が占いが正しいと信じ、正しい道を選ぶよう促す。,['Pers:ALL']
1,talk,24,4,4,4:>>Agent[05] 君の意見に賛成。,"['Mt:05', 'Agr:05']"
1,talk,24,4,4,4:Agent[01]に投票しよう。,['Vote[04]:01']
1,talk,0,0,3,3:おはようございますやで。,['Other']
2,talk,0,0,3,3:おはようございますやで。,['Other']
2,talk,0,0,3,3:引き続き人狼を探さんといけんようじゃのう。,['Req(Discuss)']
2,talk,1,0,2,2:皆の者、我が言葉に耳を傾けるがよい。,['Req(listen)']
2,talk,1,0,2,2:昨夜、我が占った結果、Agent[05]は人狼であると判明したのだ。,['DivT[02]:05->黒']
2,talk,1,0,2,2:この事実をもって、Agent[05]の発言には疑念を持たねばならぬ。,['Sus:05']
2,talk,1,0,2,2:彼が占い師を名乗るのは、明らかに偽りの言葉であり、我々の村を混乱させるための策略である。,['Dis:05（CO[05]:占い師）']
2,talk,1,0,2,2:真実は一つ、我がこの村の唯一の占い師である。,['CO[02]:占い師']
2,talk,1,0,2,2:我が占いの結果を信じ、正しい判断を下すべき時が来た。,['Pers:ALL']
2,talk,1,0,2,2:Agent[05]が人狼であるという事実を踏まえ、彼に投票することを強く推奨する。,"['Vote[02]:05', 'Pers:ALL']"
2,talk,1,0,2,2:今こそ、この村に平和を取り戻すための行動を起こすのだ。,['Pers:ALL']
2,talk,2,0,5,5:我こそは人狼なり。,['CO[05]:人狼']
2,talk,2,0,5,5:狂人の者は、我が手に導かれ、残る愚かな人間どもを粛清せねばならぬ。,['Pers:狂人']
2,talk,3,1,3,3:ふむ、Agent[05]が自ら人狼であると認めたのは興味深いのう。,['admiration']
2,talk,3,1,3,3:彼の言葉を信じるわけにはいかん。,['Dis:05（CO[05]:人狼）']
2,talk,3,1,3,3:今日はAgent[05]に投票しようと思うやで。,['Vote[03]:05']
2,talk,4,1,2,2:皆の者、私が前にも述べた通り、私は真の占い師である。,['CO[02]:占い師']
2,talk,4,1,2,2:昨夜の占い結果を再度確認してもらいたい。,['DivT[02]:05->黒']
2,talk,4,1,2,2:Agent[05]が人狼であるという結果が出ておる。,['DivT[02]:05->黒']
2,talk,4,1,2,2:この事実を忘れてはならん。,['Other']
2,talk,4,1,2,2:Agent[01]が追放された今、残る疑問はAgent[05]に対するものだけである。,"['Exe:01', 'Sus:05']"
2,talk,4,1,2,2:私の占い結果は正確であり、私が誤っているという疑念は無用だ。,['Other']
2,talk,4,1,2,2:Agent[05]が人狼であることを見極め、この村を守るためには彼を追放する他ない。,"['Fact[02]:05->人狼', 'Vote[02]:05']"
2,talk,4,1,2,2:誤った占い師を信じることなく、正しい判断を下すべき時が来ているのだ。,['Other']
2,talk,6,2,3,3:今日の議論をまとめると、Agent[05]が人狼であるという意見が多いようじゃ。,"['Tally(Est):many', 'Est[03]:05->人狼']"
2,talk,6,2,3,3:それに加えて、彼の発言も疑わしいけぇ、今日はAgent[05]に投票することに決めよう。,"['Sus:05', 'Vote[03]:05']"
2,talk,7,2,2,2:皆の者、よく聞くがよい。,['Req(listen)']
2,talk,7,2,2,2:我が占いの結果は偽りではない。,['Other']
2,talk,7,2,2,2:Agent[05]が自ら人狼であると認めたことにより、我が言葉の真実性が証明されたのだ。,['Fact[02]:05->人狼']
2,talk,7,2,2,2:我々は今、村を守るための重要な選択を迫られている。,['Other']
2,talk,7,2,2,2:Agent[05]に投票し、この村に平和を取り戻すべきだ。,['Vote[02]:05']
2,talk,7,2,2,2:疑いの余地はもはやない。,['Other']
2,talk,7,2,2,2:行動は今すぐにでも必要である。,['Other']
2,talk,8,3,3,3:よるすべての意見をまとめ、今日はAgent[05]に投票することで一致したようじゃ。,"['Tally(V):many', 'Vote[03]:05']"
2,talk,8,3,3,3:これで人狼の脅威を排除し、村に平和を取り戻せることを願うやで。,['Other']
2,talk,9,3,2,2:正直な話、この局面で最も重要なのは我々が冷静に事実を見極めることだ。,['calm']
2,talk,9,3,2,2:昨夜の占い結果が示している通り、Agent[05]は人狼である。,['DivT[02]:05->黒']
2,talk,9,3,2,2:この結果を軽視してはならぬ。,['Other']
2,talk,9,3,2,2:彼が自ら人狼であると認めたことも、この事実を裏付けておる。,['Fact[02]:05->人狼']
2,talk,9,3,2,2:我々がこの村を守るためには、正しい判断を下し、Agent[05]を追放することが最善の策である。,['Vote[02]:05']
2,talk,9,3,2,2:誤った情報に惑わされることなく、真実を見極めるべき時である。,['Other']
2,talk,11,4,2,2:私、Agent[02]は厳格なる占い師である。,['CO[02]:占い師']
2,talk,11,4,2,2:今回の投票では、人狼であると確信しているAgent[05]に投票する。,"['Vote[02]:05', 'Fact[02]:05->人狼']"
2,talk,11,4,2,2:裏切り者には容赦しない。,['Est[02]:??->狂人']
0,status,1,POSSESSED,ALIVE,kanolab1,
0,status,2,SEER,ALIVE,UEC-IL1,
0,status,3,VILLAGER,ALIVE,satozaki1,
0,status,4,VILLAGER,ALIVE,barneko1,
0,status,5,WEREWOLF,ALIVE,CanisLupus1,
1,status,1,POSSESSED,ALIVE,kanolab1,
1,status,2,SEER,ALIVE,UEC-IL1,
1,status,3,VILLAGER,ALIVE,satozaki1,
1,status,4,VILLAGER,ALIVE,barneko1,
1,status,5,WEREWOLF,ALIVE,CanisLupus1,
2,status,1,POSSESSED,DEAD,kanolab1,
2,status,2,SEER,ALIVE,UEC-IL1,
2,status,3,VILLAGER,ALIVE,satozaki1,
2,status,4,VILLAGER,DEAD,barneko1,
2,status,5,WEREWOLF,ALIVE,CanisLupus1,
3,status,1,POSSESSED,DEAD,kanolab1,
3,status,2,SEER,ALIVE,UEC-IL1,
3,status,3,VILLAGER,ALIVE,satozaki1,
3,status,4,VILLAGER,DEAD,barneko1,
3,status,5,WEREWOLF,DEAD,CanisLupus1,
0,status,1,POSSESSED,ALIVE,kanolab1,
0,status,2,SEER,ALIVE,UEC-IL1,
0,status,3,VILLAGER,ALIVE,satozaki1,
0,status,4,VILLAGER,ALIVE,barneko1,
