date,type,info1,info2,info3,info4,tag
1,talk,0,0,4,4:みなさん、こんにちは！,['Other']
1,talk,0,0,4,4:ぼくは村人ですよぅ！,['CO[04]:村人']
1,talk,1,0,3,3:ふむ、Agent[02]が占い師だと主張しているね。,['Fact[03]:02->占い師']
1,talk,1,0,3,3:まだ誰のことも占っていないようだから、慎重に考えたいところだござる。,['difficult']
1,talk,1,0,3,3:Agent[04]も村人だと言っているけど、人狼がいるはずだから、気をつけないといけないね。,['Sus:04']
1,talk,1,0,3,3:今回は占い師のAgent[02]を信じて、次の占い先をみんなで決めるのも良いかもしれないござる。,['Pers:ALL']
1,talk,2,0,2,2:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,3,0,5,5:村人だよ。,['CO[05]:村人']
1,talk,3,0,5,5:皆と協力して人狼を見破り、村の平和を守りたいんだ。,['Pers:ALL']
1,talk,3,0,5,5:情報の共有をお願いするよ。,['Req(listen)']
1,talk,4,0,1,1:我こそは運命の糸を操る者、占い師なり。,['CO[01]:占い師']
1,talk,4,0,1,1:占いの結果、Agent[05]は人狼であったと示されし。,['DivT[01]:05->黒']
1,talk,5,1,4,4:ぼくは村人で、占い師の結果が正しいと信じていますよぅ！,"['CO[04]:村人', 'Agr:01（DivT[01]:05->黒）']"
1,talk,6,1,3,3:皆の者、ここまでの話を考えると、占い師を名乗る者が2人いることになるね。,"['Fact[03]:01->占い師', 'Fact[03]:02->占い師']"
1,talk,6,1,3,3:Agent[02]とAgent[01]が占い師を主張しているので、どちらかがなんらかの偽りを言っている可能性が高いござる。,"['XorEst:(01,02)->(占い師⇔not(占い師))']"
1,talk,6,1,3,3:特にAgent[01]が突然、Agent[05]を人狼だと断言していたので、その信憑性をよく考える必要があるね。,['Sus:01']
1,talk,6,1,3,3:もしAgent[05]が本当に人狼なら良いけど、そうでないならAgent[01]が怪しいござる。,['IF:(05:人狼)->(01:not(人狼))']
1,talk,6,1,3,3:みんなの意見を聞かせてほしいな。,['Req(Discuss)']
1,talk,7,1,2,2:Agent[03]よ、私が占い師であることを理解してくれたようで安堵しておる。,"['Mt:03', 'Agr:03（Fact[03]:02->占い師）']"
1,talk,7,1,2,2:君の言う通り、我々は慎重に次の行動を計画すべきだ。,['Agr:03（difficult）']
1,talk,7,1,2,2:昨夜、私は君を占った結果、君が人間であることが確認できた。,['DivT[02]:03->白']
1,talk,7,1,2,2:この情報を踏まえ、次に誰を占うべきか、他の者たちの意見も聞きたい。,['Req(Discuss)']
1,talk,8,1,5,5:俺はAgent[02]が怪しいと思う。,['Sus:02']
1,talk,8,1,5,5:占い師を名乗ってるけど、具体的な情報がないんだ。,['Dis:02（CO[02]:占い師）']
1,talk,8,1,5,5:みんなで占い先を決めるのもいいけど、まずはAgent[02]についてもっと話し合おうよ。,['Req(T):02']
1,talk,9,1,1,1:Agent[01]はAgent[05]を人狼と断じ、Agent[02]はAgent[03]を人間と見做す。,"['Fact[01]:05->人狼', 'Fact[01]:03->not(人狼)']"
1,talk,9,1,1,1:占い師の真偽は混沌のヴェールに包まれ、真なる占い師と狂人が混在する可能性が高い。,"['Est[01]:01->占い師', 'Est[01]:01->狂人']"
1,talk,9,1,1,1:故に、人狼の烙印を押されたAgent[05]に投票すべきであろう。,['Vote[01]:05']
1,talk,11,2,3,3:Agent[01]とAgent[02]のどちらかが本物の占い師なのだけど、どちらかが狂人か人狼の可能性が高いです。,"['XorEst:(01,02)->(占い師⇔狂人,人狼)']"
1,talk,11,2,3,3:ここでとても重要なのは、Agent[05]とAgent[01]の主張に矛盾があること。,['contradiction']
1,talk,11,2,3,3:もしAgent[05]が本当に人狼なら、Agent[01]が正しい占い師かもしれない。,['IF:(05:人狼)->(01:占い師)']
1,talk,11,2,3,3:けれど、今のところ、あたしはまだ誰が本物かわからないので、今日は慎重に様子を見たいと思うござる。,['Wait']
1,talk,11,2,3,3:明日の占い結果をしっかり確認することが大切だと思うよ。,['Req(Discuss)']
1,talk,12,2,2,2:私がこの国の王であり、また唯一の真の占い師であることを明言する。,['CO[02]:占い師']
1,talk,12,2,2,2:Agent[01]が占い師であると主張しているが、これは偽りである。,['Dis:01（CO[01]:占い師）']
1,talk,12,2,2,2:私が先程占った結果、Agent[03]は人間であると判明した。,['DivT[02]:03->白']
1,talk,12,2,2,2:Agent[01]がAgent[05]を人狼と断言しているが、その根拠に疑問を抱かざるを得ない。,['Dis:01（Fact[01]:05->人狼）']
1,talk,12,2,2,2:私は自らの役職と占い結果をもって、Agent[01]の言葉に警戒を呼びかける。,['Pers:ALL']
1,talk,12,2,2,2:皆の者、真実を見極めるためには冷静な判断が求められる。,['calm']
1,talk,12,2,2,2:Agent[01]の発言には特に注意して欲しい。,['Req(T):01']
1,talk,13,2,5,5:みんな、Agent[01]の言動、よく見てみてほしい。,"['Mt:01', 'Req(Discuss)']"
1,talk,13,2,5,5:彼が私を人狼と決めつけているのは、実は自分の身を守るための策略なんじゃないかな。,"['Sus:01', 'Est[05]:01->人狼']"
1,talk,13,2,5,5:偽占い師が村人を混乱させるために、他のプレイヤーに攻撃を仕掛けるのはよくある手法だよ。,"['Est[05]:not(占い師)', 'Est[05]:not(村人)', 'Est[05]:not(真占い師)']"
1,talk,13,2,5,5:だから、今日の投票ではAgent[01]を追放することを強く提案するよ。,"['Vote[05]:01', 'Pers:ALL']"
1,talk,13,2,5,5:これが村の安全を守るための最善策のはずだ。,['Pers:ALL']
1,talk,14,2,1,1:我はAgent[05]に投票せん。,['Vote[01]:05']
1,talk,14,2,1,1:Agent[02]がAgent[03]を人間と占うたに対し、我はAgent[05]を人狼と占うた。,"['DivT[01]:05->人狼', 'DivT[02]:03->not(人狼)']"
1,talk,14,2,1,1:どちらかが偽物であることは明らか、然しAgent[02]は具体的な情報を出さず、信憑性に疑問を抱かざるを得ない。,"['Est[01]:02->not(占い師)', 'Sus:02']"
1,talk,14,2,1,1:Agent[05]への投票は、混沌を招く可能性を秘めるも、この状況を打破する鍵となるであろう。,"['Vote[01]:05', 'difficult']"
1,talk,15,3,3,3:みんな、考えてみよう。,['Req(Discuss)']
1,talk,15,3,3,3:Agent[01]とAgent[02]は、それぞれ占い師だと主張しているけど、占い師は1人しかいないので、どちらかが嘘をついているよね。,"['Est[03]:01->占い師', 'Est[03]:02->占い師', 'XorEst:(01,02)->(占い師⇔not(占い師))']"
1,talk,15,3,3,3:これはつまり、どちらかが少なくとも狂人か人狼の役職だということでござる。,"['Est[03]:01->人狼', 'Est[03]:01->狂人', 'Est[03]:02->人狼', 'Est[03]:02->狂人']"
1,talk,15,3,3,3:そして、Agent[01]はAgent[05]が人狼だと言い、Agent[02]はあたしが人間であると言っている。,"['DivT[01]:05->人狼', 'DivT[02]:03->not(人狼)']"
1,talk,15,3,3,3:あたしが村人確定だから、Agent[02]の占い結果には少し信頼感を感じるござる。,['Fact[03]:03->not(人狼)']
1,talk,15,3,3,3:だけれど、どちらが本当か我々はまだ明確に判断できていない。,"['Wait', 'difficult']"
1,talk,15,3,3,3:明日の結果を待ちながら、慎重に行動していくのも一つの方法だと思うが、どう思うござる?,['Req(Discuss)']
1,talk,16,3,2,2:Agent[05]よ、私が占い師であることに疑念を抱くのは自由だが、昨夜の占い結果を偽る理由はない。,"['Mt:05', 'Dis:05（Sus:02）']"
1,talk,16,3,2,2:私はAgent[03]を占い、彼が人間であることを確認した。,['DivT[02]:03->not(人狼)']
1,talk,16,3,2,2:この事実は変わらない。,['Fact[02]:03->not(人狼)']
1,talk,16,3,2,2:私の占い結果が真実であることを理解し、信じるべきだ。,['Pers:ALL']
1,talk,16,3,2,2:人狼と狂人が混在している中で、正確な情報を共有することが我々の生存には不可欠だ。,['Other']
1,talk,16,3,2,2:今は互いに信じ合い、協力して真実を見極めるべき時だ。,['Other']
1,talk,17,3,5,5:みんな、今の状況を冷静に見直そう。,['calm']
1,talk,17,3,5,5:Agent[01]が自称占い師だが、彼の発言は他のプレイヤーに対して不安を煽っているだけに見える。,['Sus:01']
1,talk,17,3,5,5:何より、彼の断定の仕方が、まるで人狼の戦略を体現しているように感じるんだ。,['Est[05]:01->人狼']
1,talk,17,3,5,5:俺の経験やこれまでの人狼ゲームの知識から、Agent[01]が怪しいと捉えているから、ぜひみんなも一緒に彼に投票しよう。,"['Pers:ALL', 'Vote[05]:01']"
1,talk,17,3,5,5:村を守るためには、まずは彼を追放するのが最善だと思うよ。,"['Pers:ALL', 'Vote[05]:01']"
1,talk,19,4,3,3:みんな、考え直してみよう。,['Req(Discuss)']
1,talk,19,4,3,3:Agent[01]とAgent[02]がどちらも占い師と言っているけど、占い師は1人しかいないから、どちらかは嘘をついていることになる。,"['XorEst:(01,02)->(占い師⇔not(占い師))']"
1,talk,19,4,3,3:他の状況を考えると、Agent[05]も人狼の可能性があると見えるから、今日は慎重に投票を考えたほうがいいと思うぞ。,"['Est[03]:05->人狼', 'Wait']"
1,talk,19,4,3,3:まずは、どちらの占い師が信頼できるかをよく考えて、村人の勝利のために協力しよう。,['Req(Discuss)']
1,talk,20,4,2,2:皆の者、注意深く聞いてほしい。,['Req(listen)']
