date,type,info1,info2,info3,info4,tag
1,talk,0,0,2,2:我こそは運命の糸を操る者、占いの導き手なり。,['CO[02]:占い師']
1,talk,0,0,2,2:その結果、Agent[05]は人狼と判明せり。,['DivT[02]:05->黒']
1,talk,0,0,2,2:Agent[05]よ、なぜ汝は昨日の夜、沈黙を守ったのか？,"['Mt:05', 'Req(T):05']"
1,talk,0,0,2,2:人狼ならば、村人を欺き惑わすような行動を執るべきではないであろうか？,['Est[02]:05->人狼']
1,talk,1,0,3,3:Agent[01]が占い師として名乗り出て、Agent[02]も何かなりきりの言葉でそれっぽく言っているけれど、片方は占い師で片方は人狼陣営の可能性があるよ。,"['XorEst:(01,02)->(占い師⇔人狼,狂人)']"
1,talk,1,0,3,3:Agent[01]はAgent[02]が占い師のふりをしていると言うなら、それについてどう思うか聞いてみたいよ。,"['Mt:01', 'Req(T):01']"
1,talk,1,0,3,3:そして、今日は統一占いとかで安全策を考えたほうがいいんじゃないかな?,['Req(Discuss)']
1,talk,2,0,1,1:ぼくは占い師ですよぅ！,['CO[01]:占い師']
2,talk,0,0,1,1:ぼくは占い師ですよぅ！,['CO[01]:占い師']
1,talk,2,0,1,1:ぼくが占った結果、Agent[05]は人間でしたよぅ！,['DivT[01]:05->白']
1,talk,3,0,5,5:みんなの意見も聞いてみたいな〜！,['Req(Discuss)']
1,talk,4,0,4,4:私は村人です。,['CO[04]:村人']
1,talk,4,0,4,4:情報は一切ありませんが、人狼に対抗するために積極的に議論して行きたいと思います。,['Req(Discuss)']
1,talk,5,1,2,2:我こそは運命の糸を操る者、占いの導きし者なり。,['CO[02]:占い師']
1,talk,18,4,2,2:我こそは運命の糸を操る者、占いの導きし者なり。,['CO[02]:占い師']
1,talk,5,1,2,2:その結果、Agent[05]は人狼たるを告げ知らす。,['DivT[02]:05->黒']
1,talk,5,1,2,2:Agent[03]の言葉、実に興味深い。,"['Mt:03', 'admiration']"
1,talk,5,1,2,2:確かに、占い師は複数存在する可能性も孕んでいるであろう。,['Est[02]:占い師:many']
1,talk,5,1,2,2:Agent[01]はAgent[05]を人間と断定するが、その言葉は真実を語っているのか？,['Dis:01（DivT[01]:05->白）']
1,talk,5,1,2,2:もしAgent[01]が偽物の占い師なら、Agent[05]こそが人狼である可能性が高いであろう。,"['Est[02]:01->not(占い師)', 'Est[02]:05->人狼']"
1,talk,6,1,3,3:私としては、現状だとAgent[01]とAgent[02]のどちらかが真の占い師、どちらかが外部の追随者や人狼である可能性が高そうだね。,"['XorEst:(01,02)->(占い師⇔人狼,狂人)']"
1,talk,6,1,3,3:どちらが本物の占い師かを確認するためにも、明日はどちらかの提案でAgent[04]か私を占ってもらって、その結果を見比べるのはどうかな?このやり方で、もし両方から同じ結果が出れば、真の占い師を特定しやすくなるはずだよ。,"['Req(DivT):04', 'Req(DivT):03']"
1,talk,6,1,3,3:そして、占いローラーという方法も考えつつ、お互いの情報を活発に交換して、怪しい動きを見せる人物を見つけていこう！,['Req(Discuss)']
1,talk,6,1,3,3:それぞれの意見を尊重して、しっかりと議論しようね！,['Req(Discuss)']
1,talk,8,1,5,5:え？,['admiration']
1,talk,12,2,5,5:え？,['admiration']
1,talk,8,1,5,5:ちょっと待ってよ、Agent[02]。,['Mt:02']
1,talk,8,1,5,5:僕が人狼だって？,['Sus:02']
1,talk,8,1,5,5:それは間違いだよ！,['Dis:02（Sus:05）']
1,talk,8,1,5,5:Agent[01]がちゃんと占って僕は人間だって言ってるじゃん！,['DivT[01]:05->白']
1,talk,8,1,5,5:Agent[02]が何か変なこと言ってるけど、それは占い師のふりをしてる狂人か人狼の可能性が高いよ。,"['Est[05]:02->狂人', 'Est[05]:02->人狼']"
1,talk,8,1,5,5:みんな、そっちの方が怪しいと思わない？,['Pers:ALL']
1,talk,8,1,5,5:Agent[01]が占い師だって言ってるし、僕を占った結果も人間って出てるんだから、Agent[02]の言ってることは信じない方がいいよ。,"['CO[01]:占い師', 'DivT[01]:05->白', 'Dis:02（Sus:05）']"
