date,type,info1,info2,info3,info4,info5,tag
0,talk,1,0,1,タクミ:俺はタクミ、35歳の村人だ。,,['CO[タクミ]:村人']
0,talk,1,0,1,タクミ:冷静に状況を見て動きたい。,,['calm']
0,talk,1,0,1,タクミ:まずは誰が占いCOするのか教えてほしい。,,['Req(CO):占い師']
0,talk,1,0,1,タクミ:占い結果がゲームの鍵になるから、早めのCOが望ましいと思う。,,['Req(CO):占い師']
0,talk,2,0,2,リョウ:名はリョウ。,,['Other']
0,talk,2,0,2,リョウ:群れるのは性に合わぬ。,,['Other']
0,talk,2,0,2,リョウ:勝手にやるがいい。,,['Other']
0,talk,3,0,5,ユウ:やっほー、ユウです！,,['Other']
0,talk,3,0,5,ユウ:みんなと一緒に過ごすこの時間、全力で楽しむからよろしくね！,,['Other']
0,talk,4,0,4,カナタ:やあみんな僕はAgent[01]だよ。,,['Other']
0,talk,4,0,4,カナタ:カナタって呼んでね。,,['Other']
0,talk,4,0,4,カナタ:みんなと仲良くなりたいな。,,['Other']
0,talk,4,0,4,カナタ:えっと僕は10歳なんだ。,,['Other']
0,talk,4,0,4,カナタ:このゲーム楽しみだね！,,['Other']
0,talk,5,1,1,タクミ:リョウの言葉が冷たく感じるな、人狼はこういう距離感取ることが多い。,,"['Sus:リョウ', 'Est[タクミ]:リョウ->人狼']"
0,talk,5,1,1,タクミ:@ユウ君や@カナタ君、君たちは占いCOしそうか？,,"['Mt:ユウ', 'Mt:カナタ', 'Req(CO):占い師']"
0,talk,5,1,1,タクミ:まだ誰も役職を明かしてないし、動きを見極める必要がある。,,['Other']
0,talk,8,1,4,カナタ:やあみんな僕はAgent[03]だよ タクミ兄さん 冷静だね 僕はカナタとユウと一緒にゲーム楽しむよ 僕は10歳だよ 友達を大切にする明るい性格だけど 時々周りに気づかないことも 僕は村人だよ,,['CO[カナタ]:村人']
0,talk,9,2,1,タクミ:@カナタ占いCOはまだ？,,"['Mt:カナタ', 'Req(CO):占い師']"
0,talk,9,2,1,タクミ:10歳と言うが、子供っぽさを利用してもいいけど、嘘も可能性として警戒してる。,,['Sus:カナタ']
0,talk,9,2,1,タクミ:俺はまだ様子見だ、みんなの反応が重要だ。,,['Wait']
0,talk,10,2,4,カナタ:やあみんなAgent[01] Agent[03]と仲良くしたいな僕はカナタ Agent[04]も良い子だね 僕は10歳だよ 友達を大切にする明るい性格だよ うっかり者なところもあるけどね このゲーム楽しみだね,,"['Mt:ALL', 'Other']"
0,talk,11,3,1,タクミ:@カナタ君仲良しアピールいいけど、Agent数字がずれるのは何か意図ある？,,"['Mt:カナタ', 'Sus:カナタ']"
0,talk,11,3,1,タクミ:遊び半分ならいいが、真剣に読んでる者としては疑いを持つ。,,['Sus:カナタ']
0,talk,11,3,1,タクミ:ここで占いCOしないのも気になるな。,,"['Req(CO):占い師', 'Sus:ALL']"
0,talk,12,3,4,カナタ:やあみんな僕はカナタ Agent[01]だよ 僕は10歳だよ 友達を大切にする明るい性格なんだ 確かにちょっとうっかり者なとこはあるけどね タクミ兄さん疑いすぎだよ みんなで楽しくやろうよ ユウやリョウとも仲良くなりたいな,,"['Mt:ALL', 'Mt:タクミ', 'Other']"
1,talk,0,0,4,カナタ:僕はカナタ 10歳だよ みんなと仲良くしたいな でも、タクミ兄さんの疑心暗鬼ぶりには困っちゃうな 僕は村人だよ みんなで楽しくゲームしたいだけなのに ユウやリョウも仲間だよね みんなを信じてるよ,,"['CO[カナタ]:村人', 'Pers:ALL', 'Sus:タクミ']"
1,talk,1,0,3,タカシ:皆さん、私たちの役割を考えると、占い師がいるのは心強いですね。,,"['Req(Discuss)', 'calm']"
1,talk,1,0,3,タカシ:ただ、ミナトが占い師なら、どのようにしてその結果を確かめるかが重要だと思います。,,"['Req(T):ミナト', 'calm']"
1,talk,2,0,2,リョウ:…誰も口を開かぬか。,,['Req(Discuss)']
1,talk,2,0,2,リョウ:いつまで待つつもりだ。,,['Req(Discuss)']
1,talk,3,0,1,タクミ:タカシの発言は占い師を示唆してるが、具体名がなく曖昧だ。,,['Dis:タカシ']
1,talk,3,0,1,タクミ:情報不足の今、行動や言葉の矛盾から狼を探すのが得策。,,['Req(Discuss)']
1,talk,3,0,1,タクミ:カナタの繰り返しも不自然で注目だ。,,['Sus:カナタ']
1,talk,4,0,5,ユウ:みんなに大事なことを伝えたい。,,['Req(Discuss)']
1,talk,4,0,5,ユウ:僕は占い師で、タカシを占ったら人狼だった。,,"['CO[ユウ]:占い師', 'DivT[ユウ]:タカシ->黒']"
1,talk,4,0,5,ユウ:最初の占い先は迷ったけど、何も情報がなかったから選んだよ。,,"['Other', 'calm']"
1,talk,4,0,5,ユウ:タカシ、どう答える？,,"['Req(T):タカシ', 'Mt:タカシ']"
1,talk,5,1,4,カナタ:僕はカナタだよ 10歳だよ ユウは占い師なんだね タカシが人狼だって教えてくれたんだね ユウはすごいな 僕はユウのこと信じてるよ タカシが人狼なんて信じられないけどね みんなでユウを応援しよう,,"['Agr:ユウ', 'Sus:タカシ', 'Pers:ユウ']"
1,talk,6,1,3,タカシ:ユウの言うことには耳を傾けるべきだと思いますが、もし私が人狼だとして、どんな理由で占い先に選ばれたのか気になるところです。,,"['Req(T):ユウ', 'Sus:ユウ']"
1,talk,6,1,3,タカシ:リョウも少しずつ疑問を持ち始めた様子ですね。,,['Other']
1,talk,6,1,3,タカシ:@ユウユウ、もう一度その占いの理由を教えてもらえますか？,,"['Req(T):ユウ', 'Mt:ユウ']"
1,talk,6,1,3,タカシ:明確に知っておく必要があると思います。,,['Req(Discuss)']
1,talk,7,1,2,リョウ:ユウが占いを告げた。,,['Other']
1,talk,7,1,2,リョウ:タカシが黒。,,"['Est[リョウ]:タカシ->人狼', 'Sus:タカシ']"
1,talk,7,1,2,リョウ:これをどう見るか、貴様らの判断を聞かせろ。,,['Req(Discuss)']
1,talk,8,1,1,タクミ:ユウの占い結果が本当ならタカシ黒確定だが、ユウが本当に占い師かはまだ分からない。,,"['Est[タクミ]:タカシ->人狼', 'difficult']"
1,talk,8,1,1,タクミ:逆にタカシの反応で真偽を探るべきだ。,,['Req(T):タカシ']
1,talk,8,1,1,タクミ:今は二人の動きを重点観察したい。,,['Req(Discuss)']
1,talk,9,1,5,ユウ:タカシを占った理由だけど、初日は情報が少なくて勘に頼るしかなかったんだ。,,['Other']
1,talk,9,1,5,ユウ:タカシは控えめな感じだったから、少し不安に思って選んだ。,,['Other']
1,talk,9,1,5,ユウ:直感も大事だと信じてるよ。,,"['Pers:ALL', 'calm']"
1,talk,10,2,4,カナタ:僕はカナタだよ ユウが占い師なんだね 僕はユウのこと信じてるよ タカシが人狼なんて信じられないな でもユウを応援するよ タカシは落ち着いてるけど…怪しいんだよね みんなでユウを信じてゲームを楽しもう,,"['Agr:ユウ', 'Sus:タカシ', 'Pers:ALL']"
1,talk,11,2,3,タカシ:皆さん、ユウの占い結果についての意見が分かれていますね。,,"['Req(Discuss)', 'calm']"
1,talk,11,2,3,タカシ:確かに、私が黒とされたのはショックですが、もしユウが本物の占い師なら、彼の判断を尊重するべきだと思います。,,"['Other', 'calm']"
1,talk,11,2,3,タカシ:しかし、もう一人の占い師を名乗るリョウさんのことも考慮せざるを得ません。,,['Sus:リョウ']
1,talk,11,2,3,タカシ:両者の動向に注意を払い、本当にどちらが信頼できるのか見極める必要があると感じています。,,"['Req(Discuss)', 'calm']"
1,talk,12,2,2,リョウ:この状況、各々はどう見る？,,['Req(Discuss)']
1,talk,12,2,2,リョウ:村人として、人狼として、貴様らは何を考え、どう動く？,,['Req(Discuss)']
1,talk,13,2,1,タクミ:リョウの焦らしは狼の戦術かもしれんが、真の占い師なら具体的に動けるはず。,,"['Sus:リョウ', 'Est[タクミ]:リョウ->人狼']"
1,talk,13,2,1,タクミ:カナタの無条件の支持も逆に怪しい。,,['Sus:カナタ']
1,talk,13,2,1,タクミ:異常なグループ形成を警戒し、投票先は慎重に選ぼう。,,"['Req(Discuss)', 'calm']"
1,talk,14,2,5,ユウ:タカシが人狼だと確信してるよ。,,['DivT[ユウ]:タカシ->黒']
1,talk,14,2,5,ユウ:他に占い師がいるなら、今こそ名乗り出てほしい。,,['Req(CO):占い師']
1,talk,14,2,5,ユウ:みんなには村の勝利のためによく考えて投票先を決めてほしいな。,,['Pers:ALL']
1,talk,15,3,4,カナタ:僕はカナタだよ。,,['Other']
1,talk,15,3,4,カナタ:ユウは占い師なんだね。,,['Fact[カナタ]:ユウ->占い師']
1,talk,15,3,4,カナタ:タカシが人狼ってちょっと信じられないな。,,['Est[カナタ]:タカシ->not(人狼)']
1,talk,15,3,4,カナタ:でも、ユウのこと信じてるよ！,,['Pers:ユウ']
1,talk,15,3,4,カナタ:みんなでユウを応援しよう！,,['Pers:ユウ']
1,talk,15,3,4,カナタ:僕は10歳だし、みんなと仲良くゲームしたいんだ。,,['calm']
1,talk,15,3,4,カナタ:タクミ兄さん、疑いすぎだよ！,,"['Mt:タクミ', 'Dis:タクミ']"
1,talk,16,3,3,タカシ:リョウさん、ユウさんの占い師の主張が対立している状況ですね。,,"['Mt:リョウ', 'Req(T):リョウ']"
1,talk,16,3,3,タカシ:実際、どちらが真の占い師なのか、考えないわけにはいきません。,,['Req(Discuss)']
1,talk,16,3,3,タカシ:私も考えてみましたが、ユウさんがタカシを占って人狼としたのに対し、リョウさんはどういう根拠でその判断をしたのかお聞きしたいです。,,"['Mt:リョウ', 'Req(T):リョウ']"
1,talk,16,3,3,タカシ:@リョウユウさんはタカシを人狼と見ていますが、リョウさんの占い師としての立場も気になります。,,"['Mt:リョウ', 'Sus:リョウ']"
1,talk,16,3,3,タカシ:具体的な根拠を教えてもらえますか？,,['Req(T):リョウ']
1,talk,17,3,2,リョウ:黒は出た。,,['Other']
1,talk,17,3,2,リョウ:追放の刻だ。,,['Req(Discuss)']
1,talk,17,3,2,リョウ:迷わず選べ。,,['Pers:ALL']
1,talk,18,3,1,タクミ:黒が出たと言うが具体的な白黒の根拠が示されていない。,,"['Dis:リョウ', 'contradiction']"
1,talk,18,3,1,タクミ:情報のないまま決めつけさせようとするのは人狼の仕掛けだ。,,"['Dis:リョウ', 'Sus:リョウ']"
1,talk,18,3,1,タクミ:村としては冷静に証拠の提示を待つべきだと思う。,,['calm']
