date,type,info1,info2,info3,info4,tag
1,talk,0,0,2,2:おはようございます。,['Other']
1,talk,10,2,2,2:おはようございます。,['Other']
1,talk,0,0,2,2:早速ですが、私は占い師です。,['CO[02]:占い師']
1,talk,0,0,2,2:昨日の夜、Agent[04]を占いました。,['Other']
1,talk,0,0,2,2:結果は人間でした。,['DivT[02]:04->白']
2,talk,0,0,2,2:結果は人間でした。,['DivT[02]:04->白']
1,talk,1,0,1,1:皆さん、昨晩の占い結果を報告します。,['Req(CO):占い師']
1,talk,1,0,1,1:わたくしはAgent[02]を占ったところ、黒判定が出ました。,['DivT[01]:02->黒']
1,talk,1,0,1,1:つまりAgent[02]は人狼ということですよね...どう思いますか?,"['Fact[01]:02->人狼', 'Req(Discuss)']"
1,talk,2,0,5,5:占い結果が真逆になった場合、どのような推理をしますよぅ？,['Req(Discuss)']
1,talk,3,0,3,3:皆の意見も聞く必要がありそうだな。,['Req(Discuss)']
1,talk,4,0,4,4:Agent[01]の占いは、誠に不可解なり。,['Dis:01（DivT[01]:02->黒）']
1,talk,4,0,4,4:Agent[02]が人狼とは、容易に信じ難き事態であろう。,['Dis:01（Fact[01]:02->人狼）']
1,talk,4,0,4,4:疑わしきはAgent[02]だが、Agent[01]の言葉にも、不自然な響きが潜む。,"['Sus:02', 'Sus:01']"
1,talk,4,0,4,4:深淵なる真実を見極めるため、己の知性を研ぎ澄ませ、時を待ちたい。,['Wait']
1,talk,5,1,2,2:皆さん、こんにちは。,['Other']
1,talk,5,1,2,2:私は占い師のAgent[02]です。,['CO[02]:占い師']
1,talk,5,1,2,2:0日目の夜にAgent[04]を占いましたが、その結果は「人間」でした。,['DivT[02]:04->白']
1,talk,5,1,2,2:ですので、Agent[04]さんは村人側であることが確定しています。,['Fact[02]:04->not(人狼)']
1,talk,5,1,2,2:みんなで協力して人狼を見つけ出しましょう！,['Pers:ALL']
1,talk,5,1,2,2:他の皆さんの考えをお聞かせいただけますか？,['Req(Discuss)']
