date,type,info1,info2,info3,info4,info5,info4_named,tag
0,talk,0,0,1,Hello. I am Kenji. My role is villager. Have a good game.,,Kenji: Hello. I am Kenji. My role is villager. Have a good game.,['CO[Kenji]:Villager']
0,talk,1,0,2,Skip,,Mio: Skip,['Other']
0,talk,2,0,4,Hello everyone I’m Minako Let’s all stay calm and share our thoughts openly today,,Minako: Hello everyone I’m Minako Let’s all stay calm and share our thoughts openly today,"['calm', 'Req(Discuss)']"
0,talk,3,0,3,Hey hey! I'm Sakura—nice to meet you all! Ready to catch a wolf or maybe trip over my own feet? Who's with me? @Kenji  starting strong with that villager claim huh? Are you ALWAYS this honest or feeling a bit sneaky today?,,Sakura: Hey hey! I'm Sakura—nice to meet you all! Ready to catch a wolf or maybe trip over my own feet? Who's with me? @Kenji  starting strong with that villager claim huh? Are you ALWAYS this honest or feeling a bit sneaky today?,"['Mt:Kenji', 'Sus:Kenji', 'Pers:ALL']"
0,talk,4,0,5,Hello everyone I'm George! Excited to play Werewolf with you all. Let's have some fun and enjoy the game!,,George: Hello everyone I'm George! Excited to play Werewolf with you all. Let's have some fun and enjoy the game!,['Other']
0,talk,6,1,2,I'm Mio. It's a pleasure to dance with all of you. I hope our performance is a beautiful one.,,Mio: I'm Mio. It's a pleasure to dance with all of you. I hope our performance is a beautiful one.,['Other']
1,talk,0,0,1,I will vote Sakura.,,Kenji: I will vote Sakura.,['Vote[Kenji]:Sakura']
1,talk,1,0,2,Good morning. I am the Seer. It saddens me but my vision showed that Sakura is the Werewolf.,,Mio: Good morning. I am the Seer. It saddens me but my vision showed that Sakura is the Werewolf.,"['CO[Mio]:Seer', 'DivT[Mio]:Sakura->Werewolf']"
1,talk,2,0,5,I am actually the Seer and my vision revealed that Mio is the Werewolf. We need to focus our votes correctly.,,George: I am actually the Seer and my vision revealed that Mio is the Werewolf. We need to focus our votes correctly.,"['CO[George]:Seer', 'DivT[George]:Mio->Werewolf', 'Pers:ALL']"
1,talk,3,0,3,I am the real Seer! Kenji is totally the werewolf! Anyone surprised? Seer party time huh? Count me in! @Mio  nice try with that seer claim! But I’m the real one. Kenji’s a werewolf! Where’s your crystal ball?,,Sakura: I am the real Seer! Kenji is totally the werewolf! Anyone surprised? Seer party time huh? Count me in! @Mio  nice try with that seer claim! But I’m the real one. Kenji’s a werewolf! Where’s your crystal ball?,"['CO[Sakura]:Seer', 'Sus:Kenji', 'Mt:Mio', 'Dis:Mio(CO[Mio]:Seer)']"
