date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,1,ケン:やあみんな僕は占い師だよ 今日はよろしくね 仲良く人狼を探そう さちこ エルメト ケン タクヤ リョウ みんなと話すのが楽しみだよ 困ったことがあったら遠慮なく言ってね みんなで助け合おう,,"['CO[ケン]:占い師', 'Mt:さちこ', 'Mt:エルメト', 'Mt:ケン', 'Mt:タクヤ', 'Mt:リョウ', 'Pers:ALL']"
0,talk,1,0,3,さちこ:さちこです、こんばんは。,,['Mt:ALL']
0,talk,1,0,3,さちこ:意見は遠慮なく言うつもりなので、皆さんもぜひ率直にどうぞ。,,['Pers:ALL']
0,talk,1,0,3,さちこ:村の時間を大事にしましょう。,,['Pers:ALL']
0,talk,2,0,2,タクヤ:よろしくお願いしまーす！,,['Mt:ALL']
0,talk,3,0,5,エルメト:エルメトと申す。,,['Mt:ALL']
0,talk,3,0,5,エルメト:人の世の営みを見守るはまた一興。,,['Other']
0,talk,3,0,5,エルメト:皆々、この遊戯を楽しむとしよう。,,['Pers:ALL']
0,talk,3,0,5,エルメト:よろしく。,,['Mt:ALL']
0,talk,4,0,4,リョウ:リョウです。,,['Mt:ALL']
0,talk,4,0,4,リョウ:皆さんよろしく。,,['Mt:ALL']
0,talk,4,0,4,リョウ:自分も率直に意見を述べるつもりだ。,,['Pers:ALL']
0,talk,4,0,4,リョウ:現時点で特に怪しいところは感じていないが、冷静に状況を見守りたいと思う。,,['calm']
0,talk,4,0,4,リョウ:以上だ。,,['Other']
0,talk,5,1,1,ケン:やあ みんな 改めて占い師のケンだよ さっきは挨拶できなかった人もいるからね みんなと人狼を見つけるのが楽しみだよ 今日はよろしくね エルメト タクヤ リョウ さちこ ケン みんなで協力して人狼を暴こうね,,"['CO[ケン]:占い師', 'Mt:エルメト', 'Mt:タクヤ', 'Mt:リョウ', 'Mt:さちこ', 'Mt:ケン', 'Pers:ALL']"
0,talk,6,1,3,さちこ:始まる前からちょっと緊張してるわ。,,['confused']
0,talk,6,1,3,さちこ:でも、穏やかに話し合いながら本当のことを探していきたいの。,,"['calm', 'Pers:ALL']"
0,talk,6,1,3,さちこ:どうぞよろしくね。,,['Mt:ALL']
0,talk,9,1,4,リョウ:初日は情報が少ないため、無理のない範囲で意見を出し合うのが良いと思う。,,['Req(Discuss)']
0,talk,9,1,4,リョウ:慎重に様子を見たい。,,['calm']
0,talk,10,2,1,ケン:やあみんな 占い師の僕だよ 今日は改めてよろしくね さちこ エルメト ケン タクヤ リョウ みんなと話せるのが嬉しいな 困ったことがあれば遠慮なく相談してね みんなで協力して人狼を見つけよう,,"['CO[ケン]:占い師', 'Mt:さちこ', 'Mt:エルメト', 'Mt:ケン', 'Mt:タクヤ', 'Mt:リョウ', 'Pers:ALL']"
0,talk,11,2,3,さちこ:みなさんと一緒に過ごすこの時間、とても大切にしたいわ。,,['Other']
0,talk,11,2,3,さちこ:互いを信じて、笑顔で議論できるといいわね。,,['Pers:ALL']
0,talk,12,2,4,リョウ:みなさん、落ち着いて議論する姿勢が大事だと思う。,,"['calm', 'Req(Discuss)']"
0,talk,12,2,4,リョウ:それぞれの発言をしっかり分析したい。,,['Other']
0,talk,12,2,4,リョウ:全体的にまだ情報は少ないが、誰か特別に気になる発言がある人はいるか？,,['Req(Discuss)']
0,talk,13,3,1,ケン:みんなこんばんは占い師のケンだよ さっきは挨拶できなかった人もいるからね みんなと人狼を見つけるのが楽しみだよ 今日はよろしくね さちこ エルメト タクヤ リョウ みんなで協力して人狼を暴こうね 困ったことがあれば遠慮なく相談してね みんなで協力して人狼を見つけよう,,"['CO[ケン]:占い師', 'Mt:さちこ', 'Mt:エルメト', 'Mt:タクヤ', 'Mt:リョウ', 'Pers:ALL']"
